"level0","level1","level2","Highest qualification","count"
"Level 5 or Level 6 Diploma(1)","Rotorua","North Island general electorates","Male",1836
"Bachelor Degree and Level 7 Qualification","Rotorua","North Island general electorates","Male",1854
"Post-graduate and Honours Degrees","Rotorua","North Island general electorates","Male",333
"Masters Degree","Rotorua","North Island general electorates","Male",372
"Doctorate Degree","Rotorua","North Island general electorates","Male",177
"Overseas Secondary School Qualification","Rotorua","North Island general electorates","Male",1152
"Not Elsewhere Included(3)","Rotorua","North Island general electorates","Male",4554
"No Qualification","Tamaki","North Island general electorates","Male",1917
"Level 1 Certificate","Tamaki","North Island general electorates","Male",1446
"Level 2 Certificate","Tamaki","North Island general electorates","Male",1827
"Level 3 Certificate","Tamaki","North Island general electorates","Male",2049
"Level 4 Certificate","Tamaki","North Island general electorates","Male",1674
"Level 5 or Level 6 Diploma(1)","Tamaki","North Island general electorates","Male",1722
"Bachelor Degree and Level 7 Qualification","Tamaki","North Island general electorates","Male",5040
"Post-graduate and Honours Degrees","Tamaki","North Island general electorates","Male",924
"Masters Degree","Tamaki","North Island general electorates","Male",1377
"Doctorate Degree","Tamaki","North Island general electorates","Male",444
"Overseas Secondary School Qualification","Tamaki","North Island general electorates","Male",1614
"Not Elsewhere Included(3)","Tamaki","North Island general electorates","Male",2094
"No Qualification","Taranaki-King Country","North Island general electorates","Male",6996
"Level 1 Certificate","Taranaki-King Country","North Island general electorates","Male",3426
"Level 2 Certificate","Taranaki-King Country","North Island general electorates","Male",2517
"Level 3 Certificate","Taranaki-King Country","North Island general electorates","Male",1407
"Level 4 Certificate","Taranaki-King Country","North Island general electorates","Male",3939
"Level 5 or Level 6 Diploma(1)","Taranaki-King Country","North Island general electorates","Male",1665
"Bachelor Degree and Level 7 Qualification","Taranaki-King Country","North Island general electorates","Male",1464
"Post-graduate and Honours Degrees","Taranaki-King Country","North Island general electorates","Male",270
"Masters Degree","Taranaki-King Country","North Island general electorates","Male",261
"Doctorate Degree","Taranaki-King Country","North Island general electorates","Male",111
"Overseas Secondary School Qualification","Taranaki-King Country","North Island general electorates","Male",681
"Not Elsewhere Included(3)","Taranaki-King Country","North Island general electorates","Male",3090
"No Qualification","Taupo","North Island general electorates","Male",6873
"Level 1 Certificate","Taupo","North Island general electorates","Male",3612
"Level 2 Certificate","Taupo","North Island general electorates","Male",2751
"Level 3 Certificate","Taupo","North Island general electorates","Male",1686
"Level 4 Certificate","Taupo","North Island general electorates","Male",4407
"Level 5 or Level 6 Diploma(1)","Taupo","North Island general electorates","Male",1806
"Bachelor Degree and Level 7 Qualification","Taupo","North Island general electorates","Male",1731
"Post-graduate and Honours Degrees","Taupo","North Island general electorates","Male",345
"Masters Degree","Taupo","North Island general electorates","Male",336
"Doctorate Degree","Taupo","North Island general electorates","Male",99
"Overseas Secondary School Qualification","Taupo","North Island general electorates","Male",1017
"Not Elsewhere Included(3)","Taupo","North Island general electorates","Male",3459
"No Qualification","Tauranga","North Island general electorates","Male",4587
"Level 1 Certificate","Tauranga","North Island general electorates","Male",2748
"Level 2 Certificate","Tauranga","North Island general electorates","Male",2301
"Level 3 Certificate","Tauranga","North Island general electorates","Male",1569
"Level 4 Certificate","Tauranga","North Island general electorates","Male",3525
"Level 5 or Level 6 Diploma(1)","Tauranga","North Island general electorates","Male",2034
"Bachelor Degree and Level 7 Qualification","Tauranga","North Island general electorates","Male",2301
"Post-graduate and Honours Degrees","Tauranga","North Island general electorates","Male",438
"Masters Degree","Tauranga","North Island general electorates","Male",408
"Doctorate Degree","Tauranga","North Island general electorates","Male",105
"Overseas Secondary School Qualification","Tauranga","North Island general electorates","Male",1197
"Not Elsewhere Included(3)","Tauranga","North Island general electorates","Male",2553
"No Qualification","Te Atatu","North Island general electorates","Male",4863
"Level 1 Certificate","Te Atatu","North Island general electorates","Male",2430
"Level 2 Certificate","Te Atatu","North Island general electorates","Male",2181
"Level 3 Certificate","Te Atatu","North Island general electorates","Male",2130
"Level 4 Certificate","Te Atatu","North Island general electorates","Male",2898
"Level 5 or Level 6 Diploma(1)","Te Atatu","North Island general electorates","Male",1671
"Bachelor Degree and Level 7 Qualification","Te Atatu","North Island general electorates","Male",2523
"Post-graduate and Honours Degrees","Te Atatu","North Island general electorates","Male",405
"Masters Degree","Te Atatu","North Island general electorates","Male",549
"Doctorate Degree","Te Atatu","North Island general electorates","Male",99
"Overseas Secondary School Qualification","Te Atatu","North Island general electorates","Male",1986
"Not Elsewhere Included(3)","Te Atatu","North Island general electorates","Male",3063
"No Qualification","Tukituki","North Island general electorates","Male",6351
"Level 1 Certificate","Tukituki","North Island general electorates","Male",3150
"Level 2 Certificate","Tukituki","North Island general electorates","Male",2673
"Level 3 Certificate","Tukituki","North Island general electorates","Male",1647
"Level 4 Certificate","Tukituki","North Island general electorates","Male",3684
"Level 5 or Level 6 Diploma(1)","Tukituki","North Island general electorates","Male",1824
"Bachelor Degree and Level 7 Qualification","Tukituki","North Island general electorates","Male",1977
"Post-graduate and Honours Degrees","Tukituki","North Island general electorates","Male",357
"Masters Degree","Tukituki","North Island general electorates","Male",357
"Doctorate Degree","Tukituki","North Island general electorates","Male",114
"Overseas Secondary School Qualification","Tukituki","North Island general electorates","Male",993
"Not Elsewhere Included(3)","Tukituki","North Island general electorates","Male",3771
"No Qualification","Upper Harbour","North Island general electorates","Male",3642
"Level 1 Certificate","Upper Harbour","North Island general electorates","Male",2430
"Level 2 Certificate","Upper Harbour","North Island general electorates","Male",2379
"Level 3 Certificate","Upper Harbour","North Island general electorates","Male",2406
"Level 4 Certificate","Upper Harbour","North Island general electorates","Male",3012
"Level 5 or Level 6 Diploma(1)","Upper Harbour","North Island general electorates","Male",1905
"Bachelor Degree and Level 7 Qualification","Upper Harbour","North Island general electorates","Male",3030
"Post-graduate and Honours Degrees","Upper Harbour","North Island general electorates","Male",483
"Masters Degree","Upper Harbour","North Island general electorates","Male",639
"Doctorate Degree","Upper Harbour","North Island general electorates","Male",132
"Overseas Secondary School Qualification","Upper Harbour","North Island general electorates","Male",2310
"Not Elsewhere Included(3)","Upper Harbour","North Island general electorates","Male",2613
"No Qualification","Waikato","North Island general electorates","Male",7224
"Level 1 Certificate","Waikato","North Island general electorates","Male",3549
"Level 2 Certificate","Waikato","North Island general electorates","Male",2625
"Level 3 Certificate","Waikato","North Island general electorates","Male",1569
"Level 4 Certificate","Waikato","North Island general electorates","Male",4146
"Level 5 or Level 6 Diploma(1)","Waikato","North Island general electorates","Male",1611
"Bachelor Degree and Level 7 Qualification","Waikato","North Island general electorates","Male",1650
"Post-graduate and Honours Degrees","Waikato","North Island general electorates","Male",333
"Masters Degree","Waikato","North Island general electorates","Male",321
"Doctorate Degree","Waikato","North Island general electorates","Male",189
"Overseas Secondary School Qualification","Waikato","North Island general electorates","Male",873
"Not Elsewhere Included(3)","Waikato","North Island general electorates","Male",3738
"No Qualification","Wairarapa","North Island general electorates","Male",6801
"Level 1 Certificate","Wairarapa","North Island general electorates","Male",3444
"Level 2 Certificate","Wairarapa","North Island general electorates","Male",2637
"Level 3 Certificate","Wairarapa","North Island general electorates","Male",1602
"Level 4 Certificate","Wairarapa","North Island general electorates","Male",3717
"Level 5 or Level 6 Diploma(1)","Wairarapa","North Island general electorates","Male",1608
"Bachelor Degree and Level 7 Qualification","Wairarapa","North Island general electorates","Male",1644
"Post-graduate and Honours Degrees","Wairarapa","North Island general electorates","Male",339
"Masters Degree","Wairarapa","North Island general electorates","Male",288
"Doctorate Degree","Wairarapa","North Island general electorates","Male",90
"Overseas Secondary School Qualification","Wairarapa","North Island general electorates","Male",684
"Not Elsewhere Included(3)","Wairarapa","North Island general electorates","Male",2841
"No Qualification","Wellington Central","North Island general electorates","Male",1212
"Level 1 Certificate","Wellington Central","North Island general electorates","Male",1077
"Level 2 Certificate","Wellington Central","North Island general electorates","Male",1842
"Level 3 Certificate","Wellington Central","North Island general electorates","Male",4638
"Level 4 Certificate","Wellington Central","North Island general electorates","Male",1392
"Level 5 or Level 6 Diploma(1)","Wellington Central","North Island general electorates","Male",1650
"Bachelor Degree and Level 7 Qualification","Wellington Central","North Island general electorates","Male",6657
"Post-graduate and Honours Degrees","Wellington Central","North Island general electorates","Male",1947
"Masters Degree","Wellington Central","North Island general electorates","Male",2196
"Doctorate Degree","Wellington Central","North Island general electorates","Male",732
"Overseas Secondary School Qualification","Wellington Central","North Island general electorates","Male",1452
"Not Elsewhere Included(3)","Wellington Central","North Island general electorates","Male",1998
"No Qualification","Whanganui","North Island general electorates","Male",7623
"Level 1 Certificate","Whanganui","North Island general electorates","Male",3573
"Level 2 Certificate","Whanganui","North Island general electorates","Male",2574
"Level 3 Certificate","Whanganui","North Island general electorates","Male",1629
"Level 4 Certificate","Whanganui","North Island general electorates","Male",4005
"Level 5 or Level 6 Diploma(1)","Whanganui","North Island general electorates","Male",1485
"Bachelor Degree and Level 7 Qualification","Whanganui","North Island general electorates","Male",1350
"Post-graduate and Honours Degrees","Whanganui","North Island general electorates","Male",261
"Masters Degree","Whanganui","North Island general electorates","Male",216
"Doctorate Degree","Whanganui","North Island general electorates","Male",66
"Overseas Secondary School Qualification","Whanganui","North Island general electorates","Male",618
"Not Elsewhere Included(3)","Whanganui","North Island general electorates","Male",3876
"No Qualification","Whangarei","North Island general electorates","Male",6021
"Level 1 Certificate","Whangarei","North Island general electorates","Male",3501
"Level 2 Certificate","Whangarei","North Island general electorates","Male",2460
"Level 3 Certificate","Whangarei","North Island general electorates","Male",1476
"Level 4 Certificate","Whangarei","North Island general electorates","Male",4185
"Level 5 or Level 6 Diploma(1)","Whangarei","North Island general electorates","Male",1899
"Bachelor Degree and Level 7 Qualification","Whangarei","North Island general electorates","Male",1773
"Post-graduate and Honours Degrees","Whangarei","North Island general electorates","Male",342
"Masters Degree","Whangarei","North Island general electorates","Male",393
"Doctorate Degree","Whangarei","North Island general electorates","Male",111
"Overseas Secondary School Qualification","Whangarei","North Island general electorates","Male",1029
"Not Elsewhere Included(3)","Whangarei","North Island general electorates","Male",3834
"No Qualification","Christchurch Central","South Island general electorates","Male",4482
"Level 1 Certificate","Christchurch Central","South Island general electorates","Male",2718
"Level 2 Certificate","Christchurch Central","South Island general electorates","Male",2586
"Level 3 Certificate","Christchurch Central","South Island general electorates","Male",2346
"Level 4 Certificate","Christchurch Central","South Island general electorates","Male",3237
"Level 5 or Level 6 Diploma(1)","Christchurch Central","South Island general electorates","Male",2214
"Bachelor Degree and Level 7 Qualification","Christchurch Central","South Island general electorates","Male",3084
"Post-graduate and Honours Degrees","Christchurch Central","South Island general electorates","Male",717
"Masters Degree","Christchurch Central","South Island general electorates","Male",699
"Doctorate Degree","Christchurch Central","South Island general electorates","Male",249
"Overseas Secondary School Qualification","Christchurch Central","South Island general electorates","Male",1341
"Not Elsewhere Included(3)","Christchurch Central","South Island general electorates","Male",2907
"No Qualification","Christchurch East","South Island general electorates","Male",5703
"Level 1 Certificate","Christchurch East","South Island general electorates","Male",3189
"Level 2 Certificate","Christchurch East","South Island general electorates","Male",2523
"Level 3 Certificate","Christchurch East","South Island general electorates","Male",1779
"Level 4 Certificate","Christchurch East","South Island general electorates","Male",3918
"Level 5 or Level 6 Diploma(1)","Christchurch East","South Island general electorates","Male",1689
"Bachelor Degree and Level 7 Qualification","Christchurch East","South Island general electorates","Male",1656
"Post-graduate and Honours Degrees","Christchurch East","South Island general electorates","Male",381
"Masters Degree","Christchurch East","South Island general electorates","Male",336
"Doctorate Degree","Christchurch East","South Island general electorates","Male",96
"Overseas Secondary School Qualification","Christchurch East","South Island general electorates","Male",951
"Not Elsewhere Included(3)","Christchurch East","South Island general electorates","Male",3033
"No Qualification","Clutha-Southland","South Island general electorates","Male",6231
"Level 1 Certificate","Clutha-Southland","South Island general electorates","Male",3582
"Level 2 Certificate","Clutha-Southland","South Island general electorates","Male",2541
"Level 3 Certificate","Clutha-Southland","South Island general electorates","Male",1650
"Level 4 Certificate","Clutha-Southland","South Island general electorates","Male",3708
"Level 5 or Level 6 Diploma(1)","Clutha-Southland","South Island general electorates","Male",1743
"Bachelor Degree and Level 7 Qualification","Clutha-Southland","South Island general electorates","Male",1899
"Post-graduate and Honours Degrees","Clutha-Southland","South Island general electorates","Male",369
"Masters Degree","Clutha-Southland","South Island general electorates","Male",276
"Doctorate Degree","Clutha-Southland","South Island general electorates","Male",66
"Overseas Secondary School Qualification","Clutha-Southland","South Island general electorates","Male",1356
"Not Elsewhere Included(3)","Clutha-Southland","South Island general electorates","Male",3105
"No Qualification","Dunedin North","South Island general electorates","Male",3189
"Level 1 Certificate","Dunedin North","South Island general electorates","Male",1923
"Level 2 Certificate","Dunedin North","South Island general electorates","Male",2049
"Level 3 Certificate","Dunedin North","South Island general electorates","Male",5322
"Level 4 Certificate","Dunedin North","South Island general electorates","Male",2586
"Level 5 or Level 6 Diploma(1)","Dunedin North","South Island general electorates","Male",1386
"Bachelor Degree and Level 7 Qualification","Dunedin North","South Island general electorates","Male",3174
"Post-graduate and Honours Degrees","Dunedin North","South Island general electorates","Male",792
"Masters Degree","Dunedin North","South Island general electorates","Male",828
"Doctorate Degree","Dunedin North","South Island general electorates","Male",750
"Overseas Secondary School Qualification","Dunedin North","South Island general electorates","Male",1014
"Not Elsewhere Included(3)","Dunedin North","South Island general electorates","Male",2391
"No Qualification","Dunedin South","South Island general electorates","Male",4953
"Level 1 Certificate","Dunedin South","South Island general electorates","Male",2736
"Level 2 Certificate","Dunedin South","South Island general electorates","Male",2268
"Level 3 Certificate","Dunedin South","South Island general electorates","Male",1647
"Level 4 Certificate","Dunedin South","South Island general electorates","Male",3786
"Level 5 or Level 6 Diploma(1)","Dunedin South","South Island general electorates","Male",1578
"Bachelor Degree and Level 7 Qualification","Dunedin South","South Island general electorates","Male",2067
"Post-graduate and Honours Degrees","Dunedin South","South Island general electorates","Male",477
"Masters Degree","Dunedin South","South Island general electorates","Male",474
"Doctorate Degree","Dunedin South","South Island general electorates","Male",420
"Overseas Secondary School Qualification","Dunedin South","South Island general electorates","Male",609
"Not Elsewhere Included(3)","Dunedin South","South Island general electorates","Male",2220
"No Qualification","Ilam","South Island general electorates","Male",2820
"Level 1 Certificate","Ilam","South Island general electorates","Male",2187
"Level 2 Certificate","Ilam","South Island general electorates","Male",2364
"Level 3 Certificate","Ilam","South Island general electorates","Male",3420
"Level 4 Certificate","Ilam","South Island general electorates","Male",2454
"Level 5 or Level 6 Diploma(1)","Ilam","South Island general electorates","Male",1947
"Bachelor Degree and Level 7 Qualification","Ilam","South Island general electorates","Male",3975
"Post-graduate and Honours Degrees","Ilam","South Island general electorates","Male",876
"Masters Degree","Ilam","South Island general electorates","Male",1026
"Doctorate Degree","Ilam","South Island general electorates","Male",537
"Overseas Secondary School Qualification","Ilam","South Island general electorates","Male",1368
"Not Elsewhere Included(3)","Ilam","South Island general electorates","Male",1626
"No Qualification","Invercargill","South Island general electorates","Male",6834
"Level 1 Certificate","Invercargill","South Island general electorates","Male",3417
"Level 2 Certificate","Invercargill","South Island general electorates","Male",2370
"Level 3 Certificate","Invercargill","South Island general electorates","Male",1353
"Level 4 Certificate","Invercargill","South Island general electorates","Male",3798
"Level 5 or Level 6 Diploma(1)","Invercargill","South Island general electorates","Male",1428
"Bachelor Degree and Level 7 Qualification","Invercargill","South Island general electorates","Male",1479
"Post-graduate and Honours Degrees","Invercargill","South Island general electorates","Male",285
"Masters Degree","Invercargill","South Island general electorates","Male",210
"Doctorate Degree","Invercargill","South Island general electorates","Male",63
"Overseas Secondary School Qualification","Invercargill","South Island general electorates","Male",588
"Not Elsewhere Included(3)","Invercargill","South Island general electorates","Male",2763
"No Qualification","Kaikoura","South Island general electorates","Male",5787
"Level 1 Certificate","Kaikoura","South Island general electorates","Male",3243
"Level 2 Certificate","Kaikoura","South Island general electorates","Male",2553
"Level 3 Certificate","Kaikoura","South Island general electorates","Male",1494
"Level 4 Certificate","Kaikoura","South Island general electorates","Male",4242
"Level 5 or Level 6 Diploma(1)","Kaikoura","South Island general electorates","Male",1896
"Bachelor Degree and Level 7 Qualification","Kaikoura","South Island general electorates","Male",1617
"Post-graduate and Honours Degrees","Kaikoura","South Island general electorates","Male",372
"Masters Degree","Kaikoura","South Island general electorates","Male",327
"Doctorate Degree","Kaikoura","South Island general electorates","Male",87
"Overseas Secondary School Qualification","Kaikoura","South Island general electorates","Male",837
"Not Elsewhere Included(3)","Kaikoura","South Island general electorates","Male",2643
"No Qualification","Nelson","South Island general electorates","Male",4839
"Level 1 Certificate","Nelson","South Island general electorates","Male",2931
"Level 2 Certificate","Nelson","South Island general electorates","Male",2484
"Level 3 Certificate","Nelson","South Island general electorates","Male",1503
"Level 4 Certificate","Nelson","South Island general electorates","Male",3909
"Level 5 or Level 6 Diploma(1)","Nelson","South Island general electorates","Male",2007
"Bachelor Degree and Level 7 Qualification","Nelson","South Island general electorates","Male",2169
"Post-graduate and Honours Degrees","Nelson","South Island general electorates","Male",540
"Masters Degree","Nelson","South Island general electorates","Male",483
"Doctorate Degree","Nelson","South Island general electorates","Male",186
"Overseas Secondary School Qualification","Nelson","South Island general electorates","Male",990
"Not Elsewhere Included(3)","Nelson","South Island general electorates","Male",2199
"No Qualification","Port Hills","South Island general electorates","Male",3951
"Level 1 Certificate","Port Hills","South Island general electorates","Male",2628
"Level 2 Certificate","Port Hills","South Island general electorates","Male",2424
"Level 3 Certificate","Port Hills","South Island general electorates","Male",1959
"Level 4 Certificate","Port Hills","South Island general electorates","Male",3642
"Level 5 or Level 6 Diploma(1)","Port Hills","South Island general electorates","Male",2220
"Bachelor Degree and Level 7 Qualification","Port Hills","South Island general electorates","Male",3159
"Post-graduate and Honours Degrees","Port Hills","South Island general electorates","Male",807
"Masters Degree","Port Hills","South Island general electorates","Male",867
"Doctorate Degree","Port Hills","South Island general electorates","Male",399
"Overseas Secondary School Qualification","Port Hills","South Island general electorates","Male",984
"Not Elsewhere Included(3)","Port Hills","South Island general electorates","Male",2259
"No Qualification","Rangitata","South Island general electorates","Male",6789
"Level 1 Certificate","Rangitata","South Island general electorates","Male",3714
"Level 2 Certificate","Rangitata","South Island general electorates","Male",2556
"Level 3 Certificate","Rangitata","South Island general electorates","Male",1302
"Level 4 Certificate","Rangitata","South Island general electorates","Male",3834
"Level 5 or Level 6 Diploma(1)","Rangitata","South Island general electorates","Male",1506
"Bachelor Degree and Level 7 Qualification","Rangitata","South Island general electorates","Male",1371
"Post-graduate and Honours Degrees","Rangitata","South Island general electorates","Male",237
"Masters Degree","Rangitata","South Island general electorates","Male",192
"Doctorate Degree","Rangitata","South Island general electorates","Male",45
"Overseas Secondary School Qualification","Rangitata","South Island general electorates","Male",831
"Not Elsewhere Included(3)","Rangitata","South Island general electorates","Male",2691
"No Qualification","Selwyn","South Island general electorates","Male",4503
"Level 1 Certificate","Selwyn","South Island general electorates","Male",3081
"Level 2 Certificate","Selwyn","South Island general electorates","Male",2685
"Level 3 Certificate","Selwyn","South Island general electorates","Male",2013
"Level 4 Certificate","Selwyn","South Island general electorates","Male",3555
"Level 5 or Level 6 Diploma(1)","Selwyn","South Island general electorates","Male",1950
"Bachelor Degree and Level 7 Qualification","Selwyn","South Island general electorates","Male",1980
"Post-graduate and Honours Degrees","Selwyn","South Island general electorates","Male",456
"Masters Degree","Selwyn","South Island general electorates","Male",477
"Doctorate Degree","Selwyn","South Island general electorates","Male",333
"Overseas Secondary School Qualification","Selwyn","South Island general electorates","Male",918
"Not Elsewhere Included(3)","Selwyn","South Island general electorates","Male",1860
"No Qualification","Waimakariri","South Island general electorates","Male",5043
"Level 1 Certificate","Waimakariri","South Island general electorates","Male",2985
"Level 2 Certificate","Waimakariri","South Island general electorates","Male",2337
"Level 3 Certificate","Waimakariri","South Island general electorates","Male",1659
"Level 4 Certificate","Waimakariri","South Island general electorates","Male",4014
"Level 5 or Level 6 Diploma(1)","Waimakariri","South Island general electorates","Male",1920
"Bachelor Degree and Level 7 Qualification","Waimakariri","South Island general electorates","Male",1626
"Post-graduate and Honours Degrees","Waimakariri","South Island general electorates","Male",333
"Masters Degree","Waimakariri","South Island general electorates","Male",300
"Doctorate Degree","Waimakariri","South Island general electorates","Male",108
"Overseas Secondary School Qualification","Waimakariri","South Island general electorates","Male",843
"Not Elsewhere Included(3)","Waimakariri","South Island general electorates","Male",1872
"No Qualification","Waitaki","South Island general electorates","Male",6186
"Level 1 Certificate","Waitaki","South Island general electorates","Male",3549
"Level 2 Certificate","Waitaki","South Island general electorates","Male",2529
"Level 3 Certificate","Waitaki","South Island general electorates","Male",1476
"Level 4 Certificate","Waitaki","South Island general electorates","Male",4017
"Level 5 or Level 6 Diploma(1)","Waitaki","South Island general electorates","Male",1851
"Bachelor Degree and Level 7 Qualification","Waitaki","South Island general electorates","Male",1782
"Post-graduate and Honours Degrees","Waitaki","South Island general electorates","Male",363
"Masters Degree","Waitaki","South Island general electorates","Male",294
"Doctorate Degree","Waitaki","South Island general electorates","Male",108
"Overseas Secondary School Qualification","Waitaki","South Island general electorates","Male",942
"Not Elsewhere Included(3)","Waitaki","South Island general electorates","Male",2790
"No Qualification","West Coast-Tasman","South Island general electorates","Male",6210
"Level 1 Certificate","West Coast-Tasman","South Island general electorates","Male",3303
"Level 2 Certificate","West Coast-Tasman","South Island general electorates","Male",2385
"Level 3 Certificate","West Coast-Tasman","South Island general electorates","Male",1332
"Level 4 Certificate","West Coast-Tasman","South Island general electorates","Male",4026
"Level 5 or Level 6 Diploma(1)","West Coast-Tasman","South Island general electorates","Male",1743
"Bachelor Degree and Level 7 Qualification","West Coast-Tasman","South Island general electorates","Male",1473
"Post-graduate and Honours Degrees","West Coast-Tasman","South Island general electorates","Male",369
"Masters Degree","West Coast-Tasman","South Island general electorates","Male",351
"Doctorate Degree","West Coast-Tasman","South Island general electorates","Male",129
"Overseas Secondary School Qualification","West Coast-Tasman","South Island general electorates","Male",783
"Not Elsewhere Included(3)","West Coast-Tasman","South Island general electorates","Male",2934
"No Qualification","Wigram","South Island general electorates","Male",4788
"Level 1 Certificate","Wigram","South Island general electorates","Male",2541
"Level 2 Certificate","Wigram","South Island general electorates","Male",2172
"Level 3 Certificate","Wigram","South Island general electorates","Male",2784
"Level 4 Certificate","Wigram","South Island general electorates","Male",3012
"Level 5 or Level 6 Diploma(1)","Wigram","South Island general electorates","Male",1668
"Bachelor Degree and Level 7 Qualification","Wigram","South Island general electorates","Male",2490
"Post-graduate and Honours Degrees","Wigram","South Island general electorates","Male",546
"Masters Degree","Wigram","South Island general electorates","Male",543
"Doctorate Degree","Wigram","South Island general electorates","Male",180
"Overseas Secondary School Qualification","Wigram","South Island general electorates","Male",1479
"Not Elsewhere Included(3)","Wigram","South Island general electorates","Male",2721
"No Qualification","Area Outside General Electorate","South Island general electorates","Male",NA
"Level 1 Certificate","Area Outside General Electorate","South Island general electorates","Male",NA
"Level 2 Certificate","Area Outside General Electorate","South Island general electorates","Male",NA
"Level 3 Certificate","Area Outside General Electorate","South Island general electorates","Male",NA
"Level 4 Certificate","Area Outside General Electorate","South Island general electorates","Male",NA
"Level 5 or Level 6 Diploma(1)","Area Outside General Electorate","South Island general electorates","Male",NA
"Bachelor Degree and Level 7 Qualification","Area Outside General Electorate","South Island general electorates","Male",NA
"Post-graduate and Honours Degrees","Area Outside General Electorate","South Island general electorates","Male",NA
"Masters Degree","Area Outside General Electorate","South Island general electorates","Male",NA
"Doctorate Degree","Area Outside General Electorate","South Island general electorates","Male",NA
"Overseas Secondary School Qualification","Area Outside General Electorate","South Island general electorates","Male",NA
"Not Elsewhere Included(3)","Area Outside General Electorate","South Island general electorates","Male",NA
"No Qualification","Auckland Central","North Island general electorates","Female",1506
"Level 1 Certificate","Auckland Central","North Island general electorates","Female",1374
"Level 2 Certificate","Auckland Central","North Island general electorates","Female",1419
"Level 3 Certificate","Auckland Central","North Island general electorates","Female",3492
"Level 4 Certificate","Auckland Central","North Island general electorates","Female",768
"Level 5 or Level 6 Diploma(1)","Auckland Central","North Island general electorates","Female",2367
"Bachelor Degree and Level 7 Qualification","Auckland Central","North Island general electorates","Female",6471
"Post-graduate and Honours Degrees","Auckland Central","North Island general electorates","Female",1431
"Masters Degree","Auckland Central","North Island general electorates","Female",1629
"Doctorate Degree","Auckland Central","North Island general electorates","Female",294
"Overseas Secondary School Qualification","Auckland Central","North Island general electorates","Female",2808
"Not Elsewhere Included(3)","Auckland Central","North Island general electorates","Female",3504
"No Qualification","Bay of Plenty","North Island general electorates","Female",5133
"Level 1 Certificate","Bay of Plenty","North Island general electorates","Female",4023
"Level 2 Certificate","Bay of Plenty","North Island general electorates","Female",2958
"Level 3 Certificate","Bay of Plenty","North Island general electorates","Female",1995
"Level 4 Certificate","Bay of Plenty","North Island general electorates","Female",1596
"Level 5 or Level 6 Diploma(1)","Bay of Plenty","North Island general electorates","Female",3084
"Bachelor Degree and Level 7 Qualification","Bay of Plenty","North Island general electorates","Female",2976
"Post-graduate and Honours Degrees","Bay of Plenty","North Island general electorates","Female",642
"Masters Degree","Bay of Plenty","North Island general electorates","Female",366
"Doctorate Degree","Bay of Plenty","North Island general electorates","Female",48
"Overseas Secondary School Qualification","Bay of Plenty","North Island general electorates","Female",1434
"Not Elsewhere Included(3)","Bay of Plenty","North Island general electorates","Female",2538
"No Qualification","Botany","North Island general electorates","Female",3852
"Level 1 Certificate","Botany","North Island general electorates","Female",2406
"Level 2 Certificate","Botany","North Island general electorates","Female",2007
"Level 3 Certificate","Botany","North Island general electorates","Female",2487
"Level 4 Certificate","Botany","North Island general electorates","Female",1041
"Level 5 or Level 6 Diploma(1)","Botany","North Island general electorates","Female",2310
"Bachelor Degree and Level 7 Qualification","Botany","North Island general electorates","Female",4395
"Post-graduate and Honours Degrees","Botany","North Island general electorates","Female",678
"Masters Degree","Botany","North Island general electorates","Female",717
"Doctorate Degree","Botany","North Island general electorates","Female",84
"Overseas Secondary School Qualification","Botany","North Island general electorates","Female",4053
"Not Elsewhere Included(3)","Botany","North Island general electorates","Female",2199
"No Qualification","Coromandel","North Island general electorates","Female",6978
"Level 1 Certificate","Coromandel","North Island general electorates","Female",4821
"Level 2 Certificate","Coromandel","North Island general electorates","Female",2913
"Level 3 Certificate","Coromandel","North Island general electorates","Female",1599
"Level 4 Certificate","Coromandel","North Island general electorates","Female",1437
"Level 5 or Level 6 Diploma(1)","Coromandel","North Island general electorates","Female",2772
"Bachelor Degree and Level 7 Qualification","Coromandel","North Island general electorates","Female",2088
"Post-graduate and Honours Degrees","Coromandel","North Island general electorates","Female",399
"Masters Degree","Coromandel","North Island general electorates","Female",300
"Doctorate Degree","Coromandel","North Island general electorates","Female",39
"Overseas Secondary School Qualification","Coromandel","North Island general electorates","Female",1323
"Not Elsewhere Included(3)","Coromandel","North Island general electorates","Female",3132
"No Qualification","East Coast","North Island general electorates","Female",8709
"Level 1 Certificate","East Coast","North Island general electorates","Female",5613
"Level 2 Certificate","East Coast","North Island general electorates","Female",3939
"Level 3 Certificate","East Coast","North Island general electorates","Female",2724
"Level 4 Certificate","East Coast","North Island general electorates","Female",2061
"Level 5 or Level 6 Diploma(1)","East Coast","North Island general electorates","Female",3318
"Bachelor Degree and Level 7 Qualification","East Coast","North Island general electorates","Female",3492
"Post-graduate and Honours Degrees","East Coast","North Island general electorates","Female",684
"Masters Degree","East Coast","North Island general electorates","Female",384
"Doctorate Degree","East Coast","North Island general electorates","Female",51
"Overseas Secondary School Qualification","East Coast","North Island general electorates","Female",1056
"Not Elsewhere Included(3)","East Coast","North Island general electorates","Female",5769
"No Qualification","East Coast Bays","North Island general electorates","Female",2514
"Level 1 Certificate","East Coast Bays","North Island general electorates","Female",2349
"Level 2 Certificate","East Coast Bays","North Island general electorates","Female",2127
"Level 3 Certificate","East Coast Bays","North Island general electorates","Female",2457
