"level0","level1","Legally registered relationship status(1)","count"
"Upper Harbour","North Island general electorates","Separated(2)",1434
"Waikato","North Island general electorates","Separated(2)",1899
"Wairarapa","North Island general electorates","Separated(2)",1995
"Wellington Central","North Island general electorates","Separated(2)",1116
"Whanganui","North Island general electorates","Separated(2)",2196
"Whangarei","North Island general electorates","Separated(2)",2067
"Christchurch Central","South Island general electorates","Separated(2)",2115
"Christchurch East","South Island general electorates","Separated(2)",2025
"Clutha-Southland","South Island general electorates","Separated(2)",1452
"Dunedin North","South Island general electorates","Separated(2)",1329
"Dunedin South","South Island general electorates","Separated(2)",1614
"Ilam","South Island general electorates","Separated(2)",1371
"Invercargill","South Island general electorates","Separated(2)",1662
"Kaikoura","South Island general electorates","Separated(2)",1557
"Nelson","South Island general electorates","Separated(2)",1857
"Port Hills","South Island general electorates","Separated(2)",1671
"Rangitata","South Island general electorates","Separated(2)",1731
"Selwyn","South Island general electorates","Separated(2)",1296
"Waimakariri","South Island general electorates","Separated(2)",1587
"Waitaki","South Island general electorates","Separated(2)",1554
"West Coast-Tasman","South Island general electorates","Separated(2)",1680
"Wigram","South Island general electorates","Separated(2)",1620
"Area Outside General Electorate","South Island general electorates","Separated(2)",NA
"Auckland Central","North Island general electorates","Divorced or dissolved(3)",3708
"Bay of Plenty","North Island general electorates","Divorced or dissolved(3)",4023
"Botany","North Island general electorates","Divorced or dissolved(3)",2379
"Coromandel","North Island general electorates","Divorced or dissolved(3)",5004
"East Coast","North Island general electorates","Divorced or dissolved(3)",4950
"East Coast Bays","North Island general electorates","Divorced or dissolved(3)",3063
"Epsom","North Island general electorates","Divorced or dissolved(3)",3216
"Hamilton East","North Island general electorates","Divorced or dissolved(3)",3588
"Hamilton West","North Island general electorates","Divorced or dissolved(3)",4161
"Helensville","North Island general electorates","Divorced or dissolved(3)",3501
"Hunua","North Island general electorates","Divorced or dissolved(3)",3432
"Hutt South","North Island general electorates","Divorced or dissolved(3)",3843
"Kelston","North Island general electorates","Divorced or dissolved(3)",3363
"Mana","North Island general electorates","Divorced or dissolved(3)",3531
"Mangere","North Island general electorates","Divorced or dissolved(3)",1839
"Manukau East","North Island general electorates","Divorced or dissolved(3)",2397
"Manurewa","North Island general electorates","Divorced or dissolved(3)",2748
"Maungakiekie","North Island general electorates","Divorced or dissolved(3)",3669
"Mt Albert","North Island general electorates","Divorced or dissolved(3)",3507
"Mt Roskill","North Island general electorates","Divorced or dissolved(3)",2769
"Napier","North Island general electorates","Divorced or dissolved(3)",4800
"New Lynn","North Island general electorates","Divorced or dissolved(3)",3060
"New Plymouth","North Island general electorates","Divorced or dissolved(3)",4416
"North Shore","North Island general electorates","Divorced or dissolved(3)",3867
"Northcote","North Island general electorates","Divorced or dissolved(3)",3720
"Northland","North Island general electorates","Divorced or dissolved(3)",5307
"Ohariu","North Island general electorates","Divorced or dissolved(3)",2982
"Otaki","North Island general electorates","Divorced or dissolved(3)",4671
"Pakuranga","North Island general electorates","Divorced or dissolved(3)",3237
"Palmerston North","North Island general electorates","Divorced or dissolved(3)",3873
"Papakura","North Island general electorates","Divorced or dissolved(3)",3510
"Rangitikei","North Island general electorates","Divorced or dissolved(3)",3852
"Rimutaka","North Island general electorates","Divorced or dissolved(3)",4059
"Rodney","North Island general electorates","Divorced or dissolved(3)",4296
"Rongotai","North Island general electorates","Divorced or dissolved(3)",3321
"Rotorua","North Island general electorates","Divorced or dissolved(3)",4287
