"level0","level1","level2","Unpaid activities(1)","count"
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Te Atatu","North Island general electorates","Male",17538
"Looking After a Child Who is a Member of Own Household","Te Atatu","North Island general electorates","Male",6456
"Looking After a Member of Own Household Who is Ill or Has a Disability","Te Atatu","North Island general electorates","Male",1479
"Looking After a Child Who Does Not Live in Own Household","Te Atatu","North Island general electorates","Male",2211
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Te Atatu","North Island general electorates","Male",1179
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Te Atatu","North Island general electorates","Male",2502
"Not Elsewhere Included(3)","Te Atatu","North Island general electorates","Male",3069
"No Activities","Tukituki","North Island general electorates","Male",3582
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Tukituki","North Island general electorates","Male",18906
"Looking After a Child Who is a Member of Own Household","Tukituki","North Island general electorates","Male",6609
"Looking After a Member of Own Household Who is Ill or Has a Disability","Tukituki","North Island general electorates","Male",1608
"Looking After a Child Who Does Not Live in Own Household","Tukituki","North Island general electorates","Male",2820
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Tukituki","North Island general electorates","Male",1602
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Tukituki","North Island general electorates","Male",3264
"Not Elsewhere Included(3)","Tukituki","North Island general electorates","Male",3678
"No Activities","Upper Harbour","North Island general electorates","Male",3306
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Upper Harbour","North Island general electorates","Male",18402
"Looking After a Child Who is a Member of Own Household","Upper Harbour","North Island general electorates","Male",6720
"Looking After a Member of Own Household Who is Ill or Has a Disability","Upper Harbour","North Island general electorates","Male",1296
"Looking After a Child Who Does Not Live in Own Household","Upper Harbour","North Island general electorates","Male",2151
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Upper Harbour","North Island general electorates","Male",1008
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Upper Harbour","North Island general electorates","Male",2328
"Not Elsewhere Included(3)","Upper Harbour","North Island general electorates","Male",2616
"No Activities","Waikato","North Island general electorates","Male",3594
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Waikato","North Island general electorates","Male",19896
"Looking After a Child Who is a Member of Own Household","Waikato","North Island general electorates","Male",7029
"Looking After a Member of Own Household Who is Ill or Has a Disability","Waikato","North Island general electorates","Male",1578
"Looking After a Child Who Does Not Live in Own Household","Waikato","North Island general electorates","Male",2814
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Waikato","North Island general electorates","Male",1509
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Waikato","North Island general electorates","Male",3477
"Not Elsewhere Included(3)","Waikato","North Island general electorates","Male",3528
"No Activities","Wairarapa","North Island general electorates","Male",3372
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Wairarapa","North Island general electorates","Male",18909
"Looking After a Child Who is a Member of Own Household","Wairarapa","North Island general electorates","Male",5949
"Looking After a Member of Own Household Who is Ill or Has a Disability","Wairarapa","North Island general electorates","Male",1410
"Looking After a Child Who Does Not Live in Own Household","Wairarapa","North Island general electorates","Male",2808
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Wairarapa","North Island general electorates","Male",1674
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Wairarapa","North Island general electorates","Male",3927
"Not Elsewhere Included(3)","Wairarapa","North Island general electorates","Male",2574
"No Activities","Wellington Central","North Island general electorates","Male",2970
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Wellington Central","North Island general electorates","Male",20976
"Looking After a Child Who is a Member of Own Household","Wellington Central","North Island general electorates","Male",4344
"Looking After a Member of Own Household Who is Ill or Has a Disability","Wellington Central","North Island general electorates","Male",966
"Looking After a Child Who Does Not Live in Own Household","Wellington Central","North Island general electorates","Male",1992
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Wellington Central","North Island general electorates","Male",1299
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Wellington Central","North Island general electorates","Male",3684
"Not Elsewhere Included(3)","Wellington Central","North Island general electorates","Male",2238
"No Activities","Whanganui","North Island general electorates","Male",3582
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Whanganui","North Island general electorates","Male",19365
"Looking After a Child Who is a Member of Own Household","Whanganui","North Island general electorates","Male",6120
"Looking After a Member of Own Household Who is Ill or Has a Disability","Whanganui","North Island general electorates","Male",1587
"Looking After a Child Who Does Not Live in Own Household","Whanganui","North Island general electorates","Male",2997
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Whanganui","North Island general electorates","Male",1752
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Whanganui","North Island general electorates","Male",3711
"Not Elsewhere Included(3)","Whanganui","North Island general electorates","Male",3492
"No Activities","Whangarei","North Island general electorates","Male",3237
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Whangarei","North Island general electorates","Male",19587
"Looking After a Child Who is a Member of Own Household","Whangarei","North Island general electorates","Male",6345
"Looking After a Member of Own Household Who is Ill or Has a Disability","Whangarei","North Island general electorates","Male",1662
"Looking After a Child Who Does Not Live in Own Household","Whangarei","North Island general electorates","Male",2910
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Whangarei","North Island general electorates","Male",1803
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Whangarei","North Island general electorates","Male",3576
"Not Elsewhere Included(3)","Whangarei","North Island general electorates","Male",3456
"No Activities","Christchurch Central","South Island general electorates","Male",3456
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Christchurch Central","South Island general electorates","Male",19581
"Looking After a Child Who is a Member of Own Household","Christchurch Central","South Island general electorates","Male",5271
"Looking After a Member of Own Household Who is Ill or Has a Disability","Christchurch Central","South Island general electorates","Male",1266
"Looking After a Child Who Does Not Live in Own Household","Christchurch Central","South Island general electorates","Male",2445
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Christchurch Central","South Island general electorates","Male",1566
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Christchurch Central","South Island general electorates","Male",2583
"Not Elsewhere Included(3)","Christchurch Central","South Island general electorates","Male",2883
"No Activities","Christchurch East","South Island general electorates","Male",3267
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Christchurch East","South Island general electorates","Male",18471
"Looking After a Child Who is a Member of Own Household","Christchurch East","South Island general electorates","Male",6327
"Looking After a Member of Own Household Who is Ill or Has a Disability","Christchurch East","South Island general electorates","Male",1488
"Looking After a Child Who Does Not Live in Own Household","Christchurch East","South Island general electorates","Male",2772
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Christchurch East","South Island general electorates","Male",1542
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Christchurch East","South Island general electorates","Male",2565
"Not Elsewhere Included(3)","Christchurch East","South Island general electorates","Male",2835
"No Activities","Clutha-Southland","South Island general electorates","Male",3453
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Clutha-Southland","South Island general electorates","Male",19197
"Looking After a Child Who is a Member of Own Household","Clutha-Southland","South Island general electorates","Male",6042
"Looking After a Member of Own Household Who is Ill or Has a Disability","Clutha-Southland","South Island general electorates","Male",1089
"Looking After a Child Who Does Not Live in Own Household","Clutha-Southland","South Island general electorates","Male",2307
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Clutha-Southland","South Island general electorates","Male",1245
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Clutha-Southland","South Island general electorates","Male",3891
"Not Elsewhere Included(3)","Clutha-Southland","South Island general electorates","Male",3018
"No Activities","Dunedin North","South Island general electorates","Male",3471
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Dunedin North","South Island general electorates","Male",18810
"Looking After a Child Who is a Member of Own Household","Dunedin North","South Island general electorates","Male",4632
"Looking After a Member of Own Household Who is Ill or Has a Disability","Dunedin North","South Island general electorates","Male",1266
"Looking After a Child Who Does Not Live in Own Household","Dunedin North","South Island general electorates","Male",2217
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Dunedin North","South Island general electorates","Male",1551
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Dunedin North","South Island general electorates","Male",3525
"Not Elsewhere Included(3)","Dunedin North","South Island general electorates","Male",2472
"No Activities","Dunedin South","South Island general electorates","Male",2733
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Dunedin South","South Island general electorates","Male",17709
"Looking After a Child Who is a Member of Own Household","Dunedin South","South Island general electorates","Male",5697
"Looking After a Member of Own Household Who is Ill or Has a Disability","Dunedin South","South Island general electorates","Male",1326
"Looking After a Child Who Does Not Live in Own Household","Dunedin South","South Island general electorates","Male",2523
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Dunedin South","South Island general electorates","Male",1503
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Dunedin South","South Island general electorates","Male",3231
"Not Elsewhere Included(3)","Dunedin South","South Island general electorates","Male",2157
"No Activities","Ilam","South Island general electorates","Male",3243
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Ilam","South Island general electorates","Male",18972
"Looking After a Child Who is a Member of Own Household","Ilam","South Island general electorates","Male",5472
"Looking After a Member of Own Household Who is Ill or Has a Disability","Ilam","South Island general electorates","Male",1149
"Looking After a Child Who Does Not Live in Own Household","Ilam","South Island general electorates","Male",2187
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Ilam","South Island general electorates","Male",1437
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Ilam","South Island general electorates","Male",3240
"Not Elsewhere Included(3)","Ilam","South Island general electorates","Male",1746
"No Activities","Invercargill","South Island general electorates","Male",3186
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Invercargill","South Island general electorates","Male",18234
"Looking After a Child Who is a Member of Own Household","Invercargill","South Island general electorates","Male",5946
"Looking After a Member of Own Household Who is Ill or Has a Disability","Invercargill","South Island general electorates","Male",1281
"Looking After a Child Who Does Not Live in Own Household","Invercargill","South Island general electorates","Male",2832
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Invercargill","South Island general electorates","Male",1512
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Invercargill","South Island general electorates","Male",3222
"Not Elsewhere Included(3)","Invercargill","South Island general electorates","Male",2463
"No Activities","Kaikoura","South Island general electorates","Male",3009
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Kaikoura","South Island general electorates","Male",18966
"Looking After a Child Who is a Member of Own Household","Kaikoura","South Island general electorates","Male",5487
"Looking After a Member of Own Household Who is Ill or Has a Disability","Kaikoura","South Island general electorates","Male",1254
"Looking After a Child Who Does Not Live in Own Household","Kaikoura","South Island general electorates","Male",2325
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Kaikoura","South Island general electorates","Male",1575
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Kaikoura","South Island general electorates","Male",3669
"Not Elsewhere Included(3)","Kaikoura","South Island general electorates","Male",2388
"No Activities","Nelson","South Island general electorates","Male",2913
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Nelson","South Island general electorates","Male",18675
"Looking After a Child Who is a Member of Own Household","Nelson","South Island general electorates","Male",5904
"Looking After a Member of Own Household Who is Ill or Has a Disability","Nelson","South Island general electorates","Male",1251
"Looking After a Child Who Does Not Live in Own Household","Nelson","South Island general electorates","Male",2619
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Nelson","South Island general electorates","Male",1578
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Nelson","South Island general electorates","Male",3441
"Not Elsewhere Included(3)","Nelson","South Island general electorates","Male",2052
"No Activities","Port Hills","South Island general electorates","Male",2715
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Port Hills","South Island general electorates","Male",19836
"Looking After a Child Who is a Member of Own Household","Port Hills","South Island general electorates","Male",6519
"Looking After a Member of Own Household Who is Ill or Has a Disability","Port Hills","South Island general electorates","Male",1323
"Looking After a Child Who Does Not Live in Own Household","Port Hills","South Island general electorates","Male",2736
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Port Hills","South Island general electorates","Male",1602
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Port Hills","South Island general electorates","Male",3339
"Not Elsewhere Included(3)","Port Hills","South Island general electorates","Male",2133
"No Activities","Rangitata","South Island general electorates","Male",3366
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Rangitata","South Island general electorates","Male",18477
"Looking After a Child Who is a Member of Own Household","Rangitata","South Island general electorates","Male",5649
"Looking After a Member of Own Household Who is Ill or Has a Disability","Rangitata","South Island general electorates","Male",1170
"Looking After a Child Who Does Not Live in Own Household","Rangitata","South Island general electorates","Male",2445
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Rangitata","South Island general electorates","Male",1386
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Rangitata","South Island general electorates","Male",3408
"Not Elsewhere Included(3)","Rangitata","South Island general electorates","Male",2430
"No Activities","Selwyn","South Island general electorates","Male",3084
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Selwyn","South Island general electorates","Male",18234
"Looking After a Child Who is a Member of Own Household","Selwyn","South Island general electorates","Male",6504
"Looking After a Member of Own Household Who is Ill or Has a Disability","Selwyn","South Island general electorates","Male",1101
"Looking After a Child Who Does Not Live in Own Household","Selwyn","South Island general electorates","Male",2334
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Selwyn","South Island general electorates","Male",1170
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Selwyn","South Island general electorates","Male",3264
"Not Elsewhere Included(3)","Selwyn","South Island general electorates","Male",1830
"No Activities","Waimakariri","South Island general electorates","Male",2823
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Waimakariri","South Island general electorates","Male",17889
"Looking After a Child Who is a Member of Own Household","Waimakariri","South Island general electorates","Male",5889
"Looking After a Member of Own Household Who is Ill or Has a Disability","Waimakariri","South Island general electorates","Male",1248
"Looking After a Child Who Does Not Live in Own Household","Waimakariri","South Island general electorates","Male",2400
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Waimakariri","South Island general electorates","Male",1296
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Waimakariri","South Island general electorates","Male",2685
"Not Elsewhere Included(3)","Waimakariri","South Island general electorates","Male",1740
"No Activities","Waitaki","South Island general electorates","Male",3249
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Waitaki","South Island general electorates","Male",19338
"Looking After a Child Who is a Member of Own Household","Waitaki","South Island general electorates","Male",5550
"Looking After a Member of Own Household Who is Ill or Has a Disability","Waitaki","South Island general electorates","Male",1110
"Looking After a Child Who Does Not Live in Own Household","Waitaki","South Island general electorates","Male",2406
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Waitaki","South Island general electorates","Male",1449
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Waitaki","South Island general electorates","Male",4362
"Not Elsewhere Included(3)","Waitaki","South Island general electorates","Male",2502
"No Activities","West Coast-Tasman","South Island general electorates","Male",3006
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","West Coast-Tasman","South Island general electorates","Male",18636
"Looking After a Child Who is a Member of Own Household","West Coast-Tasman","South Island general electorates","Male",5640
"Looking After a Member of Own Household Who is Ill or Has a Disability","West Coast-Tasman","South Island general electorates","Male",1299
"Looking After a Child Who Does Not Live in Own Household","West Coast-Tasman","South Island general electorates","Male",2523
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","West Coast-Tasman","South Island general electorates","Male",1554
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","West Coast-Tasman","South Island general electorates","Male",3816
"Not Elsewhere Included(3)","West Coast-Tasman","South Island general electorates","Male",2664
"No Activities","Wigram","South Island general electorates","Male",3690
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Wigram","South Island general electorates","Male",18000
"Looking After a Child Who is a Member of Own Household","Wigram","South Island general electorates","Male",4848
"Looking After a Member of Own Household Who is Ill or Has a Disability","Wigram","South Island general electorates","Male",1218
"Looking After a Child Who Does Not Live in Own Household","Wigram","South Island general electorates","Male",2055
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Wigram","South Island general electorates","Male",1302
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Wigram","South Island general electorates","Male",2490
"Not Elsewhere Included(3)","Wigram","South Island general electorates","Male",2601
"No Activities","Area Outside General Electorate","South Island general electorates","Male",NA
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Area Outside General Electorate","South Island general electorates","Male",NA
"Looking After a Child Who is a Member of Own Household","Area Outside General Electorate","South Island general electorates","Male",NA
"Looking After a Member of Own Household Who is Ill or Has a Disability","Area Outside General Electorate","South Island general electorates","Male",NA
"Looking After a Child Who Does Not Live in Own Household","Area Outside General Electorate","South Island general electorates","Male",NA
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Area Outside General Electorate","South Island general electorates","Male",NA
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Area Outside General Electorate","South Island general electorates","Male",NA
"Not Elsewhere Included(3)","Area Outside General Electorate","South Island general electorates","Male",NA
"No Activities","Auckland Central","North Island general electorates","Female",3309
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Auckland Central","North Island general electorates","Female",19602
"Looking After a Child Who is a Member of Own Household","Auckland Central","North Island general electorates","Female",4182
"Looking After a Member of Own Household Who is Ill or Has a Disability","Auckland Central","North Island general electorates","Female",1026
"Looking After a Child Who Does Not Live in Own Household","Auckland Central","North Island general electorates","Female",2916
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Auckland Central","North Island general electorates","Female",1728
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Auckland Central","North Island general electorates","Female",3144
"Not Elsewhere Included(3)","Auckland Central","North Island general electorates","Female",3534
"No Activities","Bay of Plenty","North Island general electorates","Female",1779
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Bay of Plenty","North Island general electorates","Female",22221
"Looking After a Child Who is a Member of Own Household","Bay of Plenty","North Island general electorates","Female",8703
"Looking After a Member of Own Household Who is Ill or Has a Disability","Bay of Plenty","North Island general electorates","Female",2214
"Looking After a Child Who Does Not Live in Own Household","Bay of Plenty","North Island general electorates","Female",5223
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Bay of Plenty","North Island general electorates","Female",2955
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Bay of Plenty","North Island general electorates","Female",4011
"Not Elsewhere Included(3)","Bay of Plenty","North Island general electorates","Female",2316
"No Activities","Botany","North Island general electorates","Female",2571
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Botany","North Island general electorates","Female",20769
"Looking After a Child Who is a Member of Own Household","Botany","North Island general electorates","Female",8595
"Looking After a Member of Own Household Who is Ill or Has a Disability","Botany","North Island general electorates","Female",1830
"Looking After a Child Who Does Not Live in Own Household","Botany","North Island general electorates","Female",3036
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Botany","North Island general electorates","Female",1566
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Botany","North Island general electorates","Female",2811
"Not Elsewhere Included(3)","Botany","North Island general electorates","Female",2211
"No Activities","Coromandel","North Island general electorates","Female",2040
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Coromandel","North Island general electorates","Female",22317
"Looking After a Child Who is a Member of Own Household","Coromandel","North Island general electorates","Female",7272
"Looking After a Member of Own Household Who is Ill or Has a Disability","Coromandel","North Island general electorates","Female",2277
"Looking After a Child Who Does Not Live in Own Household","Coromandel","North Island general electorates","Female",4875
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Coromandel","North Island general electorates","Female",3279
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Coromandel","North Island general electorates","Female",5196
"Not Elsewhere Included(3)","Coromandel","North Island general electorates","Female",2850
"No Activities","East Coast","North Island general electorates","Female",2736
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","East Coast","North Island general electorates","Female",29040
"Looking After a Child Who is a Member of Own Household","East Coast","North Island general electorates","Female",12786
"Looking After a Member of Own Household Who is Ill or Has a Disability","East Coast","North Island general electorates","Female",4014
"Looking After a Child Who Does Not Live in Own Household","East Coast","North Island general electorates","Female",8139
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","East Coast","North Island general electorates","Female",4770
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","East Coast","North Island general electorates","Female",7347
"Not Elsewhere Included(3)","East Coast","North Island general electorates","Female",5130
"No Activities","East Coast Bays","North Island general electorates","Female",2430
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","East Coast Bays","North Island general electorates","Female",20193
"Looking After a Child Who is a Member of Own Household","East Coast Bays","North Island general electorates","Female",7992
"Looking After a Member of Own Household Who is Ill or Has a Disability","East Coast Bays","North Island general electorates","Female",1377
"Looking After a Child Who Does Not Live in Own Household","East Coast Bays","North Island general electorates","Female",3477
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","East Coast Bays","North Island general electorates","Female",1773
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","East Coast Bays","North Island general electorates","Female",2886
"Not Elsewhere Included(3)","East Coast Bays","North Island general electorates","Female",1989
"No Activities","Epsom","North Island general electorates","Female",2559
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Epsom","North Island general electorates","Female",21216
"Looking After a Child Who is a Member of Own Household","Epsom","North Island general electorates","Female",7533
"Looking After a Member of Own Household Who is Ill or Has a Disability","Epsom","North Island general electorates","Female",1443
"Looking After a Child Who Does Not Live in Own Household","Epsom","North Island general electorates","Female",3492
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Epsom","North Island general electorates","Female",2310
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Epsom","North Island general electorates","Female",3930
"Not Elsewhere Included(3)","Epsom","North Island general electorates","Female",2433
"No Activities","Hamilton East","North Island general electorates","Female",2442
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Hamilton East","North Island general electorates","Female",23883
"Looking After a Child Who is a Member of Own Household","Hamilton East","North Island general electorates","Female",9120
"Looking After a Member of Own Household Who is Ill or Has a Disability","Hamilton East","North Island general electorates","Female",2271
"Looking After a Child Who Does Not Live in Own Household","Hamilton East","North Island general electorates","Female",5427
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Hamilton East","North Island general electorates","Female",3045
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Hamilton East","North Island general electorates","Female",4560
"Not Elsewhere Included(3)","Hamilton East","North Island general electorates","Female",2928
"No Activities","Hamilton West","North Island general electorates","Female",2025
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Hamilton West","North Island general electorates","Female",23700
"Looking After a Child Who is a Member of Own Household","Hamilton West","North Island general electorates","Female",9699
"Looking After a Member of Own Household Who is Ill or Has a Disability","Hamilton West","North Island general electorates","Female",2604
"Looking After a Child Who Does Not Live in Own Household","Hamilton West","North Island general electorates","Female",5919
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Hamilton West","North Island general electorates","Female",3174
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Hamilton West","North Island general electorates","Female",4314
"Not Elsewhere Included(3)","Hamilton West","North Island general electorates","Female",2748
"No Activities","Helensville","North Island general electorates","Female",1263
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Helensville","North Island general electorates","Female",20145
"Looking After a Child Who is a Member of Own Household","Helensville","North Island general electorates","Female",8562
"Looking After a Member of Own Household Who is Ill or Has a Disability","Helensville","North Island general electorates","Female",1878
"Looking After a Child Who Does Not Live in Own Household","Helensville","North Island general electorates","Female",4380
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Helensville","North Island general electorates","Female",2433
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Helensville","North Island general electorates","Female",3552
"Not Elsewhere Included(3)","Helensville","North Island general electorates","Female",2232
"No Activities","Hunua","North Island general electorates","Female",1689
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Hunua","North Island general electorates","Female",21234
"Looking After a Child Who is a Member of Own Household","Hunua","North Island general electorates","Female",9147
"Looking After a Member of Own Household Who is Ill or Has a Disability","Hunua","North Island general electorates","Female",2007
"Looking After a Child Who Does Not Live in Own Household","Hunua","North Island general electorates","Female",4566
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Hunua","North Island general electorates","Female",2445
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Hunua","North Island general electorates","Female",3651
"Not Elsewhere Included(3)","Hunua","North Island general electorates","Female",2280
"No Activities","Hutt South","North Island general electorates","Female",1911
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Hutt South","North Island general electorates","Female",23643
"Looking After a Child Who is a Member of Own Household","Hutt South","North Island general electorates","Female",9516
"Looking After a Member of Own Household Who is Ill or Has a Disability","Hutt South","North Island general electorates","Female",2223
"Looking After a Child Who Does Not Live in Own Household","Hutt South","North Island general electorates","Female",5586
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Hutt South","North Island general electorates","Female",2982
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Hutt South","North Island general electorates","Female",4524
"Not Elsewhere Included(3)","Hutt South","North Island general electorates","Female",2400
"No Activities","Kelston","North Island general electorates","Female",2217
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Kelston","North Island general electorates","Female",19611
"Looking After a Child Who is a Member of Own Household","Kelston","North Island general electorates","Female",8688
"Looking After a Member of Own Household Who is Ill or Has a Disability","Kelston","North Island general electorates","Female",2232
"Looking After a Child Who Does Not Live in Own Household","Kelston","North Island general electorates","Female",3915
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Kelston","North Island general electorates","Female",2124
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Kelston","North Island general electorates","Female",3114
"Not Elsewhere Included(3)","Kelston","North Island general electorates","Female",3150
"No Activities","Mana","North Island general electorates","Female",1821
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Mana","North Island general electorates","Female",22440
"Looking After a Child Who is a Member of Own Household","Mana","North Island general electorates","Female",10044
"Looking After a Member of Own Household Who is Ill or Has a Disability","Mana","North Island general electorates","Female",2634
"Looking After a Child Who Does Not Live in Own Household","Mana","North Island general electorates","Female",5685
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Mana","North Island general electorates","Female",3132
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Mana","North Island general electorates","Female",4548
"Not Elsewhere Included(3)","Mana","North Island general electorates","Female",2925
"No Activities","Mangere","North Island general electorates","Female",2499
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Mangere","North Island general electorates","Female",17091
"Looking After a Child Who is a Member of Own Household","Mangere","North Island general electorates","Female",8751
"Looking After a Member of Own Household Who is Ill or Has a Disability","Mangere","North Island general electorates","Female",2847
"Looking After a Child Who Does Not Live in Own Household","Mangere","North Island general electorates","Female",3642
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Mangere","North Island general electorates","Female",2046
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Mangere","North Island general electorates","Female",2898
"Not Elsewhere Included(3)","Mangere","North Island general electorates","Female",4374
