"level0","level1","level2","Age group and sex","count"
"15–19 Years","Rodney","North Island general electorates","Male",2016
"20–24 Years","Rodney","North Island general electorates","Male",1443
"25–29 Years","Rodney","North Island general electorates","Male",1077
"30–34 Years","Rodney","North Island general electorates","Male",1290
"35–39 Years","Rodney","North Island general electorates","Male",1515
"40–44 Years","Rodney","North Island general electorates","Male",2124
"45–49 Years","Rodney","North Island general electorates","Male",2223
"50–54 Years","Rodney","North Island general electorates","Male",2148
"55–59 Years","Rodney","North Island general electorates","Male",1809
"60–64 Years","Rodney","North Island general electorates","Male",1869
"65–69 Years","Rodney","North Island general electorates","Male",1959
"70–74 Years","Rodney","North Island general electorates","Male",1659
"75–79 Years","Rodney","North Island general electorates","Male",1125
"80–84 Years","Rodney","North Island general electorates","Male",918
"85 Years And Over","Rodney","North Island general electorates","Male",708
"18 Years And Over","Rodney","North Island general electorates","Male",22614
"0–4 Years","Rongotai","North Island general electorates","Male",2217
"5–9 Years","Rongotai","North Island general electorates","Male",1989
"10–14 Years","Rongotai","North Island general electorates","Male",1794
"15–19 Years","Rongotai","North Island general electorates","Male",1842
"20–24 Years","Rongotai","North Island general electorates","Male",2598
"25–29 Years","Rongotai","North Island general electorates","Male",2454
"30–34 Years","Rongotai","North Island general electorates","Male",2478
"35–39 Years","Rongotai","North Island general electorates","Male",2457
"40–44 Years","Rongotai","North Island general electorates","Male",2445
"45–49 Years","Rongotai","North Island general electorates","Male",2298
"50–54 Years","Rongotai","North Island general electorates","Male",2115
"55–59 Years","Rongotai","North Island general electorates","Male",1614
"60–64 Years","Rongotai","North Island general electorates","Male",1404
"65–69 Years","Rongotai","North Island general electorates","Male",978
"70–74 Years","Rongotai","North Island general electorates","Male",717
"75–79 Years","Rongotai","North Island general electorates","Male",510
"80–84 Years","Rongotai","North Island general electorates","Male",402
"85 Years And Over","Rongotai","North Island general electorates","Male",312
"18 Years And Over","Rongotai","North Island general electorates","Male",23574
"0–4 Years","Rotorua","North Island general electorates","Male",2997
"5–9 Years","Rotorua","North Island general electorates","Male",2973
"10–14 Years","Rotorua","North Island general electorates","Male",3183
"15–19 Years","Rotorua","North Island general electorates","Male",2832
"20–24 Years","Rotorua","North Island general electorates","Male",2352
"25–29 Years","Rotorua","North Island general electorates","Male",2013
"30–34 Years","Rotorua","North Island general electorates","Male",1881
"35–39 Years","Rotorua","North Island general electorates","Male",2163
"40–44 Years","Rotorua","North Island general electorates","Male",2487
"45–49 Years","Rotorua","North Island general electorates","Male",2553
"50–54 Years","Rotorua","North Island general electorates","Male",2676
"55–59 Years","Rotorua","North Island general electorates","Male",2328
"60–64 Years","Rotorua","North Island general electorates","Male",2094
"65–69 Years","Rotorua","North Island general electorates","Male",1722
"70–74 Years","Rotorua","North Island general electorates","Male",1365
"75–79 Years","Rotorua","North Island general electorates","Male",900
"80–84 Years","Rotorua","North Island general electorates","Male",645
"85 Years And Over","Rotorua","North Island general electorates","Male",459
"18 Years And Over","Rotorua","North Island general electorates","Male",26583
"0–4 Years","Tamaki","North Island general electorates","Male",2076
"5–9 Years","Tamaki","North Island general electorates","Male",2181
"10–14 Years","Tamaki","North Island general electorates","Male",1986
"15–19 Years","Tamaki","North Island general electorates","Male",1797
"20–24 Years","Tamaki","North Island general electorates","Male",1686
"25–29 Years","Tamaki","North Island general electorates","Male",1650
"30–34 Years","Tamaki","North Island general electorates","Male",1725
"35–39 Years","Tamaki","North Island general electorates","Male",1896
"40–44 Years","Tamaki","North Island general electorates","Male",2133
"45–49 Years","Tamaki","North Island general electorates","Male",2106
"50–54 Years","Tamaki","North Island general electorates","Male",1926
"55–59 Years","Tamaki","North Island general electorates","Male",1764
"60–64 Years","Tamaki","North Island general electorates","Male",1641
"65–69 Years","Tamaki","North Island general electorates","Male",1311
"70–74 Years","Tamaki","North Island general electorates","Male",960
"75–79 Years","Tamaki","North Island general electorates","Male",624
"80–84 Years","Tamaki","North Island general electorates","Male",474
"85 Years And Over","Tamaki","North Island general electorates","Male",432
"18 Years And Over","Tamaki","North Island general electorates","Male",20979
"0–4 Years","Taranaki-King Country","North Island general electorates","Male",2562
"5–9 Years","Taranaki-King Country","North Island general electorates","Male",2673
"10–14 Years","Taranaki-King Country","North Island general electorates","Male",2625
"15–19 Years","Taranaki-King Country","North Island general electorates","Male",2343
"20–24 Years","Taranaki-King Country","North Island general electorates","Male",1785
"25–29 Years","Taranaki-King Country","North Island general electorates","Male",1659
"30–34 Years","Taranaki-King Country","North Island general electorates","Male",1809
"35–39 Years","Taranaki-King Country","North Island general electorates","Male",1971
"40–44 Years","Taranaki-King Country","North Island general electorates","Male",2337
"45–49 Years","Taranaki-King Country","North Island general electorates","Male",2412
"50–54 Years","Taranaki-King Country","North Island general electorates","Male",2622
"55–59 Years","Taranaki-King Country","North Island general electorates","Male",2349
"60–64 Years","Taranaki-King Country","North Island general electorates","Male",1989
"65–69 Years","Taranaki-King Country","North Island general electorates","Male",1647
"70–74 Years","Taranaki-King Country","North Island general electorates","Male",1218
"75–79 Years","Taranaki-King Country","North Island general electorates","Male",813
"80–84 Years","Taranaki-King Country","North Island general electorates","Male",516
"85 Years And Over","Taranaki-King Country","North Island general electorates","Male",357
"18 Years And Over","Taranaki-King Country","North Island general electorates","Male",24297
"0–4 Years","Taupo","North Island general electorates","Male",2748
"5–9 Years","Taupo","North Island general electorates","Male",2790
"10–14 Years","Taupo","North Island general electorates","Male",2724
"15–19 Years","Taupo","North Island general electorates","Male",2613
"20–24 Years","Taupo","North Island general electorates","Male",1914
"25–29 Years","Taupo","North Island general electorates","Male",1752
"30–34 Years","Taupo","North Island general electorates","Male",1824
"35–39 Years","Taupo","North Island general electorates","Male",2058
"40–44 Years","Taupo","North Island general electorates","Male",2502
"45–49 Years","Taupo","North Island general electorates","Male",2541
"50–54 Years","Taupo","North Island general electorates","Male",2682
"55–59 Years","Taupo","North Island general electorates","Male",2325
"60–64 Years","Taupo","North Island general electorates","Male",2043
"65–69 Years","Taupo","North Island general electorates","Male",1959
"70–74 Years","Taupo","North Island general electorates","Male",1593
"75–79 Years","Taupo","North Island general electorates","Male",1122
"80–84 Years","Taupo","North Island general electorates","Male",750
"85 Years And Over","Taupo","North Island general electorates","Male",447
"18 Years And Over","Taupo","North Island general electorates","Male",26394
"0–4 Years","Tauranga","North Island general electorates","Male",2079
"5–9 Years","Tauranga","North Island general electorates","Male",2091
"10–14 Years","Tauranga","North Island general electorates","Male",2211
"15–19 Years","Tauranga","North Island general electorates","Male",2019
"20–24 Years","Tauranga","North Island general electorates","Male",1716
"25–29 Years","Tauranga","North Island general electorates","Male",1653
"30–34 Years","Tauranga","North Island general electorates","Male",1563
"35–39 Years","Tauranga","North Island general electorates","Male",1746
"40–44 Years","Tauranga","North Island general electorates","Male",2004
"45–49 Years","Tauranga","North Island general electorates","Male",1956
"50–54 Years","Tauranga","North Island general electorates","Male",2073
"55–59 Years","Tauranga","North Island general electorates","Male",1812
"60–64 Years","Tauranga","North Island general electorates","Male",1698
"65–69 Years","Tauranga","North Island general electorates","Male",1581
"70–74 Years","Tauranga","North Island general electorates","Male",1314
"75–79 Years","Tauranga","North Island general electorates","Male",1038
"80–84 Years","Tauranga","North Island general electorates","Male",906
"85 Years And Over","Tauranga","North Island general electorates","Male",699
"18 Years And Over","Tauranga","North Island general electorates","Male",22425
"0–4 Years","Te Atatu","North Island general electorates","Male",3015
"5–9 Years","Te Atatu","North Island general electorates","Male",2496
"10–14 Years","Te Atatu","North Island general electorates","Male",2373
"15–19 Years","Te Atatu","North Island general electorates","Male",2448
"20–24 Years","Te Atatu","North Island general electorates","Male",2334
"25–29 Years","Te Atatu","North Island general electorates","Male",2067
"30–34 Years","Te Atatu","North Island general electorates","Male",2292
"35–39 Years","Te Atatu","North Island general electorates","Male",2364
"40–44 Years","Te Atatu","North Island general electorates","Male",2400
"45–49 Years","Te Atatu","North Island general electorates","Male",2208
"50–54 Years","Te Atatu","North Island general electorates","Male",2109
"55–59 Years","Te Atatu","North Island general electorates","Male",1677
"60–64 Years","Te Atatu","North Island general electorates","Male",1395
"65–69 Years","Te Atatu","North Island general electorates","Male",1152
"70–74 Years","Te Atatu","North Island general electorates","Male",867
"75–79 Years","Te Atatu","North Island general electorates","Male",663
"80–84 Years","Te Atatu","North Island general electorates","Male",492
"85 Years And Over","Te Atatu","North Island general electorates","Male",324
"18 Years And Over","Te Atatu","North Island general electorates","Male",23274
"0–4 Years","Tukituki","North Island general electorates","Male",2745
"5–9 Years","Tukituki","North Island general electorates","Male",2844
"10–14 Years","Tukituki","North Island general electorates","Male",2883
"15–19 Years","Tukituki","North Island general electorates","Male",2640
"20–24 Years","Tukituki","North Island general electorates","Male",1878
"25–29 Years","Tukituki","North Island general electorates","Male",1752
"30–34 Years","Tukituki","North Island general electorates","Male",1707
"35–39 Years","Tukituki","North Island general electorates","Male",1992
"40–44 Years","Tukituki","North Island general electorates","Male",2337
"45–49 Years","Tukituki","North Island general electorates","Male",2541
"50–54 Years","Tukituki","North Island general electorates","Male",2550
"55–59 Years","Tukituki","North Island general electorates","Male",2220
"60–64 Years","Tukituki","North Island general electorates","Male",2076
"65–69 Years","Tukituki","North Island general electorates","Male",1812
"70–74 Years","Tukituki","North Island general electorates","Male",1320
"75–79 Years","Tukituki","North Island general electorates","Male",927
"80–84 Years","Tukituki","North Island general electorates","Male",639
"85 Years And Over","Tukituki","North Island general electorates","Male",513
"18 Years And Over","Tukituki","North Island general electorates","Male",25107
"0–4 Years","Upper Harbour","North Island general electorates","Male",2736
"5–9 Years","Upper Harbour","North Island general electorates","Male",2448
"10–14 Years","Upper Harbour","North Island general electorates","Male",2331
"15–19 Years","Upper Harbour","North Island general electorates","Male",2424
"20–24 Years","Upper Harbour","North Island general electorates","Male",2538
"25–29 Years","Upper Harbour","North Island general electorates","Male",2406
"30–34 Years","Upper Harbour","North Island general electorates","Male",2496
"35–39 Years","Upper Harbour","North Island general electorates","Male",2244
"40–44 Years","Upper Harbour","North Island general electorates","Male",2472
"45–49 Years","Upper Harbour","North Island general electorates","Male",2283
"50–54 Years","Upper Harbour","North Island general electorates","Male",2115
"55–59 Years","Upper Harbour","North Island general electorates","Male",1725
"60–64 Years","Upper Harbour","North Island general electorates","Male",1479
"65–69 Years","Upper Harbour","North Island general electorates","Male",1113
"70–74 Years","Upper Harbour","North Island general electorates","Male",753
"75–79 Years","Upper Harbour","North Island general electorates","Male",483
"80–84 Years","Upper Harbour","North Island general electorates","Male",246
"85 Years And Over","Upper Harbour","North Island general electorates","Male",189
"18 Years And Over","Upper Harbour","North Island general electorates","Male",23496
"0–4 Years","Waikato","North Island general electorates","Male",2784
"5–9 Years","Waikato","North Island general electorates","Male",2934
"10–14 Years","Waikato","North Island general electorates","Male",3048
"15–19 Years","Waikato","North Island general electorates","Male",2664
"20–24 Years","Waikato","North Island general electorates","Male",2142
"25–29 Years","Waikato","North Island general electorates","Male",1872
"30–34 Years","Waikato","North Island general electorates","Male",1782
"35–39 Years","Waikato","North Island general electorates","Male",2076
"40–44 Years","Waikato","North Island general electorates","Male",2652
"45–49 Years","Waikato","North Island general electorates","Male",2679
"50–54 Years","Waikato","North Island general electorates","Male",2742
"55–59 Years","Waikato","North Island general electorates","Male",2367
"60–64 Years","Waikato","North Island general electorates","Male",2013
"65–69 Years","Waikato","North Island general electorates","Male",1725
"70–74 Years","Waikato","North Island general electorates","Male",1266
"75–79 Years","Waikato","North Island general electorates","Male",852
"80–84 Years","Waikato","North Island general electorates","Male",600
"85 Years And Over","Waikato","North Island general electorates","Male",402
"18 Years And Over","Waikato","North Island general electorates","Male",26079
"0–4 Years","Wairarapa","North Island general electorates","Male",2286
"5–9 Years","Wairarapa","North Island general electorates","Male",2340
"10–14 Years","Wairarapa","North Island general electorates","Male",2334
"15–19 Years","Wairarapa","North Island general electorates","Male",2178
"20–24 Years","Wairarapa","North Island general electorates","Male",1563
"25–29 Years","Wairarapa","North Island general electorates","Male",1335
"30–34 Years","Wairarapa","North Island general electorates","Male",1506
"35–39 Years","Wairarapa","North Island general electorates","Male",1737
"40–44 Years","Wairarapa","North Island general electorates","Male",2109
"45–49 Years","Wairarapa","North Island general electorates","Male",2205
"50–54 Years","Wairarapa","North Island general electorates","Male",2490
"55–59 Years","Wairarapa","North Island general electorates","Male",2442
"60–64 Years","Wairarapa","North Island general electorates","Male",2316
"65–69 Years","Wairarapa","North Island general electorates","Male",2040
"70–74 Years","Wairarapa","North Island general electorates","Male",1503
"75–79 Years","Wairarapa","North Island general electorates","Male",1053
"80–84 Years","Wairarapa","North Island general electorates","Male",717
"85 Years And Over","Wairarapa","North Island general electorates","Male",504
"18 Years And Over","Wairarapa","North Island general electorates","Male",24261
"0–4 Years","Wellington Central","North Island general electorates","Male",1242
"5–9 Years","Wellington Central","North Island general electorates","Male",1266
"10–14 Years","Wellington Central","North Island general electorates","Male",1299
"15–19 Years","Wellington Central","North Island general electorates","Male",2874
"20–24 Years","Wellington Central","North Island general electorates","Male",4812
"25–29 Years","Wellington Central","North Island general electorates","Male",3780
"30–34 Years","Wellington Central","North Island general electorates","Male",2940
"35–39 Years","Wellington Central","North Island general electorates","Male",2157
"40–44 Years","Wellington Central","North Island general electorates","Male",1905
"45–49 Years","Wellington Central","North Island general electorates","Male",1803
"50–54 Years","Wellington Central","North Island general electorates","Male",1653
"55–59 Years","Wellington Central","North Island general electorates","Male",1308
"60–64 Years","Wellington Central","North Island general electorates","Male",1254
"65–69 Years","Wellington Central","North Island general electorates","Male",942
"70–74 Years","Wellington Central","North Island general electorates","Male",567
"75–79 Years","Wellington Central","North Island general electorates","Male",345
"80–84 Years","Wellington Central","North Island general electorates","Male",261
"85 Years And Over","Wellington Central","North Island general electorates","Male",186
"18 Years And Over","Wellington Central","North Island general electorates","Male",25884
"0–4 Years","Whanganui","North Island general electorates","Male",2613
"5–9 Years","Whanganui","North Island general electorates","Male",2499
"10–14 Years","Whanganui","North Island general electorates","Male",2652
"15–19 Years","Whanganui","North Island general electorates","Male",2412
"20–24 Years","Whanganui","North Island general electorates","Male",2019
"25–29 Years","Whanganui","North Island general electorates","Male",1818
"30–34 Years","Whanganui","North Island general electorates","Male",1791
"35–39 Years","Whanganui","North Island general electorates","Male",1848
"40–44 Years","Whanganui","North Island general electorates","Male",2256
"45–49 Years","Whanganui","North Island general electorates","Male",2388
"50–54 Years","Whanganui","North Island general electorates","Male",2559
"55–59 Years","Whanganui","North Island general electorates","Male",2367
"60–64 Years","Whanganui","North Island general electorates","Male",2139
"65–69 Years","Whanganui","North Island general electorates","Male",1830
"70–74 Years","Whanganui","North Island general electorates","Male",1383
"75–79 Years","Whanganui","North Island general electorates","Male",1041
"80–84 Years","Whanganui","North Island general electorates","Male",834
"85 Years And Over","Whanganui","North Island general electorates","Male",591
"18 Years And Over","Whanganui","North Island general electorates","Male",25701
"0–4 Years","Whangarei","North Island general electorates","Male",2652
"5–9 Years","Whangarei","North Island general electorates","Male",2715
"10–14 Years","Whangarei","North Island general electorates","Male",2637
"15–19 Years","Whangarei","North Island general electorates","Male",2424
"20–24 Years","Whangarei","North Island general electorates","Male",1740
"25–29 Years","Whangarei","North Island general electorates","Male",1683
"30–34 Years","Whangarei","North Island general electorates","Male",1515
"35–39 Years","Whangarei","North Island general electorates","Male",1788
"40–44 Years","Whangarei","North Island general electorates","Male",2280
"45–49 Years","Whangarei","North Island general electorates","Male",2403
"50–54 Years","Whangarei","North Island general electorates","Male",2457
"55–59 Years","Whangarei","North Island general electorates","Male",2385
"60–64 Years","Whangarei","North Island general electorates","Male",2211
"65–69 Years","Whangarei","North Island general electorates","Male",2016
"70–74 Years","Whangarei","North Island general electorates","Male",1551
"75–79 Years","Whangarei","North Island general electorates","Male",1155
"80–84 Years","Whangarei","North Island general electorates","Male",807
"85 Years And Over","Whangarei","North Island general electorates","Male",600
"18 Years And Over","Whangarei","North Island general electorates","Male",25452
"0–4 Years","Christchurch Central","South Island general electorates","Male",2139
"5–9 Years","Christchurch Central","South Island general electorates","Male",1800
"10–14 Years","Christchurch Central","South Island general electorates","Male",1641
"15–19 Years","Christchurch Central","South Island general electorates","Male",1944
"20–24 Years","Christchurch Central","South Island general electorates","Male",3144
"25–29 Years","Christchurch Central","South Island general electorates","Male",3027
"30–34 Years","Christchurch Central","South Island general electorates","Male",2541
"35–39 Years","Christchurch Central","South Island general electorates","Male",2274
"40–44 Years","Christchurch Central","South Island general electorates","Male",2397
"45–49 Years","Christchurch Central","South Island general electorates","Male",2208
"50–54 Years","Christchurch Central","South Island general electorates","Male",2139
"55–59 Years","Christchurch Central","South Island general electorates","Male",1719
"60–64 Years","Christchurch Central","South Island general electorates","Male",1482
"65–69 Years","Christchurch Central","South Island general electorates","Male",1137
"70–74 Years","Christchurch Central","South Island general electorates","Male",852
"75–79 Years","Christchurch Central","South Island general electorates","Male",645
"80–84 Years","Christchurch Central","South Island general electorates","Male",525
"85 Years And Over","Christchurch Central","South Island general electorates","Male",543
"18 Years And Over","Christchurch Central","South Island general electorates","Male",25431
"0–4 Years","Christchurch East","South Island general electorates","Male",2310
"5–9 Years","Christchurch East","South Island general electorates","Male",2187
"10–14 Years","Christchurch East","South Island general electorates","Male",2106
"15–19 Years","Christchurch East","South Island general electorates","Male",2187
"20–24 Years","Christchurch East","South Island general electorates","Male",2025
"25–29 Years","Christchurch East","South Island general electorates","Male",1923
"30–34 Years","Christchurch East","South Island general electorates","Male",1983
"35–39 Years","Christchurch East","South Island general electorates","Male",2196
"40–44 Years","Christchurch East","South Island general electorates","Male",2496
"45–49 Years","Christchurch East","South Island general electorates","Male",2337
"50–54 Years","Christchurch East","South Island general electorates","Male",2364
"55–59 Years","Christchurch East","South Island general electorates","Male",2019
"60–64 Years","Christchurch East","South Island general electorates","Male",1794
"65–69 Years","Christchurch East","South Island general electorates","Male",1371
"70–74 Years","Christchurch East","South Island general electorates","Male",930
"75–79 Years","Christchurch East","South Island general electorates","Male",696
"80–84 Years","Christchurch East","South Island general electorates","Male",531
"85 Years And Over","Christchurch East","South Island general electorates","Male",405
"18 Years And Over","Christchurch East","South Island general electorates","Male",23928
"0–4 Years","Clutha-Southland","South Island general electorates","Male",2319
"5–9 Years","Clutha-Southland","South Island general electorates","Male",2208
"10–14 Years","Clutha-Southland","South Island general electorates","Male",2130
"15–19 Years","Clutha-Southland","South Island general electorates","Male",1950
"20–24 Years","Clutha-Southland","South Island general electorates","Male",1995
"25–29 Years","Clutha-Southland","South Island general electorates","Male",2238
"30–34 Years","Clutha-Southland","South Island general electorates","Male",2217
"35–39 Years","Clutha-Southland","South Island general electorates","Male",2313
"40–44 Years","Clutha-Southland","South Island general electorates","Male",2481
"45–49 Years","Clutha-Southland","South Island general electorates","Male",2364
"50–54 Years","Clutha-Southland","South Island general electorates","Male",2439
"55–59 Years","Clutha-Southland","South Island general electorates","Male",2190
"60–64 Years","Clutha-Southland","South Island general electorates","Male",1926
"65–69 Years","Clutha-Southland","South Island general electorates","Male",1557
"70–74 Years","Clutha-Southland","South Island general electorates","Male",1164
"75–79 Years","Clutha-Southland","South Island general electorates","Male",780
"80–84 Years","Clutha-Southland","South Island general electorates","Male",555
"85 Years And Over","Clutha-Southland","South Island general electorates","Male",357
"18 Years And Over","Clutha-Southland","South Island general electorates","Male",25296
"0–4 Years","Dunedin North","South Island general electorates","Male",1491
"5–9 Years","Dunedin North","South Island general electorates","Male",1422
"10–14 Years","Dunedin North","South Island general electorates","Male",1533
"15–19 Years","Dunedin North","South Island general electorates","Male",3951
"20–24 Years","Dunedin North","South Island general electorates","Male",4917
"25–29 Years","Dunedin North","South Island general electorates","Male",1869
"30–34 Years","Dunedin North","South Island general electorates","Male",1518
"35–39 Years","Dunedin North","South Island general electorates","Male",1485
"40–44 Years","Dunedin North","South Island general electorates","Male",1671
"45–49 Years","Dunedin North","South Island general electorates","Male",1683
"50–54 Years","Dunedin North","South Island general electorates","Male",1857
"55–59 Years","Dunedin North","South Island general electorates","Male",1674
"60–64 Years","Dunedin North","South Island general electorates","Male",1461
"65–69 Years","Dunedin North","South Island general electorates","Male",1167
"70–74 Years","Dunedin North","South Island general electorates","Male",837
"75–79 Years","Dunedin North","South Island general electorates","Male",576
"80–84 Years","Dunedin North","South Island general electorates","Male",450
"85 Years And Over","Dunedin North","South Island general electorates","Male",291
"18 Years And Over","Dunedin North","South Island general electorates","Male",24201
"0–4 Years","Dunedin South","South Island general electorates","Male",1896
"5–9 Years","Dunedin South","South Island general electorates","Male",1974
"10–14 Years","Dunedin South","South Island general electorates","Male",2040
"15–19 Years","Dunedin South","South Island general electorates","Male",1941
"20–24 Years","Dunedin South","South Island general electorates","Male",1452
"25–29 Years","Dunedin South","South Island general electorates","Male",1476
"30–34 Years","Dunedin South","South Island general electorates","Male",1545
"35–39 Years","Dunedin South","South Island general electorates","Male",1617
"40–44 Years","Dunedin South","South Island general electorates","Male",2040
"45–49 Years","Dunedin South","South Island general electorates","Male",2061
"50–54 Years","Dunedin South","South Island general electorates","Male",2247
"55–59 Years","Dunedin South","South Island general electorates","Male",2124
"60–64 Years","Dunedin South","South Island general electorates","Male",1791
"65–69 Years","Dunedin South","South Island general electorates","Male",1554
"70–74 Years","Dunedin South","South Island general electorates","Male",1173
"75–79 Years","Dunedin South","South Island general electorates","Male",903
"80–84 Years","Dunedin South","South Island general electorates","Male",708
"85 Years And Over","Dunedin South","South Island general electorates","Male",594
"18 Years And Over","Dunedin South","South Island general electorates","Male",21978
"0–4 Years","Ilam","South Island general electorates","Male",1539
"5–9 Years","Ilam","South Island general electorates","Male",1671
"10–14 Years","Ilam","South Island general electorates","Male",2103
"15–19 Years","Ilam","South Island general electorates","Male",3057
"20–24 Years","Ilam","South Island general electorates","Male",3249
"25–29 Years","Ilam","South Island general electorates","Male",1848
"30–34 Years","Ilam","South Island general electorates","Male",1506
"35–39 Years","Ilam","South Island general electorates","Male",1461
"40–44 Years","Ilam","South Island general electorates","Male",1779
"45–49 Years","Ilam","South Island general electorates","Male",1926
"50–54 Years","Ilam","South Island general electorates","Male",2151
"55–59 Years","Ilam","South Island general electorates","Male",1812
"60–64 Years","Ilam","South Island general electorates","Male",1503
"65–69 Years","Ilam","South Island general electorates","Male",1305
"70–74 Years","Ilam","South Island general electorates","Male",1053
"75–79 Years","Ilam","South Island general electorates","Male",783
"80–84 Years","Ilam","South Island general electorates","Male",660
"85 Years And Over","Ilam","South Island general electorates","Male",510
"18 Years And Over","Ilam","South Island general electorates","Male",23049
"0–4 Years","Invercargill","South Island general electorates","Male",2292
"5–9 Years","Invercargill","South Island general electorates","Male",2229
"10–14 Years","Invercargill","South Island general electorates","Male",2184
"15–19 Years","Invercargill","South Island general electorates","Male",2139
"20–24 Years","Invercargill","South Island general electorates","Male",1959
"25–29 Years","Invercargill","South Island general electorates","Male",1815
"30–34 Years","Invercargill","South Island general electorates","Male",1737
"35–39 Years","Invercargill","South Island general electorates","Male",1941
"40–44 Years","Invercargill","South Island general electorates","Male",2118
"45–49 Years","Invercargill","South Island general electorates","Male",2187
"50–54 Years","Invercargill","South Island general electorates","Male",2316
"55–59 Years","Invercargill","South Island general electorates","Male",2079
"60–64 Years","Invercargill","South Island general electorates","Male",1836
"65–69 Years","Invercargill","South Island general electorates","Male",1476
"70–74 Years","Invercargill","South Island general electorates","Male",1134
"75–79 Years","Invercargill","South Island general electorates","Male",849
"80–84 Years","Invercargill","South Island general electorates","Male",579
"85 Years And Over","Invercargill","South Island general electorates","Male",426
"18 Years And Over","Invercargill","South Island general electorates","Male",23250
"0–4 Years","Kaikoura","South Island general electorates","Male",1941
"5–9 Years","Kaikoura","South Island general electorates","Male",2031
"10–14 Years","Kaikoura","South Island general electorates","Male",1923
"15–19 Years","Kaikoura","South Island general electorates","Male",1785
"20–24 Years","Kaikoura","South Island general electorates","Male",1377
"25–29 Years","Kaikoura","South Island general electorates","Male",1449
"30–34 Years","Kaikoura","South Island general electorates","Male",1473
"35–39 Years","Kaikoura","South Island general electorates","Male",1767
"40–44 Years","Kaikoura","South Island general electorates","Male",2073
"45–49 Years","Kaikoura","South Island general electorates","Male",2163
"50–54 Years","Kaikoura","South Island general electorates","Male",2448
"55–59 Years","Kaikoura","South Island general electorates","Male",2325
"60–64 Years","Kaikoura","South Island general electorates","Male",2334
"65–69 Years","Kaikoura","South Island general electorates","Male",2124
"70–74 Years","Kaikoura","South Island general electorates","Male",1626
"75–79 Years","Kaikoura","South Island general electorates","Male",996
"80–84 Years","Kaikoura","South Island general electorates","Male",660
"85 Years And Over","Kaikoura","South Island general electorates","Male",492
"18 Years And Over","Kaikoura","South Island general electorates","Male",23934
"0–4 Years","Nelson","South Island general electorates","Male",2010
"5–9 Years","Nelson","South Island general electorates","Male",2073
"10–14 Years","Nelson","South Island general electorates","Male",2211
"15–19 Years","Nelson","South Island general electorates","Male",2076
"20–24 Years","Nelson","South Island general electorates","Male",1560
"25–29 Years","Nelson","South Island general electorates","Male",1431
"30–34 Years","Nelson","South Island general electorates","Male",1509
"35–39 Years","Nelson","South Island general electorates","Male",1722
"40–44 Years","Nelson","South Island general electorates","Male",2247
"45–49 Years","Nelson","South Island general electorates","Male",2277
"50–54 Years","Nelson","South Island general electorates","Male",2373
"55–59 Years","Nelson","South Island general electorates","Male",2034
"60–64 Years","Nelson","South Island general electorates","Male",1893
"65–69 Years","Nelson","South Island general electorates","Male",1707
"70–74 Years","Nelson","South Island general electorates","Male",1215
"75–79 Years","Nelson","South Island general electorates","Male",897
"80–84 Years","Nelson","South Island general electorates","Male",696
"85 Years And Over","Nelson","South Island general electorates","Male",600
"18 Years And Over","Nelson","South Island general electorates","Male",22845
"0–4 Years","Port Hills","South Island general electorates","Male",2097
"5–9 Years","Port Hills","South Island general electorates","Male",2169
"10–14 Years","Port Hills","South Island general electorates","Male",2067
"15–19 Years","Port Hills","South Island general electorates","Male",1998
"20–24 Years","Port Hills","South Island general electorates","Male",1635
"25–29 Years","Port Hills","South Island general electorates","Male",1563
"30–34 Years","Port Hills","South Island general electorates","Male",1659
"35–39 Years","Port Hills","South Island general electorates","Male",2055
"40–44 Years","Port Hills","South Island general electorates","Male",2361
"45–49 Years","Port Hills","South Island general electorates","Male",2496
"50–54 Years","Port Hills","South Island general electorates","Male",2499
"55–59 Years","Port Hills","South Island general electorates","Male",2175
"60–64 Years","Port Hills","South Island general electorates","Male",1989
"65–69 Years","Port Hills","South Island general electorates","Male",1641
"70–74 Years","Port Hills","South Island general electorates","Male",1200
"75–79 Years","Port Hills","South Island general electorates","Male",840
"80–84 Years","Port Hills","South Island general electorates","Male",675
"85 Years And Over","Port Hills","South Island general electorates","Male",498
"18 Years And Over","Port Hills","South Island general electorates","Male",24036
"0–4 Years","Rangitata","South Island general electorates","Male",2202
"5–9 Years","Rangitata","South Island general electorates","Male",2037
"10–14 Years","Rangitata","South Island general electorates","Male",2127
"15–19 Years","Rangitata","South Island general electorates","Male",2040
"20–24 Years","Rangitata","South Island general electorates","Male",1782
"25–29 Years","Rangitata","South Island general electorates","Male",1692
"30–34 Years","Rangitata","South Island general electorates","Male",1674
"35–39 Years","Rangitata","South Island general electorates","Male",1773
"40–44 Years","Rangitata","South Island general electorates","Male",2073
"45–49 Years","Rangitata","South Island general electorates","Male",2148
"50–54 Years","Rangitata","South Island general electorates","Male",2274
"55–59 Years","Rangitata","South Island general electorates","Male",2061
"60–64 Years","Rangitata","South Island general electorates","Male",2064
"65–69 Years","Rangitata","South Island general electorates","Male",1626
"70–74 Years","Rangitata","South Island general electorates","Male",1416
"75–79 Years","Rangitata","South Island general electorates","Male",1038
"80–84 Years","Rangitata","South Island general electorates","Male",849
"85 Years And Over","Rangitata","South Island general electorates","Male",549
"18 Years And Over","Rangitata","South Island general electorates","Male",23718
