"level0","level1","level2","Age group and sex","count"
"15–19 Years","East Coast Bays","North Island general electorates","Male",2421
"20–24 Years","East Coast Bays","North Island general electorates","Male",2298
"25–29 Years","East Coast Bays","North Island general electorates","Male",1734
"30–34 Years","East Coast Bays","North Island general electorates","Male",1746
"35–39 Years","East Coast Bays","North Island general electorates","Male",1686
"40–44 Years","East Coast Bays","North Island general electorates","Male",2205
"45–49 Years","East Coast Bays","North Island general electorates","Male",2298
"50–54 Years","East Coast Bays","North Island general electorates","Male",2151
"55–59 Years","East Coast Bays","North Island general electorates","Male",1815
"60–64 Years","East Coast Bays","North Island general electorates","Male",1491
"65–69 Years","East Coast Bays","North Island general electorates","Male",1146
"70–74 Years","East Coast Bays","North Island general electorates","Male",816
"75–79 Years","East Coast Bays","North Island general electorates","Male",603
"80–84 Years","East Coast Bays","North Island general electorates","Male",426
"85 Years And Over","East Coast Bays","North Island general electorates","Male",339
"18 Years And Over","East Coast Bays","North Island general electorates","Male",21684
"0–4 Years","Epsom","North Island general electorates","Male",1167
"5–9 Years","Epsom","North Island general electorates","Male",1740
"10–14 Years","Epsom","North Island general electorates","Male",2613
"15–19 Years","Epsom","North Island general electorates","Male",2775
"20–24 Years","Epsom","North Island general electorates","Male",2598
"25–29 Years","Epsom","North Island general electorates","Male",2175
"30–34 Years","Epsom","North Island general electorates","Male",1707
"35–39 Years","Epsom","North Island general electorates","Male",1512
"40–44 Years","Epsom","North Island general electorates","Male",2031
"45–49 Years","Epsom","North Island general electorates","Male",2526
"50–54 Years","Epsom","North Island general electorates","Male",2310
"55–59 Years","Epsom","North Island general electorates","Male",1875
"60–64 Years","Epsom","North Island general electorates","Male",1575
"65–69 Years","Epsom","North Island general electorates","Male",1206
"70–74 Years","Epsom","North Island general electorates","Male",804
"75–79 Years","Epsom","North Island general electorates","Male",531
"80–84 Years","Epsom","North Island general electorates","Male",393
"85 Years And Over","Epsom","North Island general electorates","Male",327
"18 Years And Over","Epsom","North Island general electorates","Male",22473
"0–4 Years","Hamilton East","North Island general electorates","Male",2616
"5–9 Years","Hamilton East","North Island general electorates","Male",2424
"10–14 Years","Hamilton East","North Island general electorates","Male",2508
"15–19 Years","Hamilton East","North Island general electorates","Male",3342
"20–24 Years","Hamilton East","North Island general electorates","Male",3663
"25–29 Years","Hamilton East","North Island general electorates","Male",2445
"30–34 Years","Hamilton East","North Island general electorates","Male",2103
"35–39 Years","Hamilton East","North Island general electorates","Male",2106
"40–44 Years","Hamilton East","North Island general electorates","Male",2235
"45–49 Years","Hamilton East","North Island general electorates","Male",2004
"50–54 Years","Hamilton East","North Island general electorates","Male",1968
"55–59 Years","Hamilton East","North Island general electorates","Male",1647
"60–64 Years","Hamilton East","North Island general electorates","Male",1398
"65–69 Years","Hamilton East","North Island general electorates","Male",1155
"70–74 Years","Hamilton East","North Island general electorates","Male",885
"75–79 Years","Hamilton East","North Island general electorates","Male",606
"80–84 Years","Hamilton East","North Island general electorates","Male",534
"85 Years And Over","Hamilton East","North Island general electorates","Male",426
"18 Years And Over","Hamilton East","North Island general electorates","Male",24834
"0–4 Years","Hamilton West","North Island general electorates","Male",3144
"5–9 Years","Hamilton West","North Island general electorates","Male",2487
"10–14 Years","Hamilton West","North Island general electorates","Male",2328
"15–19 Years","Hamilton West","North Island general electorates","Male",2454
"20–24 Years","Hamilton West","North Island general electorates","Male",2916
