"level0","level1","Family type and number of dependent children in family(1)","count"
"Four or more dependent children","Te Tai Tonga","One parent with child(ren)",1674
"Number of dependent children unknown","Te Tai Tonga","One parent with child(ren)",201
"No dependent children(3)","Waiariki","One parent with child(ren)",2997
"One dependent child","Waiariki","One parent with child(ren)",6942
"Two dependent children","Waiariki","One parent with child(ren)",6114
"Three dependent children","Waiariki","One parent with child(ren)",3780
"Four or more dependent children","Waiariki","One parent with child(ren)",2946
"Number of dependent children unknown","Waiariki","One parent with child(ren)",234
"No dependent children(3)","Area Outside Māori Electorate","One parent with child(ren)",NA
"One dependent child","Area Outside Māori Electorate","One parent with child(ren)",NA
"Two dependent children","Area Outside Māori Electorate","One parent with child(ren)",NA
"Three dependent children","Area Outside Māori Electorate","One parent with child(ren)",NA
"Four or more dependent children","Area Outside Māori Electorate","One parent with child(ren)",NA
"Number of dependent children unknown","Area Outside Māori Electorate","One parent with child(ren)",NA
