"level0","level1","level2","Birthplace (broad geographic area) and years since arrival in New Zealand ","count"
"North America","Hamilton West","North Island general electorates","Less than 1 Year",27
"Asia","Hamilton West","North Island general electorates","Less than 1 Year",423
"Middle East and Africa","Hamilton West","North Island general electorates","Less than 1 Year",60
"Other","Hamilton West","North Island general electorates","Less than 1 Year",48
"Not elsewhere included(7)","Hamilton West","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Helensville","North Island general electorates","Less than 1 Year",24
"Pacific Islands(4)","Helensville","North Island general electorates","Less than 1 Year",6
"United Kingdom and Ireland(5)","Helensville","North Island general electorates","Less than 1 Year",99
"Europe (excluding United Kingdom and Ireland)","Helensville","North Island general electorates","Less than 1 Year",39
"North America","Helensville","North Island general electorates","Less than 1 Year",18
"Asia","Helensville","North Island general electorates","Less than 1 Year",81
"Middle East and Africa","Helensville","North Island general electorates","Less than 1 Year",45
"Other","Helensville","North Island general electorates","Less than 1 Year",3
"Not elsewhere included(7)","Helensville","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Hunua","North Island general electorates","Less than 1 Year",39
"Pacific Islands(4)","Hunua","North Island general electorates","Less than 1 Year",45
"United Kingdom and Ireland(5)","Hunua","North Island general electorates","Less than 1 Year",93
"Europe (excluding United Kingdom and Ireland)","Hunua","North Island general electorates","Less than 1 Year",24
"North America","Hunua","North Island general electorates","Less than 1 Year",18
"Asia","Hunua","North Island general electorates","Less than 1 Year",126
"Middle East and Africa","Hunua","North Island general electorates","Less than 1 Year",57
"Other","Hunua","North Island general electorates","Less than 1 Year",0
"Not elsewhere included(7)","Hunua","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Hutt South","North Island general electorates","Less than 1 Year",24
"Pacific Islands(4)","Hutt South","North Island general electorates","Less than 1 Year",54
"United Kingdom and Ireland(5)","Hutt South","North Island general electorates","Less than 1 Year",78
"Europe (excluding United Kingdom and Ireland)","Hutt South","North Island general electorates","Less than 1 Year",42
"North America","Hutt South","North Island general electorates","Less than 1 Year",36
"Asia","Hutt South","North Island general electorates","Less than 1 Year",288
"Middle East and Africa","Hutt South","North Island general electorates","Less than 1 Year",27
"Other","Hutt South","North Island general electorates","Less than 1 Year",27
"Not elsewhere included(7)","Hutt South","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Kelston","North Island general electorates","Less than 1 Year",30
"Pacific Islands(4)","Kelston","North Island general electorates","Less than 1 Year",186
"United Kingdom and Ireland(5)","Kelston","North Island general electorates","Less than 1 Year",36
"Europe (excluding United Kingdom and Ireland)","Kelston","North Island general electorates","Less than 1 Year",39
"North America","Kelston","North Island general electorates","Less than 1 Year",18
"Asia","Kelston","North Island general electorates","Less than 1 Year",420
"Middle East and Africa","Kelston","North Island general electorates","Less than 1 Year",69
"Other","Kelston","North Island general electorates","Less than 1 Year",21
"Not elsewhere included(7)","Kelston","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Mana","North Island general electorates","Less than 1 Year",45
"Pacific Islands(4)","Mana","North Island general electorates","Less than 1 Year",168
"United Kingdom and Ireland(5)","Mana","North Island general electorates","Less than 1 Year",81
"Europe (excluding United Kingdom and Ireland)","Mana","North Island general electorates","Less than 1 Year",27
"North America","Mana","North Island general electorates","Less than 1 Year",27
"Asia","Mana","North Island general electorates","Less than 1 Year",165
"Middle East and Africa","Mana","North Island general electorates","Less than 1 Year",45
"Other","Mana","North Island general electorates","Less than 1 Year",27
"Not elsewhere included(7)","Mana","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Mangere","North Island general electorates","Less than 1 Year",36
"Pacific Islands(4)","Mangere","North Island general electorates","Less than 1 Year",462
"United Kingdom and Ireland(5)","Mangere","North Island general electorates","Less than 1 Year",9
"Europe (excluding United Kingdom and Ireland)","Mangere","North Island general electorates","Less than 1 Year",3
"North America","Mangere","North Island general electorates","Less than 1 Year",9
"Asia","Mangere","North Island general electorates","Less than 1 Year",156
"Middle East and Africa","Mangere","North Island general electorates","Less than 1 Year",21
"Other","Mangere","North Island general electorates","Less than 1 Year",12
"Not elsewhere included(7)","Mangere","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Manukau East","North Island general electorates","Less than 1 Year",33
"Pacific Islands(4)","Manukau East","North Island general electorates","Less than 1 Year",561
"United Kingdom and Ireland(5)","Manukau East","North Island general electorates","Less than 1 Year",9
"Europe (excluding United Kingdom and Ireland)","Manukau East","North Island general electorates","Less than 1 Year",6
