"level0","level1","level2","Birthplace (broad geographic area) and years since arrival in New Zealand ","count"
"Europe (excluding United Kingdom and Ireland)","West Coast-Tasman","South Island general electorates","Less than 1 Year",93
"North America","West Coast-Tasman","South Island general electorates","Less than 1 Year",33
"Asia","West Coast-Tasman","South Island general electorates","Less than 1 Year",117
"Middle East and Africa","West Coast-Tasman","South Island general electorates","Less than 1 Year",27
"Other","West Coast-Tasman","South Island general electorates","Less than 1 Year",27
"Not elsewhere included(7)","West Coast-Tasman","South Island general electorates","Less than 1 Year",NA
"Australia(3)","Wigram","South Island general electorates","Less than 1 Year",39
"Pacific Islands(4)","Wigram","South Island general electorates","Less than 1 Year",69
"United Kingdom and Ireland(5)","Wigram","South Island general electorates","Less than 1 Year",195
"Europe (excluding United Kingdom and Ireland)","Wigram","South Island general electorates","Less than 1 Year",75
"North America","Wigram","South Island general electorates","Less than 1 Year",45
"Asia","Wigram","South Island general electorates","Less than 1 Year",627
"Middle East and Africa","Wigram","South Island general electorates","Less than 1 Year",45
"Other","Wigram","South Island general electorates","Less than 1 Year",33
"Not elsewhere included(7)","Wigram","South Island general electorates","Less than 1 Year",NA
"Australia(3)","Area Outside General Electorate","South Island general electorates","Less than 1 Year",NA
"Pacific Islands(4)","Area Outside General Electorate","South Island general electorates","Less than 1 Year",NA
"United Kingdom and Ireland(5)","Area Outside General Electorate","South Island general electorates","Less than 1 Year",NA
"Europe (excluding United Kingdom and Ireland)","Area Outside General Electorate","South Island general electorates","Less than 1 Year",NA
"North America","Area Outside General Electorate","South Island general electorates","Less than 1 Year",NA
"Asia","Area Outside General Electorate","South Island general electorates","Less than 1 Year",NA
"Middle East and Africa","Area Outside General Electorate","South Island general electorates","Less than 1 Year",NA
"Other","Area Outside General Electorate","South Island general electorates","Less than 1 Year",NA
"Not elsewhere included(7)","Area Outside General Electorate","South Island general electorates","Less than 1 Year",NA
"Australia(3)","Auckland Central","North Island general electorates","1 Year",63
"Pacific Islands(4)","Auckland Central","North Island general electorates","1 Year",36
"United Kingdom and Ireland(5)","Auckland Central","North Island general electorates","1 Year",333
"Europe (excluding United Kingdom and Ireland)","Auckland Central","North Island general electorates","1 Year",216
"North America","Auckland Central","North Island general electorates","1 Year",96
"Asia","Auckland Central","North Island general electorates","1 Year",2121
"Middle East and Africa","Auckland Central","North Island general electorates","1 Year",156
"Other","Auckland Central","North Island general electorates","1 Year",159
"Not elsewhere included(7)","Auckland Central","North Island general electorates","1 Year",NA
"Australia(3)","Bay of Plenty","North Island general electorates","1 Year",48
"Pacific Islands(4)","Bay of Plenty","North Island general electorates","1 Year",9
"United Kingdom and Ireland(5)","Bay of Plenty","North Island general electorates","1 Year",147
"Europe (excluding United Kingdom and Ireland)","Bay of Plenty","North Island general electorates","1 Year",30
"North America","Bay of Plenty","North Island general electorates","1 Year",42
"Asia","Bay of Plenty","North Island general electorates","1 Year",93
"Middle East and Africa","Bay of Plenty","North Island general electorates","1 Year",30
"Other","Bay of Plenty","North Island general electorates","1 Year",15
"Not elsewhere included(7)","Bay of Plenty","North Island general electorates","1 Year",NA
"Australia(3)","Botany","North Island general electorates","1 Year",27
"Pacific Islands(4)","Botany","North Island general electorates","1 Year",72
"United Kingdom and Ireland(5)","Botany","North Island general electorates","1 Year",72
"Europe (excluding United Kingdom and Ireland)","Botany","North Island general electorates","1 Year",24
"North America","Botany","North Island general electorates","1 Year",15
"Asia","Botany","North Island general electorates","1 Year",537
"Middle East and Africa","Botany","North Island general electorates","1 Year",126
"Other","Botany","North Island general electorates","1 Year",9
"Not elsewhere included(7)","Botany","North Island general electorates","1 Year",NA
"Australia(3)","Coromandel","North Island general electorates","1 Year",33
"Pacific Islands(4)","Coromandel","North Island general electorates","1 Year",15
"United Kingdom and Ireland(5)","Coromandel","North Island general electorates","1 Year",51
"Europe (excluding United Kingdom and Ireland)","Coromandel","North Island general electorates","1 Year",18
"North America","Coromandel","North Island general electorates","1 Year",12
"Asia","Coromandel","North Island general electorates","1 Year",150
"Middle East and Africa","Coromandel","North Island general electorates","1 Year",18
"Other","Coromandel","North Island general electorates","1 Year",6
"Not elsewhere included(7)","Coromandel","North Island general electorates","1 Year",NA
"Australia(3)","East Coast","North Island general electorates","1 Year",54
"Pacific Islands(4)","East Coast","North Island general electorates","1 Year",33
"United Kingdom and Ireland(5)","East Coast","North Island general electorates","1 Year",54
"Europe (excluding United Kingdom and Ireland)","East Coast","North Island general electorates","1 Year",30
"North America","East Coast","North Island general electorates","1 Year",27
"Asia","East Coast","North Island general electorates","1 Year",102
"Middle East and Africa","East Coast","North Island general electorates","1 Year",15
"Other","East Coast","North Island general electorates","1 Year",12
"Not elsewhere included(7)","East Coast","North Island general electorates","1 Year",NA
"Australia(3)","East Coast Bays","North Island general electorates","1 Year",30
"Pacific Islands(4)","East Coast Bays","North Island general electorates","1 Year",9
"United Kingdom and Ireland(5)","East Coast Bays","North Island general electorates","1 Year",237
"Europe (excluding United Kingdom and Ireland)","East Coast Bays","North Island general electorates","1 Year",96
"North America","East Coast Bays","North Island general electorates","1 Year",27
"Asia","East Coast Bays","North Island general electorates","1 Year",567
"Middle East and Africa","East Coast Bays","North Island general electorates","1 Year",213
"Other","East Coast Bays","North Island general electorates","1 Year",12
"Not elsewhere included(7)","East Coast Bays","North Island general electorates","1 Year",NA
"Australia(3)","Epsom","North Island general electorates","1 Year",63
"Pacific Islands(4)","Epsom","North Island general electorates","1 Year",18
"United Kingdom and Ireland(5)","Epsom","North Island general electorates","1 Year",213
"Europe (excluding United Kingdom and Ireland)","Epsom","North Island general electorates","1 Year",114
"North America","Epsom","North Island general electorates","1 Year",75
"Asia","Epsom","North Island general electorates","1 Year",723
"Middle East and Africa","Epsom","North Island general electorates","1 Year",45
"Other","Epsom","North Island general electorates","1 Year",24
"Not elsewhere included(7)","Epsom","North Island general electorates","1 Year",NA
"Australia(3)","Hamilton East","North Island general electorates","1 Year",36
"Pacific Islands(4)","Hamilton East","North Island general electorates","1 Year",84
"United Kingdom and Ireland(5)","Hamilton East","North Island general electorates","1 Year",84
"Europe (excluding United Kingdom and Ireland)","Hamilton East","North Island general electorates","1 Year",36
"North America","Hamilton East","North Island general electorates","1 Year",30
"Asia","Hamilton East","North Island general electorates","1 Year",585
"Middle East and Africa","Hamilton East","North Island general electorates","1 Year",90
"Other","Hamilton East","North Island general electorates","1 Year",42
"Not elsewhere included(7)","Hamilton East","North Island general electorates","1 Year",NA
"Australia(3)","Hamilton West","North Island general electorates","1 Year",39
"Pacific Islands(4)","Hamilton West","North Island general electorates","1 Year",84
"United Kingdom and Ireland(5)","Hamilton West","North Island general electorates","1 Year",57
"Europe (excluding United Kingdom and Ireland)","Hamilton West","North Island general electorates","1 Year",42
"North America","Hamilton West","North Island general electorates","1 Year",24
"Asia","Hamilton West","North Island general electorates","1 Year",399
"Middle East and Africa","Hamilton West","North Island general electorates","1 Year",60
"Other","Hamilton West","North Island general electorates","1 Year",12
"Not elsewhere included(7)","Hamilton West","North Island general electorates","1 Year",NA
"Australia(3)","Helensville","North Island general electorates","1 Year",27
"Pacific Islands(4)","Helensville","North Island general electorates","1 Year",6
"United Kingdom and Ireland(5)","Helensville","North Island general electorates","1 Year",141
"Europe (excluding United Kingdom and Ireland)","Helensville","North Island general electorates","1 Year",30
"North America","Helensville","North Island general electorates","1 Year",12
"Asia","Helensville","North Island general electorates","1 Year",90
"Middle East and Africa","Helensville","North Island general electorates","1 Year",54
"Other","Helensville","North Island general electorates","1 Year",0
"Not elsewhere included(7)","Helensville","North Island general electorates","1 Year",NA
"Australia(3)","Hunua","North Island general electorates","1 Year",30
"Pacific Islands(4)","Hunua","North Island general electorates","1 Year",45
"United Kingdom and Ireland(5)","Hunua","North Island general electorates","1 Year",126
"Europe (excluding United Kingdom and Ireland)","Hunua","North Island general electorates","1 Year",42
"North America","Hunua","North Island general electorates","1 Year",15
"Asia","Hunua","North Island general electorates","1 Year",192
"Middle East and Africa","Hunua","North Island general electorates","1 Year",72
"Other","Hunua","North Island general electorates","1 Year",6
"Not elsewhere included(7)","Hunua","North Island general electorates","1 Year",NA
"Australia(3)","Hutt South","North Island general electorates","1 Year",24
"Pacific Islands(4)","Hutt South","North Island general electorates","1 Year",57
"United Kingdom and Ireland(5)","Hutt South","North Island general electorates","1 Year",108
"Europe (excluding United Kingdom and Ireland)","Hutt South","North Island general electorates","1 Year",42
"North America","Hutt South","North Island general electorates","1 Year",48
"Asia","Hutt South","North Island general electorates","1 Year",330
"Middle East and Africa","Hutt South","North Island general electorates","1 Year",33
"Other","Hutt South","North Island general electorates","1 Year",18
"Not elsewhere included(7)","Hutt South","North Island general electorates","1 Year",NA
"Australia(3)","Kelston","North Island general electorates","1 Year",21
"Pacific Islands(4)","Kelston","North Island general electorates","1 Year",186
"United Kingdom and Ireland(5)","Kelston","North Island general electorates","1 Year",51
"Europe (excluding United Kingdom and Ireland)","Kelston","North Island general electorates","1 Year",42
"North America","Kelston","North Island general electorates","1 Year",9
"Asia","Kelston","North Island general electorates","1 Year",426
"Middle East and Africa","Kelston","North Island general electorates","1 Year",42
"Other","Kelston","North Island general electorates","1 Year",18
"Not elsewhere included(7)","Kelston","North Island general electorates","1 Year",NA
"Australia(3)","Mana","North Island general electorates","1 Year",27
"Pacific Islands(4)","Mana","North Island general electorates","1 Year",111
"United Kingdom and Ireland(5)","Mana","North Island general electorates","1 Year",120
"Europe (excluding United Kingdom and Ireland)","Mana","North Island general electorates","1 Year",33
"North America","Mana","North Island general electorates","1 Year",21
"Asia","Mana","North Island general electorates","1 Year",123
"Middle East and Africa","Mana","North Island general electorates","1 Year",54
"Other","Mana","North Island general electorates","1 Year",27
"Not elsewhere included(7)","Mana","North Island general electorates","1 Year",NA
"Australia(3)","Mangere","North Island general electorates","1 Year",15
"Pacific Islands(4)","Mangere","North Island general electorates","1 Year",501
"United Kingdom and Ireland(5)","Mangere","North Island general electorates","1 Year",15
"Europe (excluding United Kingdom and Ireland)","Mangere","North Island general electorates","1 Year",6
"North America","Mangere","North Island general electorates","1 Year",12
"Asia","Mangere","North Island general electorates","1 Year",153
"Middle East and Africa","Mangere","North Island general electorates","1 Year",30
"Other","Mangere","North Island general electorates","1 Year",0
"Not elsewhere included(7)","Mangere","North Island general electorates","1 Year",NA
"Australia(3)","Manukau East","North Island general electorates","1 Year",15
"Pacific Islands(4)","Manukau East","North Island general electorates","1 Year",408
"United Kingdom and Ireland(5)","Manukau East","North Island general electorates","1 Year",6
"Europe (excluding United Kingdom and Ireland)","Manukau East","North Island general electorates","1 Year",3
"North America","Manukau East","North Island general electorates","1 Year",6
"Asia","Manukau East","North Island general electorates","1 Year",543
"Middle East and Africa","Manukau East","North Island general electorates","1 Year",21
"Other","Manukau East","North Island general electorates","1 Year",3
"Not elsewhere included(7)","Manukau East","North Island general electorates","1 Year",NA
"Australia(3)","Manurewa","North Island general electorates","1 Year",27
"Pacific Islands(4)","Manurewa","North Island general electorates","1 Year",336
"United Kingdom and Ireland(5)","Manurewa","North Island general electorates","1 Year",9
"Europe (excluding United Kingdom and Ireland)","Manurewa","North Island general electorates","1 Year",6
"North America","Manurewa","North Island general electorates","1 Year",9
"Asia","Manurewa","North Island general electorates","1 Year",351
"Middle East and Africa","Manurewa","North Island general electorates","1 Year",66
"Other","Manurewa","North Island general electorates","1 Year",6
"Not elsewhere included(7)","Manurewa","North Island general electorates","1 Year",NA
"Australia(3)","Maungakiekie","North Island general electorates","1 Year",36
"Pacific Islands(4)","Maungakiekie","North Island general electorates","1 Year",141
"United Kingdom and Ireland(5)","Maungakiekie","North Island general electorates","1 Year",93
"Europe (excluding United Kingdom and Ireland)","Maungakiekie","North Island general electorates","1 Year",39
"North America","Maungakiekie","North Island general electorates","1 Year",33
"Asia","Maungakiekie","North Island general electorates","1 Year",573
"Middle East and Africa","Maungakiekie","North Island general electorates","1 Year",87
"Other","Maungakiekie","North Island general electorates","1 Year",21
"Not elsewhere included(7)","Maungakiekie","North Island general electorates","1 Year",NA
"Australia(3)","Mt Albert","North Island general electorates","1 Year",69
"Pacific Islands(4)","Mt Albert","North Island general electorates","1 Year",42
"United Kingdom and Ireland(5)","Mt Albert","North Island general electorates","1 Year",186
"Europe (excluding United Kingdom and Ireland)","Mt Albert","North Island general electorates","1 Year",102
"North America","Mt Albert","North Island general electorates","1 Year",51
"Asia","Mt Albert","North Island general electorates","1 Year",699
"Middle East and Africa","Mt Albert","North Island general electorates","1 Year",75
"Other","Mt Albert","North Island general electorates","1 Year",36
"Not elsewhere included(7)","Mt Albert","North Island general electorates","1 Year",NA
"Australia(3)","Mt Roskill","North Island general electorates","1 Year",30
"Pacific Islands(4)","Mt Roskill","North Island general electorates","1 Year",96
"United Kingdom and Ireland(5)","Mt Roskill","North Island general electorates","1 Year",96
"Europe (excluding United Kingdom and Ireland)","Mt Roskill","North Island general electorates","1 Year",36
"North America","Mt Roskill","North Island general electorates","1 Year",18
"Asia","Mt Roskill","North Island general electorates","1 Year",804
"Middle East and Africa","Mt Roskill","North Island general electorates","1 Year",63
"Other","Mt Roskill","North Island general electorates","1 Year",18
"Not elsewhere included(7)","Mt Roskill","North Island general electorates","1 Year",NA
"Australia(3)","Napier","North Island general electorates","1 Year",30
"Pacific Islands(4)","Napier","North Island general electorates","1 Year",60
"United Kingdom and Ireland(5)","Napier","North Island general electorates","1 Year",57
"Europe (excluding United Kingdom and Ireland)","Napier","North Island general electorates","1 Year",30
"North America","Napier","North Island general electorates","1 Year",39
"Asia","Napier","North Island general electorates","1 Year",87
"Middle East and Africa","Napier","North Island general electorates","1 Year",30
"Other","Napier","North Island general electorates","1 Year",6
"Not elsewhere included(7)","Napier","North Island general electorates","1 Year",NA
"Australia(3)","New Lynn","North Island general electorates","1 Year",12
"Pacific Islands(4)","New Lynn","North Island general electorates","1 Year",123
"United Kingdom and Ireland(5)","New Lynn","North Island general electorates","1 Year",54
"Europe (excluding United Kingdom and Ireland)","New Lynn","North Island general electorates","1 Year",21
"North America","New Lynn","North Island general electorates","1 Year",18
"Asia","New Lynn","North Island general electorates","1 Year",735
"Middle East and Africa","New Lynn","North Island general electorates","1 Year",57
"Other","New Lynn","North Island general electorates","1 Year",18
"Not elsewhere included(7)","New Lynn","North Island general electorates","1 Year",NA
"Australia(3)","New Plymouth","North Island general electorates","1 Year",66
"Pacific Islands(4)","New Plymouth","North Island general electorates","1 Year",12
"United Kingdom and Ireland(5)","New Plymouth","North Island general electorates","1 Year",111
"Europe (excluding United Kingdom and Ireland)","New Plymouth","North Island general electorates","1 Year",39
"North America","New Plymouth","North Island general electorates","1 Year",33
"Asia","New Plymouth","North Island general electorates","1 Year",195
"Middle East and Africa","New Plymouth","North Island general electorates","1 Year",36
"Other","New Plymouth","North Island general electorates","1 Year",9
"Not elsewhere included(7)","New Plymouth","North Island general electorates","1 Year",NA
"Australia(3)","North Shore","North Island general electorates","1 Year",69
"Pacific Islands(4)","North Shore","North Island general electorates","1 Year",9
"United Kingdom and Ireland(5)","North Shore","North Island general electorates","1 Year",297
"Europe (excluding United Kingdom and Ireland)","North Shore","North Island general electorates","1 Year",144
"North America","North Shore","North Island general electorates","1 Year",66
"Asia","North Shore","North Island general electorates","1 Year",543
"Middle East and Africa","North Shore","North Island general electorates","1 Year",78
"Other","North Shore","North Island general electorates","1 Year",33
"Not elsewhere included(7)","North Shore","North Island general electorates","1 Year",NA
"Australia(3)","Northcote","North Island general electorates","1 Year",27
"Pacific Islands(4)","Northcote","North Island general electorates","1 Year",57
"United Kingdom and Ireland(5)","Northcote","North Island general electorates","1 Year",144
"Europe (excluding United Kingdom and Ireland)","Northcote","North Island general electorates","1 Year",66
"North America","Northcote","North Island general electorates","1 Year",39
"Asia","Northcote","North Island general electorates","1 Year",657
"Middle East and Africa","Northcote","North Island general electorates","1 Year",69
"Other","Northcote","North Island general electorates","1 Year",6
"Not elsewhere included(7)","Northcote","North Island general electorates","1 Year",NA
"Australia(3)","Northland","North Island general electorates","1 Year",60
"Pacific Islands(4)","Northland","North Island general electorates","1 Year",3
"United Kingdom and Ireland(5)","Northland","North Island general electorates","1 Year",87
"Europe (excluding United Kingdom and Ireland)","Northland","North Island general electorates","1 Year",33
"North America","Northland","North Island general electorates","1 Year",27
"Asia","Northland","North Island general electorates","1 Year",72
"Middle East and Africa","Northland","North Island general electorates","1 Year",51
"Other","Northland","North Island general electorates","1 Year",6
"Not elsewhere included(7)","Northland","North Island general electorates","1 Year",NA
"Australia(3)","Ohariu","North Island general electorates","1 Year",39
"Pacific Islands(4)","Ohariu","North Island general electorates","1 Year",33
"United Kingdom and Ireland(5)","Ohariu","North Island general electorates","1 Year",135
"Europe (excluding United Kingdom and Ireland)","Ohariu","North Island general electorates","1 Year",39
"North America","Ohariu","North Island general electorates","1 Year",66
"Asia","Ohariu","North Island general electorates","1 Year",315
"Middle East and Africa","Ohariu","North Island general electorates","1 Year",57
"Other","Ohariu","North Island general electorates","1 Year",18
"Not elsewhere included(7)","Ohariu","North Island general electorates","1 Year",NA
"Australia(3)","Otaki","North Island general electorates","1 Year",18
"Pacific Islands(4)","Otaki","North Island general electorates","1 Year",48
"United Kingdom and Ireland(5)","Otaki","North Island general electorates","1 Year",102
"Europe (excluding United Kingdom and Ireland)","Otaki","North Island general electorates","1 Year",15
"North America","Otaki","North Island general electorates","1 Year",24
"Asia","Otaki","North Island general electorates","1 Year",66
"Middle East and Africa","Otaki","North Island general electorates","1 Year",24
"Other","Otaki","North Island general electorates","1 Year",6
"Not elsewhere included(7)","Otaki","North Island general electorates","1 Year",NA
"Australia(3)","Pakuranga","North Island general electorates","1 Year",18
"Pacific Islands(4)","Pakuranga","North Island general electorates","1 Year",36
"United Kingdom and Ireland(5)","Pakuranga","North Island general electorates","1 Year",144
"Europe (excluding United Kingdom and Ireland)","Pakuranga","North Island general electorates","1 Year",33
"North America","Pakuranga","North Island general electorates","1 Year",33
"Asia","Pakuranga","North Island general electorates","1 Year",687
"Middle East and Africa","Pakuranga","North Island general electorates","1 Year",126
"Other","Pakuranga","North Island general electorates","1 Year",18
"Not elsewhere included(7)","Pakuranga","North Island general electorates","1 Year",NA
"Australia(3)","Palmerston North","North Island general electorates","1 Year",36
"Pacific Islands(4)","Palmerston North","North Island general electorates","1 Year",57
"United Kingdom and Ireland(5)","Palmerston North","North Island general electorates","1 Year",69
"Europe (excluding United Kingdom and Ireland)","Palmerston North","North Island general electorates","1 Year",36
"North America","Palmerston North","North Island general electorates","1 Year",33
"Asia","Palmerston North","North Island general electorates","1 Year",522
"Middle East and Africa","Palmerston North","North Island general electorates","1 Year",54
"Other","Palmerston North","North Island general electorates","1 Year",6
"Not elsewhere included(7)","Palmerston North","North Island general electorates","1 Year",NA
"Australia(3)","Papakura","North Island general electorates","1 Year",21
"Pacific Islands(4)","Papakura","North Island general electorates","1 Year",78
"United Kingdom and Ireland(5)","Papakura","North Island general electorates","1 Year",45
"Europe (excluding United Kingdom and Ireland)","Papakura","North Island general electorates","1 Year",24
"North America","Papakura","North Island general electorates","1 Year",9
"Asia","Papakura","North Island general electorates","1 Year",201
"Middle East and Africa","Papakura","North Island general electorates","1 Year",60
"Other","Papakura","North Island general electorates","1 Year",0
"Not elsewhere included(7)","Papakura","North Island general electorates","1 Year",NA
"Australia(3)","Rangitikei","North Island general electorates","1 Year",39
"Pacific Islands(4)","Rangitikei","North Island general electorates","1 Year",33
"United Kingdom and Ireland(5)","Rangitikei","North Island general electorates","1 Year",93
"Europe (excluding United Kingdom and Ireland)","Rangitikei","North Island general electorates","1 Year",15
"North America","Rangitikei","North Island general electorates","1 Year",15
"Asia","Rangitikei","North Island general electorates","1 Year",144
"Middle East and Africa","Rangitikei","North Island general electorates","1 Year",21
"Other","Rangitikei","North Island general electorates","1 Year",6
"Not elsewhere included(7)","Rangitikei","North Island general electorates","1 Year",NA
"Australia(3)","Rimutaka","North Island general electorates","1 Year",27
"Pacific Islands(4)","Rimutaka","North Island general electorates","1 Year",36
"United Kingdom and Ireland(5)","Rimutaka","North Island general electorates","1 Year",66
"Europe (excluding United Kingdom and Ireland)","Rimutaka","North Island general electorates","1 Year",18
"North America","Rimutaka","North Island general electorates","1 Year",12
"Asia","Rimutaka","North Island general electorates","1 Year",138
"Middle East and Africa","Rimutaka","North Island general electorates","1 Year",51
"Other","Rimutaka","North Island general electorates","1 Year",15
"Not elsewhere included(7)","Rimutaka","North Island general electorates","1 Year",NA
"Australia(3)","Rodney","North Island general electorates","1 Year",27
"Pacific Islands(4)","Rodney","North Island general electorates","1 Year",9
"United Kingdom and Ireland(5)","Rodney","North Island general electorates","1 Year",201
"Europe (excluding United Kingdom and Ireland)","Rodney","North Island general electorates","1 Year",42
"North America","Rodney","North Island general electorates","1 Year",27
"Asia","Rodney","North Island general electorates","1 Year",102
"Middle East and Africa","Rodney","North Island general electorates","1 Year",108
"Other","Rodney","North Island general electorates","1 Year",9
"Not elsewhere included(7)","Rodney","North Island general electorates","1 Year",NA
"Australia(3)","Rongotai","North Island general electorates","1 Year",66
"Pacific Islands(4)","Rongotai","North Island general electorates","1 Year",33
"United Kingdom and Ireland(5)","Rongotai","North Island general electorates","1 Year",231
"Europe (excluding United Kingdom and Ireland)","Rongotai","North Island general electorates","1 Year",96
"North America","Rongotai","North Island general electorates","1 Year",69
"Asia","Rongotai","North Island general electorates","1 Year",264
"Middle East and Africa","Rongotai","North Island general electorates","1 Year",66
"Other","Rongotai","North Island general electorates","1 Year",24
"Not elsewhere included(7)","Rongotai","North Island general electorates","1 Year",NA
"Australia(3)","Rotorua","North Island general electorates","1 Year",63
"Pacific Islands(4)","Rotorua","North Island general electorates","1 Year",36
"United Kingdom and Ireland(5)","Rotorua","North Island general electorates","1 Year",66
"Europe (excluding United Kingdom and Ireland)","Rotorua","North Island general electorates","1 Year",21
"North America","Rotorua","North Island general electorates","1 Year",12
"Asia","Rotorua","North Island general electorates","1 Year",345
"Middle East and Africa","Rotorua","North Island general electorates","1 Year",39
"Other","Rotorua","North Island general electorates","1 Year",9
"Not elsewhere included(7)","Rotorua","North Island general electorates","1 Year",NA
"Australia(3)","Tamaki","North Island general electorates","1 Year",108
"Pacific Islands(4)","Tamaki","North Island general electorates","1 Year",48
"United Kingdom and Ireland(5)","Tamaki","North Island general electorates","1 Year",264
"Europe (excluding United Kingdom and Ireland)","Tamaki","North Island general electorates","1 Year",126
"North America","Tamaki","North Island general electorates","1 Year",54
"Asia","Tamaki","North Island general electorates","1 Year",285
"Middle East and Africa","Tamaki","North Island general electorates","1 Year",99
"Other","Tamaki","North Island general electorates","1 Year",30
"Not elsewhere included(7)","Tamaki","North Island general electorates","1 Year",NA
"Australia(3)","Taranaki-King Country","North Island general electorates","1 Year",33
"Pacific Islands(4)","Taranaki-King Country","North Island general electorates","1 Year",60
"United Kingdom and Ireland(5)","Taranaki-King Country","North Island general electorates","1 Year",75
"Europe (excluding United Kingdom and Ireland)","Taranaki-King Country","North Island general electorates","1 Year",18
"North America","Taranaki-King Country","North Island general electorates","1 Year",27
"Asia","Taranaki-King Country","North Island general electorates","1 Year",69
"Middle East and Africa","Taranaki-King Country","North Island general electorates","1 Year",24
"Other","Taranaki-King Country","North Island general electorates","1 Year",9
"Not elsewhere included(7)","Taranaki-King Country","North Island general electorates","1 Year",NA
"Australia(3)","Taupo","North Island general electorates","1 Year",48
"Pacific Islands(4)","Taupo","North Island general electorates","1 Year",18
"United Kingdom and Ireland(5)","Taupo","North Island general electorates","1 Year",132
"Europe (excluding United Kingdom and Ireland)","Taupo","North Island general electorates","1 Year",42
"North America","Taupo","North Island general electorates","1 Year",27
"Asia","Taupo","North Island general electorates","1 Year",132
"Middle East and Africa","Taupo","North Island general electorates","1 Year",42
"Other","Taupo","North Island general electorates","1 Year",6
"Not elsewhere included(7)","Taupo","North Island general electorates","1 Year",NA
"Australia(3)","Tauranga","North Island general electorates","1 Year",30
"Pacific Islands(4)","Tauranga","North Island general electorates","1 Year",21
"United Kingdom and Ireland(5)","Tauranga","North Island general electorates","1 Year",147
"Europe (excluding United Kingdom and Ireland)","Tauranga","North Island general electorates","1 Year",48
"North America","Tauranga","North Island general electorates","1 Year",24
"Asia","Tauranga","North Island general electorates","1 Year",276
"Middle East and Africa","Tauranga","North Island general electorates","1 Year",45
"Other","Tauranga","North Island general electorates","1 Year",27
"Not elsewhere included(7)","Tauranga","North Island general electorates","1 Year",NA
"Australia(3)","Te Atatu","North Island general electorates","1 Year",18
"Pacific Islands(4)","Te Atatu","North Island general electorates","1 Year",162
"United Kingdom and Ireland(5)","Te Atatu","North Island general electorates","1 Year",33
"Europe (excluding United Kingdom and Ireland)","Te Atatu","North Island general electorates","1 Year",42
"North America","Te Atatu","North Island general electorates","1 Year",15
"Asia","Te Atatu","North Island general electorates","1 Year",411
"Middle East and Africa","Te Atatu","North Island general electorates","1 Year",57
"Other","Te Atatu","North Island general electorates","1 Year",6
"Not elsewhere included(7)","Te Atatu","North Island general electorates","1 Year",NA
"Australia(3)","Tukituki","North Island general electorates","1 Year",42
"Pacific Islands(4)","Tukituki","North Island general electorates","1 Year",72
"United Kingdom and Ireland(5)","Tukituki","North Island general electorates","1 Year",99
"Europe (excluding United Kingdom and Ireland)","Tukituki","North Island general electorates","1 Year",21
"North America","Tukituki","North Island general electorates","1 Year",18
"Asia","Tukituki","North Island general electorates","1 Year",147
"Middle East and Africa","Tukituki","North Island general electorates","1 Year",30
"Other","Tukituki","North Island general electorates","1 Year",9
"Not elsewhere included(7)","Tukituki","North Island general electorates","1 Year",NA
"Australia(3)","Upper Harbour","North Island general electorates","1 Year",30
"Pacific Islands(4)","Upper Harbour","North Island general electorates","1 Year",96
"United Kingdom and Ireland(5)","Upper Harbour","North Island general electorates","1 Year",75
"Europe (excluding United Kingdom and Ireland)","Upper Harbour","North Island general electorates","1 Year",42
"North America","Upper Harbour","North Island general electorates","1 Year",21
"Asia","Upper Harbour","North Island general electorates","1 Year",489
"Middle East and Africa","Upper Harbour","North Island general electorates","1 Year",81
"Other","Upper Harbour","North Island general electorates","1 Year",9
"Not elsewhere included(7)","Upper Harbour","North Island general electorates","1 Year",NA
"Australia(3)","Waikato","North Island general electorates","1 Year",33
"Pacific Islands(4)","Waikato","North Island general electorates","1 Year",15
"United Kingdom and Ireland(5)","Waikato","North Island general electorates","1 Year",54
"Europe (excluding United Kingdom and Ireland)","Waikato","North Island general electorates","1 Year",9
"North America","Waikato","North Island general electorates","1 Year",12
"Asia","Waikato","North Island general electorates","1 Year",75
"Middle East and Africa","Waikato","North Island general electorates","1 Year",30
"Other","Waikato","North Island general electorates","1 Year",9
"Not elsewhere included(7)","Waikato","North Island general electorates","1 Year",NA
"Australia(3)","Wairarapa","North Island general electorates","1 Year",30
"Pacific Islands(4)","Wairarapa","North Island general electorates","1 Year",15
"United Kingdom and Ireland(5)","Wairarapa","North Island general electorates","1 Year",39
"Europe (excluding United Kingdom and Ireland)","Wairarapa","North Island general electorates","1 Year",21
"North America","Wairarapa","North Island general electorates","1 Year",12
"Asia","Wairarapa","North Island general electorates","1 Year",57
"Middle East and Africa","Wairarapa","North Island general electorates","1 Year",9
"Other","Wairarapa","North Island general electorates","1 Year",3
"Not elsewhere included(7)","Wairarapa","North Island general electorates","1 Year",NA
"Australia(3)","Wellington Central","North Island general electorates","1 Year",69
"Pacific Islands(4)","Wellington Central","North Island general electorates","1 Year",18
"United Kingdom and Ireland(5)","Wellington Central","North Island general electorates","1 Year",333
"Europe (excluding United Kingdom and Ireland)","Wellington Central","North Island general electorates","1 Year",156
"North America","Wellington Central","North Island general electorates","1 Year",114
"Asia","Wellington Central","North Island general electorates","1 Year",630
"Middle East and Africa","Wellington Central","North Island general electorates","1 Year",63
"Other","Wellington Central","North Island general electorates","1 Year",45
