"level0","level1","Iwi(1) (total responses)(2) and iwi groupings","count"
"Ngāti Kahungunu ki Tamakinui a Rua","Te Matau-a-Māui/Wairarapa (Hawke's Bay/Wairarapa) Region","Te Tai Tonga",54
"Ngāti Pāhauwera","Te Matau-a-Māui/Wairarapa (Hawke's Bay/Wairarapa) Region","Te Tai Tonga",282
"Ngāti Rākaipaaka","Te Matau-a-Māui/Wairarapa (Hawke's Bay/Wairarapa) Region","Te Tai Tonga",159
"Te Matau-a-Māui/Wairarapa (Hawke's Bay/Wairarapa) Region, not further defined","Te Matau-a-Māui/Wairarapa (Hawke's Bay/Wairarapa) Region","Te Tai Tonga",66
"Te Atiawa (Taranaki)","Taranaki (Taranaki) Region","Te Tai Tonga",2940
"Ngāti Maru (Taranaki)","Taranaki (Taranaki) Region","Te Tai Tonga",120
"Ngāti Mutunga (Taranaki)","Taranaki (Taranaki) Region","Te Tai Tonga",597
"Ngā Rauru","Taranaki (Taranaki) Region","Te Tai Tonga",660
"Ngā Ruahine","Taranaki (Taranaki) Region","Te Tai Tonga",639
"Ngāti Ruanui","Taranaki (Taranaki) Region","Te Tai Tonga",1215
"Ngāti Tama (Taranaki)","Taranaki (Taranaki) Region","Te Tai Tonga",207
"Taranaki","Taranaki (Taranaki) Region","Te Tai Tonga",990
"Tangāhoe","Taranaki (Taranaki) Region","Te Tai Tonga",18
"Pakakohi","Taranaki (Taranaki) Region","Te Tai Tonga",45
"Taranaki (Taranaki) Region, not further defined","Taranaki (Taranaki) Region","Te Tai Tonga",30
"Ngāti Apa (Rangitīkei)","Whanganui/Rangitīkei (Wanganui/Rangitīkei) Region","Te Tai Tonga",411
"Te Ati Haunui-a-Pāpārangi","Whanganui/Rangitīkei (Wanganui/Rangitīkei) Region","Te Tai Tonga",1512
"Ngāti Haua (Taumarunui)","Whanganui/Rangitīkei (Wanganui/Rangitīkei) Region","Te Tai Tonga",78
"Ngāti Hauiti","Whanganui/Rangitīkei (Wanganui/Rangitīkei) Region","Te Tai Tonga",129
"Whanganui/Rangitīkei (Wanganui/Rangitīkei) Region, not further defined","Whanganui/Rangitīkei (Wanganui/Rangitīkei) Region","Te Tai Tonga",3
"Te Atiawa (Te Whanganui-a-Tara/Wellington)","Manawatū/Horowhenua/Te Whanganui-a-Tara(Manawatū/Horowhenua/Wellington) Region","Te Tai Tonga",792
"Muaūpoko","Manawatū/Horowhenua/Te Whanganui-a-Tara(Manawatū/Horowhenua/Wellington) Region","Te Tai Tonga",381
"Rangitāne (Manawatū)","Manawatū/Horowhenua/Te Whanganui-a-Tara(Manawatū/Horowhenua/Wellington) Region","Te Tai Tonga",228
"Ngāti Raukawa (Horowhenua/Manawatū)","Manawatū/Horowhenua/Te Whanganui-a-Tara(Manawatū/Horowhenua/Wellington) Region","Te Tai Tonga",2223
"Ngāti Toarangatira (Te Whanganui-a-Tara/Wellington)","Manawatū/Horowhenua/Te Whanganui-a-Tara(Manawatū/Horowhenua/Wellington) Region","Te Tai Tonga",921
"Te Atiawa ki Whakarongotai","Manawatū/Horowhenua/Te Whanganui-a-Tara(Manawatū/Horowhenua/Wellington) Region","Te Tai Tonga",129
"Ngāti Tama ki Te Upoko o Te Ika (Te Whanganui-a-Tara/Wellington)","Manawatū/Horowhenua/Te Whanganui-a-Tara(Manawatū/Horowhenua/Wellington) Region","Te Tai Tonga",45
"Ngāti Kauwhata","Manawatū/Horowhenua/Te Whanganui-a-Tara(Manawatū/Horowhenua/Wellington) Region","Te Tai Tonga",105
"Manawatū/Horowhenua/Te Whanganui-a-Tara(Manawatū/Horowhenua/Wellington) Region, not further defined","Manawatū/Horowhenua/Te Whanganui-a-Tara(Manawatū/Horowhenua/Wellington) Region","Te Tai Tonga",63
"Te Atiawa (Te Waipounamu/South Island)","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Te Tai Tonga",1179
"Ngāti Koata","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Te Tai Tonga",558
"Ngāti Kuia","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Te Tai Tonga",1026
"Kāti Māmoe","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Te Tai Tonga",2160
"Moriori","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Te Tai Tonga",405
"Ngāti Mutunga (Wharekauri/Chatham Islands)","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Te Tai Tonga",969
"Rangitāne (Te Waipounamu/South Island)","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Te Tai Tonga",720
"Ngāti Rārua","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Te Tai Tonga",558
"Ngāi Tahu / Kāi Tahu","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Te Tai Tonga",31986
"Ngāti Tama (Te Waipounamu/South Island)","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Te Tai Tonga",171
"Ngāti Toarangatira (Te Waipounamu/South Island)","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Te Tai Tonga",162
"Waitaha (Te Waipounamu/South Island)","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Te Tai Tonga",771
"Ngāti Apa ki Te Rā Tō","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Te Tai Tonga",438
"Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region, not further defined","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Te Tai Tonga",360
"Tainui","Other Iwi not named, but waka or Iwi confederation known","Te Tai Tonga",1401
"Te Arawa","Other Iwi not named, but waka or Iwi confederation known","Te Tai Tonga",2664
"Tākitimu","Other Iwi not named, but waka or Iwi confederation known","Te Tai Tonga",3
"Aotea","Other Iwi not named, but waka or Iwi confederation known","Te Tai Tonga",3
"Mātaatua","Other Iwi not named, but waka or Iwi confederation known","Te Tai Tonga",18
"Mahuru","Other Iwi not named, but waka or Iwi confederation known","Te Tai Tonga",0
"Māmari","Other Iwi not named, but waka or Iwi confederation known","Te Tai Tonga",0
"Ngātokimatawhaorua","Other Iwi not named, but waka or Iwi confederation known","Te Tai Tonga",0
"Nukutere","Other Iwi not named, but waka or Iwi confederation known","Te Tai Tonga",0
"Tokomaru","Other Iwi not named, but waka or Iwi confederation known","Te Tai Tonga",3
"Kurahaupō","Other Iwi not named, but waka or Iwi confederation known","Te Tai Tonga",6
"Muriwhenua","Other Iwi not named, but waka or Iwi confederation known","Te Tai Tonga",3
"Hauraki / Pare Hauraki","Other Iwi not named, but waka or Iwi confederation known","Te Tai Tonga",21
"Tūranganui a Kiwa","Other Iwi not named, but waka or Iwi confederation known","Te Tai Tonga",3
"Te Tauihu o Te Waka a Māui","Other Iwi not named, but waka or Iwi confederation known","Te Tai Tonga",18
"Tauranga Moana","Other Iwi not named, but waka or Iwi confederation known","Te Tai Tonga",36
"Horouta","Other Iwi not named, but waka or Iwi confederation known","Te Tai Tonga",0
"Te Atiawa, region unspecified","Iwi Named but Region Unspecified","Te Tai Tonga",972
"Ngāti Haua, region unspecified","Iwi Named but Region Unspecified","Te Tai Tonga",93
"Ngāti Maru, region unspecified","Iwi Named but Region Unspecified","Te Tai Tonga",105
"Ngāti Mutunga, region unspecified","Iwi Named but Region Unspecified","Te Tai Tonga",216
"Rangitāne, region unspecified","Iwi Named but Region Unspecified","Te Tai Tonga",336
"Ngāti Raukawa, region unspecified","Iwi Named but Region Unspecified","Te Tai Tonga",765
"Ngāti Tama, region unspecified","Iwi Named but Region Unspecified","Te Tai Tonga",81
"Ngāti Toa, region unspecified","Iwi Named but Region Unspecified","Te Tai Tonga",234
"Waitaha, region unspecified","Iwi Named but Region Unspecified","Te Tai Tonga",363
"Ngāti Apa, area unspecified","Iwi Named but Region Unspecified","Te Tai Tonga",177
"Hapū affiliated to more than one iwi","Iwi Named but Region Unspecified","Te Tai Tonga",477
"Don't know","Iwi Named but Region Unspecified","Te Tai Tonga",24291
"Not elsewhere included(5)","Iwi Named but Region Unspecified","Te Tai Tonga",4062
"Te Hiku(6)","Iwi groupings","Te Tai Tonga",2559
"Hauraki(7)","Iwi groupings","Te Tai Tonga",1329
"Ngāi Tahu Whānui(8)","Iwi groupings","Te Tai Tonga",32721
"Ngāti Kahungunu(9)","Iwi groupings","Te Tai Tonga",9669
"Ngāti Raukawa(10)","Iwi groupings","Te Tai Tonga",3975
"Ngāti Tama(11)","Iwi groupings","Te Tai Tonga",498
"Te Arawa(12)","Iwi groupings","Te Tai Tonga",4803
"Te Atiawa(13)","Iwi groupings","Te Tai Tonga",5814
"Tūranganui a Kiwa(14)","Iwi groupings","Te Tai Tonga",1305
"Waikato–Tainui(15)","Iwi groupings","Te Tai Tonga",5736
"Ngāti Toarangatira(16)","Iwi groupings","Te Tai Tonga",1308
"Rangitāne(17)","Iwi groupings","Te Tai Tonga",1488
"Other iwi(18)","Iwi groupings","Te Tai Tonga",47229
"Ngā Hotahota o te Whitau(19)","Iwi groupings","Te Tai Tonga",24291
"Not elsewhere included(5)","Iwi groupings","Te Tai Tonga",4062
"Te Aupōuri","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Waiariki",549
"Ngāti Kahu","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Waiariki",387
"Ngāti Kurī","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Waiariki",300
"Ngāpuhi","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Waiariki",9255
"Ngāpuhi ki Whaingaroa-Ngāti Kahu ki Whaingaroa","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Waiariki",108
"Te Rarawa","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Waiariki",978
"Ngāi Takoto","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Waiariki",48
"Ngāti Wai","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Waiariki",249
"Ngāti Whātua","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Waiariki",771
"Te Kawerau","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Waiariki",15
"Te Uri-o-Hau","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Waiariki",69
"Te Roroa","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Waiariki",42
"Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region, not further defined","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Waiariki",156
"Ngāti Hako","Hauraki (Coromandel) Region","Waiariki",153
"Ngāti Hei","Hauraki (Coromandel) Region","Waiariki",54
"Ngāti Maru (Hauraki)(3)","Hauraki (Coromandel) Region","Waiariki",501
"Ngāti Paoa","Hauraki (Coromandel) Region","Waiariki",312
"Patukirikiri","Hauraki (Coromandel) Region","Waiariki",6
"Ngāti Porou ki Harataunga ki Mataora","Hauraki (Coromandel) Region","Waiariki",159
"Ngāti Pūkenga ki Waiau","Hauraki (Coromandel) Region","Waiariki",84
"Ngāti Rāhiri Tumutumu","Hauraki (Coromandel) Region","Waiariki",30
"Ngāi Tai (Hauraki)","Hauraki (Coromandel) Region","Waiariki",24
"Ngāti Tamaterā","Hauraki (Coromandel) Region","Waiariki",267
"Ngāti Tara Tokanui","Hauraki (Coromandel) Region","Waiariki",21
"Ngāti Whanaunga","Hauraki (Coromandel) Region","Waiariki",57
"Hauraki (Coromandel) Region, not further defined","Hauraki (Coromandel) Region","Waiariki",15
"Ngāti Haua (Waikato)","Waikato/Te Rohe Pōtae (Waikato/King Country) Region","Waiariki",471
"Ngāti Maniapoto","Waikato/Te Rohe Pōtae (Waikato/King Country) Region","Waiariki",3654
"Ngāti Raukawa (Waikato)","Waikato/Te Rohe Pōtae (Waikato/King Country) Region","Waiariki",1476
"Waikato","Waikato/Te Rohe Pōtae (Waikato/King Country) Region","Waiariki",3579
"Waikato/Te Rohe Pōtae (Waikato/King Country) Region, not further defined","Waikato/Te Rohe Pōtae (Waikato/King Country) Region","Waiariki",147
"Ngāti Pikiao (Te Arawa)","Te Arawa/Taupō (Rotorua/Taupō) Region","Waiariki",3678
"Ngāti Rangiteaorere (Te Arawa)","Te Arawa/Taupō (Rotorua/Taupō) Region","Waiariki",210
"Ngāti Rangitihi (Te Arawa)","Te Arawa/Taupō (Rotorua/Taupō) Region","Waiariki",1089
"Ngāti Rangiwewehi (Te Arawa)","Te Arawa/Taupō (Rotorua/Taupō) Region","Waiariki",1398
"Tapuika (Te Arawa)","Te Arawa/Taupō (Rotorua/Taupō) Region","Waiariki",1212
"Tarāwhai (Te Arawa)","Te Arawa/Taupō (Rotorua/Taupō) Region","Waiariki",177
"Tūhourangi (Te Arawa)","Te Arawa/Taupō (Rotorua/Taupō) Region","Waiariki",1620
"Uenuku-Kōpako (Te Arawa)","Te Arawa/Taupō (Rotorua/Taupō) Region","Waiariki",279
"Waitaha (Te Arawa)","Te Arawa/Taupō (Rotorua/Taupō) Region","Waiariki",630
"Ngāti Whakaue (Te Arawa)","Te Arawa/Taupō (Rotorua/Taupō) Region","Waiariki",4464
"Ngāti Tūwharetoa","Te Arawa/Taupō (Rotorua/Taupō) Region","Waiariki",9399
"Ngāti Tahu-Ngāti Whaoa (Te Arawa)","Te Arawa/Taupō (Rotorua/Taupō) Region","Waiariki",660
"Te Arawa/Taupō (Rotorua/Taupō) Region, not further defined","Te Arawa/Taupō (Rotorua/Taupō) Region","Waiariki",870
"Ngāti Pūkenga","Tauranga Moana/Mātaatua (Bay of Plenty) Region","Waiariki",954
"Ngaiterangi","Tauranga Moana/Mātaatua (Bay of Plenty) Region","Waiariki",5487
"Ngāti Ranginui","Tauranga Moana/Mātaatua (Bay of Plenty) Region","Waiariki",4749
"Ngāti Awa","Tauranga Moana/Mātaatua (Bay of Plenty) Region","Waiariki",7143
"Ngāti Manawa","Tauranga Moana/Mātaatua (Bay of Plenty) Region","Waiariki",1173
"Ngāi Tai (Tauranga Moana/Mātaatua)","Tauranga Moana/Mātaatua (Bay of Plenty) Region","Waiariki",882
"Tūhoe","Tauranga Moana/Mātaatua (Bay of Plenty) Region","Waiariki",11985
"Whakatōhea","Tauranga Moana/Mātaatua (Bay of Plenty) Region","Waiariki",5064
"Te Whānau-a-Apanui","Tauranga Moana/Mātaatua (Bay of Plenty) Region","Waiariki",4539
"Ngāti Whare","Tauranga Moana/Mātaatua (Bay of Plenty) Region","Waiariki",681
"Tauranga Moana/Mātaatua (Bay of Plenty) Region, not further defined","Tauranga Moana/Mātaatua (Bay of Plenty) Region","Waiariki",120
"Ngāti Porou","Te Tai Rāwhiti (East Coast) Region","Waiariki",7689
"Te Aitanga-a-Māhaki","Te Tai Rāwhiti (East Coast) Region","Waiariki",606
"Rongowhakaata","Te Tai Rāwhiti (East Coast) Region","Waiariki",438
"Ngāi Tāmanuhiri","Te Tai Rāwhiti (East Coast) Region","Waiariki",129
"Te Tai Rāwhiti (East Coast) Region, not further defined","Te Tai Rāwhiti (East Coast) Region","Waiariki",84
"Rongomaiwahine (Te Māhia)","Te Matau-a-Māui/Wairarapa (Hawke's Bay/Wairarapa) Region","Waiariki",369
"Ngāti Kahungunu ki Te Wairoa","Te Matau-a-Māui/Wairarapa (Hawke's Bay/Wairarapa) Region","Waiariki",1914
"Ngāti Kahungunu ki Heretaunga","Te Matau-a-Māui/Wairarapa (Hawke's Bay/Wairarapa) Region","Waiariki",744
"Ngāti Kahungunu ki Wairarapa","Te Matau-a-Māui/Wairarapa (Hawke's Bay/Wairarapa) Region","Waiariki",540
"Ngāti Kahungunu, region unspecified","Te Matau-a-Māui/Wairarapa (Hawke's Bay/Wairarapa) Region","Waiariki",1332
"Rangitāne (Te Matau-a-Māui/Hawke's Bay/Wairarapa)","Te Matau-a-Māui/Wairarapa (Hawke's Bay/Wairarapa) Region","Waiariki",90
"Ngāti Kahungunu ki Te Whanganui-a-Orotu","Te Matau-a-Māui/Wairarapa (Hawke's Bay/Wairarapa) Region","Waiariki",147
"Ngāti Kahungunu ki Tamatea","Te Matau-a-Māui/Wairarapa (Hawke's Bay/Wairarapa) Region","Waiariki",63
"Ngāti Kahungunu ki Tamakinui a Rua","Te Matau-a-Māui/Wairarapa (Hawke's Bay/Wairarapa) Region","Waiariki",24
"Ngāti Pāhauwera","Te Matau-a-Māui/Wairarapa (Hawke's Bay/Wairarapa) Region","Waiariki",180
"Ngāti Rākaipaaka","Te Matau-a-Māui/Wairarapa (Hawke's Bay/Wairarapa) Region","Waiariki",99
"Te Matau-a-Māui/Wairarapa (Hawke's Bay/Wairarapa) Region, not further defined","Te Matau-a-Māui/Wairarapa (Hawke's Bay/Wairarapa) Region","Waiariki",33
"Te Atiawa (Taranaki)","Taranaki (Taranaki) Region","Waiariki",975
"Ngāti Maru (Taranaki)","Taranaki (Taranaki) Region","Waiariki",51
"Ngāti Mutunga (Taranaki)","Taranaki (Taranaki) Region","Waiariki",144
"Ngā Rauru","Taranaki (Taranaki) Region","Waiariki",186
"Ngā Ruahine","Taranaki (Taranaki) Region","Waiariki",261
"Ngāti Ruanui","Taranaki (Taranaki) Region","Waiariki",492
"Ngāti Tama (Taranaki)","Taranaki (Taranaki) Region","Waiariki",105
"Taranaki","Taranaki (Taranaki) Region","Waiariki",351
"Tangāhoe","Taranaki (Taranaki) Region","Waiariki",18
"Pakakohi","Taranaki (Taranaki) Region","Waiariki",21
"Taranaki (Taranaki) Region, not further defined","Taranaki (Taranaki) Region","Waiariki",9
"Ngāti Apa (Rangitīkei)","Whanganui/Rangitīkei (Wanganui/Rangitīkei) Region","Waiariki",165
"Te Ati Haunui-a-Pāpārangi","Whanganui/Rangitīkei (Wanganui/Rangitīkei) Region","Waiariki",819
"Ngāti Haua (Taumarunui)","Whanganui/Rangitīkei (Wanganui/Rangitīkei) Region","Waiariki",99
"Ngāti Hauiti","Whanganui/Rangitīkei (Wanganui/Rangitīkei) Region","Waiariki",78
"Whanganui/Rangitīkei (Wanganui/Rangitīkei) Region, not further defined","Whanganui/Rangitīkei (Wanganui/Rangitīkei) Region","Waiariki",0
"Te Atiawa (Te Whanganui-a-Tara/Wellington)","Manawatū/Horowhenua/Te Whanganui-a-Tara(Manawatū/Horowhenua/Wellington) Region","Waiariki",135
"Muaūpoko","Manawatū/Horowhenua/Te Whanganui-a-Tara(Manawatū/Horowhenua/Wellington) Region","Waiariki",159
"Rangitāne (Manawatū)","Manawatū/Horowhenua/Te Whanganui-a-Tara(Manawatū/Horowhenua/Wellington) Region","Waiariki",66
"Ngāti Raukawa (Horowhenua/Manawatū)","Manawatū/Horowhenua/Te Whanganui-a-Tara(Manawatū/Horowhenua/Wellington) Region","Waiariki",1083
"Ngāti Toarangatira (Te Whanganui-a-Tara/Wellington)","Manawatū/Horowhenua/Te Whanganui-a-Tara(Manawatū/Horowhenua/Wellington) Region","Waiariki",243
"Te Atiawa ki Whakarongotai","Manawatū/Horowhenua/Te Whanganui-a-Tara(Manawatū/Horowhenua/Wellington) Region","Waiariki",27
"Ngāti Tama ki Te Upoko o Te Ika (Te Whanganui-a-Tara/Wellington)","Manawatū/Horowhenua/Te Whanganui-a-Tara(Manawatū/Horowhenua/Wellington) Region","Waiariki",18
"Ngāti Kauwhata","Manawatū/Horowhenua/Te Whanganui-a-Tara(Manawatū/Horowhenua/Wellington) Region","Waiariki",69
"Manawatū/Horowhenua/Te Whanganui-a-Tara(Manawatū/Horowhenua/Wellington) Region, not further defined","Manawatū/Horowhenua/Te Whanganui-a-Tara(Manawatū/Horowhenua/Wellington) Region","Waiariki",30
"Te Atiawa (Te Waipounamu/South Island)","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Waiariki",135
"Ngāti Koata","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Waiariki",69
"Ngāti Kuia","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Waiariki",69
"Kāti Māmoe","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Waiariki",138
"Moriori","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Waiariki",39
"Ngāti Mutunga (Wharekauri/Chatham Islands)","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Waiariki",72
"Rangitāne (Te Waipounamu/South Island)","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Waiariki",39
"Ngāti Rārua","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Waiariki",36
"Ngāi Tahu / Kāi Tahu","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Waiariki",2895
"Ngāti Tama (Te Waipounamu/South Island)","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Waiariki",42
"Ngāti Toarangatira (Te Waipounamu/South Island)","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Waiariki",18
"Waitaha (Te Waipounamu/South Island)","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Waiariki",39
"Ngāti Apa ki Te Rā Tō","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Waiariki",18
"Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region, not further defined","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Waiariki",30
"Tainui","Other Iwi not named, but waka or Iwi confederation known","Waiariki",1101
"Te Arawa","Other Iwi not named, but waka or Iwi confederation known","Waiariki",6744
"Tākitimu","Other Iwi not named, but waka or Iwi confederation known","Waiariki",6
"Aotea","Other Iwi not named, but waka or Iwi confederation known","Waiariki",6
"Mātaatua","Other Iwi not named, but waka or Iwi confederation known","Waiariki",123
"Mahuru","Other Iwi not named, but waka or Iwi confederation known","Waiariki",0
"Māmari","Other Iwi not named, but waka or Iwi confederation known","Waiariki",0
"Ngātokimatawhaorua","Other Iwi not named, but waka or Iwi confederation known","Waiariki",0
"Nukutere","Other Iwi not named, but waka or Iwi confederation known","Waiariki",0
"Tokomaru","Other Iwi not named, but waka or Iwi confederation known","Waiariki",3
"Kurahaupō","Other Iwi not named, but waka or Iwi confederation known","Waiariki",0
"Muriwhenua","Other Iwi not named, but waka or Iwi confederation known","Waiariki",9
"Hauraki / Pare Hauraki","Other Iwi not named, but waka or Iwi confederation known","Waiariki",39
"Tūranganui a Kiwa","Other Iwi not named, but waka or Iwi confederation known","Waiariki",0
"Te Tauihu o Te Waka a Māui","Other Iwi not named, but waka or Iwi confederation known","Waiariki",0
"Tauranga Moana","Other Iwi not named, but waka or Iwi confederation known","Waiariki",126
"Horouta","Other Iwi not named, but waka or Iwi confederation known","Waiariki",0
"Te Atiawa, region unspecified","Iwi Named but Region Unspecified","Waiariki",207
"Ngāti Haua, region unspecified","Iwi Named but Region Unspecified","Waiariki",51
"Ngāti Maru, region unspecified","Iwi Named but Region Unspecified","Waiariki",75
"Ngāti Mutunga, region unspecified","Iwi Named but Region Unspecified","Waiariki",33
"Rangitāne, region unspecified","Iwi Named but Region Unspecified","Waiariki",69
"Ngāti Raukawa, region unspecified","Iwi Named but Region Unspecified","Waiariki",585
"Ngāti Tama, region unspecified","Iwi Named but Region Unspecified","Waiariki",18
"Ngāti Toa, region unspecified","Iwi Named but Region Unspecified","Waiariki",60
"Waitaha, region unspecified","Iwi Named but Region Unspecified","Waiariki",81
"Ngāti Apa, area unspecified","Iwi Named but Region Unspecified","Waiariki",57
"Hapū affiliated to more than one iwi","Iwi Named but Region Unspecified","Waiariki",687
"Don't know","Iwi Named but Region Unspecified","Waiariki",9852
"Not elsewhere included(5)","Iwi Named but Region Unspecified","Waiariki",2469
"Te Hiku(6)","Iwi groupings","Waiariki",1944
"Hauraki(7)","Iwi groupings","Waiariki",1572
"Ngāi Tahu Whānui(8)","Iwi groupings","Waiariki",2958
"Ngāti Kahungunu(9)","Iwi groupings","Waiariki",4848
"Ngāti Raukawa(10)","Iwi groupings","Waiariki",3099
"Ngāti Tama(11)","Iwi groupings","Waiariki",177
"Te Arawa(12)","Iwi groupings","Waiariki",18060
"Te Atiawa(13)","Iwi groupings","Waiariki",1425
"Tūranganui a Kiwa(14)","Iwi groupings","Waiariki",1050
"Waikato–Tainui(15)","Iwi groupings","Waiariki",5070
"Ngāti Toarangatira(16)","Iwi groupings","Waiariki",318
"Rangitāne(17)","Iwi groupings","Waiariki",264
"Other iwi(18)","Iwi groupings","Waiariki",54051
"Ngā Hotahota o te Whitau(19)","Iwi groupings","Waiariki",9855
"Not elsewhere included(5)","Iwi groupings","Waiariki",2469
"Te Aupōuri","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Area Outside Māori Electorate",NA
"Ngāti Kahu","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Area Outside Māori Electorate",NA
"Ngāti Kurī","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Area Outside Māori Electorate",NA
"Ngāpuhi","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Area Outside Māori Electorate",NA
"Ngāpuhi ki Whaingaroa-Ngāti Kahu ki Whaingaroa","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Area Outside Māori Electorate",NA
"Te Rarawa","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Area Outside Māori Electorate",NA
"Ngāi Takoto","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Area Outside Māori Electorate",NA
"Ngāti Wai","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Area Outside Māori Electorate",NA
"Ngāti Whātua","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Area Outside Māori Electorate",NA
"Te Kawerau","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Area Outside Māori Electorate",NA
"Te Uri-o-Hau","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Area Outside Māori Electorate",NA
"Te Roroa","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Area Outside Māori Electorate",NA
"Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region, not further defined","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Area Outside Māori Electorate",NA
"Ngāti Hako","Hauraki (Coromandel) Region","Area Outside Māori Electorate",NA
"Ngāti Hei","Hauraki (Coromandel) Region","Area Outside Māori Electorate",NA
"Ngāti Maru (Hauraki)(3)","Hauraki (Coromandel) Region","Area Outside Māori Electorate",NA
"Ngāti Paoa","Hauraki (Coromandel) Region","Area Outside Māori Electorate",NA
"Patukirikiri","Hauraki (Coromandel) Region","Area Outside Māori Electorate",NA
"Ngāti Porou ki Harataunga ki Mataora","Hauraki (Coromandel) Region","Area Outside Māori Electorate",NA
"Ngāti Pūkenga ki Waiau","Hauraki (Coromandel) Region","Area Outside Māori Electorate",NA
"Ngāti Rāhiri Tumutumu","Hauraki (Coromandel) Region","Area Outside Māori Electorate",NA
"Ngāi Tai (Hauraki)","Hauraki (Coromandel) Region","Area Outside Māori Electorate",NA
"Ngāti Tamaterā","Hauraki (Coromandel) Region","Area Outside Māori Electorate",NA
"Ngāti Tara Tokanui","Hauraki (Coromandel) Region","Area Outside Māori Electorate",NA
"Ngāti Whanaunga","Hauraki (Coromandel) Region","Area Outside Māori Electorate",NA
"Hauraki (Coromandel) Region, not further defined","Hauraki (Coromandel) Region","Area Outside Māori Electorate",NA
"Ngāti Haua (Waikato)","Waikato/Te Rohe Pōtae (Waikato/King Country) Region","Area Outside Māori Electorate",NA
"Ngāti Maniapoto","Waikato/Te Rohe Pōtae (Waikato/King Country) Region","Area Outside Māori Electorate",NA
"Ngāti Raukawa (Waikato)","Waikato/Te Rohe Pōtae (Waikato/King Country) Region","Area Outside Māori Electorate",NA
