"level0","level1","Total household income(1)","count"
"West Coast-Tasman","South Island general electorates","Zero income",174
"Wigram","South Island general electorates","Zero income",207
"Area Outside General Electorate","South Island general electorates","Zero income",NA
"Auckland Central","North Island general electorates","$1–$5,000",1092
"Bay of Plenty","North Island general electorates","$1–$5,000",321
"Botany","North Island general electorates","$1–$5,000",531
"Coromandel","North Island general electorates","$1–$5,000",498
"East Coast","North Island general electorates","$1–$5,000",798
"East Coast Bays","North Island general electorates","$1–$5,000",375
"Epsom","North Island general electorates","$1–$5,000",495
"Hamilton East","North Island general electorates","$1–$5,000",708
"Hamilton West","North Island general electorates","$1–$5,000",510
"Helensville","North Island general electorates","$1–$5,000",234
"Hunua","North Island general electorates","$1–$5,000",366
"Hutt South","North Island general electorates","$1–$5,000",324
"Kelston","North Island general electorates","$1–$5,000",471
"Mana","North Island general electorates","$1–$5,000",435
"Mangere","North Island general electorates","$1–$5,000",954
"Manukau East","North Island general electorates","$1–$5,000",966
"Manurewa","North Island general electorates","$1–$5,000",876
"Maungakiekie","North Island general electorates","$1–$5,000",669
"Mt Albert","North Island general electorates","$1–$5,000",399
"Mt Roskill","North Island general electorates","$1–$5,000",561
"Napier","North Island general electorates","$1–$5,000",498
"New Lynn","North Island general electorates","$1–$5,000",498
"New Plymouth","North Island general electorates","$1–$5,000",345
"North Shore","North Island general electorates","$1–$5,000",378
"Northcote","North Island general electorates","$1–$5,000",393
"Northland","North Island general electorates","$1–$5,000",777
"Ohariu","North Island general electorates","$1–$5,000",192
"Otaki","North Island general electorates","$1–$5,000",354
"Pakuranga","North Island general electorates","$1–$5,000",402
"Palmerston North","North Island general electorates","$1–$5,000",489
"Papakura","North Island general electorates","$1–$5,000",570
"Rangitikei","North Island general electorates","$1–$5,000",384
"Rimutaka","North Island general electorates","$1–$5,000",456
"Rodney","North Island general electorates","$1–$5,000",291
"Rongotai","North Island general electorates","$1–$5,000",276
"Rotorua","North Island general electorates","$1–$5,000",540
"Tamaki","North Island general electorates","$1–$5,000",306
"Taranaki-King Country","North Island general electorates","$1–$5,000",324
"Taupo","North Island general electorates","$1–$5,000",423
"Tauranga","North Island general electorates","$1–$5,000",387
"Te Atatu","North Island general electorates","$1–$5,000",534
"Tukituki","North Island general electorates","$1–$5,000",471
"Upper Harbour","North Island general electorates","$1–$5,000",438
"Waikato","North Island general electorates","$1–$5,000",375
"Wairarapa","North Island general electorates","$1–$5,000",414
"Wellington Central","North Island general electorates","$1–$5,000",387
"Whanganui","North Island general electorates","$1–$5,000",426
"Whangarei","North Island general electorates","$1–$5,000",498
"Christchurch Central","South Island general electorates","$1–$5,000",366
"Christchurch East","South Island general electorates","$1–$5,000",258
"Clutha-Southland","South Island general electorates","$1–$5,000",270
