"level0","level1","Total household income(1)","count"
"Botany","North Island general electorates","$30,001– $35,000",1701
"Coromandel","North Island general electorates","$30,001– $35,000",4326
"East Coast","North Island general electorates","$30,001– $35,000",4248
"East Coast Bays","North Island general electorates","$30,001– $35,000",1626
"Epsom","North Island general electorates","$30,001– $35,000",1179
"Hamilton East","North Island general electorates","$30,001– $35,000",2472
"Hamilton West","North Island general electorates","$30,001– $35,000",2577
"Helensville","North Island general electorates","$30,001– $35,000",1512
"Hunua","North Island general electorates","$30,001– $35,000",1935
"Hutt South","North Island general electorates","$30,001– $35,000",2013
"Kelston","North Island general electorates","$30,001– $35,000",1935
"Mana","North Island general electorates","$30,001– $35,000",1875
"Mangere","North Island general electorates","$30,001– $35,000",1635
"Manukau East","North Island general electorates","$30,001– $35,000",1842
"Manurewa","North Island general electorates","$30,001– $35,000",2148
"Maungakiekie","North Island general electorates","$30,001– $35,000",1800
"Mt Albert","North Island general electorates","$30,001– $35,000",1260
"Mt Roskill","North Island general electorates","$30,001– $35,000",1620
"Napier","North Island general electorates","$30,001– $35,000",3519
"New Lynn","North Island general electorates","$30,001– $35,000",2028
"New Plymouth","North Island general electorates","$30,001– $35,000",2769
"North Shore","North Island general electorates","$30,001– $35,000",1560
"Northcote","North Island general electorates","$30,001– $35,000",1755
"Northland","North Island general electorates","$30,001– $35,000",4584
"Ohariu","North Island general electorates","$30,001– $35,000",975
"Otaki","North Island general electorates","$30,001– $35,000",4239
"Pakuranga","North Island general electorates","$30,001– $35,000",1797
"Palmerston North","North Island general electorates","$30,001– $35,000",2664
"Papakura","North Island general electorates","$30,001– $35,000",2067
"Rangitikei","North Island general electorates","$30,001– $35,000",2790
"Rimutaka","North Island general electorates","$30,001– $35,000",2259
"Rodney","North Island general electorates","$30,001– $35,000",2910
"Rongotai","North Island general electorates","$30,001– $35,000",1476
"Rotorua","North Island general electorates","$30,001– $35,000",3177
"Tamaki","North Island general electorates","$30,001– $35,000",1257
"Taranaki-King Country","North Island general electorates","$30,001– $35,000",2586
"Taupo","North Island general electorates","$30,001– $35,000",3291
"Tauranga","North Island general electorates","$30,001– $35,000",3195
"Te Atatu","North Island general electorates","$30,001– $35,000",2262
"Tukituki","North Island general electorates","$30,001– $35,000",3030
"Upper Harbour","North Island general electorates","$30,001– $35,000",1671
"Waikato","North Island general electorates","$30,001– $35,000",2730
"Wairarapa","North Island general electorates","$30,001– $35,000",3432
"Wellington Central","North Island general electorates","$30,001– $35,000",1275
"Whanganui","North Island general electorates","$30,001– $35,000",3621
"Whangarei","North Island general electorates","$30,001– $35,000",3693
"Christchurch Central","South Island general electorates","$30,001– $35,000",2334
"Christchurch East","South Island general electorates","$30,001– $35,000",2517
"Clutha-Southland","South Island general electorates","$30,001– $35,000",2331
"Dunedin North","South Island general electorates","$30,001– $35,000",2745
"Dunedin South","South Island general electorates","$30,001– $35,000",2841
"Ilam","South Island general electorates","$30,001– $35,000",1932
"Invercargill","South Island general electorates","$30,001– $35,000",2793
"Kaikoura","South Island general electorates","$30,001– $35,000",2910
"Nelson","South Island general electorates","$30,001– $35,000",2904
"Port Hills","South Island general electorates","$30,001– $35,000",2262
"Rangitata","South Island general electorates","$30,001– $35,000",3036
"Selwyn","South Island general electorates","$30,001– $35,000",1653
"Waimakariri","South Island general electorates","$30,001– $35,000",2586
"Waitaki","South Island general electorates","$30,001– $35,000",3324
"West Coast-Tasman","South Island general electorates","$30,001– $35,000",3027
"Wigram","South Island general electorates","$30,001– $35,000",2241
"Area Outside General Electorate","South Island general electorates","$30,001– $35,000",NA
"Auckland Central","North Island general electorates","$35,001– $40,000",1461
"Bay of Plenty","North Island general electorates","$35,001– $40,000",2166
"Botany","North Island general electorates","$35,001– $40,000",1329
"Coromandel","North Island general electorates","$35,001– $40,000",2535
"East Coast","North Island general electorates","$35,001– $40,000",3339
"East Coast Bays","North Island general electorates","$35,001– $40,000",1179
"Epsom","North Island general electorates","$35,001– $40,000",1023
"Hamilton East","North Island general electorates","$35,001– $40,000",2037
"Hamilton West","North Island general electorates","$35,001– $40,000",2088
"Helensville","North Island general electorates","$35,001– $40,000",1212
"Hunua","North Island general electorates","$35,001– $40,000",1410
"Hutt South","North Island general electorates","$35,001– $40,000",1527
"Kelston","North Island general electorates","$35,001– $40,000",1824
"Mana","North Island general electorates","$35,001– $40,000",1692
"Mangere","North Island general electorates","$35,001– $40,000",1332
"Manukau East","North Island general electorates","$35,001– $40,000",1785
"Manurewa","North Island general electorates","$35,001– $40,000",1953
"Maungakiekie","North Island general electorates","$35,001– $40,000",1626
"Mt Albert","North Island general electorates","$35,001– $40,000",1197
"Mt Roskill","North Island general electorates","$35,001– $40,000",1374
"Napier","North Island general electorates","$35,001– $40,000",2346
"New Lynn","North Island general electorates","$35,001– $40,000",1599
"New Plymouth","North Island general electorates","$35,001– $40,000",2010
"North Shore","North Island general electorates","$35,001– $40,000",1299
"Northcote","North Island general electorates","$35,001– $40,000",1452
"Northland","North Island general electorates","$35,001– $40,000",2994
"Ohariu","North Island general electorates","$35,001– $40,000",990
"Otaki","North Island general electorates","$35,001– $40,000",2394
"Pakuranga","North Island general electorates","$35,001– $40,000",1584
"Palmerston North","North Island general electorates","$35,001– $40,000",2250
"Papakura","North Island general electorates","$35,001– $40,000",1686
"Rangitikei","North Island general electorates","$35,001– $40,000",2265
"Rimutaka","North Island general electorates","$35,001– $40,000",1797
"Rodney","North Island general electorates","$35,001– $40,000",1734
"Rongotai","North Island general electorates","$35,001– $40,000",1482
"Rotorua","North Island general electorates","$35,001– $40,000",2448
"Tamaki","North Island general electorates","$35,001– $40,000",993
"Taranaki-King Country","North Island general electorates","$35,001– $40,000",1848
"Taupo","North Island general electorates","$35,001– $40,000",2409
"Tauranga","North Island general electorates","$35,001– $40,000",2187
"Te Atatu","North Island general electorates","$35,001– $40,000",1875
"Tukituki","North Island general electorates","$35,001– $40,000",2430
"Upper Harbour","North Island general electorates","$35,001– $40,000",1575
"Waikato","North Island general electorates","$35,001– $40,000",1911
"Wairarapa","North Island general electorates","$35,001– $40,000",2553
"Wellington Central","North Island general electorates","$35,001– $40,000",1299
"Whanganui","North Island general electorates","$35,001– $40,000",2517
"Whangarei","North Island general electorates","$35,001– $40,000",2388
"Christchurch Central","South Island general electorates","$35,001– $40,000",1866
"Christchurch East","South Island general electorates","$35,001– $40,000",1884
"Clutha-Southland","South Island general electorates","$35,001– $40,000",1845
"Dunedin North","South Island general electorates","$35,001– $40,000",2193
"Dunedin South","South Island general electorates","$35,001– $40,000",1779
"Ilam","South Island general electorates","$35,001– $40,000",1455
"Invercargill","South Island general electorates","$35,001– $40,000",2067
"Kaikoura","South Island general electorates","$35,001– $40,000",1989
"Nelson","South Island general electorates","$35,001– $40,000",2208
"Port Hills","South Island general electorates","$35,001– $40,000",1560
"Rangitata","South Island general electorates","$35,001– $40,000",2049
"Selwyn","South Island general electorates","$35,001– $40,000",1221
"Waimakariri","South Island general electorates","$35,001– $40,000",1419
"Waitaki","South Island general electorates","$35,001– $40,000",2070
"West Coast-Tasman","South Island general electorates","$35,001– $40,000",2034
"Wigram","South Island general electorates","$35,001– $40,000",1737
"Area Outside General Electorate","South Island general electorates","$35,001– $40,000",NA
"Auckland Central","North Island general electorates","$40,001– $50,000",2787
"Bay of Plenty","North Island general electorates","$40,001– $50,000",4401
"Botany","North Island general electorates","$40,001– $50,000",2742
"Coromandel","North Island general electorates","$40,001– $50,000",5358
"East Coast","North Island general electorates","$40,001– $50,000",6204
"East Coast Bays","North Island general electorates","$40,001– $50,000",2691
"Epsom","North Island general electorates","$40,001– $50,000",2220
"Hamilton East","North Island general electorates","$40,001– $50,000",3891
"Hamilton West","North Island general electorates","$40,001– $50,000",4227
"Helensville","North Island general electorates","$40,001– $50,000",2484
"Hunua","North Island general electorates","$40,001– $50,000",2862
"Hutt South","North Island general electorates","$40,001– $50,000",3357
"Kelston","North Island general electorates","$40,001– $50,000",3555
"Mana","North Island general electorates","$40,001– $50,000",3372
"Mangere","North Island general electorates","$40,001– $50,000",2868
"Manukau East","North Island general electorates","$40,001– $50,000",3375
"Manurewa","North Island general electorates","$40,001– $50,000",3558
"Maungakiekie","North Island general electorates","$40,001– $50,000",3201
"Mt Albert","North Island general electorates","$40,001– $50,000",2283
"Mt Roskill","North Island general electorates","$40,001– $50,000",2928
"Napier","North Island general electorates","$40,001– $50,000",4935
"New Lynn","North Island general electorates","$40,001– $50,000",3192
"New Plymouth","North Island general electorates","$40,001– $50,000",4233
"North Shore","North Island general electorates","$40,001– $50,000",2757
"Northcote","North Island general electorates","$40,001– $50,000",3213
"Northland","North Island general electorates","$40,001– $50,000",6192
"Ohariu","North Island general electorates","$40,001– $50,000",2196
"Otaki","North Island general electorates","$40,001– $50,000",4599
"Pakuranga","North Island general electorates","$40,001– $50,000",3111
"Palmerston North","North Island general electorates","$40,001– $50,000",4515
"Papakura","North Island general electorates","$40,001– $50,000",3261
"Rangitikei","North Island general electorates","$40,001– $50,000",4869
"Rimutaka","North Island general electorates","$40,001– $50,000",3963
"Rodney","North Island general electorates","$40,001– $50,000",3867
"Rongotai","North Island general electorates","$40,001– $50,000",2709
"Rotorua","North Island general electorates","$40,001– $50,000",5139
"Tamaki","North Island general electorates","$40,001– $50,000",2079
"Taranaki-King Country","North Island general electorates","$40,001– $50,000",4455
"Taupo","North Island general electorates","$40,001– $50,000",4665
"Tauranga","North Island general electorates","$40,001– $50,000",4404
"Te Atatu","North Island general electorates","$40,001– $50,000",3858
"Tukituki","North Island general electorates","$40,001– $50,000",4926
"Upper Harbour","North Island general electorates","$40,001– $50,000",3150
"Waikato","North Island general electorates","$40,001– $50,000",4200
"Wairarapa","North Island general electorates","$40,001– $50,000",4992
"Wellington Central","North Island general electorates","$40,001– $50,000",2340
"Whanganui","North Island general electorates","$40,001– $50,000",4902
"Whangarei","North Island general electorates","$40,001– $50,000",4776
"Christchurch Central","South Island general electorates","$40,001– $50,000",4086
"Christchurch East","South Island general electorates","$40,001– $50,000",3687
"Clutha-Southland","South Island general electorates","$40,001– $50,000",4239
"Dunedin North","South Island general electorates","$40,001– $50,000",4065
"Dunedin South","South Island general electorates","$40,001– $50,000",3867
"Ilam","South Island general electorates","$40,001– $50,000",3069
"Invercargill","South Island general electorates","$40,001– $50,000",4179
"Kaikoura","South Island general electorates","$40,001– $50,000",4575
"Nelson","South Island general electorates","$40,001– $50,000",4587
"Port Hills","South Island general electorates","$40,001– $50,000",3252
"Rangitata","South Island general electorates","$40,001– $50,000",4278
"Selwyn","South Island general electorates","$40,001– $50,000",2811
"Waimakariri","South Island general electorates","$40,001– $50,000",3360
"Waitaki","South Island general electorates","$40,001– $50,000",4896
"West Coast-Tasman","South Island general electorates","$40,001– $50,000",4413
"Wigram","South Island general electorates","$40,001– $50,000",3609
"Area Outside General Electorate","South Island general electorates","$40,001– $50,000",NA
"Auckland Central","North Island general electorates","$50,001– $60,000",2772
"Bay of Plenty","North Island general electorates","$50,001– $60,000",4617
"Botany","North Island general electorates","$50,001– $60,000",2940
"Coromandel","North Island general electorates","$50,001– $60,000",4971
"East Coast","North Island general electorates","$50,001– $60,000",6594
"East Coast Bays","North Island general electorates","$50,001– $60,000",2856
"Epsom","North Island general electorates","$50,001– $60,000",2298
"Hamilton East","North Island general electorates","$50,001– $60,000",3705
"Hamilton West","North Island general electorates","$50,001– $60,000",4686
"Helensville","North Island general electorates","$50,001– $60,000",2700
"Hunua","North Island general electorates","$50,001– $60,000",3213
"Hutt South","North Island general electorates","$50,001– $60,000",3750
"Kelston","North Island general electorates","$50,001– $60,000",3579
"Mana","North Island general electorates","$50,001– $60,000",3387
"Mangere","North Island general electorates","$50,001– $60,000",2895
"Manukau East","North Island general electorates","$50,001– $60,000",3363
"Manurewa","North Island general electorates","$50,001– $60,000",3621
"Maungakiekie","North Island general electorates","$50,001– $60,000",3423
"Mt Albert","North Island general electorates","$50,001– $60,000",2595
"Mt Roskill","North Island general electorates","$50,001– $60,000",3141
"Napier","North Island general electorates","$50,001– $60,000",5154
"New Lynn","North Island general electorates","$50,001– $60,000",3288
"New Plymouth","North Island general electorates","$50,001– $60,000",4368
"North Shore","North Island general electorates","$50,001– $60,000",2802
"Northcote","North Island general electorates","$50,001– $60,000",3252
"Northland","North Island general electorates","$50,001– $60,000",5802
"Ohariu","North Island general electorates","$50,001– $60,000",2499
"Otaki","North Island general electorates","$50,001– $60,000",4365
"Pakuranga","North Island general electorates","$50,001– $60,000",3258
"Palmerston North","North Island general electorates","$50,001– $60,000",4572
"Papakura","North Island general electorates","$50,001– $60,000",3657
"Rangitikei","North Island general electorates","$50,001– $60,000",5070
"Rimutaka","North Island general electorates","$50,001– $60,000",4227
"Rodney","North Island general electorates","$50,001– $60,000",3639
"Rongotai","North Island general electorates","$50,001– $60,000",2763
"Rotorua","North Island general electorates","$50,001– $60,000",5340
"Tamaki","North Island general electorates","$50,001– $60,000",2142
"Taranaki-King Country","North Island general electorates","$50,001– $60,000",4824
"Taupo","North Island general electorates","$50,001– $60,000",5097
"Tauranga","North Island general electorates","$50,001– $60,000",4176
"Te Atatu","North Island general electorates","$50,001– $60,000",3924
"Tukituki","North Island general electorates","$50,001– $60,000",5055
"Upper Harbour","North Island general electorates","$50,001– $60,000",3381
"Waikato","North Island general electorates","$50,001– $60,000",4497
"Wairarapa","North Island general electorates","$50,001– $60,000",5316
"Wellington Central","North Island general electorates","$50,001– $60,000",2412
"Whanganui","North Island general electorates","$50,001– $60,000",5211
"Whangarei","North Island general electorates","$50,001– $60,000",4851
"Christchurch Central","South Island general electorates","$50,001– $60,000",4044
"Christchurch East","South Island general electorates","$50,001– $60,000",4209
"Clutha-Southland","South Island general electorates","$50,001– $60,000",4953
"Dunedin North","South Island general electorates","$50,001– $60,000",3609
"Dunedin South","South Island general electorates","$50,001– $60,000",4440
"Ilam","South Island general electorates","$50,001– $60,000",3315
"Invercargill","South Island general electorates","$50,001– $60,000",4710
"Kaikoura","South Island general electorates","$50,001– $60,000",4698
"Nelson","South Island general electorates","$50,001– $60,000",4776
"Port Hills","South Island general electorates","$50,001– $60,000",3552
"Rangitata","South Island general electorates","$50,001– $60,000",4758
"Selwyn","South Island general electorates","$50,001– $60,000",3048
"Waimakariri","South Island general electorates","$50,001– $60,000",3549
"Waitaki","South Island general electorates","$50,001– $60,000",5172
"West Coast-Tasman","South Island general electorates","$50,001– $60,000",4536
"Wigram","South Island general electorates","$50,001– $60,000",3882
"Area Outside General Electorate","South Island general electorates","$50,001– $60,000",NA
"Auckland Central","North Island general electorates","$60,001– $70,000",2643
"Bay of Plenty","North Island general electorates","$60,001– $70,000",4515
"Botany","North Island general electorates","$60,001– $70,000",3144
"Coromandel","North Island general electorates","$60,001– $70,000",4245
"East Coast","North Island general electorates","$60,001– $70,000",5580
"East Coast Bays","North Island general electorates","$60,001– $70,000",2613
"Epsom","North Island general electorates","$60,001– $70,000",2106
"Hamilton East","North Island general electorates","$60,001– $70,000",3864
"Hamilton West","North Island general electorates","$60,001– $70,000",4677
"Helensville","North Island general electorates","$60,001– $70,000",2769
"Hunua","North Island general electorates","$60,001– $70,000",3210
"Hutt South","North Island general electorates","$60,001– $70,000",3630
"Kelston","North Island general electorates","$60,001– $70,000",3879
"Mana","North Island general electorates","$60,001– $70,000",3630
"Mangere","North Island general electorates","$60,001– $70,000",2979
"Manukau East","North Island general electorates","$60,001– $70,000",3279
"Manurewa","North Island general electorates","$60,001– $70,000",3426
"Maungakiekie","North Island general electorates","$60,001– $70,000",3660
"Mt Albert","North Island general electorates","$60,001– $70,000",2595
"Mt Roskill","North Island general electorates","$60,001– $70,000",2928
"Napier","North Island general electorates","$60,001– $70,000",4848
"New Lynn","North Island general electorates","$60,001– $70,000",3189
"New Plymouth","North Island general electorates","$60,001– $70,000",4287
"North Shore","North Island general electorates","$60,001– $70,000",2838
"Northcote","North Island general electorates","$60,001– $70,000",3474
"Northland","North Island general electorates","$60,001– $70,000",5172
"Ohariu","North Island general electorates","$60,001– $70,000",2673
"Otaki","North Island general electorates","$60,001– $70,000",3888
"Pakuranga","North Island general electorates","$60,001– $70,000",3180
"Palmerston North","North Island general electorates","$60,001– $70,000",4434
"Papakura","North Island general electorates","$60,001– $70,000",3939
"Rangitikei","North Island general electorates","$60,001– $70,000",4773
"Rimutaka","North Island general electorates","$60,001– $70,000",4200
"Rodney","North Island general electorates","$60,001– $70,000",3699
"Rongotai","North Island general electorates","$60,001– $70,000",2976
"Rotorua","North Island general electorates","$60,001– $70,000",4959
"Tamaki","North Island general electorates","$60,001– $70,000",2205
"Taranaki-King Country","North Island general electorates","$60,001– $70,000",4410
"Taupo","North Island general electorates","$60,001– $70,000",4890
"Tauranga","North Island general electorates","$60,001– $70,000",4095
"Te Atatu","North Island general electorates","$60,001– $70,000",3903
"Tukituki","North Island general electorates","$60,001– $70,000",4776
"Upper Harbour","North Island general electorates","$60,001– $70,000",3579
"Waikato","North Island general electorates","$60,001– $70,000",4917
"Wairarapa","North Island general electorates","$60,001– $70,000",4845
"Wellington Central","North Island general electorates","$60,001– $70,000",2619
"Whanganui","North Island general electorates","$60,001– $70,000",4863
"Whangarei","North Island general electorates","$60,001– $70,000",4638
"Christchurch Central","South Island general electorates","$60,001– $70,000",3942
"Christchurch East","South Island general electorates","$60,001– $70,000",4437
"Clutha-Southland","South Island general electorates","$60,001– $70,000",4842
"Dunedin North","South Island general electorates","$60,001– $70,000",3465
"Dunedin South","South Island general electorates","$60,001– $70,000",4014
"Ilam","South Island general electorates","$60,001– $70,000",3219
"Invercargill","South Island general electorates","$60,001– $70,000",4755
"Kaikoura","South Island general electorates","$60,001– $70,000",4536
"Nelson","South Island general electorates","$60,001– $70,000",4665
"Port Hills","South Island general electorates","$60,001– $70,000",3726
"Rangitata","South Island general electorates","$60,001– $70,000",4731
"Selwyn","South Island general electorates","$60,001– $70,000",3522
"Waimakariri","South Island general electorates","$60,001– $70,000",3825
"Waitaki","South Island general electorates","$60,001– $70,000",4836
"West Coast-Tasman","South Island general electorates","$60,001– $70,000",4485
"Wigram","South Island general electorates","$60,001– $70,000",4113
"Area Outside General Electorate","South Island general electorates","$60,001– $70,000",NA
"Auckland Central","North Island general electorates","$70,001– $100,000",6819
"Bay of Plenty","North Island general electorates","$70,001– $100,000",11808
"Botany","North Island general electorates","$70,001– $100,000",10140
"Coromandel","North Island general electorates","$70,001– $100,000",10200
"East Coast","North Island general electorates","$70,001– $100,000",14295
"East Coast Bays","North Island general electorates","$70,001– $100,000",9024
"Epsom","North Island general electorates","$70,001– $100,000",6444
"Hamilton East","North Island general electorates","$70,001– $100,000",11430
"Hamilton West","North Island general electorates","$70,001– $100,000",12900
"Helensville","North Island general electorates","$70,001– $100,000",9573
"Hunua","North Island general electorates","$70,001– $100,000",10278
"Hutt South","North Island general electorates","$70,001– $100,000",11481
"Kelston","North Island general electorates","$70,001– $100,000",10515
"Mana","North Island general electorates","$70,001– $100,000",11034
"Mangere","North Island general electorates","$70,001– $100,000",8601
"Manukau East","North Island general electorates","$70,001– $100,000",8793
"Manurewa","North Island general electorates","$70,001– $100,000",10263
"Maungakiekie","North Island general electorates","$70,001– $100,000",9867
"Mt Albert","North Island general electorates","$70,001– $100,000",7992
"Mt Roskill","North Island general electorates","$70,001– $100,000",8625
"Napier","North Island general electorates","$70,001– $100,000",11967
"New Lynn","North Island general electorates","$70,001– $100,000",9720
"New Plymouth","North Island general electorates","$70,001– $100,000",11418
"North Shore","North Island general electorates","$70,001– $100,000",8751
"Northcote","North Island general electorates","$70,001– $100,000",10305
"Northland","North Island general electorates","$70,001– $100,000",11175
"Ohariu","North Island general electorates","$70,001– $100,000",9558
"Otaki","North Island general electorates","$70,001– $100,000",9525
"Pakuranga","North Island general electorates","$70,001– $100,000",10275
"Palmerston North","North Island general electorates","$70,001– $100,000",11184
"Papakura","North Island general electorates","$70,001– $100,000",11430
"Rangitikei","North Island general electorates","$70,001– $100,000",11934
"Rimutaka","North Island general electorates","$70,001– $100,000",12024
"Rodney","North Island general electorates","$70,001– $100,000",10242
"Rongotai","North Island general electorates","$70,001– $100,000",9063
"Rotorua","North Island general electorates","$70,001– $100,000",12447
"Tamaki","North Island general electorates","$70,001– $100,000",6879
"Taranaki-King Country","North Island general electorates","$70,001– $100,000",12240
"Taupo","North Island general electorates","$70,001– $100,000",12918
"Tauranga","North Island general electorates","$70,001– $100,000",10689
"Te Atatu","North Island general electorates","$70,001– $100,000",11010
"Tukituki","North Island general electorates","$70,001– $100,000",12312
"Upper Harbour","North Island general electorates","$70,001– $100,000",11160
"Waikato","North Island general electorates","$70,001– $100,000",12624
"Wairarapa","North Island general electorates","$70,001– $100,000",11580
"Wellington Central","North Island general electorates","$70,001– $100,000",7701
"Whanganui","North Island general electorates","$70,001– $100,000",11673
"Whangarei","North Island general electorates","$70,001– $100,000",11634
"Christchurch Central","South Island general electorates","$70,001– $100,000",10887
"Christchurch East","South Island general electorates","$70,001– $100,000",11967
"Clutha-Southland","South Island general electorates","$70,001– $100,000",12861
"Dunedin North","South Island general electorates","$70,001– $100,000",8988
"Dunedin South","South Island general electorates","$70,001– $100,000",11082
"Ilam","South Island general electorates","$70,001– $100,000",9957
"Invercargill","South Island general electorates","$70,001– $100,000",12366
"Kaikoura","South Island general electorates","$70,001– $100,000",11577
"Nelson","South Island general electorates","$70,001– $100,000",11310
"Port Hills","South Island general electorates","$70,001– $100,000",11388
"Rangitata","South Island general electorates","$70,001– $100,000",13044
"Selwyn","South Island general electorates","$70,001– $100,000",11667
"Waimakariri","South Island general electorates","$70,001– $100,000",11625
"Waitaki","South Island general electorates","$70,001– $100,000",11949
"West Coast-Tasman","South Island general electorates","$70,001– $100,000",10902
"Wigram","South Island general electorates","$70,001– $100,000",11100
"Area Outside General Electorate","South Island general electorates","$70,001– $100,000",NA
"Auckland Central","North Island general electorates","$100,001– $150,000",6927
"Bay of Plenty","North Island general electorates","$100,001– $150,000",9747
"Botany","North Island general electorates","$100,001– $150,000",13278
"Coromandel","North Island general electorates","$100,001– $150,000",6399
"East Coast","North Island general electorates","$100,001– $150,000",10527
"East Coast Bays","North Island general electorates","$100,001– $150,000",12273
"Epsom","North Island general electorates","$100,001– $150,000",8307
"Hamilton East","North Island general electorates","$100,001– $150,000",11622
"Hamilton West","North Island general electorates","$100,001– $150,000",11289
"Helensville","North Island general electorates","$100,001– $150,000",12363
"Hunua","North Island general electorates","$100,001– $150,000",12828
"Hutt South","North Island general electorates","$100,001– $150,000",13251
"Kelston","North Island general electorates","$100,001– $150,000",9993
"Mana","North Island general electorates","$100,001– $150,000",11871
"Mangere","North Island general electorates","$100,001– $150,000",8424
"Manukau East","North Island general electorates","$100,001– $150,000",7965
"Manurewa","North Island general electorates","$100,001– $150,000",9471
"Maungakiekie","North Island general electorates","$100,001– $150,000",10965
"Mt Albert","North Island general electorates","$100,001– $150,000",10575
"Mt Roskill","North Island general electorates","$100,001– $150,000",10296
"Napier","North Island general electorates","$100,001– $150,000",8799
"New Lynn","North Island general electorates","$100,001– $150,000",11253
"New Plymouth","North Island general electorates","$100,001– $150,000",10197
"North Shore","North Island general electorates","$100,001– $150,000",11613
"Northcote","North Island general electorates","$100,001– $150,000",12570
"Northland","North Island general electorates","$100,001– $150,000",6789
"Ohariu","North Island general electorates","$100,001– $150,000",13464
"Otaki","North Island general electorates","$100,001– $150,000",7122
"Pakuranga","North Island general electorates","$100,001– $150,000",12138
"Palmerston North","North Island general electorates","$100,001– $150,000",9117
"Papakura","North Island general electorates","$100,001– $150,000",12738
"Rangitikei","North Island general electorates","$100,001– $150,000",8730
"Rimutaka","North Island general electorates","$100,001– $150,000",11319
"Rodney","North Island general electorates","$100,001– $150,000",11163
"Rongotai","North Island general electorates","$100,001– $150,000",11346
"Rotorua","North Island general electorates","$100,001– $150,000",9651
"Tamaki","North Island general electorates","$100,001– $150,000",9663
"Taranaki-King Country","North Island general electorates","$100,001– $150,000",9975
"Taupo","North Island general electorates","$100,001– $150,000",10548
"Tauranga","North Island general electorates","$100,001– $150,000",8952
"Te Atatu","North Island general electorates","$100,001– $150,000",11406
"Tukituki","North Island general electorates","$100,001– $150,000",9336
"Upper Harbour","North Island general electorates","$100,001– $150,000",13032
"Waikato","North Island general electorates","$100,001– $150,000",11220
"Wairarapa","North Island general electorates","$100,001– $150,000",7491
"Wellington Central","North Island general electorates","$100,001– $150,000",10512
"Whanganui","North Island general electorates","$100,001– $150,000",7617
"Whangarei","North Island general electorates","$100,001– $150,000",8919
"Christchurch Central","South Island general electorates","$100,001– $150,000",9768
"Christchurch East","South Island general electorates","$100,001– $150,000",10125
"Clutha-Southland","South Island general electorates","$100,001– $150,000",9453
"Dunedin North","South Island general electorates","$100,001– $150,000",7179
"Dunedin South","South Island general electorates","$100,001– $150,000",9357
"Ilam","South Island general electorates","$100,001– $150,000",10449
"Invercargill","South Island general electorates","$100,001– $150,000",8862
"Kaikoura","South Island general electorates","$100,001– $150,000",8628
"Nelson","South Island general electorates","$100,001– $150,000",8652
"Port Hills","South Island general electorates","$100,001– $150,000",12060
"Rangitata","South Island general electorates","$100,001– $150,000",9198
"Selwyn","South Island general electorates","$100,001– $150,000",12348
"Waimakariri","South Island general electorates","$100,001– $150,000",11283
"Waitaki","South Island general electorates","$100,001– $150,000",7941
"West Coast-Tasman","South Island general electorates","$100,001– $150,000",7503
"Wigram","South Island general electorates","$100,001– $150,000",9408
"Area Outside General Electorate","South Island general electorates","$100,001– $150,000",NA
"Auckland Central","North Island general electorates","$150,001 or More",10569
"Bay of Plenty","North Island general electorates","$150,001 or More",5454
"Botany","North Island general electorates","$150,001 or More",12111
"Coromandel","North Island general electorates","$150,001 or More",4167
"East Coast","North Island general electorates","$150,001 or More",5583
"East Coast Bays","North Island general electorates","$150,001 or More",13371
"Epsom","North Island general electorates","$150,001 or More",21963
"Hamilton East","North Island general electorates","$150,001 or More",8520
"Hamilton West","North Island general electorates","$150,001 or More",6573
"Helensville","North Island general electorates","$150,001 or More",12696
"Hunua","North Island general electorates","$150,001 or More",12171
"Hutt South","North Island general electorates","$150,001 or More",12222
"Kelston","North Island general electorates","$150,001 or More",5874
"Mana","North Island general electorates","$150,001 or More",10677
"Mangere","North Island general electorates","$150,001 or More",6045
"Manukau East","North Island general electorates","$150,001 or More",4635
"Manurewa","North Island general electorates","$150,001 or More",6261
"Maungakiekie","North Island general electorates","$150,001 or More",10290
"Mt Albert","North Island general electorates","$150,001 or More",17826
"Mt Roskill","North Island general electorates","$150,001 or More",11127
"Napier","North Island general electorates","$150,001 or More",4566
"New Lynn","North Island general electorates","$150,001 or More",7818
"New Plymouth","North Island general electorates","$150,001 or More",7518
"North Shore","North Island general electorates","$150,001 or More",17757
"Northcote","North Island general electorates","$150,001 or More",11490
"Northland","North Island general electorates","$150,001 or More",4008
"Ohariu","North Island general electorates","$150,001 or More",17160
"Otaki","North Island general electorates","$150,001 or More",4824
"Pakuranga","North Island general electorates","$150,001 or More",11643
"Palmerston North","North Island general electorates","$150,001 or More",4926
"Papakura","North Island general electorates","$150,001 or More",10104
"Rangitikei","North Island general electorates","$150,001 or More",4983
"Rimutaka","North Island general electorates","$150,001 or More",6942
"Rodney","North Island general electorates","$150,001 or More",8538
"Rongotai","North Island general electorates","$150,001 or More",14931
"Rotorua","North Island general electorates","$150,001 or More",5514
"Tamaki","North Island general electorates","$150,001 or More",19962
"Taranaki-King Country","North Island general electorates","$150,001 or More",6435
"Taupo","North Island general electorates","$150,001 or More",6000
"Tauranga","North Island general electorates","$150,001 or More",5904
"Te Atatu","North Island general electorates","$150,001 or More",7353
"Tukituki","North Island general electorates","$150,001 or More",5418
"Upper Harbour","North Island general electorates","$150,001 or More",10242
"Waikato","North Island general electorates","$150,001 or More",9102
