"level0","level1","level2","level3","Total personal income(1)","count"
"Female","80–84 Years","Botany","North Island general electorates","Loss",0
"Male","85 Years And Over","Botany","North Island general electorates","Loss",0
"Female","85 Years And Over","Botany","North Island general electorates","Loss",0
"Male","15–19 Years","Coromandel","North Island general electorates","Loss",21
"Female","15–19 Years","Coromandel","North Island general electorates","Loss",6
"Male","20–24 Years","Coromandel","North Island general electorates","Loss",15
"Female","20–24 Years","Coromandel","North Island general electorates","Loss",3
"Male","25–29 Years","Coromandel","North Island general electorates","Loss",9
"Female","25–29 Years","Coromandel","North Island general electorates","Loss",9
"Male","30–34 Years","Coromandel","North Island general electorates","Loss",6
"Female","30–34 Years","Coromandel","North Island general electorates","Loss",9
"Male","35–39 Years","Coromandel","North Island general electorates","Loss",12
"Female","35–39 Years","Coromandel","North Island general electorates","Loss",12
"Male","40–44 Years","Coromandel","North Island general electorates","Loss",15
"Female","40–44 Years","Coromandel","North Island general electorates","Loss",15
"Male","45–49 Years","Coromandel","North Island general electorates","Loss",27
"Female","45–49 Years","Coromandel","North Island general electorates","Loss",15
"Male","50–54 Years","Coromandel","North Island general electorates","Loss",30
"Female","50–54 Years","Coromandel","North Island general electorates","Loss",24
"Male","55–59 Years","Coromandel","North Island general electorates","Loss",18
"Female","55–59 Years","Coromandel","North Island general electorates","Loss",24
"Male","60–64 Years","Coromandel","North Island general electorates","Loss",27
"Female","60–64 Years","Coromandel","North Island general electorates","Loss",12
"Male","65–69 Years","Coromandel","North Island general electorates","Loss",15
"Female","65–69 Years","Coromandel","North Island general electorates","Loss",12
"Male","70–74 Years","Coromandel","North Island general electorates","Loss",9
"Female","70–74 Years","Coromandel","North Island general electorates","Loss",3
"Male","75–79 Years","Coromandel","North Island general electorates","Loss",3
"Female","75–79 Years","Coromandel","North Island general electorates","Loss",3
"Male","80–84 Years","Coromandel","North Island general electorates","Loss",3
"Female","80–84 Years","Coromandel","North Island general electorates","Loss",0
"Male","85 Years And Over","Coromandel","North Island general electorates","Loss",0
"Female","85 Years And Over","Coromandel","North Island general electorates","Loss",0
"Male","15–19 Years","East Coast","North Island general electorates","Loss",24
"Female","15–19 Years","East Coast","North Island general electorates","Loss",27
"Male","20–24 Years","East Coast","North Island general electorates","Loss",15
"Female","20–24 Years","East Coast","North Island general electorates","Loss",15
"Male","25–29 Years","East Coast","North Island general electorates","Loss",9
"Female","25–29 Years","East Coast","North Island general electorates","Loss",9
"Male","30–34 Years","East Coast","North Island general electorates","Loss",15
"Female","30–34 Years","East Coast","North Island general electorates","Loss",12
"Male","35–39 Years","East Coast","North Island general electorates","Loss",12
"Female","35–39 Years","East Coast","North Island general electorates","Loss",21
"Male","40–44 Years","East Coast","North Island general electorates","Loss",18
"Female","40–44 Years","East Coast","North Island general electorates","Loss",18
"Male","45–49 Years","East Coast","North Island general electorates","Loss",18
"Female","45–49 Years","East Coast","North Island general electorates","Loss",18
"Male","50–54 Years","East Coast","North Island general electorates","Loss",18
"Female","50–54 Years","East Coast","North Island general electorates","Loss",18
"Male","55–59 Years","East Coast","North Island general electorates","Loss",24
"Female","55–59 Years","East Coast","North Island general electorates","Loss",24
"Male","60–64 Years","East Coast","North Island general electorates","Loss",30
"Female","60–64 Years","East Coast","North Island general electorates","Loss",15
"Male","65–69 Years","East Coast","North Island general electorates","Loss",3
"Female","65–69 Years","East Coast","North Island general electorates","Loss",0
"Male","70–74 Years","East Coast","North Island general electorates","Loss",3
"Female","70–74 Years","East Coast","North Island general electorates","Loss",3
"Male","75–79 Years","East Coast","North Island general electorates","Loss",0
"Female","75–79 Years","East Coast","North Island general electorates","Loss",0
"Male","80–84 Years","East Coast","North Island general electorates","Loss",3
"Female","80–84 Years","East Coast","North Island general electorates","Loss",3
"Male","85 Years And Over","East Coast","North Island general electorates","Loss",0
"Female","85 Years And Over","East Coast","North Island general electorates","Loss",0
"Male","15–19 Years","East Coast Bays","North Island general electorates","Loss",15
"Female","15–19 Years","East Coast Bays","North Island general electorates","Loss",12
"Male","20–24 Years","East Coast Bays","North Island general electorates","Loss",6
"Female","20–24 Years","East Coast Bays","North Island general electorates","Loss",9
"Male","25–29 Years","East Coast Bays","North Island general electorates","Loss",15
"Female","25–29 Years","East Coast Bays","North Island general electorates","Loss",9
"Male","30–34 Years","East Coast Bays","North Island general electorates","Loss",15
"Female","30–34 Years","East Coast Bays","North Island general electorates","Loss",18
"Male","35–39 Years","East Coast Bays","North Island general electorates","Loss",9
"Female","35–39 Years","East Coast Bays","North Island general electorates","Loss",15
"Male","40–44 Years","East Coast Bays","North Island general electorates","Loss",18
"Female","40–44 Years","East Coast Bays","North Island general electorates","Loss",18
"Male","45–49 Years","East Coast Bays","North Island general electorates","Loss",30
"Female","45–49 Years","East Coast Bays","North Island general electorates","Loss",18
"Male","50–54 Years","East Coast Bays","North Island general electorates","Loss",18
"Female","50–54 Years","East Coast Bays","North Island general electorates","Loss",12
"Male","55–59 Years","East Coast Bays","North Island general electorates","Loss",12
"Female","55–59 Years","East Coast Bays","North Island general electorates","Loss",6
"Male","60–64 Years","East Coast Bays","North Island general electorates","Loss",9
"Female","60–64 Years","East Coast Bays","North Island general electorates","Loss",9
"Male","65–69 Years","East Coast Bays","North Island general electorates","Loss",6
"Female","65–69 Years","East Coast Bays","North Island general electorates","Loss",3
"Male","70–74 Years","East Coast Bays","North Island general electorates","Loss",0
"Female","70–74 Years","East Coast Bays","North Island general electorates","Loss",3
"Male","75–79 Years","East Coast Bays","North Island general electorates","Loss",3
"Female","75–79 Years","East Coast Bays","North Island general electorates","Loss",0
"Male","80–84 Years","East Coast Bays","North Island general electorates","Loss",3
"Female","80–84 Years","East Coast Bays","North Island general electorates","Loss",0
"Male","85 Years And Over","East Coast Bays","North Island general electorates","Loss",0
"Female","85 Years And Over","East Coast Bays","North Island general electorates","Loss",0
"Male","15–19 Years","Epsom","North Island general electorates","Loss",18
"Female","15–19 Years","Epsom","North Island general electorates","Loss",15
"Male","20–24 Years","Epsom","North Island general electorates","Loss",24
