"level0","level1","level2","level3","Total personal income(1)","count"
"Male","55–59 Years","New Lynn","North Island general electorates","$5,001– $10,000",75
"Female","55–59 Years","New Lynn","North Island general electorates","$5,001– $10,000",102
"Male","60–64 Years","New Lynn","North Island general electorates","$5,001– $10,000",69
"Female","60–64 Years","New Lynn","North Island general electorates","$5,001– $10,000",96
"Male","65–69 Years","New Lynn","North Island general electorates","$5,001– $10,000",45
"Female","65–69 Years","New Lynn","North Island general electorates","$5,001– $10,000",60
"Male","70–74 Years","New Lynn","North Island general electorates","$5,001– $10,000",39
"Female","70–74 Years","New Lynn","North Island general electorates","$5,001– $10,000",42
"Male","75–79 Years","New Lynn","North Island general electorates","$5,001– $10,000",24
"Female","75–79 Years","New Lynn","North Island general electorates","$5,001– $10,000",30
"Male","80–84 Years","New Lynn","North Island general electorates","$5,001– $10,000",18
"Female","80–84 Years","New Lynn","North Island general electorates","$5,001– $10,000",18
"Male","85 Years And Over","New Lynn","North Island general electorates","$5,001– $10,000",12
"Female","85 Years And Over","New Lynn","North Island general electorates","$5,001– $10,000",6
"Male","15–19 Years","New Plymouth","North Island general electorates","$5,001– $10,000",168
"Female","15–19 Years","New Plymouth","North Island general electorates","$5,001– $10,000",222
"Male","20–24 Years","New Plymouth","North Island general electorates","$5,001– $10,000",156
"Female","20–24 Years","New Plymouth","North Island general electorates","$5,001– $10,000",186
"Male","25–29 Years","New Plymouth","North Island general electorates","$5,001– $10,000",39
"Female","25–29 Years","New Plymouth","North Island general electorates","$5,001– $10,000",126
"Male","30–34 Years","New Plymouth","North Island general electorates","$5,001– $10,000",39
"Female","30–34 Years","New Plymouth","North Island general electorates","$5,001– $10,000",129
"Male","35–39 Years","New Plymouth","North Island general electorates","$5,001– $10,000",45
"Female","35–39 Years","New Plymouth","North Island general electorates","$5,001– $10,000",117
"Male","40–44 Years","New Plymouth","North Island general electorates","$5,001– $10,000",48
"Female","40–44 Years","New Plymouth","North Island general electorates","$5,001– $10,000",144
"Male","45–49 Years","New Plymouth","North Island general electorates","$5,001– $10,000",45
"Female","45–49 Years","New Plymouth","North Island general electorates","$5,001– $10,000",105
"Male","50–54 Years","New Plymouth","North Island general electorates","$5,001– $10,000",48
"Female","50–54 Years","New Plymouth","North Island general electorates","$5,001– $10,000",123
"Male","55–59 Years","New Plymouth","North Island general electorates","$5,001– $10,000",51
"Female","55–59 Years","New Plymouth","North Island general electorates","$5,001– $10,000",120
"Male","60–64 Years","New Plymouth","North Island general electorates","$5,001– $10,000",63
"Female","60–64 Years","New Plymouth","North Island general electorates","$5,001– $10,000",144
"Male","65–69 Years","New Plymouth","North Island general electorates","$5,001– $10,000",33
"Female","65–69 Years","New Plymouth","North Island general electorates","$5,001– $10,000",42
"Male","70–74 Years","New Plymouth","North Island general electorates","$5,001– $10,000",15
"Female","70–74 Years","New Plymouth","North Island general electorates","$5,001– $10,000",21
"Male","75–79 Years","New Plymouth","North Island general electorates","$5,001– $10,000",15
"Female","75–79 Years","New Plymouth","North Island general electorates","$5,001– $10,000",24
"Male","80–84 Years","New Plymouth","North Island general electorates","$5,001– $10,000",9
"Female","80–84 Years","New Plymouth","North Island general electorates","$5,001– $10,000",27
"Male","85 Years And Over","New Plymouth","North Island general electorates","$5,001– $10,000",15
"Female","85 Years And Over","New Plymouth","North Island general electorates","$5,001– $10,000",24
"Male","15–19 Years","North Shore","North Island general electorates","$5,001– $10,000",198
"Female","15–19 Years","North Shore","North Island general electorates","$5,001– $10,000",204
"Male","20–24 Years","North Shore","North Island general electorates","$5,001– $10,000",294
"Female","20–24 Years","North Shore","North Island general electorates","$5,001– $10,000",345
"Male","25–29 Years","North Shore","North Island general electorates","$5,001– $10,000",69
"Female","25–29 Years","North Shore","North Island general electorates","$5,001– $10,000",81
"Male","30–34 Years","North Shore","North Island general electorates","$5,001– $10,000",30
"Female","30–34 Years","North Shore","North Island general electorates","$5,001– $10,000",78
"Male","35–39 Years","North Shore","North Island general electorates","$5,001– $10,000",24
"Female","35–39 Years","North Shore","North Island general electorates","$5,001– $10,000",111
"Male","40–44 Years","North Shore","North Island general electorates","$5,001– $10,000",27
"Female","40–44 Years","North Shore","North Island general electorates","$5,001– $10,000",120
"Male","45–49 Years","North Shore","North Island general electorates","$5,001– $10,000",39
"Female","45–49 Years","North Shore","North Island general electorates","$5,001– $10,000",99
"Male","50–54 Years","North Shore","North Island general electorates","$5,001– $10,000",42
"Female","50–54 Years","North Shore","North Island general electorates","$5,001– $10,000",108
"Male","55–59 Years","North Shore","North Island general electorates","$5,001– $10,000",45
"Female","55–59 Years","North Shore","North Island general electorates","$5,001– $10,000",81
"Male","60–64 Years","North Shore","North Island general electorates","$5,001– $10,000",57
"Female","60–64 Years","North Shore","North Island general electorates","$5,001– $10,000",111
"Male","65–69 Years","North Shore","North Island general electorates","$5,001– $10,000",21
"Female","65–69 Years","North Shore","North Island general electorates","$5,001– $10,000",39
"Male","70–74 Years","North Shore","North Island general electorates","$5,001– $10,000",24
"Female","70–74 Years","North Shore","North Island general electorates","$5,001– $10,000",24
"Male","75–79 Years","North Shore","North Island general electorates","$5,001– $10,000",12
"Female","75–79 Years","North Shore","North Island general electorates","$5,001– $10,000",21
"Male","80–84 Years","North Shore","North Island general electorates","$5,001– $10,000",12
"Female","80–84 Years","North Shore","North Island general electorates","$5,001– $10,000",21
"Male","85 Years And Over","North Shore","North Island general electorates","$5,001– $10,000",9
"Female","85 Years And Over","North Shore","North Island general electorates","$5,001– $10,000",18
"Male","15–19 Years","Northcote","North Island general electorates","$5,001– $10,000",189
"Female","15–19 Years","Northcote","North Island general electorates","$5,001– $10,000",195
"Male","20–24 Years","Northcote","North Island general electorates","$5,001– $10,000",285
"Female","20–24 Years","Northcote","North Island general electorates","$5,001– $10,000",315
"Male","25–29 Years","Northcote","North Island general electorates","$5,001– $10,000",81
"Female","25–29 Years","Northcote","North Island general electorates","$5,001– $10,000",120
"Male","30–34 Years","Northcote","North Island general electorates","$5,001– $10,000",54
"Female","30–34 Years","Northcote","North Island general electorates","$5,001– $10,000",135
"Male","35–39 Years","Northcote","North Island general electorates","$5,001– $10,000",39
"Female","35–39 Years","Northcote","North Island general electorates","$5,001– $10,000",138
"Male","40–44 Years","Northcote","North Island general electorates","$5,001– $10,000",39
"Female","40–44 Years","Northcote","North Island general electorates","$5,001– $10,000",111
"Male","45–49 Years","Northcote","North Island general electorates","$5,001– $10,000",48
"Female","45–49 Years","Northcote","North Island general electorates","$5,001– $10,000",96
"Male","50–54 Years","Northcote","North Island general electorates","$5,001– $10,000",60
"Female","50–54 Years","Northcote","North Island general electorates","$5,001– $10,000",87
"Male","55–59 Years","Northcote","North Island general electorates","$5,001– $10,000",54
"Female","55–59 Years","Northcote","North Island general electorates","$5,001– $10,000",87
"Male","60–64 Years","Northcote","North Island general electorates","$5,001– $10,000",60
"Female","60–64 Years","Northcote","North Island general electorates","$5,001– $10,000",81
"Male","65–69 Years","Northcote","North Island general electorates","$5,001– $10,000",33
"Female","65–69 Years","Northcote","North Island general electorates","$5,001– $10,000",48
"Male","70–74 Years","Northcote","North Island general electorates","$5,001– $10,000",18
"Female","70–74 Years","Northcote","North Island general electorates","$5,001– $10,000",30
"Male","75–79 Years","Northcote","North Island general electorates","$5,001– $10,000",21
"Female","75–79 Years","Northcote","North Island general electorates","$5,001– $10,000",24
"Male","80–84 Years","Northcote","North Island general electorates","$5,001– $10,000",9
"Female","80–84 Years","Northcote","North Island general electorates","$5,001– $10,000",12
"Male","85 Years And Over","Northcote","North Island general electorates","$5,001– $10,000",9
"Female","85 Years And Over","Northcote","North Island general electorates","$5,001– $10,000",9
"Male","15–19 Years","Northland","North Island general electorates","$5,001– $10,000",186
"Female","15–19 Years","Northland","North Island general electorates","$5,001– $10,000",189
"Male","20–24 Years","Northland","North Island general electorates","$5,001– $10,000",150
"Female","20–24 Years","Northland","North Island general electorates","$5,001– $10,000",198
"Male","25–29 Years","Northland","North Island general electorates","$5,001– $10,000",75
"Female","25–29 Years","Northland","North Island general electorates","$5,001– $10,000",138
"Male","30–34 Years","Northland","North Island general electorates","$5,001– $10,000",75
"Female","30–34 Years","Northland","North Island general electorates","$5,001– $10,000",123
"Male","35–39 Years","Northland","North Island general electorates","$5,001– $10,000",72
"Female","35–39 Years","Northland","North Island general electorates","$5,001– $10,000",141
"Male","40–44 Years","Northland","North Island general electorates","$5,001– $10,000",108
"Female","40–44 Years","Northland","North Island general electorates","$5,001– $10,000",180
"Male","45–49 Years","Northland","North Island general electorates","$5,001– $10,000",126
"Female","45–49 Years","Northland","North Island general electorates","$5,001– $10,000",165
"Male","50–54 Years","Northland","North Island general electorates","$5,001– $10,000",147
"Female","50–54 Years","Northland","North Island general electorates","$5,001– $10,000",213
"Male","55–59 Years","Northland","North Island general electorates","$5,001– $10,000",192
"Female","55–59 Years","Northland","North Island general electorates","$5,001– $10,000",207
"Male","60–64 Years","Northland","North Island general electorates","$5,001– $10,000",198
"Female","60–64 Years","Northland","North Island general electorates","$5,001– $10,000",240
"Male","65–69 Years","Northland","North Island general electorates","$5,001– $10,000",63
"Female","65–69 Years","Northland","North Island general electorates","$5,001– $10,000",87
"Male","70–74 Years","Northland","North Island general electorates","$5,001– $10,000",45
"Female","70–74 Years","Northland","North Island general electorates","$5,001– $10,000",48
"Male","75–79 Years","Northland","North Island general electorates","$5,001– $10,000",27
"Female","75–79 Years","Northland","North Island general electorates","$5,001– $10,000",30
"Male","80–84 Years","Northland","North Island general electorates","$5,001– $10,000",21
"Female","80–84 Years","Northland","North Island general electorates","$5,001– $10,000",24
"Male","85 Years And Over","Northland","North Island general electorates","$5,001– $10,000",18
"Female","85 Years And Over","Northland","North Island general electorates","$5,001– $10,000",21
"Male","15–19 Years","Ohariu","North Island general electorates","$5,001– $10,000",156
"Female","15–19 Years","Ohariu","North Island general electorates","$5,001– $10,000",165
"Male","20–24 Years","Ohariu","North Island general electorates","$5,001– $10,000",174
"Female","20–24 Years","Ohariu","North Island general electorates","$5,001– $10,000",222
"Male","25–29 Years","Ohariu","North Island general electorates","$5,001– $10,000",39
"Female","25–29 Years","Ohariu","North Island general electorates","$5,001– $10,000",87
"Male","30–34 Years","Ohariu","North Island general electorates","$5,001– $10,000",27
"Female","30–34 Years","Ohariu","North Island general electorates","$5,001– $10,000",105
"Male","35–39 Years","Ohariu","North Island general electorates","$5,001– $10,000",36
"Female","35–39 Years","Ohariu","North Island general electorates","$5,001– $10,000",111
"Male","40–44 Years","Ohariu","North Island general electorates","$5,001– $10,000",24
"Female","40–44 Years","Ohariu","North Island general electorates","$5,001– $10,000",129
"Male","45–49 Years","Ohariu","North Island general electorates","$5,001– $10,000",27
"Female","45–49 Years","Ohariu","North Island general electorates","$5,001– $10,000",99
"Male","50–54 Years","Ohariu","North Island general electorates","$5,001– $10,000",39
"Female","50–54 Years","Ohariu","North Island general electorates","$5,001– $10,000",57
"Male","55–59 Years","Ohariu","North Island general electorates","$5,001– $10,000",24
"Female","55–59 Years","Ohariu","North Island general electorates","$5,001– $10,000",51
"Male","60–64 Years","Ohariu","North Island general electorates","$5,001– $10,000",45
"Female","60–64 Years","Ohariu","North Island general electorates","$5,001– $10,000",87
"Male","65–69 Years","Ohariu","North Island general electorates","$5,001– $10,000",21
"Female","65–69 Years","Ohariu","North Island general electorates","$5,001– $10,000",45
"Male","70–74 Years","Ohariu","North Island general electorates","$5,001– $10,000",18
"Female","70–74 Years","Ohariu","North Island general electorates","$5,001– $10,000",21
"Male","75–79 Years","Ohariu","North Island general electorates","$5,001– $10,000",12
"Female","75–79 Years","Ohariu","North Island general electorates","$5,001– $10,000",12
"Male","80–84 Years","Ohariu","North Island general electorates","$5,001– $10,000",12
"Female","80–84 Years","Ohariu","North Island general electorates","$5,001– $10,000",21
"Male","85 Years And Over","Ohariu","North Island general electorates","$5,001– $10,000",9
"Female","85 Years And Over","Ohariu","North Island general electorates","$5,001– $10,000",15
"Male","15–19 Years","Otaki","North Island general electorates","$5,001– $10,000",162
"Female","15–19 Years","Otaki","North Island general electorates","$5,001– $10,000",186
"Male","20–24 Years","Otaki","North Island general electorates","$5,001– $10,000",135
"Female","20–24 Years","Otaki","North Island general electorates","$5,001– $10,000",159
"Male","25–29 Years","Otaki","North Island general electorates","$5,001– $10,000",33
"Female","25–29 Years","Otaki","North Island general electorates","$5,001– $10,000",93
"Male","30–34 Years","Otaki","North Island general electorates","$5,001– $10,000",33
"Female","30–34 Years","Otaki","North Island general electorates","$5,001– $10,000",90
"Male","35–39 Years","Otaki","North Island general electorates","$5,001– $10,000",42
"Female","35–39 Years","Otaki","North Island general electorates","$5,001– $10,000",111
"Male","40–44 Years","Otaki","North Island general electorates","$5,001– $10,000",54
"Female","40–44 Years","Otaki","North Island general electorates","$5,001– $10,000",111
"Male","45–49 Years","Otaki","North Island general electorates","$5,001– $10,000",60
"Female","45–49 Years","Otaki","North Island general electorates","$5,001– $10,000",111
"Male","50–54 Years","Otaki","North Island general electorates","$5,001– $10,000",63
"Female","50–54 Years","Otaki","North Island general electorates","$5,001– $10,000",108
"Male","55–59 Years","Otaki","North Island general electorates","$5,001– $10,000",66
"Female","55–59 Years","Otaki","North Island general electorates","$5,001– $10,000",96
"Male","60–64 Years","Otaki","North Island general electorates","$5,001– $10,000",81
"Female","60–64 Years","Otaki","North Island general electorates","$5,001– $10,000",138
"Male","65–69 Years","Otaki","North Island general electorates","$5,001– $10,000",27
"Female","65–69 Years","Otaki","North Island general electorates","$5,001– $10,000",51
"Male","70–74 Years","Otaki","North Island general electorates","$5,001– $10,000",30
"Female","70–74 Years","Otaki","North Island general electorates","$5,001– $10,000",48
"Male","75–79 Years","Otaki","North Island general electorates","$5,001– $10,000",36
"Female","75–79 Years","Otaki","North Island general electorates","$5,001– $10,000",24
"Male","80–84 Years","Otaki","North Island general electorates","$5,001– $10,000",18
"Female","80–84 Years","Otaki","North Island general electorates","$5,001– $10,000",30
"Male","85 Years And Over","Otaki","North Island general electorates","$5,001– $10,000",15
"Female","85 Years And Over","Otaki","North Island general electorates","$5,001– $10,000",30
"Male","15–19 Years","Pakuranga","North Island general electorates","$5,001– $10,000",156
"Female","15–19 Years","Pakuranga","North Island general electorates","$5,001– $10,000",192
"Male","20–24 Years","Pakuranga","North Island general electorates","$5,001– $10,000",261
"Female","20–24 Years","Pakuranga","North Island general electorates","$5,001– $10,000",264
"Male","25–29 Years","Pakuranga","North Island general electorates","$5,001– $10,000",45
"Female","25–29 Years","Pakuranga","North Island general electorates","$5,001– $10,000",84
"Male","30–34 Years","Pakuranga","North Island general electorates","$5,001– $10,000",30
"Female","30–34 Years","Pakuranga","North Island general electorates","$5,001– $10,000",78
"Male","35–39 Years","Pakuranga","North Island general electorates","$5,001– $10,000",21
"Female","35–39 Years","Pakuranga","North Island general electorates","$5,001– $10,000",111
"Male","40–44 Years","Pakuranga","North Island general electorates","$5,001– $10,000",39
"Female","40–44 Years","Pakuranga","North Island general electorates","$5,001– $10,000",123
"Male","45–49 Years","Pakuranga","North Island general electorates","$5,001– $10,000",60
"Female","45–49 Years","Pakuranga","North Island general electorates","$5,001– $10,000",126
"Male","50–54 Years","Pakuranga","North Island general electorates","$5,001– $10,000",60
"Female","50–54 Years","Pakuranga","North Island general electorates","$5,001– $10,000",99
"Male","55–59 Years","Pakuranga","North Island general electorates","$5,001– $10,000",54
"Female","55–59 Years","Pakuranga","North Island general electorates","$5,001– $10,000",90
"Male","60–64 Years","Pakuranga","North Island general electorates","$5,001– $10,000",48
"Female","60–64 Years","Pakuranga","North Island general electorates","$5,001– $10,000",102
"Male","65–69 Years","Pakuranga","North Island general electorates","$5,001– $10,000",36
"Female","65–69 Years","Pakuranga","North Island general electorates","$5,001– $10,000",63
"Male","70–74 Years","Pakuranga","North Island general electorates","$5,001– $10,000",36
"Female","70–74 Years","Pakuranga","North Island general electorates","$5,001– $10,000",60
"Male","75–79 Years","Pakuranga","North Island general electorates","$5,001– $10,000",33
"Female","75–79 Years","Pakuranga","North Island general electorates","$5,001– $10,000",33
"Male","80–84 Years","Pakuranga","North Island general electorates","$5,001– $10,000",18
"Female","80–84 Years","Pakuranga","North Island general electorates","$5,001– $10,000",24
"Male","85 Years And Over","Pakuranga","North Island general electorates","$5,001– $10,000",6
"Female","85 Years And Over","Pakuranga","North Island general electorates","$5,001– $10,000",27
"Male","15–19 Years","Palmerston North","North Island general electorates","$5,001– $10,000",276
"Female","15–19 Years","Palmerston North","North Island general electorates","$5,001– $10,000",339
"Male","20–24 Years","Palmerston North","North Island general electorates","$5,001– $10,000",438
"Female","20–24 Years","Palmerston North","North Island general electorates","$5,001– $10,000",528
"Male","25–29 Years","Palmerston North","North Island general electorates","$5,001– $10,000",114
"Female","25–29 Years","Palmerston North","North Island general electorates","$5,001– $10,000",186
"Male","30–34 Years","Palmerston North","North Island general electorates","$5,001– $10,000",60
"Female","30–34 Years","Palmerston North","North Island general electorates","$5,001– $10,000",147
"Male","35–39 Years","Palmerston North","North Island general electorates","$5,001– $10,000",66
"Female","35–39 Years","Palmerston North","North Island general electorates","$5,001– $10,000",150
"Male","40–44 Years","Palmerston North","North Island general electorates","$5,001– $10,000",54
"Female","40–44 Years","Palmerston North","North Island general electorates","$5,001– $10,000",96
"Male","45–49 Years","Palmerston North","North Island general electorates","$5,001– $10,000",48
"Female","45–49 Years","Palmerston North","North Island general electorates","$5,001– $10,000",93
"Male","50–54 Years","Palmerston North","North Island general electorates","$5,001– $10,000",48
"Female","50–54 Years","Palmerston North","North Island general electorates","$5,001– $10,000",90
"Male","55–59 Years","Palmerston North","North Island general electorates","$5,001– $10,000",42
"Female","55–59 Years","Palmerston North","North Island general electorates","$5,001– $10,000",90
"Male","60–64 Years","Palmerston North","North Island general electorates","$5,001– $10,000",42
"Female","60–64 Years","Palmerston North","North Island general electorates","$5,001– $10,000",87
"Male","65–69 Years","Palmerston North","North Island general electorates","$5,001– $10,000",18
"Female","65–69 Years","Palmerston North","North Island general electorates","$5,001– $10,000",42
"Male","70–74 Years","Palmerston North","North Island general electorates","$5,001– $10,000",24
"Female","70–74 Years","Palmerston North","North Island general electorates","$5,001– $10,000",24
"Male","75–79 Years","Palmerston North","North Island general electorates","$5,001– $10,000",15
"Female","75–79 Years","Palmerston North","North Island general electorates","$5,001– $10,000",18
"Male","80–84 Years","Palmerston North","North Island general electorates","$5,001– $10,000",12
"Female","80–84 Years","Palmerston North","North Island general electorates","$5,001– $10,000",18
"Male","85 Years And Over","Palmerston North","North Island general electorates","$5,001– $10,000",12
"Female","85 Years And Over","Palmerston North","North Island general electorates","$5,001– $10,000",33
"Male","15–19 Years","Papakura","North Island general electorates","$5,001– $10,000",216
"Female","15–19 Years","Papakura","North Island general electorates","$5,001– $10,000",213
"Male","20–24 Years","Papakura","North Island general electorates","$5,001– $10,000",231
"Female","20–24 Years","Papakura","North Island general electorates","$5,001– $10,000",270
"Male","25–29 Years","Papakura","North Island general electorates","$5,001– $10,000",72
"Female","25–29 Years","Papakura","North Island general electorates","$5,001– $10,000",132
"Male","30–34 Years","Papakura","North Island general electorates","$5,001– $10,000",63
"Female","30–34 Years","Papakura","North Island general electorates","$5,001– $10,000",129
"Male","35–39 Years","Papakura","North Island general electorates","$5,001– $10,000",42
"Female","35–39 Years","Papakura","North Island general electorates","$5,001– $10,000",129
"Male","40–44 Years","Papakura","North Island general electorates","$5,001– $10,000",63
"Female","40–44 Years","Papakura","North Island general electorates","$5,001– $10,000",111
"Male","45–49 Years","Papakura","North Island general electorates","$5,001– $10,000",69
"Female","45–49 Years","Papakura","North Island general electorates","$5,001– $10,000",102
"Male","50–54 Years","Papakura","North Island general electorates","$5,001– $10,000",60
"Female","50–54 Years","Papakura","North Island general electorates","$5,001– $10,000",132
"Male","55–59 Years","Papakura","North Island general electorates","$5,001– $10,000",72
"Female","55–59 Years","Papakura","North Island general electorates","$5,001– $10,000",87
"Male","60–64 Years","Papakura","North Island general electorates","$5,001– $10,000",57
"Female","60–64 Years","Papakura","North Island general electorates","$5,001– $10,000",99
"Male","65–69 Years","Papakura","North Island general electorates","$5,001– $10,000",39
"Female","65–69 Years","Papakura","North Island general electorates","$5,001– $10,000",51
"Male","70–74 Years","Papakura","North Island general electorates","$5,001– $10,000",18
"Female","70–74 Years","Papakura","North Island general electorates","$5,001– $10,000",24
"Male","75–79 Years","Papakura","North Island general electorates","$5,001– $10,000",21
"Female","75–79 Years","Papakura","North Island general electorates","$5,001– $10,000",21
"Male","80–84 Years","Papakura","North Island general electorates","$5,001– $10,000",12
"Female","80–84 Years","Papakura","North Island general electorates","$5,001– $10,000",9
"Male","85 Years And Over","Papakura","North Island general electorates","$5,001– $10,000",6
"Female","85 Years And Over","Papakura","North Island general electorates","$5,001– $10,000",12
"Male","15–19 Years","Rangitikei","North Island general electorates","$5,001– $10,000",249
"Female","15–19 Years","Rangitikei","North Island general electorates","$5,001– $10,000",279
"Male","20–24 Years","Rangitikei","North Island general electorates","$5,001– $10,000",159
"Female","20–24 Years","Rangitikei","North Island general electorates","$5,001– $10,000",237
"Male","25–29 Years","Rangitikei","North Island general electorates","$5,001– $10,000",60
"Female","25–29 Years","Rangitikei","North Island general electorates","$5,001– $10,000",162
"Male","30–34 Years","Rangitikei","North Island general electorates","$5,001– $10,000",51
"Female","30–34 Years","Rangitikei","North Island general electorates","$5,001– $10,000",123
"Male","35–39 Years","Rangitikei","North Island general electorates","$5,001– $10,000",51
"Female","35–39 Years","Rangitikei","North Island general electorates","$5,001– $10,000",135
"Male","40–44 Years","Rangitikei","North Island general electorates","$5,001– $10,000",54
"Female","40–44 Years","Rangitikei","North Island general electorates","$5,001– $10,000",132
"Male","45–49 Years","Rangitikei","North Island general electorates","$5,001– $10,000",72
"Female","45–49 Years","Rangitikei","North Island general electorates","$5,001– $10,000",144
"Male","50–54 Years","Rangitikei","North Island general electorates","$5,001– $10,000",72
"Female","50–54 Years","Rangitikei","North Island general electorates","$5,001– $10,000",123
"Male","55–59 Years","Rangitikei","North Island general electorates","$5,001– $10,000",69
"Female","55–59 Years","Rangitikei","North Island general electorates","$5,001– $10,000",96
"Male","60–64 Years","Rangitikei","North Island general electorates","$5,001– $10,000",75
"Female","60–64 Years","Rangitikei","North Island general electorates","$5,001– $10,000",132
"Male","65–69 Years","Rangitikei","North Island general electorates","$5,001– $10,000",36
"Female","65–69 Years","Rangitikei","North Island general electorates","$5,001– $10,000",42
"Male","70–74 Years","Rangitikei","North Island general electorates","$5,001– $10,000",15
"Female","70–74 Years","Rangitikei","North Island general electorates","$5,001– $10,000",24
"Male","75–79 Years","Rangitikei","North Island general electorates","$5,001– $10,000",15
"Female","75–79 Years","Rangitikei","North Island general electorates","$5,001– $10,000",21
"Male","80–84 Years","Rangitikei","North Island general electorates","$5,001– $10,000",12
"Female","80–84 Years","Rangitikei","North Island general electorates","$5,001– $10,000",12
"Male","85 Years And Over","Rangitikei","North Island general electorates","$5,001– $10,000",12
"Female","85 Years And Over","Rangitikei","North Island general electorates","$5,001– $10,000",15
"Male","15–19 Years","Rimutaka","North Island general electorates","$5,001– $10,000",213
"Female","15–19 Years","Rimutaka","North Island general electorates","$5,001– $10,000",210
"Male","20–24 Years","Rimutaka","North Island general electorates","$5,001– $10,000",195
"Female","20–24 Years","Rimutaka","North Island general electorates","$5,001– $10,000",228
"Male","25–29 Years","Rimutaka","North Island general electorates","$5,001– $10,000",57
"Female","25–29 Years","Rimutaka","North Island general electorates","$5,001– $10,000",132
"Male","30–34 Years","Rimutaka","North Island general electorates","$5,001– $10,000",51
"Female","30–34 Years","Rimutaka","North Island general electorates","$5,001– $10,000",138
"Male","35–39 Years","Rimutaka","North Island general electorates","$5,001– $10,000",51
"Female","35–39 Years","Rimutaka","North Island general electorates","$5,001– $10,000",129
"Male","40–44 Years","Rimutaka","North Island general electorates","$5,001– $10,000",54
"Female","40–44 Years","Rimutaka","North Island general electorates","$5,001– $10,000",138
"Male","45–49 Years","Rimutaka","North Island general electorates","$5,001– $10,000",60
"Female","45–49 Years","Rimutaka","North Island general electorates","$5,001– $10,000",120
"Male","50–54 Years","Rimutaka","North Island general electorates","$5,001– $10,000",48
"Female","50–54 Years","Rimutaka","North Island general electorates","$5,001– $10,000",102
"Male","55–59 Years","Rimutaka","North Island general electorates","$5,001– $10,000",63
"Female","55–59 Years","Rimutaka","North Island general electorates","$5,001– $10,000",111
"Male","60–64 Years","Rimutaka","North Island general electorates","$5,001– $10,000",69
"Female","60–64 Years","Rimutaka","North Island general electorates","$5,001– $10,000",102
"Male","65–69 Years","Rimutaka","North Island general electorates","$5,001– $10,000",36
"Female","65–69 Years","Rimutaka","North Island general electorates","$5,001– $10,000",39
"Male","70–74 Years","Rimutaka","North Island general electorates","$5,001– $10,000",27
"Female","70–74 Years","Rimutaka","North Island general electorates","$5,001– $10,000",39
"Male","75–79 Years","Rimutaka","North Island general electorates","$5,001– $10,000",18
"Female","75–79 Years","Rimutaka","North Island general electorates","$5,001– $10,000",18
"Male","80–84 Years","Rimutaka","North Island general electorates","$5,001– $10,000",12
"Female","80–84 Years","Rimutaka","North Island general electorates","$5,001– $10,000",21
"Male","85 Years And Over","Rimutaka","North Island general electorates","$5,001– $10,000",9
"Female","85 Years And Over","Rimutaka","North Island general electorates","$5,001– $10,000",12
"Male","15–19 Years","Rodney","North Island general electorates","$5,001– $10,000",201
"Female","15–19 Years","Rodney","North Island general electorates","$5,001– $10,000",192
"Male","20–24 Years","Rodney","North Island general electorates","$5,001– $10,000",132
"Female","20–24 Years","Rodney","North Island general electorates","$5,001– $10,000",171
"Male","25–29 Years","Rodney","North Island general electorates","$5,001– $10,000",36
"Female","25–29 Years","Rodney","North Island general electorates","$5,001– $10,000",81
"Male","30–34 Years","Rodney","North Island general electorates","$5,001– $10,000",18
"Female","30–34 Years","Rodney","North Island general electorates","$5,001– $10,000",63
"Male","35–39 Years","Rodney","North Island general electorates","$5,001– $10,000",24
"Female","35–39 Years","Rodney","North Island general electorates","$5,001– $10,000",87
"Male","40–44 Years","Rodney","North Island general electorates","$5,001– $10,000",42
"Female","40–44 Years","Rodney","North Island general electorates","$5,001– $10,000",126
"Male","45–49 Years","Rodney","North Island general electorates","$5,001– $10,000",42
"Female","45–49 Years","Rodney","North Island general electorates","$5,001– $10,000",114
"Male","50–54 Years","Rodney","North Island general electorates","$5,001– $10,000",42
"Female","50–54 Years","Rodney","North Island general electorates","$5,001– $10,000",105
"Male","55–59 Years","Rodney","North Island general electorates","$5,001– $10,000",36
"Female","55–59 Years","Rodney","North Island general electorates","$5,001– $10,000",93
"Male","60–64 Years","Rodney","North Island general electorates","$5,001– $10,000",57
"Female","60–64 Years","Rodney","North Island general electorates","$5,001– $10,000",120
"Male","65–69 Years","Rodney","North Island general electorates","$5,001– $10,000",30
"Female","65–69 Years","Rodney","North Island general electorates","$5,001– $10,000",60
"Male","70–74 Years","Rodney","North Island general electorates","$5,001– $10,000",27
"Female","70–74 Years","Rodney","North Island general electorates","$5,001– $10,000",30
"Male","75–79 Years","Rodney","North Island general electorates","$5,001– $10,000",24
"Female","75–79 Years","Rodney","North Island general electorates","$5,001– $10,000",33
"Male","80–84 Years","Rodney","North Island general electorates","$5,001– $10,000",15
"Female","80–84 Years","Rodney","North Island general electorates","$5,001– $10,000",24
"Male","85 Years And Over","Rodney","North Island general electorates","$5,001– $10,000",21
"Female","85 Years And Over","Rodney","North Island general electorates","$5,001– $10,000",24
"Male","15–19 Years","Rongotai","North Island general electorates","$5,001– $10,000",177
"Female","15–19 Years","Rongotai","North Island general electorates","$5,001– $10,000",180
"Male","20–24 Years","Rongotai","North Island general electorates","$5,001– $10,000",327
"Female","20–24 Years","Rongotai","North Island general electorates","$5,001– $10,000",375
