"level0","level1","level2","Māori descent indicator(1) ","count"
"20–24 Years","Dunedin South","South Island general electorates","Māori descent",390
"25–29 Years","Dunedin South","South Island general electorates","Māori descent",336
"30–34 Years","Dunedin South","South Island general electorates","Māori descent",345
"35–39 Years","Dunedin South","South Island general electorates","Māori descent",330
"40–44 Years","Dunedin South","South Island general electorates","Māori descent",378
"45–49 Years","Dunedin South","South Island general electorates","Māori descent",333
"50–54 Years","Dunedin South","South Island general electorates","Māori descent",294
"55–59 Years","Dunedin South","South Island general electorates","Māori descent",222
"60–64 Years","Dunedin South","South Island general electorates","Māori descent",159
"65–69 Years","Dunedin South","South Island general electorates","Māori descent",93
"70–74 Years","Dunedin South","South Island general electorates","Māori descent",90
"75–79 Years","Dunedin South","South Island general electorates","Māori descent",57
"80–84 Years","Dunedin South","South Island general electorates","Māori descent",30
"85 Years And Over","Dunedin South","South Island general electorates","Māori descent",21
"18 Years And Over","Dunedin South","South Island general electorates","Māori descent",3252
"0–4 Years","Ilam","South Island general electorates","Māori descent",423
"5–9 Years","Ilam","South Island general electorates","Māori descent",384
"10–14 Years","Ilam","South Island general electorates","Māori descent",390
"15–19 Years","Ilam","South Island general electorates","Māori descent",528
"20–24 Years","Ilam","South Island general electorates","Māori descent",519
"25–29 Years","Ilam","South Island general electorates","Māori descent",270
"30–34 Years","Ilam","South Island general electorates","Māori descent",249
"35–39 Years","Ilam","South Island general electorates","Māori descent",201
"40–44 Years","Ilam","South Island general electorates","Māori descent",234
"45–49 Years","Ilam","South Island general electorates","Māori descent",222
"50–54 Years","Ilam","South Island general electorates","Māori descent",201
"55–59 Years","Ilam","South Island general electorates","Māori descent",156
"60–64 Years","Ilam","South Island general electorates","Māori descent",111
"65–69 Years","Ilam","South Island general electorates","Māori descent",69
"70–74 Years","Ilam","South Island general electorates","Māori descent",54
"75–79 Years","Ilam","South Island general electorates","Māori descent",36
"80–84 Years","Ilam","South Island general electorates","Māori descent",24
"85 Years And Over","Ilam","South Island general electorates","Māori descent",15
"18 Years And Over","Ilam","South Island general electorates","Māori descent",2595
"0–4 Years","Invercargill","South Island general electorates","Māori descent",1218
"5–9 Years","Invercargill","South Island general electorates","Māori descent",1230
"10–14 Years","Invercargill","South Island general electorates","Māori descent",1119
"15–19 Years","Invercargill","South Island general electorates","Māori descent",957
"20–24 Years","Invercargill","South Island general electorates","Māori descent",768
"25–29 Years","Invercargill","South Island general electorates","Māori descent",711
"30–34 Years","Invercargill","South Island general electorates","Māori descent",630
"35–39 Years","Invercargill","South Island general electorates","Māori descent",669
"40–44 Years","Invercargill","South Island general electorates","Māori descent",630
"45–49 Years","Invercargill","South Island general electorates","Māori descent",591
"50–54 Years","Invercargill","South Island general electorates","Māori descent",534
"55–59 Years","Invercargill","South Island general electorates","Māori descent",450
"60–64 Years","Invercargill","South Island general electorates","Māori descent",330
"65–69 Years","Invercargill","South Island general electorates","Māori descent",252
"70–74 Years","Invercargill","South Island general electorates","Māori descent",216
"75–79 Years","Invercargill","South Island general electorates","Māori descent",105
"80–84 Years","Invercargill","South Island general electorates","Māori descent",72
"85 Years And Over","Invercargill","South Island general electorates","Māori descent",33
"18 Years And Over","Invercargill","South Island general electorates","Māori descent",6330
"0–4 Years","Kaikoura","South Island general electorates","Māori descent",900
"5–9 Years","Kaikoura","South Island general electorates","Māori descent",816
"10–14 Years","Kaikoura","South Island general electorates","Māori descent",813
"15–19 Years","Kaikoura","South Island general electorates","Māori descent",708
"20–24 Years","Kaikoura","South Island general electorates","Māori descent",525
"25–29 Years","Kaikoura","South Island general electorates","Māori descent",417
"30–34 Years","Kaikoura","South Island general electorates","Māori descent",411
"35–39 Years","Kaikoura","South Island general electorates","Māori descent",438
"40–44 Years","Kaikoura","South Island general electorates","Māori descent",483
"45–49 Years","Kaikoura","South Island general electorates","Māori descent",483
"50–54 Years","Kaikoura","South Island general electorates","Māori descent",459
"55–59 Years","Kaikoura","South Island general electorates","Māori descent",366
"60–64 Years","Kaikoura","South Island general electorates","Māori descent",288
"65–69 Years","Kaikoura","South Island general electorates","Māori descent",213
"70–74 Years","Kaikoura","South Island general electorates","Māori descent",156
"75–79 Years","Kaikoura","South Island general electorates","Māori descent",63
"80–84 Years","Kaikoura","South Island general electorates","Māori descent",51
"85 Years And Over","Kaikoura","South Island general electorates","Māori descent",27
"18 Years And Over","Kaikoura","South Island general electorates","Māori descent",4605
"0–4 Years","Nelson","South Island general electorates","Māori descent",711
"5–9 Years","Nelson","South Island general electorates","Māori descent",744
"10–14 Years","Nelson","South Island general electorates","Māori descent",726
"15–19 Years","Nelson","South Island general electorates","Māori descent",651
"20–24 Years","Nelson","South Island general electorates","Māori descent",486
"25–29 Years","Nelson","South Island general electorates","Māori descent",348
"30–34 Years","Nelson","South Island general electorates","Māori descent",342
"35–39 Years","Nelson","South Island general electorates","Māori descent",408
"40–44 Years","Nelson","South Island general electorates","Māori descent",462
"45–49 Years","Nelson","South Island general electorates","Māori descent",408
"50–54 Years","Nelson","South Island general electorates","Māori descent",333
"55–59 Years","Nelson","South Island general electorates","Māori descent",234
"60–64 Years","Nelson","South Island general electorates","Māori descent",174
"65–69 Years","Nelson","South Island general electorates","Māori descent",102
"70–74 Years","Nelson","South Island general electorates","Māori descent",84
"75–79 Years","Nelson","South Island general electorates","Māori descent",51
"80–84 Years","Nelson","South Island general electorates","Māori descent",39
"85 Years And Over","Nelson","South Island general electorates","Māori descent",24
"18 Years And Over","Nelson","South Island general electorates","Māori descent",3717
"0–4 Years","Port Hills","South Island general electorates","Māori descent",630
"5–9 Years","Port Hills","South Island general electorates","Māori descent",591
"10–14 Years","Port Hills","South Island general electorates","Māori descent",537
"15–19 Years","Port Hills","South Island general electorates","Māori descent",501
"20–24 Years","Port Hills","South Island general electorates","Māori descent",414
"25–29 Years","Port Hills","South Island general electorates","Māori descent",312
"30–34 Years","Port Hills","South Island general electorates","Māori descent",294
"35–39 Years","Port Hills","South Island general electorates","Māori descent",357
"40–44 Years","Port Hills","South Island general electorates","Māori descent",360
"45–49 Years","Port Hills","South Island general electorates","Māori descent",321
"50–54 Years","Port Hills","South Island general electorates","Māori descent",306
"55–59 Years","Port Hills","South Island general electorates","Māori descent",222
"60–64 Years","Port Hills","South Island general electorates","Māori descent",183
"65–69 Years","Port Hills","South Island general electorates","Māori descent",117
"70–74 Years","Port Hills","South Island general electorates","Māori descent",72
"75–79 Years","Port Hills","South Island general electorates","Māori descent",51
"80–84 Years","Port Hills","South Island general electorates","Māori descent",27
"85 Years And Over","Port Hills","South Island general electorates","Māori descent",18
"18 Years And Over","Port Hills","South Island general electorates","Māori descent",3225
"0–4 Years","Rangitata","South Island general electorates","Māori descent",783
"5–9 Years","Rangitata","South Island general electorates","Māori descent",654
"10–14 Years","Rangitata","South Island general electorates","Māori descent",660
"15–19 Years","Rangitata","South Island general electorates","Māori descent",534
"20–24 Years","Rangitata","South Island general electorates","Māori descent",450
"25–29 Years","Rangitata","South Island general electorates","Māori descent",366
"30–34 Years","Rangitata","South Island general electorates","Māori descent",339
"35–39 Years","Rangitata","South Island general electorates","Māori descent",387
"40–44 Years","Rangitata","South Island general electorates","Māori descent",378
"45–49 Years","Rangitata","South Island general electorates","Māori descent",282
"50–54 Years","Rangitata","South Island general electorates","Māori descent",252
"55–59 Years","Rangitata","South Island general electorates","Māori descent",213
"60–64 Years","Rangitata","South Island general electorates","Māori descent",177
"65–69 Years","Rangitata","South Island general electorates","Māori descent",126
"70–74 Years","Rangitata","South Island general electorates","Māori descent",84
"75–79 Years","Rangitata","South Island general electorates","Māori descent",48
"80–84 Years","Rangitata","South Island general electorates","Māori descent",30
"85 Years And Over","Rangitata","South Island general electorates","Māori descent",21
"18 Years And Over","Rangitata","South Island general electorates","Māori descent",3327
"0–4 Years","Selwyn","South Island general electorates","Māori descent",579
"5–9 Years","Selwyn","South Island general electorates","Māori descent",624
"10–14 Years","Selwyn","South Island general electorates","Māori descent",570
"15–19 Years","Selwyn","South Island general electorates","Māori descent",567
"20–24 Years","Selwyn","South Island general electorates","Māori descent",456
"25–29 Years","Selwyn","South Island general electorates","Māori descent",309
"30–34 Years","Selwyn","South Island general electorates","Māori descent",285
"35–39 Years","Selwyn","South Island general electorates","Māori descent",327
"40–44 Years","Selwyn","South Island general electorates","Māori descent",393
"45–49 Years","Selwyn","South Island general electorates","Māori descent",357
"50–54 Years","Selwyn","South Island general electorates","Māori descent",273
"55–59 Years","Selwyn","South Island general electorates","Māori descent",192
"60–64 Years","Selwyn","South Island general electorates","Māori descent",144
"65–69 Years","Selwyn","South Island general electorates","Māori descent",84
"70–74 Years","Selwyn","South Island general electorates","Māori descent",60
"75–79 Years","Selwyn","South Island general electorates","Māori descent",36
"80–84 Years","Selwyn","South Island general electorates","Māori descent",12
"85 Years And Over","Selwyn","South Island general electorates","Māori descent",6
"18 Years And Over","Selwyn","South Island general electorates","Māori descent",3165
"0–4 Years","Waimakariri","South Island general electorates","Māori descent",567
"5–9 Years","Waimakariri","South Island general electorates","Māori descent",636
"10–14 Years","Waimakariri","South Island general electorates","Māori descent",615
"15–19 Years","Waimakariri","South Island general electorates","Māori descent",540
"20–24 Years","Waimakariri","South Island general electorates","Māori descent",363
"25–29 Years","Waimakariri","South Island general electorates","Māori descent",270
"30–34 Years","Waimakariri","South Island general electorates","Māori descent",270
"35–39 Years","Waimakariri","South Island general electorates","Māori descent",315
"40–44 Years","Waimakariri","South Island general electorates","Māori descent",402
"45–49 Years","Waimakariri","South Island general electorates","Māori descent",303
"50–54 Years","Waimakariri","South Island general electorates","Māori descent",300
"55–59 Years","Waimakariri","South Island general electorates","Māori descent",216
"60–64 Years","Waimakariri","South Island general electorates","Māori descent",198
"65–69 Years","Waimakariri","South Island general electorates","Māori descent",108
"70–74 Years","Waimakariri","South Island general electorates","Māori descent",87
"75–79 Years","Waimakariri","South Island general electorates","Māori descent",45
"80–84 Years","Waimakariri","South Island general electorates","Māori descent",27
"85 Years And Over","Waimakariri","South Island general electorates","Māori descent",21
"18 Years And Over","Waimakariri","South Island general electorates","Māori descent",3111
"0–4 Years","Waitaki","South Island general electorates","Māori descent",633
"5–9 Years","Waitaki","South Island general electorates","Māori descent",585
"10–14 Years","Waitaki","South Island general electorates","Māori descent",567
"15–19 Years","Waitaki","South Island general electorates","Māori descent",465
"20–24 Years","Waitaki","South Island general electorates","Māori descent",330
"25–29 Years","Waitaki","South Island general electorates","Māori descent",252
"30–34 Years","Waitaki","South Island general electorates","Māori descent",270
"35–39 Years","Waitaki","South Island general electorates","Māori descent",270
"40–44 Years","Waitaki","South Island general electorates","Māori descent",360
"45–49 Years","Waitaki","South Island general electorates","Māori descent",345
"50–54 Years","Waitaki","South Island general electorates","Māori descent",285
"55–59 Years","Waitaki","South Island general electorates","Māori descent",234
"60–64 Years","Waitaki","South Island general electorates","Māori descent",195
"65–69 Years","Waitaki","South Island general electorates","Māori descent",147
"70–74 Years","Waitaki","South Island general electorates","Māori descent",81
"75–79 Years","Waitaki","South Island general electorates","Māori descent",39
"80–84 Years","Waitaki","South Island general electorates","Māori descent",27
"85 Years And Over","Waitaki","South Island general electorates","Māori descent",15
"18 Years And Over","Waitaki","South Island general electorates","Māori descent",2991
"0–4 Years","West Coast-Tasman","South Island general electorates","Māori descent",720
"5–9 Years","West Coast-Tasman","South Island general electorates","Māori descent",714
"10–14 Years","West Coast-Tasman","South Island general electorates","Māori descent",768
"15–19 Years","West Coast-Tasman","South Island general electorates","Māori descent",591
"20–24 Years","West Coast-Tasman","South Island general electorates","Māori descent",432
"25–29 Years","West Coast-Tasman","South Island general electorates","Māori descent",330
"30–34 Years","West Coast-Tasman","South Island general electorates","Māori descent",351
"35–39 Years","West Coast-Tasman","South Island general electorates","Māori descent",423
"40–44 Years","West Coast-Tasman","South Island general electorates","Māori descent",447
"45–49 Years","West Coast-Tasman","South Island general electorates","Māori descent",468
"50–54 Years","West Coast-Tasman","South Island general electorates","Māori descent",447
"55–59 Years","West Coast-Tasman","South Island general electorates","Māori descent",330
"60–64 Years","West Coast-Tasman","South Island general electorates","Māori descent",216
"65–69 Years","West Coast-Tasman","South Island general electorates","Māori descent",177
"70–74 Years","West Coast-Tasman","South Island general electorates","Māori descent",111
"75–79 Years","West Coast-Tasman","South Island general electorates","Māori descent",66
"80–84 Years","West Coast-Tasman","South Island general electorates","Māori descent",39
"85 Years And Over","West Coast-Tasman","South Island general electorates","Māori descent",15
"18 Years And Over","West Coast-Tasman","South Island general electorates","Māori descent",4059
"0–4 Years","Wigram","South Island general electorates","Māori descent",732
"5–9 Years","Wigram","South Island general electorates","Māori descent",618
"10–14 Years","Wigram","South Island general electorates","Māori descent",573
"15–19 Years","Wigram","South Island general electorates","Māori descent",639
"20–24 Years","Wigram","South Island general electorates","Māori descent",750
"25–29 Years","Wigram","South Island general electorates","Māori descent",489
"30–34 Years","Wigram","South Island general electorates","Māori descent",411
"35–39 Years","Wigram","South Island general electorates","Māori descent",396
"40–44 Years","Wigram","South Island general electorates","Māori descent",384
"45–49 Years","Wigram","South Island general electorates","Māori descent",309
"50–54 Years","Wigram","South Island general electorates","Māori descent",312
"55–59 Years","Wigram","South Island general electorates","Māori descent",207
"60–64 Years","Wigram","South Island general electorates","Māori descent",162
"65–69 Years","Wigram","South Island general electorates","Māori descent",135
"70–74 Years","Wigram","South Island general electorates","Māori descent",84
"75–79 Years","Wigram","South Island general electorates","Māori descent",45
"80–84 Years","Wigram","South Island general electorates","Māori descent",27
"85 Years And Over","Wigram","South Island general electorates","Māori descent",12
"18 Years And Over","Wigram","South Island general electorates","Māori descent",4023
"0–4 Years","Area Outside General Electorate","South Island general electorates","Māori descent",NA
"5–9 Years","Area Outside General Electorate","South Island general electorates","Māori descent",NA
"10–14 Years","Area Outside General Electorate","South Island general electorates","Māori descent",NA
"15–19 Years","Area Outside General Electorate","South Island general electorates","Māori descent",NA
"20–24 Years","Area Outside General Electorate","South Island general electorates","Māori descent",NA
"25–29 Years","Area Outside General Electorate","South Island general electorates","Māori descent",NA
"30–34 Years","Area Outside General Electorate","South Island general electorates","Māori descent",NA
"35–39 Years","Area Outside General Electorate","South Island general electorates","Māori descent",NA
"40–44 Years","Area Outside General Electorate","South Island general electorates","Māori descent",NA
"45–49 Years","Area Outside General Electorate","South Island general electorates","Māori descent",NA
"50–54 Years","Area Outside General Electorate","South Island general electorates","Māori descent",NA
"55–59 Years","Area Outside General Electorate","South Island general electorates","Māori descent",NA
"60–64 Years","Area Outside General Electorate","South Island general electorates","Māori descent",NA
"65–69 Years","Area Outside General Electorate","South Island general electorates","Māori descent",NA
"70–74 Years","Area Outside General Electorate","South Island general electorates","Māori descent",NA
"75–79 Years","Area Outside General Electorate","South Island general electorates","Māori descent",NA
"80–84 Years","Area Outside General Electorate","South Island general electorates","Māori descent",NA
"85 Years And Over","Area Outside General Electorate","South Island general electorates","Māori descent",NA
"18 Years And Over","Area Outside General Electorate","South Island general electorates","Māori descent",NA
"0–4 Years","Auckland Central","North Island general electorates","No Māori descent",1665
"5–9 Years","Auckland Central","North Island general electorates","No Māori descent",1254
"10–14 Years","Auckland Central","North Island general electorates","No Māori descent",999
"15–19 Years","Auckland Central","North Island general electorates","No Māori descent",3555
"20–24 Years","Auckland Central","North Island general electorates","No Māori descent",7821
"25–29 Years","Auckland Central","North Island general electorates","No Māori descent",7563
"30–34 Years","Auckland Central","North Island general electorates","No Māori descent",5325
"35–39 Years","Auckland Central","North Island general electorates","No Māori descent",3324
"40–44 Years","Auckland Central","North Island general electorates","No Māori descent",2880
"45–49 Years","Auckland Central","North Island general electorates","No Māori descent",2562
"50–54 Years","Auckland Central","North Island general electorates","No Māori descent",2454
"55–59 Years","Auckland Central","North Island general electorates","No Māori descent",2154
"60–64 Years","Auckland Central","North Island general electorates","No Māori descent",2055
"65–69 Years","Auckland Central","North Island general electorates","No Māori descent",1521
"70–74 Years","Auckland Central","North Island general electorates","No Māori descent",921
"75–79 Years","Auckland Central","North Island general electorates","No Māori descent",456
"80–84 Years","Auckland Central","North Island general electorates","No Māori descent",318
"85 Years And Over","Auckland Central","North Island general electorates","No Māori descent",294
"18 Years And Over","Auckland Central","North Island general electorates","No Māori descent",42315
"0–4 Years","Bay of Plenty","North Island general electorates","No Māori descent",2601
"5–9 Years","Bay of Plenty","North Island general electorates","No Māori descent",2790
"10–14 Years","Bay of Plenty","North Island general electorates","No Māori descent",2727
"15–19 Years","Bay of Plenty","North Island general electorates","No Māori descent",2298
"20–24 Years","Bay of Plenty","North Island general electorates","No Māori descent",1716
"25–29 Years","Bay of Plenty","North Island general electorates","No Māori descent",1833
"30–34 Years","Bay of Plenty","North Island general electorates","No Māori descent",2190
"35–39 Years","Bay of Plenty","North Island general electorates","No Māori descent",2793
"40–44 Years","Bay of Plenty","North Island general electorates","No Māori descent",3450
"45–49 Years","Bay of Plenty","North Island general electorates","No Māori descent",3459
"50–54 Years","Bay of Plenty","North Island general electorates","No Māori descent",3324
"55–59 Years","Bay of Plenty","North Island general electorates","No Māori descent",3225
"60–64 Years","Bay of Plenty","North Island general electorates","No Māori descent",2943
"65–69 Years","Bay of Plenty","North Island general electorates","No Māori descent",3096
"70–74 Years","Bay of Plenty","North Island general electorates","No Māori descent",2568
"75–79 Years","Bay of Plenty","North Island general electorates","No Māori descent",1737
"80–84 Years","Bay of Plenty","North Island general electorates","No Māori descent",1266
"85 Years And Over","Bay of Plenty","North Island general electorates","No Māori descent",1032
"18 Years And Over","Bay of Plenty","North Island general electorates","No Māori descent",35307
"0–4 Years","Botany","North Island general electorates","No Māori descent",3297
"5–9 Years","Botany","North Island general electorates","No Māori descent",3546
"10–14 Years","Botany","North Island general electorates","No Māori descent",3816
"15–19 Years","Botany","North Island general electorates","No Māori descent",3954
"20–24 Years","Botany","North Island general electorates","No Māori descent",3579
"25–29 Years","Botany","North Island general electorates","No Māori descent",3420
"30–34 Years","Botany","North Island general electorates","No Māori descent",3738
"35–39 Years","Botany","North Island general electorates","No Māori descent",3468
"40–44 Years","Botany","North Island general electorates","No Māori descent",4155
"45–49 Years","Botany","North Island general electorates","No Māori descent",4362
"50–54 Years","Botany","North Island general electorates","No Māori descent",3873
"55–59 Years","Botany","North Island general electorates","No Māori descent",3357
"60–64 Years","Botany","North Island general electorates","No Māori descent",2829
"65–69 Years","Botany","North Island general electorates","No Māori descent",2211
"70–74 Years","Botany","North Island general electorates","No Māori descent",1557
"75–79 Years","Botany","North Island general electorates","No Māori descent",1044
"80–84 Years","Botany","North Island general electorates","No Māori descent",657
"85 Years And Over","Botany","North Island general electorates","No Māori descent",507
"18 Years And Over","Botany","North Island general electorates","No Māori descent",40308
"0–4 Years","Coromandel","North Island general electorates","No Māori descent",1959
"5–9 Years","Coromandel","North Island general electorates","No Māori descent",2154
"10–14 Years","Coromandel","North Island general electorates","No Māori descent",2370
"15–19 Years","Coromandel","North Island general electorates","No Māori descent",1977
"20–24 Years","Coromandel","North Island general electorates","No Māori descent",1533
"25–29 Years","Coromandel","North Island general electorates","No Māori descent",1608
"30–34 Years","Coromandel","North Island general electorates","No Māori descent",1662
"35–39 Years","Coromandel","North Island general electorates","No Māori descent",2196
"40–44 Years","Coromandel","North Island general electorates","No Māori descent",2802
"45–49 Years","Coromandel","North Island general electorates","No Māori descent",3192
"50–54 Years","Coromandel","North Island general electorates","No Māori descent",3624
"55–59 Years","Coromandel","North Island general electorates","No Māori descent",3783
"60–64 Years","Coromandel","North Island general electorates","No Māori descent",4137
"65–69 Years","Coromandel","North Island general electorates","No Māori descent",4236
"70–74 Years","Coromandel","North Island general electorates","No Māori descent",3360
"75–79 Years","Coromandel","North Island general electorates","No Māori descent",2241
"80–84 Years","Coromandel","North Island general electorates","No Māori descent",1563
"85 Years And Over","Coromandel","North Island general electorates","No Māori descent",1200
"18 Years And Over","Coromandel","North Island general electorates","No Māori descent",37710
"0–4 Years","East Coast","North Island general electorates","No Māori descent",1770
"5–9 Years","East Coast","North Island general electorates","No Māori descent",1974
"10–14 Years","East Coast","North Island general electorates","No Māori descent",2022
"15–19 Years","East Coast","North Island general electorates","No Māori descent",1767
"20–24 Years","East Coast","North Island general electorates","No Māori descent",1542
"25–29 Years","East Coast","North Island general electorates","No Māori descent",1614
"30–34 Years","East Coast","North Island general electorates","No Māori descent",1767
"35–39 Years","East Coast","North Island general electorates","No Māori descent",2184
"40–44 Years","East Coast","North Island general electorates","No Māori descent",2763
"45–49 Years","East Coast","North Island general electorates","No Māori descent",2853
"50–54 Years","East Coast","North Island general electorates","No Māori descent",3300
"55–59 Years","East Coast","North Island general electorates","No Māori descent",3282
"60–64 Years","East Coast","North Island general electorates","No Māori descent",3198
"65–69 Years","East Coast","North Island general electorates","No Māori descent",2817
"70–74 Years","East Coast","North Island general electorates","No Māori descent",2232
"75–79 Years","East Coast","North Island general electorates","No Māori descent",1536
"80–84 Years","East Coast","North Island general electorates","No Māori descent",1227
"85 Years And Over","East Coast","North Island general electorates","No Māori descent",990
"18 Years And Over","East Coast","North Island general electorates","No Māori descent",31803
"0–4 Years","East Coast Bays","North Island general electorates","No Māori descent",2928
"5–9 Years","East Coast Bays","North Island general electorates","No Māori descent",3012
"10–14 Years","East Coast Bays","North Island general electorates","No Māori descent",3387
"15–19 Years","East Coast Bays","North Island general electorates","No Māori descent",3981
"20–24 Years","East Coast Bays","North Island general electorates","No Māori descent",3666
"25–29 Years","East Coast Bays","North Island general electorates","No Māori descent",2991
"30–34 Years","East Coast Bays","North Island general electorates","No Māori descent",3084
"35–39 Years","East Coast Bays","North Island general electorates","No Māori descent",3165
"40–44 Years","East Coast Bays","North Island general electorates","No Māori descent",4320
"45–49 Years","East Coast Bays","North Island general electorates","No Māori descent",4251
"50–54 Years","East Coast Bays","North Island general electorates","No Māori descent",3882
"55–59 Years","East Coast Bays","North Island general electorates","No Māori descent",3267
"60–64 Years","East Coast Bays","North Island general electorates","No Māori descent",2640
"65–69 Years","East Coast Bays","North Island general electorates","No Māori descent",2076
"70–74 Years","East Coast Bays","North Island general electorates","No Māori descent",1545
"75–79 Years","East Coast Bays","North Island general electorates","No Māori descent",1140
"80–84 Years","East Coast Bays","North Island general electorates","No Māori descent",837
"85 Years And Over","East Coast Bays","North Island general electorates","No Māori descent",876
"18 Years And Over","East Coast Bays","North Island general electorates","No Māori descent",39300
"0–4 Years","Epsom","North Island general electorates","No Māori descent",1869
"5–9 Years","Epsom","North Island general electorates","No Māori descent",2910
"10–14 Years","Epsom","North Island general electorates","No Māori descent",4158
"15–19 Years","Epsom","North Island general electorates","No Māori descent",4341
"20–24 Years","Epsom","North Island general electorates","No Māori descent",4293
"25–29 Years","Epsom","North Island general electorates","No Māori descent",3690
"30–34 Years","Epsom","North Island general electorates","No Māori descent",3036
"35–39 Years","Epsom","North Island general electorates","No Māori descent",2811
"40–44 Years","Epsom","North Island general electorates","No Māori descent",4029
"45–49 Years","Epsom","North Island general electorates","No Māori descent",4737
"50–54 Years","Epsom","North Island general electorates","No Māori descent",4134
"55–59 Years","Epsom","North Island general electorates","No Māori descent",3294
"60–64 Years","Epsom","North Island general electorates","No Māori descent",2793
"65–69 Years","Epsom","North Island general electorates","No Māori descent",2091
"70–74 Years","Epsom","North Island general electorates","No Māori descent",1479
"75–79 Years","Epsom","North Island general electorates","No Māori descent",939
"80–84 Years","Epsom","North Island general electorates","No Māori descent",732
"85 Years And Over","Epsom","North Island general electorates","No Māori descent",762
"18 Years And Over","Epsom","North Island general electorates","No Māori descent",40296
"0–4 Years","Hamilton East","North Island general electorates","No Māori descent",3030
"5–9 Years","Hamilton East","North Island general electorates","No Māori descent",2922
"10–14 Years","Hamilton East","North Island general electorates","No Māori descent",2904
"15–19 Years","Hamilton East","North Island general electorates","No Māori descent",4125
"20–24 Years","Hamilton East","North Island general electorates","No Māori descent",4920
"25–29 Years","Hamilton East","North Island general electorates","No Māori descent",3402
"30–34 Years","Hamilton East","North Island general electorates","No Māori descent",3219
"35–39 Years","Hamilton East","North Island general electorates","No Māori descent",3213
"40–44 Years","Hamilton East","North Island general electorates","No Māori descent",3582
"45–49 Years","Hamilton East","North Island general electorates","No Māori descent",3318
"50–54 Years","Hamilton East","North Island general electorates","No Māori descent",3183
"55–59 Years","Hamilton East","North Island general electorates","No Māori descent",2715
"60–64 Years","Hamilton East","North Island general electorates","No Māori descent",2394
"65–69 Years","Hamilton East","North Island general electorates","No Māori descent",1980
"70–74 Years","Hamilton East","North Island general electorates","No Māori descent",1590
"75–79 Years","Hamilton East","North Island general electorates","No Māori descent",1140
"80–84 Years","Hamilton East","North Island general electorates","No Māori descent",1017
"85 Years And Over","Hamilton East","North Island general electorates","No Māori descent",864
"18 Years And Over","Hamilton East","North Island general electorates","No Māori descent",38616
"0–4 Years","Hamilton West","North Island general electorates","No Māori descent",3093
"5–9 Years","Hamilton West","North Island general electorates","No Māori descent",2544
"10–14 Years","Hamilton West","North Island general electorates","No Māori descent",2391
"15–19 Years","Hamilton West","North Island general electorates","No Māori descent",2610
"20–24 Years","Hamilton West","North Island general electorates","No Māori descent",3567
"25–29 Years","Hamilton West","North Island general electorates","No Māori descent",3975
"30–34 Years","Hamilton West","North Island general electorates","No Māori descent",3609
"35–39 Years","Hamilton West","North Island general electorates","No Māori descent",3162
"40–44 Years","Hamilton West","North Island general electorates","No Māori descent",3147
"45–49 Years","Hamilton West","North Island general electorates","No Māori descent",2988
"50–54 Years","Hamilton West","North Island general electorates","No Māori descent",2970
"55–59 Years","Hamilton West","North Island general electorates","No Māori descent",2793
"60–64 Years","Hamilton West","North Island general electorates","No Māori descent",2451
"65–69 Years","Hamilton West","North Island general electorates","No Māori descent",1998
"70–74 Years","Hamilton West","North Island general electorates","No Māori descent",1380
"75–79 Years","Hamilton West","North Island general electorates","No Māori descent",1023
"80–84 Years","Hamilton West","North Island general electorates","No Māori descent",840
"85 Years And Over","Hamilton West","North Island general electorates","No Māori descent",657
"18 Years And Over","Hamilton West","North Island general electorates","No Māori descent",35670
"0–4 Years","Helensville","North Island general electorates","No Māori descent",2643
"5–9 Years","Helensville","North Island general electorates","No Māori descent",3192
"10–14 Years","Helensville","North Island general electorates","No Māori descent",3279
"15–19 Years","Helensville","North Island general electorates","No Māori descent",3003
"20–24 Years","Helensville","North Island general electorates","No Māori descent",2379
"25–29 Years","Helensville","North Island general electorates","No Māori descent",1998
"30–34 Years","Helensville","North Island general electorates","No Māori descent",2262
"35–39 Years","Helensville","North Island general electorates","No Māori descent",3066
"40–44 Years","Helensville","North Island general electorates","No Māori descent",4344
"45–49 Years","Helensville","North Island general electorates","No Māori descent",4473
"50–54 Years","Helensville","North Island general electorates","No Māori descent",4122
"55–59 Years","Helensville","North Island general electorates","No Māori descent",3264
"60–64 Years","Helensville","North Island general electorates","No Māori descent",2817
"65–69 Years","Helensville","North Island general electorates","No Māori descent",2193
"70–74 Years","Helensville","North Island general electorates","No Māori descent",1380
"75–79 Years","Helensville","North Island general electorates","No Māori descent",774
"80–84 Years","Helensville","North Island general electorates","No Māori descent",435
"85 Years And Over","Helensville","North Island general electorates","No Māori descent",363
"18 Years And Over","Helensville","North Island general electorates","No Māori descent",34986
"0–4 Years","Hunua","North Island general electorates","No Māori descent",3021
"5–9 Years","Hunua","North Island general electorates","No Māori descent",3336
"10–14 Years","Hunua","North Island general electorates","No Māori descent",3462
"15–19 Years","Hunua","North Island general electorates","No Māori descent",2976
"20–24 Years","Hunua","North Island general electorates","No Māori descent",2319
"25–29 Years","Hunua","North Island general electorates","No Māori descent",2145
"30–34 Years","Hunua","North Island general electorates","No Māori descent",2601
"35–39 Years","Hunua","North Island general electorates","No Māori descent",3249
"40–44 Years","Hunua","North Island general electorates","No Māori descent",4230
"45–49 Years","Hunua","North Island general electorates","No Māori descent",4095
