"level0","level1","level2","Māori descent indicator(1) ","count"
"70–74 Years","East Coast","North Island general electorates","Māori descent",990
"75–79 Years","East Coast","North Island general electorates","Māori descent",588
"80–84 Years","East Coast","North Island general electorates","Māori descent",354
"85 Years And Over","East Coast","North Island general electorates","Māori descent",174
"18 Years And Over","East Coast","North Island general electorates","Māori descent",26535
"0–4 Years","East Coast Bays","North Island general electorates","Māori descent",372
"5–9 Years","East Coast Bays","North Island general electorates","Māori descent",357
"10–14 Years","East Coast Bays","North Island general electorates","Māori descent",333
"15–19 Years","East Coast Bays","North Island general electorates","Māori descent",321
"20–24 Years","East Coast Bays","North Island general electorates","Māori descent",276
"25–29 Years","East Coast Bays","North Island general electorates","Māori descent",186
"30–34 Years","East Coast Bays","North Island general electorates","Māori descent",171
"35–39 Years","East Coast Bays","North Island general electorates","Māori descent",219
"40–44 Years","East Coast Bays","North Island general electorates","Māori descent",228
"45–49 Years","East Coast Bays","North Island general electorates","Māori descent",189
"50–54 Years","East Coast Bays","North Island general electorates","Māori descent",186
"55–59 Years","East Coast Bays","North Island general electorates","Māori descent",117
"60–64 Years","East Coast Bays","North Island general electorates","Māori descent",105
"65–69 Years","East Coast Bays","North Island general electorates","Māori descent",69
"70–74 Years","East Coast Bays","North Island general electorates","Māori descent",36
"75–79 Years","East Coast Bays","North Island general electorates","Māori descent",18
"80–84 Years","East Coast Bays","North Island general electorates","Māori descent",15
"85 Years And Over","East Coast Bays","North Island general electorates","Māori descent",3
"18 Years And Over","East Coast Bays","North Island general electorates","Māori descent",1950
"0–4 Years","Epsom","North Island general electorates","Māori descent",216
"5–9 Years","Epsom","North Island general electorates","Māori descent",279
"10–14 Years","Epsom","North Island general electorates","Māori descent",369
"15–19 Years","Epsom","North Island general electorates","Māori descent",411
"20–24 Years","Epsom","North Island general electorates","Māori descent",426
"25–29 Years","Epsom","North Island general electorates","Māori descent",291
"30–34 Years","Epsom","North Island general electorates","Māori descent",204
"35–39 Years","Epsom","North Island general electorates","Māori descent",207
"40–44 Years","Epsom","North Island general electorates","Māori descent",243
"45–49 Years","Epsom","North Island general electorates","Māori descent",246
"50–54 Years","Epsom","North Island general electorates","Māori descent",246
"55–59 Years","Epsom","North Island general electorates","Māori descent",150
"60–64 Years","Epsom","North Island general electorates","Māori descent",120
"65–69 Years","Epsom","North Island general electorates","Māori descent",66
"70–74 Years","Epsom","North Island general electorates","Māori descent",51
"75–79 Years","Epsom","North Island general electorates","Māori descent",27
"80–84 Years","Epsom","North Island general electorates","Māori descent",12
"85 Years And Over","Epsom","North Island general electorates","Māori descent",9
"18 Years And Over","Epsom","North Island general electorates","Māori descent",2433
"0–4 Years","Hamilton East","North Island general electorates","Māori descent",1527
"5–9 Years","Hamilton East","North Island general electorates","Māori descent",1371
"10–14 Years","Hamilton East","North Island general electorates","Māori descent",1392
"15–19 Years","Hamilton East","North Island general electorates","Māori descent",1728
"20–24 Years","Hamilton East","North Island general electorates","Māori descent",1566
"25–29 Years","Hamilton East","North Island general electorates","Māori descent",915
"30–34 Years","Hamilton East","North Island general electorates","Māori descent",840
"35–39 Years","Hamilton East","North Island general electorates","Māori descent",849
"40–44 Years","Hamilton East","North Island general electorates","Māori descent",801
"45–49 Years","Hamilton East","North Island general electorates","Māori descent",639
"50–54 Years","Hamilton East","North Island general electorates","Māori descent",594
"55–59 Years","Hamilton East","North Island general electorates","Māori descent",435
"60–64 Years","Hamilton East","North Island general electorates","Māori descent",282
"65–69 Years","Hamilton East","North Island general electorates","Māori descent",243
"70–74 Years","Hamilton East","North Island general electorates","Māori descent",138
"75–79 Years","Hamilton East","North Island general electorates","Māori descent",66
"80–84 Years","Hamilton East","North Island general electorates","Māori descent",45
"85 Years And Over","Hamilton East","North Island general electorates","Māori descent",24
"18 Years And Over","Hamilton East","North Island general electorates","Māori descent",8298
"0–4 Years","Hamilton West","North Island general electorates","Māori descent",2292
"5–9 Years","Hamilton West","North Island general electorates","Māori descent",2004
"10–14 Years","Hamilton West","North Island general electorates","Māori descent",1740
"15–19 Years","Hamilton West","North Island general electorates","Māori descent",1644
"20–24 Years","Hamilton West","North Island general electorates","Māori descent",1719
"25–29 Years","Hamilton West","North Island general electorates","Māori descent",1476
"30–34 Years","Hamilton West","North Island general electorates","Māori descent",1158
"35–39 Years","Hamilton West","North Island general electorates","Māori descent",1065
"40–44 Years","Hamilton West","North Island general electorates","Māori descent",987
"45–49 Years","Hamilton West","North Island general electorates","Māori descent",894
"50–54 Years","Hamilton West","North Island general electorates","Māori descent",813
"55–59 Years","Hamilton West","North Island general electorates","Māori descent",618
"60–64 Years","Hamilton West","North Island general electorates","Māori descent",492
"65–69 Years","Hamilton West","North Island general electorates","Māori descent",291
"70–74 Years","Hamilton West","North Island general electorates","Māori descent",228
"75–79 Years","Hamilton West","North Island general electorates","Māori descent",117
"80–84 Years","Hamilton West","North Island general electorates","Māori descent",69
"85 Years And Over","Hamilton West","North Island general electorates","Māori descent",39
"18 Years And Over","Hamilton West","North Island general electorates","Māori descent",10608
"0–4 Years","Helensville","North Island general electorates","Māori descent",756
"5–9 Years","Helensville","North Island general electorates","Māori descent",768
"10–14 Years","Helensville","North Island general electorates","Māori descent",762
"15–19 Years","Helensville","North Island general electorates","Māori descent",630
"20–24 Years","Helensville","North Island general electorates","Māori descent",513
"25–29 Years","Helensville","North Island general electorates","Māori descent",351
"30–34 Years","Helensville","North Island general electorates","Māori descent",378
"35–39 Years","Helensville","North Island general electorates","Māori descent",402
"40–44 Years","Helensville","North Island general electorates","Māori descent",558
"45–49 Years","Helensville","North Island general electorates","Māori descent",516
"50–54 Years","Helensville","North Island general electorates","Māori descent",435
"55–59 Years","Helensville","North Island general electorates","Māori descent",315
"60–64 Years","Helensville","North Island general electorates","Māori descent",204
"65–69 Years","Helensville","North Island general electorates","Māori descent",132
"70–74 Years","Helensville","North Island general electorates","Māori descent",66
"75–79 Years","Helensville","North Island general electorates","Māori descent",42
"80–84 Years","Helensville","North Island general electorates","Māori descent",21
"85 Years And Over","Helensville","North Island general electorates","Māori descent",9
"18 Years And Over","Helensville","North Island general electorates","Māori descent",4173
"0–4 Years","Hunua","North Island general electorates","Māori descent",1152
"5–9 Years","Hunua","North Island general electorates","Māori descent",1155
"10–14 Years","Hunua","North Island general electorates","Māori descent",1110
"15–19 Years","Hunua","North Island general electorates","Māori descent",927
"20–24 Years","Hunua","North Island general electorates","Māori descent",642
"25–29 Years","Hunua","North Island general electorates","Māori descent",474
"30–34 Years","Hunua","North Island general electorates","Māori descent",489
"35–39 Years","Hunua","North Island general electorates","Māori descent",612
"40–44 Years","Hunua","North Island general electorates","Māori descent",648
"45–49 Years","Hunua","North Island general electorates","Māori descent",570
"50–54 Years","Hunua","North Island general electorates","Māori descent",531
"55–59 Years","Hunua","North Island general electorates","Māori descent",366
"60–64 Years","Hunua","North Island general electorates","Māori descent",288
"65–69 Years","Hunua","North Island general electorates","Māori descent",216
"70–74 Years","Hunua","North Island general electorates","Māori descent",132
"75–79 Years","Hunua","North Island general electorates","Māori descent",72
"80–84 Years","Hunua","North Island general electorates","Māori descent",39
"85 Years And Over","Hunua","North Island general electorates","Māori descent",21
"18 Years And Over","Hunua","North Island general electorates","Māori descent",5421
"0–4 Years","Hutt South","North Island general electorates","Māori descent",1260
"5–9 Years","Hutt South","North Island general electorates","Māori descent",1194
"10–14 Years","Hutt South","North Island general electorates","Māori descent",1164
"15–19 Years","Hutt South","North Island general electorates","Māori descent",1035
"20–24 Years","Hutt South","North Island general electorates","Māori descent",924
"25–29 Years","Hutt South","North Island general electorates","Māori descent",729
"30–34 Years","Hutt South","North Island general electorates","Māori descent",732
"35–39 Years","Hutt South","North Island general electorates","Māori descent",738
"40–44 Years","Hutt South","North Island general electorates","Māori descent",759
"45–49 Years","Hutt South","North Island general electorates","Māori descent",657
"50–54 Years","Hutt South","North Island general electorates","Māori descent",654
"55–59 Years","Hutt South","North Island general electorates","Māori descent",429
"60–64 Years","Hutt South","North Island general electorates","Māori descent",339
"65–69 Years","Hutt South","North Island general electorates","Māori descent",201
"70–74 Years","Hutt South","North Island general electorates","Māori descent",144
"75–79 Years","Hutt South","North Island general electorates","Māori descent",66
"80–84 Years","Hutt South","North Island general electorates","Māori descent",27
"85 Years And Over","Hutt South","North Island general electorates","Māori descent",18
"18 Years And Over","Hutt South","North Island general electorates","Māori descent",6819
"0–4 Years","Kelston","North Island general electorates","Māori descent",1167
"5–9 Years","Kelston","North Island general electorates","Māori descent",915
