"level0","level1","level2","level3","Years at usual residence","count"
"Male","85 Years And Over","Palmerston North","North Island general electorates","2 Years",33
"Female","85 Years And Over","Palmerston North","North Island general electorates","2 Years",57
"Male","0–4 Years","Papakura","North Island general electorates","2 Years",477
"Female","0–4 Years","Papakura","North Island general electorates","2 Years",471
"Male","5–9 Years","Papakura","North Island general electorates","2 Years",318
"Female","5–9 Years","Papakura","North Island general electorates","2 Years",324
"Male","10–14 Years","Papakura","North Island general electorates","2 Years",255
"Female","10–14 Years","Papakura","North Island general electorates","2 Years",273
"Male","15–19 Years","Papakura","North Island general electorates","2 Years",204
"Female","15–19 Years","Papakura","North Island general electorates","2 Years",192
"Male","20–24 Years","Papakura","North Island general electorates","2 Years",213
"Female","20–24 Years","Papakura","North Island general electorates","2 Years",234
"Male","25–29 Years","Papakura","North Island general electorates","2 Years",246
"Female","25–29 Years","Papakura","North Island general electorates","2 Years",330
"Male","30–34 Years","Papakura","North Island general electorates","2 Years",255
"Female","30–34 Years","Papakura","North Island general electorates","2 Years",291
"Male","35–39 Years","Papakura","North Island general electorates","2 Years",249
"Female","35–39 Years","Papakura","North Island general electorates","2 Years",306
"Male","40–44 Years","Papakura","North Island general electorates","2 Years",249
"Female","40–44 Years","Papakura","North Island general electorates","2 Years",270
"Male","45–49 Years","Papakura","North Island general electorates","2 Years",201
"Female","45–49 Years","Papakura","North Island general electorates","2 Years",216
"Male","50–54 Years","Papakura","North Island general electorates","2 Years",177
"Female","50–54 Years","Papakura","North Island general electorates","2 Years",189
"Male","55–59 Years","Papakura","North Island general electorates","2 Years",108
"Female","55–59 Years","Papakura","North Island general electorates","2 Years",117
"Male","60–64 Years","Papakura","North Island general electorates","2 Years",96
"Female","60–64 Years","Papakura","North Island general electorates","2 Years",93
"Male","65–69 Years","Papakura","North Island general electorates","2 Years",72
"Female","65–69 Years","Papakura","North Island general electorates","2 Years",63
"Male","70–74 Years","Papakura","North Island general electorates","2 Years",39
"Female","70–74 Years","Papakura","North Island general electorates","2 Years",54
"Male","75–79 Years","Papakura","North Island general electorates","2 Years",30
"Female","75–79 Years","Papakura","North Island general electorates","2 Years",33
"Male","80–84 Years","Papakura","North Island general electorates","2 Years",27
"Female","80–84 Years","Papakura","North Island general electorates","2 Years",39
"Male","85 Years And Over","Papakura","North Island general electorates","2 Years",18
"Female","85 Years And Over","Papakura","North Island general electorates","2 Years",42
"Male","0–4 Years","Rangitikei","North Island general electorates","2 Years",441
"Female","0–4 Years","Rangitikei","North Island general electorates","2 Years",390
"Male","5–9 Years","Rangitikei","North Island general electorates","2 Years",282
"Female","5–9 Years","Rangitikei","North Island general electorates","2 Years",246
"Male","10–14 Years","Rangitikei","North Island general electorates","2 Years",222
"Female","10–14 Years","Rangitikei","North Island general electorates","2 Years",243
"Male","15–19 Years","Rangitikei","North Island general electorates","2 Years",171
"Female","15–19 Years","Rangitikei","North Island general electorates","2 Years",168
"Male","20–24 Years","Rangitikei","North Island general electorates","2 Years",213
"Female","20–24 Years","Rangitikei","North Island general electorates","2 Years",219
"Male","25–29 Years","Rangitikei","North Island general electorates","2 Years",213
"Female","25–29 Years","Rangitikei","North Island general electorates","2 Years",237
"Male","30–34 Years","Rangitikei","North Island general electorates","2 Years",207
"Female","30–34 Years","Rangitikei","North Island general electorates","2 Years",225
"Male","35–39 Years","Rangitikei","North Island general electorates","2 Years",225
"Female","35–39 Years","Rangitikei","North Island general electorates","2 Years",243
"Male","40–44 Years","Rangitikei","North Island general electorates","2 Years",219
"Female","40–44 Years","Rangitikei","North Island general electorates","2 Years",219
"Male","45–49 Years","Rangitikei","North Island general electorates","2 Years",183
"Female","45–49 Years","Rangitikei","North Island general electorates","2 Years",177
"Male","50–54 Years","Rangitikei","North Island general electorates","2 Years",135
"Female","50–54 Years","Rangitikei","North Island general electorates","2 Years",153
"Male","55–59 Years","Rangitikei","North Island general electorates","2 Years",108
"Female","55–59 Years","Rangitikei","North Island general electorates","2 Years",105
"Male","60–64 Years","Rangitikei","North Island general electorates","2 Years",99
"Female","60–64 Years","Rangitikei","North Island general electorates","2 Years",99
"Male","65–69 Years","Rangitikei","North Island general electorates","2 Years",72
"Female","65–69 Years","Rangitikei","North Island general electorates","2 Years",66
"Male","70–74 Years","Rangitikei","North Island general electorates","2 Years",63
"Female","70–74 Years","Rangitikei","North Island general electorates","2 Years",45
"Male","75–79 Years","Rangitikei","North Island general electorates","2 Years",30
"Female","75–79 Years","Rangitikei","North Island general electorates","2 Years",30
"Male","80–84 Years","Rangitikei","North Island general electorates","2 Years",12
"Female","80–84 Years","Rangitikei","North Island general electorates","2 Years",36
"Male","85 Years And Over","Rangitikei","North Island general electorates","2 Years",21
"Female","85 Years And Over","Rangitikei","North Island general electorates","2 Years",39
"Male","0–4 Years","Rimutaka","North Island general electorates","2 Years",402
"Female","0–4 Years","Rimutaka","North Island general electorates","2 Years",465
"Male","5–9 Years","Rimutaka","North Island general electorates","2 Years",291
"Female","5–9 Years","Rimutaka","North Island general electorates","2 Years",243
"Male","10–14 Years","Rimutaka","North Island general electorates","2 Years",207
"Female","10–14 Years","Rimutaka","North Island general electorates","2 Years",219
"Male","15–19 Years","Rimutaka","North Island general electorates","2 Years",201
"Female","15–19 Years","Rimutaka","North Island general electorates","2 Years",147
"Male","20–24 Years","Rimutaka","North Island general electorates","2 Years",168
"Female","20–24 Years","Rimutaka","North Island general electorates","2 Years",225
"Male","25–29 Years","Rimutaka","North Island general electorates","2 Years",237
"Female","25–29 Years","Rimutaka","North Island general electorates","2 Years",291
"Male","30–34 Years","Rimutaka","North Island general electorates","2 Years",234
"Female","30–34 Years","Rimutaka","North Island general electorates","2 Years",306
"Male","35–39 Years","Rimutaka","North Island general electorates","2 Years",240
"Female","35–39 Years","Rimutaka","North Island general electorates","2 Years",285
"Male","40–44 Years","Rimutaka","North Island general electorates","2 Years",240
"Female","40–44 Years","Rimutaka","North Island general electorates","2 Years",243
"Male","45–49 Years","Rimutaka","North Island general electorates","2 Years",189
"Female","45–49 Years","Rimutaka","North Island general electorates","2 Years",180
"Male","50–54 Years","Rimutaka","North Island general electorates","2 Years",168
"Female","50–54 Years","Rimutaka","North Island general electorates","2 Years",159
"Male","55–59 Years","Rimutaka","North Island general electorates","2 Years",99
"Female","55–59 Years","Rimutaka","North Island general electorates","2 Years",114
"Male","60–64 Years","Rimutaka","North Island general electorates","2 Years",69
"Female","60–64 Years","Rimutaka","North Island general electorates","2 Years",72
"Male","65–69 Years","Rimutaka","North Island general electorates","2 Years",63
"Female","65–69 Years","Rimutaka","North Island general electorates","2 Years",60
"Male","70–74 Years","Rimutaka","North Island general electorates","2 Years",39
"Female","70–74 Years","Rimutaka","North Island general electorates","2 Years",42
"Male","75–79 Years","Rimutaka","North Island general electorates","2 Years",27
"Female","75–79 Years","Rimutaka","North Island general electorates","2 Years",39
"Male","80–84 Years","Rimutaka","North Island general electorates","2 Years",27
"Female","80–84 Years","Rimutaka","North Island general electorates","2 Years",36
"Male","85 Years And Over","Rimutaka","North Island general electorates","2 Years",30
"Female","85 Years And Over","Rimutaka","North Island general electorates","2 Years",57
"Male","0–4 Years","Rodney","North Island general electorates","2 Years",309
"Female","0–4 Years","Rodney","North Island general electorates","2 Years",255
"Male","5–9 Years","Rodney","North Island general electorates","2 Years",231
"Female","5–9 Years","Rodney","North Island general electorates","2 Years",255
"Male","10–14 Years","Rodney","North Island general electorates","2 Years",252
"Female","10–14 Years","Rodney","North Island general electorates","2 Years",204
"Male","15–19 Years","Rodney","North Island general electorates","2 Years",165
"Female","15–19 Years","Rodney","North Island general electorates","2 Years",153
"Male","20–24 Years","Rodney","North Island general electorates","2 Years",129
"Female","20–24 Years","Rodney","North Island general electorates","2 Years",117
"Male","25–29 Years","Rodney","North Island general electorates","2 Years",147
"Female","25–29 Years","Rodney","North Island general electorates","2 Years",183
"Male","30–34 Years","Rodney","North Island general electorates","2 Years",177
"Female","30–34 Years","Rodney","North Island general electorates","2 Years",195
"Male","35–39 Years","Rodney","North Island general electorates","2 Years",177
"Female","35–39 Years","Rodney","North Island general electorates","2 Years",255
"Male","40–44 Years","Rodney","North Island general electorates","2 Years",255
"Female","40–44 Years","Rodney","North Island general electorates","2 Years",270
"Male","45–49 Years","Rodney","North Island general electorates","2 Years",210
"Female","45–49 Years","Rodney","North Island general electorates","2 Years",210
"Male","50–54 Years","Rodney","North Island general electorates","2 Years",174
"Female","50–54 Years","Rodney","North Island general electorates","2 Years",171
"Male","55–59 Years","Rodney","North Island general electorates","2 Years",162
"Female","55–59 Years","Rodney","North Island general electorates","2 Years",174
"Male","60–64 Years","Rodney","North Island general electorates","2 Years",165
"Female","60–64 Years","Rodney","North Island general electorates","2 Years",174
"Male","65–69 Years","Rodney","North Island general electorates","2 Years",138
"Female","65–69 Years","Rodney","North Island general electorates","2 Years",144
"Male","70–74 Years","Rodney","North Island general electorates","2 Years",120
"Female","70–74 Years","Rodney","North Island general electorates","2 Years",111
"Male","75–79 Years","Rodney","North Island general electorates","2 Years",75
"Female","75–79 Years","Rodney","North Island general electorates","2 Years",93
"Male","80–84 Years","Rodney","North Island general electorates","2 Years",60
"Female","80–84 Years","Rodney","North Island general electorates","2 Years",69
"Male","85 Years And Over","Rodney","North Island general electorates","2 Years",48
"Female","85 Years And Over","Rodney","North Island general electorates","2 Years",87
"Male","0–4 Years","Rongotai","North Island general electorates","2 Years",384
"Female","0–4 Years","Rongotai","North Island general electorates","2 Years",360
"Male","5–9 Years","Rongotai","North Island general electorates","2 Years",189
"Female","5–9 Years","Rongotai","North Island general electorates","2 Years",183
"Male","10–14 Years","Rongotai","North Island general electorates","2 Years",141
"Female","10–14 Years","Rongotai","North Island general electorates","2 Years",108
"Male","15–19 Years","Rongotai","North Island general electorates","2 Years",105
"Female","15–19 Years","Rongotai","North Island general electorates","2 Years",105
"Male","20–24 Years","Rongotai","North Island general electorates","2 Years",147
"Female","20–24 Years","Rongotai","North Island general electorates","2 Years",174
"Male","25–29 Years","Rongotai","North Island general electorates","2 Years",303
"Female","25–29 Years","Rongotai","North Island general electorates","2 Years",351
"Male","30–34 Years","Rongotai","North Island general electorates","2 Years",363
"Female","30–34 Years","Rongotai","North Island general electorates","2 Years",444
"Male","35–39 Years","Rongotai","North Island general electorates","2 Years",366
"Female","35–39 Years","Rongotai","North Island general electorates","2 Years",357
"Male","40–44 Years","Rongotai","North Island general electorates","2 Years",291
"Female","40–44 Years","Rongotai","North Island general electorates","2 Years",261
"Male","45–49 Years","Rongotai","North Island general electorates","2 Years",174
"Female","45–49 Years","Rongotai","North Island general electorates","2 Years",165
"Male","50–54 Years","Rongotai","North Island general electorates","2 Years",111
"Female","50–54 Years","Rongotai","North Island general electorates","2 Years",120
"Male","55–59 Years","Rongotai","North Island general electorates","2 Years",90
"Female","55–59 Years","Rongotai","North Island general electorates","2 Years",63
"Male","60–64 Years","Rongotai","North Island general electorates","2 Years",51
"Female","60–64 Years","Rongotai","North Island general electorates","2 Years",63
"Male","65–69 Years","Rongotai","North Island general electorates","2 Years",45
"Female","65–69 Years","Rongotai","North Island general electorates","2 Years",39
"Male","70–74 Years","Rongotai","North Island general electorates","2 Years",30
"Female","70–74 Years","Rongotai","North Island general electorates","2 Years",30
"Male","75–79 Years","Rongotai","North Island general electorates","2 Years",12
"Female","75–79 Years","Rongotai","North Island general electorates","2 Years",21
"Male","80–84 Years","Rongotai","North Island general electorates","2 Years",18
"Female","80–84 Years","Rongotai","North Island general electorates","2 Years",27
"Male","85 Years And Over","Rongotai","North Island general electorates","2 Years",21
"Female","85 Years And Over","Rongotai","North Island general electorates","2 Years",42
"Male","0–4 Years","Rotorua","North Island general electorates","2 Years",471
"Female","0–4 Years","Rotorua","North Island general electorates","2 Years",450
"Male","5–9 Years","Rotorua","North Island general electorates","2 Years",339
"Female","5–9 Years","Rotorua","North Island general electorates","2 Years",327
"Male","10–14 Years","Rotorua","North Island general electorates","2 Years",294
"Female","10–14 Years","Rotorua","North Island general electorates","2 Years",285
"Male","15–19 Years","Rotorua","North Island general electorates","2 Years",231
"Female","15–19 Years","Rotorua","North Island general electorates","2 Years",207
"Male","20–24 Years","Rotorua","North Island general electorates","2 Years",225
"Female","20–24 Years","Rotorua","North Island general electorates","2 Years",228
"Male","25–29 Years","Rotorua","North Island general electorates","2 Years",228
"Female","25–29 Years","Rotorua","North Island general electorates","2 Years",288
"Male","30–34 Years","Rotorua","North Island general electorates","2 Years",234
"Female","30–34 Years","Rotorua","North Island general electorates","2 Years",315
"Male","35–39 Years","Rotorua","North Island general electorates","2 Years",249
"Female","35–39 Years","Rotorua","North Island general electorates","2 Years",264
"Male","40–44 Years","Rotorua","North Island general electorates","2 Years",237
"Female","40–44 Years","Rotorua","North Island general electorates","2 Years",261
"Male","45–49 Years","Rotorua","North Island general electorates","2 Years",198
"Female","45–49 Years","Rotorua","North Island general electorates","2 Years",228
"Male","50–54 Years","Rotorua","North Island general electorates","2 Years",159
"Female","50–54 Years","Rotorua","North Island general electorates","2 Years",189
"Male","55–59 Years","Rotorua","North Island general electorates","2 Years",126
"Female","55–59 Years","Rotorua","North Island general electorates","2 Years",141
"Male","60–64 Years","Rotorua","North Island general electorates","2 Years",111
"Female","60–64 Years","Rotorua","North Island general electorates","2 Years",132
"Male","65–69 Years","Rotorua","North Island general electorates","2 Years",84
"Female","65–69 Years","Rotorua","North Island general electorates","2 Years",87
"Male","70–74 Years","Rotorua","North Island general electorates","2 Years",51
"Female","70–74 Years","Rotorua","North Island general electorates","2 Years",51
"Male","75–79 Years","Rotorua","North Island general electorates","2 Years",36
"Female","75–79 Years","Rotorua","North Island general electorates","2 Years",39
"Male","80–84 Years","Rotorua","North Island general electorates","2 Years",18
"Female","80–84 Years","Rotorua","North Island general electorates","2 Years",33
"Male","85 Years And Over","Rotorua","North Island general electorates","2 Years",27
"Female","85 Years And Over","Rotorua","North Island general electorates","2 Years",51
"Male","0–4 Years","Tamaki","North Island general electorates","2 Years",372
"Female","0–4 Years","Tamaki","North Island general electorates","2 Years",354
"Male","5–9 Years","Tamaki","North Island general electorates","2 Years",225
"Female","5–9 Years","Tamaki","North Island general electorates","2 Years",258
"Male","10–14 Years","Tamaki","North Island general electorates","2 Years",168
"Female","10–14 Years","Tamaki","North Island general electorates","2 Years",144
"Male","15–19 Years","Tamaki","North Island general electorates","2 Years",135
"Female","15–19 Years","Tamaki","North Island general electorates","2 Years",141
"Male","20–24 Years","Tamaki","North Island general electorates","2 Years",129
"Female","20–24 Years","Tamaki","North Island general electorates","2 Years",141
"Male","25–29 Years","Tamaki","North Island general electorates","2 Years",168
"Female","25–29 Years","Tamaki","North Island general electorates","2 Years",192
"Male","30–34 Years","Tamaki","North Island general electorates","2 Years",288
"Female","30–34 Years","Tamaki","North Island general electorates","2 Years",309
"Male","35–39 Years","Tamaki","North Island general electorates","2 Years",300
"Female","35–39 Years","Tamaki","North Island general electorates","2 Years",333
"Male","40–44 Years","Tamaki","North Island general electorates","2 Years",264
"Female","40–44 Years","Tamaki","North Island general electorates","2 Years",264
"Male","45–49 Years","Tamaki","North Island general electorates","2 Years",210
"Female","45–49 Years","Tamaki","North Island general electorates","2 Years",228
"Male","50–54 Years","Tamaki","North Island general electorates","2 Years",159
"Female","50–54 Years","Tamaki","North Island general electorates","2 Years",165
"Male","55–59 Years","Tamaki","North Island general electorates","2 Years",123
"Female","55–59 Years","Tamaki","North Island general electorates","2 Years",135
"Male","60–64 Years","Tamaki","North Island general electorates","2 Years",87
"Female","60–64 Years","Tamaki","North Island general electorates","2 Years",99
"Male","65–69 Years","Tamaki","North Island general electorates","2 Years",78
"Female","65–69 Years","Tamaki","North Island general electorates","2 Years",78
"Male","70–74 Years","Tamaki","North Island general electorates","2 Years",54
"Female","70–74 Years","Tamaki","North Island general electorates","2 Years",54
"Male","75–79 Years","Tamaki","North Island general electorates","2 Years",24
"Female","75–79 Years","Tamaki","North Island general electorates","2 Years",39
"Male","80–84 Years","Tamaki","North Island general electorates","2 Years",27
"Female","80–84 Years","Tamaki","North Island general electorates","2 Years",48
"Male","85 Years And Over","Tamaki","North Island general electorates","2 Years",30
"Female","85 Years And Over","Tamaki","North Island general electorates","2 Years",69
"Male","0–4 Years","Taranaki-King Country","North Island general electorates","2 Years",423
"Female","0–4 Years","Taranaki-King Country","North Island general electorates","2 Years",384
"Male","5–9 Years","Taranaki-King Country","North Island general electorates","2 Years",285
"Female","5–9 Years","Taranaki-King Country","North Island general electorates","2 Years",252
"Male","10–14 Years","Taranaki-King Country","North Island general electorates","2 Years",219
"Female","10–14 Years","Taranaki-King Country","North Island general electorates","2 Years",210
"Male","15–19 Years","Taranaki-King Country","North Island general electorates","2 Years",138
"Female","15–19 Years","Taranaki-King Country","North Island general electorates","2 Years",141
"Male","20–24 Years","Taranaki-King Country","North Island general electorates","2 Years",147
"Female","20–24 Years","Taranaki-King Country","North Island general electorates","2 Years",159
"Male","25–29 Years","Taranaki-King Country","North Island general electorates","2 Years",225
"Female","25–29 Years","Taranaki-King Country","North Island general electorates","2 Years",243
"Male","30–34 Years","Taranaki-King Country","North Island general electorates","2 Years",243
"Female","30–34 Years","Taranaki-King Country","North Island general electorates","2 Years",231
"Male","35–39 Years","Taranaki-King Country","North Island general electorates","2 Years",249
"Female","35–39 Years","Taranaki-King Country","North Island general electorates","2 Years",258
"Male","40–44 Years","Taranaki-King Country","North Island general electorates","2 Years",207
"Female","40–44 Years","Taranaki-King Country","North Island general electorates","2 Years",216
"Male","45–49 Years","Taranaki-King Country","North Island general electorates","2 Years",165
"Female","45–49 Years","Taranaki-King Country","North Island general electorates","2 Years",165
"Male","50–54 Years","Taranaki-King Country","North Island general electorates","2 Years",156
"Female","50–54 Years","Taranaki-King Country","North Island general electorates","2 Years",135
"Male","55–59 Years","Taranaki-King Country","North Island general electorates","2 Years",129
"Female","55–59 Years","Taranaki-King Country","North Island general electorates","2 Years",135
"Male","60–64 Years","Taranaki-King Country","North Island general electorates","2 Years",90
"Female","60–64 Years","Taranaki-King Country","North Island general electorates","2 Years",96
"Male","65–69 Years","Taranaki-King Country","North Island general electorates","2 Years",75
"Female","65–69 Years","Taranaki-King Country","North Island general electorates","2 Years",81
"Male","70–74 Years","Taranaki-King Country","North Island general electorates","2 Years",51
"Female","70–74 Years","Taranaki-King Country","North Island general electorates","2 Years",45
"Male","75–79 Years","Taranaki-King Country","North Island general electorates","2 Years",27
"Female","75–79 Years","Taranaki-King Country","North Island general electorates","2 Years",18
"Male","80–84 Years","Taranaki-King Country","North Island general electorates","2 Years",21
"Female","80–84 Years","Taranaki-King Country","North Island general electorates","2 Years",24
"Male","85 Years And Over","Taranaki-King Country","North Island general electorates","2 Years",21
"Female","85 Years And Over","Taranaki-King Country","North Island general electorates","2 Years",27
"Male","0–4 Years","Taupo","North Island general electorates","2 Years",426
"Female","0–4 Years","Taupo","North Island general electorates","2 Years",399
"Male","5–9 Years","Taupo","North Island general electorates","2 Years",306
"Female","5–9 Years","Taupo","North Island general electorates","2 Years",294
"Male","10–14 Years","Taupo","North Island general electorates","2 Years",264
"Female","10–14 Years","Taupo","North Island general electorates","2 Years",261
"Male","15–19 Years","Taupo","North Island general electorates","2 Years",183
"Female","15–19 Years","Taupo","North Island general electorates","2 Years",186
"Male","20–24 Years","Taupo","North Island general electorates","2 Years",168
"Female","20–24 Years","Taupo","North Island general electorates","2 Years",192
"Male","25–29 Years","Taupo","North Island general electorates","2 Years",222
"Female","25–29 Years","Taupo","North Island general electorates","2 Years",288
"Male","30–34 Years","Taupo","North Island general electorates","2 Years",237
"Female","30–34 Years","Taupo","North Island general electorates","2 Years",279
"Male","35–39 Years","Taupo","North Island general electorates","2 Years",279
"Female","35–39 Years","Taupo","North Island general electorates","2 Years",294
"Male","40–44 Years","Taupo","North Island general electorates","2 Years",252
"Female","40–44 Years","Taupo","North Island general electorates","2 Years",243
"Male","45–49 Years","Taupo","North Island general electorates","2 Years",195
"Female","45–49 Years","Taupo","North Island general electorates","2 Years",228
"Male","50–54 Years","Taupo","North Island general electorates","2 Years",192
"Female","50–54 Years","Taupo","North Island general electorates","2 Years",186
"Male","55–59 Years","Taupo","North Island general electorates","2 Years",123
"Female","55–59 Years","Taupo","North Island general electorates","2 Years",150
"Male","60–64 Years","Taupo","North Island general electorates","2 Years",111
"Female","60–64 Years","Taupo","North Island general electorates","2 Years",135
"Male","65–69 Years","Taupo","North Island general electorates","2 Years",123
"Female","65–69 Years","Taupo","North Island general electorates","2 Years",102
"Male","70–74 Years","Taupo","North Island general electorates","2 Years",72
"Female","70–74 Years","Taupo","North Island general electorates","2 Years",81
"Male","75–79 Years","Taupo","North Island general electorates","2 Years",48
"Female","75–79 Years","Taupo","North Island general electorates","2 Years",51
"Male","80–84 Years","Taupo","North Island general electorates","2 Years",36
"Female","80–84 Years","Taupo","North Island general electorates","2 Years",36
"Male","85 Years And Over","Taupo","North Island general electorates","2 Years",24
"Female","85 Years And Over","Taupo","North Island general electorates","2 Years",48
"Male","0–4 Years","Tauranga","North Island general electorates","2 Years",333
"Female","0–4 Years","Tauranga","North Island general electorates","2 Years",288
"Male","5–9 Years","Tauranga","North Island general electorates","2 Years",234
"Female","5–9 Years","Tauranga","North Island general electorates","2 Years",222
"Male","10–14 Years","Tauranga","North Island general electorates","2 Years",234
"Female","10–14 Years","Tauranga","North Island general electorates","2 Years",228
"Male","15–19 Years","Tauranga","North Island general electorates","2 Years",165
"Female","15–19 Years","Tauranga","North Island general electorates","2 Years",147
"Male","20–24 Years","Tauranga","North Island general electorates","2 Years",159
"Female","20–24 Years","Tauranga","North Island general electorates","2 Years",168
"Male","25–29 Years","Tauranga","North Island general electorates","2 Years",183
"Female","25–29 Years","Tauranga","North Island general electorates","2 Years",225
"Male","30–34 Years","Tauranga","North Island general electorates","2 Years",222
"Female","30–34 Years","Tauranga","North Island general electorates","2 Years",255
"Male","35–39 Years","Tauranga","North Island general electorates","2 Years",219
"Female","35–39 Years","Tauranga","North Island general electorates","2 Years",255
"Male","40–44 Years","Tauranga","North Island general electorates","2 Years",225
"Female","40–44 Years","Tauranga","North Island general electorates","2 Years",252
"Male","45–49 Years","Tauranga","North Island general electorates","2 Years",189
"Female","45–49 Years","Tauranga","North Island general electorates","2 Years",204
"Male","50–54 Years","Tauranga","North Island general electorates","2 Years",177
"Female","50–54 Years","Tauranga","North Island general electorates","2 Years",204
"Male","55–59 Years","Tauranga","North Island general electorates","2 Years",126
"Female","55–59 Years","Tauranga","North Island general electorates","2 Years",162
"Male","60–64 Years","Tauranga","North Island general electorates","2 Years",111
"Female","60–64 Years","Tauranga","North Island general electorates","2 Years",144
"Male","65–69 Years","Tauranga","North Island general electorates","2 Years",102
"Female","65–69 Years","Tauranga","North Island general electorates","2 Years",123
"Male","70–74 Years","Tauranga","North Island general electorates","2 Years",96
"Female","70–74 Years","Tauranga","North Island general electorates","2 Years",102
"Male","75–79 Years","Tauranga","North Island general electorates","2 Years",63
"Female","75–79 Years","Tauranga","North Island general electorates","2 Years",75
"Male","80–84 Years","Tauranga","North Island general electorates","2 Years",48
"Female","80–84 Years","Tauranga","North Island general electorates","2 Years",51
"Male","85 Years And Over","Tauranga","North Island general electorates","2 Years",39
"Female","85 Years And Over","Tauranga","North Island general electorates","2 Years",93
"Male","0–4 Years","Te Atatu","North Island general electorates","2 Years",501
"Female","0–4 Years","Te Atatu","North Island general electorates","2 Years",453
"Male","5–9 Years","Te Atatu","North Island general electorates","2 Years",270
"Female","5–9 Years","Te Atatu","North Island general electorates","2 Years",276
"Male","10–14 Years","Te Atatu","North Island general electorates","2 Years",216
"Female","10–14 Years","Te Atatu","North Island general electorates","2 Years",231
"Male","15–19 Years","Te Atatu","North Island general electorates","2 Years",207
"Female","15–19 Years","Te Atatu","North Island general electorates","2 Years",189
"Male","20–24 Years","Te Atatu","North Island general electorates","2 Years",201
"Female","20–24 Years","Te Atatu","North Island general electorates","2 Years",228
"Male","25–29 Years","Te Atatu","North Island general electorates","2 Years",261
"Female","25–29 Years","Te Atatu","North Island general electorates","2 Years",354
"Male","30–34 Years","Te Atatu","North Island general electorates","2 Years",321
"Female","30–34 Years","Te Atatu","North Island general electorates","2 Years",342
"Male","35–39 Years","Te Atatu","North Island general electorates","2 Years",309
"Female","35–39 Years","Te Atatu","North Island general electorates","2 Years",300
"Male","40–44 Years","Te Atatu","North Island general electorates","2 Years",234
"Female","40–44 Years","Te Atatu","North Island general electorates","2 Years",243
"Male","45–49 Years","Te Atatu","North Island general electorates","2 Years",168
"Female","45–49 Years","Te Atatu","North Island general electorates","2 Years",162
"Male","50–54 Years","Te Atatu","North Island general electorates","2 Years",132
"Female","50–54 Years","Te Atatu","North Island general electorates","2 Years",132
"Male","55–59 Years","Te Atatu","North Island general electorates","2 Years",105
"Female","55–59 Years","Te Atatu","North Island general electorates","2 Years",129
"Male","60–64 Years","Te Atatu","North Island general electorates","2 Years",69
"Female","60–64 Years","Te Atatu","North Island general electorates","2 Years",84
"Male","65–69 Years","Te Atatu","North Island general electorates","2 Years",66
"Female","65–69 Years","Te Atatu","North Island general electorates","2 Years",72
"Male","70–74 Years","Te Atatu","North Island general electorates","2 Years",54
"Female","70–74 Years","Te Atatu","North Island general electorates","2 Years",48
"Male","75–79 Years","Te Atatu","North Island general electorates","2 Years",36
"Female","75–79 Years","Te Atatu","North Island general electorates","2 Years",51
"Male","80–84 Years","Te Atatu","North Island general electorates","2 Years",30
"Female","80–84 Years","Te Atatu","North Island general electorates","2 Years",39
"Male","85 Years And Over","Te Atatu","North Island general electorates","2 Years",12
"Female","85 Years And Over","Te Atatu","North Island general electorates","2 Years",42
"Male","0–4 Years","Tukituki","North Island general electorates","2 Years",444
"Female","0–4 Years","Tukituki","North Island general electorates","2 Years",456
"Male","5–9 Years","Tukituki","North Island general electorates","2 Years",306
"Female","5–9 Years","Tukituki","North Island general electorates","2 Years",315
"Male","10–14 Years","Tukituki","North Island general electorates","2 Years",264
"Female","10–14 Years","Tukituki","North Island general electorates","2 Years",270
"Male","15–19 Years","Tukituki","North Island general electorates","2 Years",183
"Female","15–19 Years","Tukituki","North Island general electorates","2 Years",153
"Male","20–24 Years","Tukituki","North Island general electorates","2 Years",126
"Female","20–24 Years","Tukituki","North Island general electorates","2 Years",156
"Male","25–29 Years","Tukituki","North Island general electorates","2 Years",183
"Female","25–29 Years","Tukituki","North Island general electorates","2 Years",237
"Male","30–34 Years","Tukituki","North Island general electorates","2 Years",219
"Female","30–34 Years","Tukituki","North Island general electorates","2 Years",246
"Male","35–39 Years","Tukituki","North Island general electorates","2 Years",252
"Female","35–39 Years","Tukituki","North Island general electorates","2 Years",270
"Male","40–44 Years","Tukituki","North Island general electorates","2 Years",243
"Female","40–44 Years","Tukituki","North Island general electorates","2 Years",258
"Male","45–49 Years","Tukituki","North Island general electorates","2 Years",207
"Female","45–49 Years","Tukituki","North Island general electorates","2 Years",210
"Male","50–54 Years","Tukituki","North Island general electorates","2 Years",168
"Female","50–54 Years","Tukituki","North Island general electorates","2 Years",195
"Male","55–59 Years","Tukituki","North Island general electorates","2 Years",123
"Female","55–59 Years","Tukituki","North Island general electorates","2 Years",141
"Male","60–64 Years","Tukituki","North Island general electorates","2 Years",117
"Female","60–64 Years","Tukituki","North Island general electorates","2 Years",114
"Male","65–69 Years","Tukituki","North Island general electorates","2 Years",90
"Female","65–69 Years","Tukituki","North Island general electorates","2 Years",78
"Male","70–74 Years","Tukituki","North Island general electorates","2 Years",63
"Female","70–74 Years","Tukituki","North Island general electorates","2 Years",84
"Male","75–79 Years","Tukituki","North Island general electorates","2 Years",30
"Female","75–79 Years","Tukituki","North Island general electorates","2 Years",42
"Male","80–84 Years","Tukituki","North Island general electorates","2 Years",30
