"level0","level1","level2","level3","Years at usual residence","count"
"Male","0–4 Years","Botany","North Island general electorates","Less than 1 Year",882
"Female","0–4 Years","Botany","North Island general electorates","Less than 1 Year",771
"Male","5–9 Years","Botany","North Island general electorates","Less than 1 Year",441
"Female","5–9 Years","Botany","North Island general electorates","Less than 1 Year",396
"Male","10–14 Years","Botany","North Island general electorates","Less than 1 Year",390
"Female","10–14 Years","Botany","North Island general electorates","Less than 1 Year",372
"Male","15–19 Years","Botany","North Island general electorates","Less than 1 Year",420
"Female","15–19 Years","Botany","North Island general electorates","Less than 1 Year",360
"Male","20–24 Years","Botany","North Island general electorates","Less than 1 Year",489
"Female","20–24 Years","Botany","North Island general electorates","Less than 1 Year",540
"Male","25–29 Years","Botany","North Island general electorates","Less than 1 Year",588
"Female","25–29 Years","Botany","North Island general electorates","Less than 1 Year",711
"Male","30–34 Years","Botany","North Island general electorates","Less than 1 Year",561
"Female","30–34 Years","Botany","North Island general electorates","Less than 1 Year",585
"Male","35–39 Years","Botany","North Island general electorates","Less than 1 Year",438
"Female","35–39 Years","Botany","North Island general electorates","Less than 1 Year",480
"Male","40–44 Years","Botany","North Island general electorates","Less than 1 Year",399
"Female","40–44 Years","Botany","North Island general electorates","Less than 1 Year",441
"Male","45–49 Years","Botany","North Island general electorates","Less than 1 Year",372
"Female","45–49 Years","Botany","North Island general electorates","Less than 1 Year",324
"Male","50–54 Years","Botany","North Island general electorates","Less than 1 Year",249
"Female","50–54 Years","Botany","North Island general electorates","Less than 1 Year",273
"Male","55–59 Years","Botany","North Island general electorates","Less than 1 Year",228
"Female","55–59 Years","Botany","North Island general electorates","Less than 1 Year",258
"Male","60–64 Years","Botany","North Island general electorates","Less than 1 Year",150
"Female","60–64 Years","Botany","North Island general electorates","Less than 1 Year",180
"Male","65–69 Years","Botany","North Island general electorates","Less than 1 Year",111
"Female","65–69 Years","Botany","North Island general electorates","Less than 1 Year",129
"Male","70–74 Years","Botany","North Island general electorates","Less than 1 Year",75
"Female","70–74 Years","Botany","North Island general electorates","Less than 1 Year",87
"Male","75–79 Years","Botany","North Island general electorates","Less than 1 Year",60
"Female","75–79 Years","Botany","North Island general electorates","Less than 1 Year",57
"Male","80–84 Years","Botany","North Island general electorates","Less than 1 Year",24
"Female","80–84 Years","Botany","North Island general electorates","Less than 1 Year",39
"Male","85 Years And Over","Botany","North Island general electorates","Less than 1 Year",18
"Female","85 Years And Over","Botany","North Island general electorates","Less than 1 Year",36
"Male","0–4 Years","Coromandel","North Island general electorates","Less than 1 Year",852
"Female","0–4 Years","Coromandel","North Island general electorates","Less than 1 Year",801
"Male","5–9 Years","Coromandel","North Island general electorates","Less than 1 Year",447
"Female","5–9 Years","Coromandel","North Island general electorates","Less than 1 Year",462
"Male","10–14 Years","Coromandel","North Island general electorates","Less than 1 Year",393
"Female","10–14 Years","Coromandel","North Island general electorates","Less than 1 Year",378
"Male","15–19 Years","Coromandel","North Island general electorates","Less than 1 Year",405
"Female","15–19 Years","Coromandel","North Island general electorates","Less than 1 Year",411
"Male","20–24 Years","Coromandel","North Island general electorates","Less than 1 Year",609
"Female","20–24 Years","Coromandel","North Island general electorates","Less than 1 Year",597
"Male","25–29 Years","Coromandel","North Island general electorates","Less than 1 Year",486
"Female","25–29 Years","Coromandel","North Island general electorates","Less than 1 Year",537
"Male","30–34 Years","Coromandel","North Island general electorates","Less than 1 Year",393
"Female","30–34 Years","Coromandel","North Island general electorates","Less than 1 Year",417
"Male","35–39 Years","Coromandel","North Island general electorates","Less than 1 Year",357
"Female","35–39 Years","Coromandel","North Island general electorates","Less than 1 Year",405
"Male","40–44 Years","Coromandel","North Island general electorates","Less than 1 Year",339
"Female","40–44 Years","Coromandel","North Island general electorates","Less than 1 Year",384
"Male","45–49 Years","Coromandel","North Island general electorates","Less than 1 Year",300
"Female","45–49 Years","Coromandel","North Island general electorates","Less than 1 Year",357
"Male","50–54 Years","Coromandel","North Island general electorates","Less than 1 Year",294
"Female","50–54 Years","Coromandel","North Island general electorates","Less than 1 Year",342
"Male","55–59 Years","Coromandel","North Island general electorates","Less than 1 Year",297
"Female","55–59 Years","Coromandel","North Island general electorates","Less than 1 Year",297
"Male","60–64 Years","Coromandel","North Island general electorates","Less than 1 Year",279
"Female","60–64 Years","Coromandel","North Island general electorates","Less than 1 Year",309
"Male","65–69 Years","Coromandel","North Island general electorates","Less than 1 Year",246
"Female","65–69 Years","Coromandel","North Island general electorates","Less than 1 Year",249
"Male","70–74 Years","Coromandel","North Island general electorates","Less than 1 Year",162
"Female","70–74 Years","Coromandel","North Island general electorates","Less than 1 Year",153
"Male","75–79 Years","Coromandel","North Island general electorates","Less than 1 Year",75
"Female","75–79 Years","Coromandel","North Island general electorates","Less than 1 Year",90
"Male","80–84 Years","Coromandel","North Island general electorates","Less than 1 Year",63
"Female","80–84 Years","Coromandel","North Island general electorates","Less than 1 Year",63
"Male","85 Years And Over","Coromandel","North Island general electorates","Less than 1 Year",51
"Female","85 Years And Over","Coromandel","North Island general electorates","Less than 1 Year",93
"Male","0–4 Years","East Coast","North Island general electorates","Less than 1 Year",1491
"Female","0–4 Years","East Coast","North Island general electorates","Less than 1 Year",1449
"Male","5–9 Years","East Coast","North Island general electorates","Less than 1 Year",855
"Female","5–9 Years","East Coast","North Island general electorates","Less than 1 Year",828
"Male","10–14 Years","East Coast","North Island general electorates","Less than 1 Year",705
"Female","10–14 Years","East Coast","North Island general electorates","Less than 1 Year",642
"Male","15–19 Years","East Coast","North Island general electorates","Less than 1 Year",678
"Female","15–19 Years","East Coast","North Island general electorates","Less than 1 Year",792
"Male","20–24 Years","East Coast","North Island general electorates","Less than 1 Year",963
"Female","20–24 Years","East Coast","North Island general electorates","Less than 1 Year",1089
"Male","25–29 Years","East Coast","North Island general electorates","Less than 1 Year",735
"Female","25–29 Years","East Coast","North Island general electorates","Less than 1 Year",870
"Male","30–34 Years","East Coast","North Island general electorates","Less than 1 Year",576
"Female","30–34 Years","East Coast","North Island general electorates","Less than 1 Year",771
"Male","35–39 Years","East Coast","North Island general electorates","Less than 1 Year",513
"Female","35–39 Years","East Coast","North Island general electorates","Less than 1 Year",588
"Male","40–44 Years","East Coast","North Island general electorates","Less than 1 Year",501
"Female","40–44 Years","East Coast","North Island general electorates","Less than 1 Year",591
"Male","45–49 Years","East Coast","North Island general electorates","Less than 1 Year",366
"Female","45–49 Years","East Coast","North Island general electorates","Less than 1 Year",444
"Male","50–54 Years","East Coast","North Island general electorates","Less than 1 Year",354
"Female","50–54 Years","East Coast","North Island general electorates","Less than 1 Year",384
"Male","55–59 Years","East Coast","North Island general electorates","Less than 1 Year",285
"Female","55–59 Years","East Coast","North Island general electorates","Less than 1 Year",333
"Male","60–64 Years","East Coast","North Island general electorates","Less than 1 Year",231
"Female","60–64 Years","East Coast","North Island general electorates","Less than 1 Year",222
"Male","65–69 Years","East Coast","North Island general electorates","Less than 1 Year",165
"Female","65–69 Years","East Coast","North Island general electorates","Less than 1 Year",159
"Male","70–74 Years","East Coast","North Island general electorates","Less than 1 Year",96
"Female","70–74 Years","East Coast","North Island general electorates","Less than 1 Year",102
"Male","75–79 Years","East Coast","North Island general electorates","Less than 1 Year",57
"Female","75–79 Years","East Coast","North Island general electorates","Less than 1 Year",81
"Male","80–84 Years","East Coast","North Island general electorates","Less than 1 Year",51
"Female","80–84 Years","East Coast","North Island general electorates","Less than 1 Year",81
"Male","85 Years And Over","East Coast","North Island general electorates","Less than 1 Year",60
"Female","85 Years And Over","East Coast","North Island general electorates","Less than 1 Year",108
"Male","0–4 Years","East Coast Bays","North Island general electorates","Less than 1 Year",705
"Female","0–4 Years","East Coast Bays","North Island general electorates","Less than 1 Year",729
"Male","5–9 Years","East Coast Bays","North Island general electorates","Less than 1 Year",393
"Female","5–9 Years","East Coast Bays","North Island general electorates","Less than 1 Year",402
"Male","10–14 Years","East Coast Bays","North Island general electorates","Less than 1 Year",402
"Female","10–14 Years","East Coast Bays","North Island general electorates","Less than 1 Year",375
"Male","15–19 Years","East Coast Bays","North Island general electorates","Less than 1 Year",540
"Female","15–19 Years","East Coast Bays","North Island general electorates","Less than 1 Year",558
"Male","20–24 Years","East Coast Bays","North Island general electorates","Less than 1 Year",759
"Female","20–24 Years","East Coast Bays","North Island general electorates","Less than 1 Year",759
"Male","25–29 Years","East Coast Bays","North Island general electorates","Less than 1 Year",723
"Female","25–29 Years","East Coast Bays","North Island general electorates","Less than 1 Year",741
"Male","30–34 Years","East Coast Bays","North Island general electorates","Less than 1 Year",582
"Female","30–34 Years","East Coast Bays","North Island general electorates","Less than 1 Year",606
"Male","35–39 Years","East Coast Bays","North Island general electorates","Less than 1 Year",450
"Female","35–39 Years","East Coast Bays","North Island general electorates","Less than 1 Year",501
"Male","40–44 Years","East Coast Bays","North Island general electorates","Less than 1 Year",483
"Female","40–44 Years","East Coast Bays","North Island general electorates","Less than 1 Year",552
"Male","45–49 Years","East Coast Bays","North Island general electorates","Less than 1 Year",396
"Female","45–49 Years","East Coast Bays","North Island general electorates","Less than 1 Year",393
"Male","50–54 Years","East Coast Bays","North Island general electorates","Less than 1 Year",285
"Female","50–54 Years","East Coast Bays","North Island general electorates","Less than 1 Year",312
"Male","55–59 Years","East Coast Bays","North Island general electorates","Less than 1 Year",213
"Female","55–59 Years","East Coast Bays","North Island general electorates","Less than 1 Year",243
"Male","60–64 Years","East Coast Bays","North Island general electorates","Less than 1 Year",141
"Female","60–64 Years","East Coast Bays","North Island general electorates","Less than 1 Year",165
"Male","65–69 Years","East Coast Bays","North Island general electorates","Less than 1 Year",108
"Female","65–69 Years","East Coast Bays","North Island general electorates","Less than 1 Year",102
"Male","70–74 Years","East Coast Bays","North Island general electorates","Less than 1 Year",69
"Female","70–74 Years","East Coast Bays","North Island general electorates","Less than 1 Year",102
"Male","75–79 Years","East Coast Bays","North Island general electorates","Less than 1 Year",69
"Female","75–79 Years","East Coast Bays","North Island general electorates","Less than 1 Year",69
"Male","80–84 Years","East Coast Bays","North Island general electorates","Less than 1 Year",48
"Female","80–84 Years","East Coast Bays","North Island general electorates","Less than 1 Year",57
"Male","85 Years And Over","East Coast Bays","North Island general electorates","Less than 1 Year",33
"Female","85 Years And Over","East Coast Bays","North Island general electorates","Less than 1 Year",63
"Male","0–4 Years","Epsom","North Island general electorates","Less than 1 Year",489
"Female","0–4 Years","Epsom","North Island general electorates","Less than 1 Year",447
"Male","5–9 Years","Epsom","North Island general electorates","Less than 1 Year",342
"Female","5–9 Years","Epsom","North Island general electorates","Less than 1 Year",345
"Male","10–14 Years","Epsom","North Island general electorates","Less than 1 Year",546
"Female","10–14 Years","Epsom","North Island general electorates","Less than 1 Year",468
"Male","15–19 Years","Epsom","North Island general electorates","Less than 1 Year",510
"Female","15–19 Years","Epsom","North Island general electorates","Less than 1 Year",609
"Male","20–24 Years","Epsom","North Island general electorates","Less than 1 Year",921
"Female","20–24 Years","Epsom","North Island general electorates","Less than 1 Year",1134
"Male","25–29 Years","Epsom","North Island general electorates","Less than 1 Year",981
"Female","25–29 Years","Epsom","North Island general electorates","Less than 1 Year",1083
"Male","30–34 Years","Epsom","North Island general electorates","Less than 1 Year",693
"Female","30–34 Years","Epsom","North Island general electorates","Less than 1 Year",720
"Male","35–39 Years","Epsom","North Island general electorates","Less than 1 Year",483
