"level0","level1","Access to telecommunication systems(1) ","count"
"Mt Roskill","North Island general electorates","Access to a Cellphone/Mobile Phone",50004
"Napier","North Island general electorates","Access to a Cellphone/Mobile Phone",54744
"New Lynn","North Island general electorates","Access to a Cellphone/Mobile Phone",49362
"New Plymouth","North Island general electorates","Access to a Cellphone/Mobile Phone",56037
"North Shore","North Island general electorates","Access to a Cellphone/Mobile Phone",55077
"Northcote","North Island general electorates","Access to a Cellphone/Mobile Phone",53763
"Northland","North Island general electorates","Access to a Cellphone/Mobile Phone",60819
"Ohariu","North Island general electorates","Access to a Cellphone/Mobile Phone",53040
"Otaki","North Island general electorates","Access to a Cellphone/Mobile Phone",51072
"Pakuranga","North Island general electorates","Access to a Cellphone/Mobile Phone",52635
"Palmerston North","North Island general electorates","Access to a Cellphone/Mobile Phone",53772
"Papakura","North Island general electorates","Access to a Cellphone/Mobile Phone",58914
"Rangitikei","North Island general electorates","Access to a Cellphone/Mobile Phone",54141
"Rimutaka","North Island general electorates","Access to a Cellphone/Mobile Phone",55557
"Rodney","North Island general electorates","Access to a Cellphone/Mobile Phone",51861
"Rongotai","North Island general electorates","Access to a Cellphone/Mobile Phone",51387
"Rotorua","North Island general electorates","Access to a Cellphone/Mobile Phone",60378
"Tamaki","North Island general electorates","Access to a Cellphone/Mobile Phone",50046
"Taranaki-King Country","North Island general electorates","Access to a Cellphone/Mobile Phone",52032
"Taupo","North Island general electorates","Access to a Cellphone/Mobile Phone",60294
"Tauranga","North Island general electorates","Access to a Cellphone/Mobile Phone",52356
"Te Atatu","North Island general electorates","Access to a Cellphone/Mobile Phone",54498
"Tukituki","North Island general electorates","Access to a Cellphone/Mobile Phone",57483
"Upper Harbour","North Island general electorates","Access to a Cellphone/Mobile Phone",55605
"Waikato","North Island general electorates","Access to a Cellphone/Mobile Phone",59703
"Wairarapa","North Island general electorates","Access to a Cellphone/Mobile Phone",51858
"Wellington Central","North Island general electorates","Access to a Cellphone/Mobile Phone",49446
"Whanganui","North Island general electorates","Access to a Cellphone/Mobile Phone",56271
"Whangarei","North Island general electorates","Access to a Cellphone/Mobile Phone",57723
"Christchurch Central","South Island general electorates","Access to a Cellphone/Mobile Phone",51186
"Christchurch East","South Island general electorates","Access to a Cellphone/Mobile Phone",52506
"Clutha-Southland","South Island general electorates","Access to a Cellphone/Mobile Phone",52794
"Dunedin North","South Island general electorates","Access to a Cellphone/Mobile Phone",46656
"Dunedin South","South Island general electorates","Access to a Cellphone/Mobile Phone",50187
"Ilam","South Island general electorates","Access to a Cellphone/Mobile Phone",50277
"Invercargill","South Island general electorates","Access to a Cellphone/Mobile Phone",52197
"Kaikoura","South Island general electorates","Access to a Cellphone/Mobile Phone",50472
"Nelson","South Island general electorates","Access to a Cellphone/Mobile Phone",51714
"Port Hills","South Island general electorates","Access to a Cellphone/Mobile Phone",53670
"Rangitata","South Island general electorates","Access to a Cellphone/Mobile Phone",53229
"Selwyn","South Island general electorates","Access to a Cellphone/Mobile Phone",49503
"Waimakariri","South Island general electorates","Access to a Cellphone/Mobile Phone",50478
"Waitaki","South Island general electorates","Access to a Cellphone/Mobile Phone",52323
