"level0","level1","level2","Ethnic group (grouped total responses)(1)","count"
"Female","50–54 Years","Tāmaki Makaurau","European",1176
"Male","55–59 Years","Tāmaki Makaurau","European",681
"Female","55–59 Years","Tāmaki Makaurau","European",837
"Male","60–64 Years","Tāmaki Makaurau","European",480
"Female","60–64 Years","Tāmaki Makaurau","European",639
"Male","65–69 Years","Tāmaki Makaurau","European",336
"Female","65–69 Years","Tāmaki Makaurau","European",408
"Male","70–74 Years","Tāmaki Makaurau","European",213
"Female","70–74 Years","Tāmaki Makaurau","European",273
"Male","75–79 Years","Tāmaki Makaurau","European",126
"Female","75–79 Years","Tāmaki Makaurau","European",183
"Male","80–84 Years","Tāmaki Makaurau","European",54
"Female","80–84 Years","Tāmaki Makaurau","European",108
"Male","85 Years And Over","Tāmaki Makaurau","European",36
"Female","85 Years And Over","Tāmaki Makaurau","European",96
"Male","18 Years And Over","Tāmaki Makaurau","European",12450
"Female","18 Years And Over","Tāmaki Makaurau","European",15978
"Male","0–4 Years","Te Tai Hauāuru","European",4089
"Female","0–4 Years","Te Tai Hauāuru","European",3849
"Male","5–9 Years","Te Tai Hauāuru","European",3714
"Female","5–9 Years","Te Tai Hauāuru","European",3417
"Male","10–14 Years","Te Tai Hauāuru","European",3426
"Female","10–14 Years","Te Tai Hauāuru","European",3093
"Male","15–19 Years","Te Tai Hauāuru","European",2796
"Female","15–19 Years","Te Tai Hauāuru","European",2937
"Male","20–24 Years","Te Tai Hauāuru","European",1935
"Female","20–24 Years","Te Tai Hauāuru","European",2442
"Male","25–29 Years","Te Tai Hauāuru","European",1422
"Female","25–29 Years","Te Tai Hauāuru","European",1938
"Male","30–34 Years","Te Tai Hauāuru","European",1311
"Female","30–34 Years","Te Tai Hauāuru","European",1788
"Male","35–39 Years","Te Tai Hauāuru","European",1275
"Female","35–39 Years","Te Tai Hauāuru","European",1830
"Male","40–44 Years","Te Tai Hauāuru","European",1350
"Female","40–44 Years","Te Tai Hauāuru","European",1794
"Male","45–49 Years","Te Tai Hauāuru","European",1140
"Female","45–49 Years","Te Tai Hauāuru","European",1407
"Male","50–54 Years","Te Tai Hauāuru","European",1029
"Female","50–54 Years","Te Tai Hauāuru","European",1338
"Male","55–59 Years","Te Tai Hauāuru","European",711
"Female","55–59 Years","Te Tai Hauāuru","European",936
"Male","60–64 Years","Te Tai Hauāuru","European",573
"Female","60–64 Years","Te Tai Hauāuru","European",750
"Male","65–69 Years","Te Tai Hauāuru","European",372
"Female","65–69 Years","Te Tai Hauāuru","European",465
"Male","70–74 Years","Te Tai Hauāuru","European",270
"Female","70–74 Years","Te Tai Hauāuru","European",360
"Male","75–79 Years","Te Tai Hauāuru","European",192
"Female","75–79 Years","Te Tai Hauāuru","European",213
"Male","80–84 Years","Te Tai Hauāuru","European",78
"Female","80–84 Years","Te Tai Hauāuru","European",129
"Male","85 Years And Over","Te Tai Hauāuru","European",45
"Female","85 Years And Over","Te Tai Hauāuru","European",108
"Male","18 Years And Over","Te Tai Hauāuru","European",12639
"Female","18 Years And Over","Te Tai Hauāuru","European",16482
"Male","0–4 Years","Te Tai Tokerau","European",3909
"Female","0–4 Years","Te Tai Tokerau","European",3732
"Male","5–9 Years","Te Tai Tokerau","European",3345
"Female","5–9 Years","Te Tai Tokerau","European",3375
"Male","10–14 Years","Te Tai Tokerau","European",3135
"Female","10–14 Years","Te Tai Tokerau","European",3006
"Male","15–19 Years","Te Tai Tokerau","European",2748
"Female","15–19 Years","Te Tai Tokerau","European",2709
"Male","20–24 Years","Te Tai Tokerau","European",1989
"Female","20–24 Years","Te Tai Tokerau","European",2334
"Male","25–29 Years","Te Tai Tokerau","European",1401
"Female","25–29 Years","Te Tai Tokerau","European",1944
"Male","30–34 Years","Te Tai Tokerau","European",1269
"Female","30–34 Years","Te Tai Tokerau","European",1779
"Male","35–39 Years","Te Tai Tokerau","European",1428
"Female","35–39 Years","Te Tai Tokerau","European",1881
"Male","40–44 Years","Te Tai Tokerau","European",1443
"Female","40–44 Years","Te Tai Tokerau","European",1932
"Male","45–49 Years","Te Tai Tokerau","European",1263
"Female","45–49 Years","Te Tai Tokerau","European",1590
"Male","50–54 Years","Te Tai Tokerau","European",1155
"Female","50–54 Years","Te Tai Tokerau","European",1599
"Male","55–59 Years","Te Tai Tokerau","European",873
"Female","55–59 Years","Te Tai Tokerau","European",1113
"Male","60–64 Years","Te Tai Tokerau","European",681
"Female","60–64 Years","Te Tai Tokerau","European",900
"Male","65–69 Years","Te Tai Tokerau","European",501
"Female","65–69 Years","Te Tai Tokerau","European",609
"Male","70–74 Years","Te Tai Tokerau","European",327
"Female","70–74 Years","Te Tai Tokerau","European",426
"Male","75–79 Years","Te Tai Tokerau","European",183
"Female","75–79 Years","Te Tai Tokerau","European",282
"Male","80–84 Years","Te Tai Tokerau","European",120
"Female","80–84 Years","Te Tai Tokerau","European",171
"Male","85 Years And Over","Te Tai Tokerau","European",72
"Female","85 Years And Over","Te Tai Tokerau","European",114
"Male","18 Years And Over","Te Tai Tokerau","European",13701
