"level0","level1","level2","Ethnic group (grouped total responses)(1)","count"
"Female","85 Years And Over","Te Tai Tokerau","Māori",153
"Male","18 Years And Over","Te Tai Tokerau","Māori",21801
"Female","18 Years And Over","Te Tai Tokerau","Māori",26079
"Male","0–4 Years","Te Tai Tonga","Māori",5787
"Female","0–4 Years","Te Tai Tonga","Māori",5382
"Male","5–9 Years","Te Tai Tonga","Māori",5442
"Female","5–9 Years","Te Tai Tonga","Māori",5001
"Male","10–14 Years","Te Tai Tonga","Māori",5037
"Female","10–14 Years","Te Tai Tonga","Māori",4842
"Male","15–19 Years","Te Tai Tonga","Māori",4956
"Female","15–19 Years","Te Tai Tonga","Māori",4788
"Male","20–24 Years","Te Tai Tonga","Māori",4353
"Female","20–24 Years","Te Tai Tonga","Māori",4548
"Male","25–29 Years","Te Tai Tonga","Māori",2970
"Female","25–29 Years","Te Tai Tonga","Māori",3291
"Male","30–34 Years","Te Tai Tonga","Māori",2772
"Female","30–34 Years","Te Tai Tonga","Māori",3153
"Male","35–39 Years","Te Tai Tonga","Māori",2808
"Female","35–39 Years","Te Tai Tonga","Māori",3150
"Male","40–44 Years","Te Tai Tonga","Māori",2946
"Female","40–44 Years","Te Tai Tonga","Māori",3360
"Male","45–49 Years","Te Tai Tonga","Māori",2697
"Female","45–49 Years","Te Tai Tonga","Māori",2922
"Male","50–54 Years","Te Tai Tonga","Māori",2349
"Female","50–54 Years","Te Tai Tonga","Māori",2646
"Male","55–59 Years","Te Tai Tonga","Māori",1812
"Female","55–59 Years","Te Tai Tonga","Māori",1821
"Male","60–64 Years","Te Tai Tonga","Māori",1443
"Female","60–64 Years","Te Tai Tonga","Māori",1362
"Male","65–69 Years","Te Tai Tonga","Māori",903
"Female","65–69 Years","Te Tai Tonga","Māori",918
"Male","70–74 Years","Te Tai Tonga","Māori",672
"Female","70–74 Years","Te Tai Tonga","Māori",612
"Male","75–79 Years","Te Tai Tonga","Māori",327
"Female","75–79 Years","Te Tai Tonga","Māori",351
"Male","80–84 Years","Te Tai Tonga","Māori",156
"Female","80–84 Years","Te Tai Tonga","Māori",207
"Male","85 Years And Over","Te Tai Tonga","Māori",78
"Female","85 Years And Over","Te Tai Tonga","Māori",126
"Male","18 Years And Over","Te Tai Tonga","Māori",28359
"Female","18 Years And Over","Te Tai Tonga","Māori",30513
"Male","0–4 Years","Waiariki","Māori",4197
"Female","0–4 Years","Waiariki","Māori",3930
"Male","5–9 Years","Waiariki","Māori",4290
"Female","5–9 Years","Waiariki","Māori",4050
"Male","10–14 Years","Waiariki","Māori",4128
"Female","10–14 Years","Waiariki","Māori",3921
"Male","15–19 Years","Waiariki","Māori",3456
"Female","15–19 Years","Waiariki","Māori",3411
"Male","20–24 Years","Waiariki","Māori",2328
"Female","20–24 Years","Waiariki","Māori",2715
"Male","25–29 Years","Waiariki","Māori",1863
"Female","25–29 Years","Waiariki","Māori",2421
"Male","30–34 Years","Waiariki","Māori",1809
"Female","30–34 Years","Waiariki","Māori",2367
"Male","35–39 Years","Waiariki","Māori",1953
"Female","35–39 Years","Waiariki","Māori",2493
"Male","40–44 Years","Waiariki","Māori",2043
"Female","40–44 Years","Waiariki","Māori",2508
"Male","45–49 Years","Waiariki","Māori",1911
"Female","45–49 Years","Waiariki","Māori",2394
"Male","50–54 Years","Waiariki","Māori",2001
"Female","50–54 Years","Waiariki","Māori",2337
"Male","55–59 Years","Waiariki","Māori",1524
"Female","55–59 Years","Waiariki","Māori",1899
"Male","60–64 Years","Waiariki","Māori",1224
"Female","60–64 Years","Waiariki","Māori",1416
"Male","65–69 Years","Waiariki","Māori",843
"Female","65–69 Years","Waiariki","Māori",915
"Male","70–74 Years","Waiariki","Māori",630
"Female","70–74 Years","Waiariki","Māori",726
"Male","75–79 Years","Waiariki","Māori",372
"Female","75–79 Years","Waiariki","Māori",441
"Male","80–84 Years","Waiariki","Māori",165
"Female","80–84 Years","Waiariki","Māori",276
"Male","85 Years And Over","Waiariki","Māori",69
"Female","85 Years And Over","Waiariki","Māori",156
"Male","18 Years And Over","Waiariki","Māori",19875
"Female","18 Years And Over","Waiariki","Māori",24207
"Male","0–4 Years","Area Outside Māori Electorate","Māori",NA
"Female","0–4 Years","Area Outside Māori Electorate","Māori",NA
"Male","5–9 Years","Area Outside Māori Electorate","Māori",NA
"Female","5–9 Years","Area Outside Māori Electorate","Māori",NA
"Male","10–14 Years","Area Outside Māori Electorate","Māori",NA
"Female","10–14 Years","Area Outside Māori Electorate","Māori",NA
"Male","15–19 Years","Area Outside Māori Electorate","Māori",NA
"Female","15–19 Years","Area Outside Māori Electorate","Māori",NA
"Male","20–24 Years","Area Outside Māori Electorate","Māori",NA
"Female","20–24 Years","Area Outside Māori Electorate","Māori",NA
"Male","25–29 Years","Area Outside Māori Electorate","Māori",NA
"Female","25–29 Years","Area Outside Māori Electorate","Māori",NA
"Male","30–34 Years","Area Outside Māori Electorate","Māori",NA
"Female","30–34 Years","Area Outside Māori Electorate","Māori",NA
"Male","35–39 Years","Area Outside Māori Electorate","Māori",NA
"Female","35–39 Years","Area Outside Māori Electorate","Māori",NA
"Male","40–44 Years","Area Outside Māori Electorate","Māori",NA
"Female","40–44 Years","Area Outside Māori Electorate","Māori",NA
"Male","45–49 Years","Area Outside Māori Electorate","Māori",NA
"Female","45–49 Years","Area Outside Māori Electorate","Māori",NA
"Male","50–54 Years","Area Outside Māori Electorate","Māori",NA
"Female","50–54 Years","Area Outside Māori Electorate","Māori",NA
"Male","55–59 Years","Area Outside Māori Electorate","Māori",NA
"Female","55–59 Years","Area Outside Māori Electorate","Māori",NA
"Male","60–64 Years","Area Outside Māori Electorate","Māori",NA
"Female","60–64 Years","Area Outside Māori Electorate","Māori",NA
"Male","65–69 Years","Area Outside Māori Electorate","Māori",NA
"Female","65–69 Years","Area Outside Māori Electorate","Māori",NA
"Male","70–74 Years","Area Outside Māori Electorate","Māori",NA
"Female","70–74 Years","Area Outside Māori Electorate","Māori",NA
"Male","75–79 Years","Area Outside Māori Electorate","Māori",NA
"Female","75–79 Years","Area Outside Māori Electorate","Māori",NA
"Male","80–84 Years","Area Outside Māori Electorate","Māori",NA
"Female","80–84 Years","Area Outside Māori Electorate","Māori",NA
"Male","85 Years And Over","Area Outside Māori Electorate","Māori",NA
"Female","85 Years And Over","Area Outside Māori Electorate","Māori",NA
"Male","18 Years And Over","Area Outside Māori Electorate","Māori",NA
"Female","18 Years And Over","Area Outside Māori Electorate","Māori",NA
"Male","0–4 Years","Hauraki-Waikato","Pacific Peoples",882
"Female","0–4 Years","Hauraki-Waikato","Pacific Peoples",732
"Male","5–9 Years","Hauraki-Waikato","Pacific Peoples",681
"Female","5–9 Years","Hauraki-Waikato","Pacific Peoples",597
"Male","10–14 Years","Hauraki-Waikato","Pacific Peoples",558
"Female","10–14 Years","Hauraki-Waikato","Pacific Peoples",558
"Male","15–19 Years","Hauraki-Waikato","Pacific Peoples",441
"Female","15–19 Years","Hauraki-Waikato","Pacific Peoples",456
"Male","20–24 Years","Hauraki-Waikato","Pacific Peoples",294
"Female","20–24 Years","Hauraki-Waikato","Pacific Peoples",309
"Male","25–29 Years","Hauraki-Waikato","Pacific Peoples",177
"Female","25–29 Years","Hauraki-Waikato","Pacific Peoples",234
"Male","30–34 Years","Hauraki-Waikato","Pacific Peoples",126
"Female","30–34 Years","Hauraki-Waikato","Pacific Peoples",156
"Male","35–39 Years","Hauraki-Waikato","Pacific Peoples",108
"Female","35–39 Years","Hauraki-Waikato","Pacific Peoples",129
"Male","40–44 Years","Hauraki-Waikato","Pacific Peoples",84
"Female","40–44 Years","Hauraki-Waikato","Pacific Peoples",90
"Male","45–49 Years","Hauraki-Waikato","Pacific Peoples",54
"Female","45–49 Years","Hauraki-Waikato","Pacific Peoples",75
"Male","50–54 Years","Hauraki-Waikato","Pacific Peoples",48
"Female","50–54 Years","Hauraki-Waikato","Pacific Peoples",63
"Male","55–59 Years","Hauraki-Waikato","Pacific Peoples",33
"Female","55–59 Years","Hauraki-Waikato","Pacific Peoples",36
"Male","60–64 Years","Hauraki-Waikato","Pacific Peoples",9
"Female","60–64 Years","Hauraki-Waikato","Pacific Peoples",18
"Male","65–69 Years","Hauraki-Waikato","Pacific Peoples",12
"Female","65–69 Years","Hauraki-Waikato","Pacific Peoples",6
"Male","70–74 Years","Hauraki-Waikato","Pacific Peoples",3
"Female","70–74 Years","Hauraki-Waikato","Pacific Peoples",0
"Male","75–79 Years","Hauraki-Waikato","Pacific Peoples",3
"Female","75–79 Years","Hauraki-Waikato","Pacific Peoples",3
"Male","80–84 Years","Hauraki-Waikato","Pacific Peoples",0
"Female","80–84 Years","Hauraki-Waikato","Pacific Peoples",3
"Male","85 Years And Over","Hauraki-Waikato","Pacific Peoples",0
"Female","85 Years And Over","Hauraki-Waikato","Pacific Peoples",6
"Male","18 Years And Over","Hauraki-Waikato","Pacific Peoples",1107
"Female","18 Years And Over","Hauraki-Waikato","Pacific Peoples",1308
"Male","0–4 Years","Ikaroa-Rāwhiti","Pacific Peoples",555
"Female","0–4 Years","Ikaroa-Rāwhiti","Pacific Peoples",576
"Male","5–9 Years","Ikaroa-Rāwhiti","Pacific Peoples",549
"Female","5–9 Years","Ikaroa-Rāwhiti","Pacific Peoples",489
"Male","10–14 Years","Ikaroa-Rāwhiti","Pacific Peoples",423
"Female","10–14 Years","Ikaroa-Rāwhiti","Pacific Peoples",417
"Male","15–19 Years","Ikaroa-Rāwhiti","Pacific Peoples",309
"Female","15–19 Years","Ikaroa-Rāwhiti","Pacific Peoples",303
"Male","20–24 Years","Ikaroa-Rāwhiti","Pacific Peoples",159
"Female","20–24 Years","Ikaroa-Rāwhiti","Pacific Peoples",195
"Male","25–29 Years","Ikaroa-Rāwhiti","Pacific Peoples",96
"Female","25–29 Years","Ikaroa-Rāwhiti","Pacific Peoples",126
"Male","30–34 Years","Ikaroa-Rāwhiti","Pacific Peoples",120
"Female","30–34 Years","Ikaroa-Rāwhiti","Pacific Peoples",114
"Male","35–39 Years","Ikaroa-Rāwhiti","Pacific Peoples",90
"Female","35–39 Years","Ikaroa-Rāwhiti","Pacific Peoples",90
"Male","40–44 Years","Ikaroa-Rāwhiti","Pacific Peoples",57
"Female","40–44 Years","Ikaroa-Rāwhiti","Pacific Peoples",54
"Male","45–49 Years","Ikaroa-Rāwhiti","Pacific Peoples",51
"Female","45–49 Years","Ikaroa-Rāwhiti","Pacific Peoples",69
"Male","50–54 Years","Ikaroa-Rāwhiti","Pacific Peoples",27
"Female","50–54 Years","Ikaroa-Rāwhiti","Pacific Peoples",39
"Male","55–59 Years","Ikaroa-Rāwhiti","Pacific Peoples",24
"Female","55–59 Years","Ikaroa-Rāwhiti","Pacific Peoples",30
"Male","60–64 Years","Ikaroa-Rāwhiti","Pacific Peoples",24
"Female","60–64 Years","Ikaroa-Rāwhiti","Pacific Peoples",9
"Male","65–69 Years","Ikaroa-Rāwhiti","Pacific Peoples",3
"Female","65–69 Years","Ikaroa-Rāwhiti","Pacific Peoples",12
"Male","70–74 Years","Ikaroa-Rāwhiti","Pacific Peoples",6
"Female","70–74 Years","Ikaroa-Rāwhiti","Pacific Peoples",6
"Male","75–79 Years","Ikaroa-Rāwhiti","Pacific Peoples",0
"Female","75–79 Years","Ikaroa-Rāwhiti","Pacific Peoples",3
"Male","80–84 Years","Ikaroa-Rāwhiti","Pacific Peoples",0
"Female","80–84 Years","Ikaroa-Rāwhiti","Pacific Peoples",0
"Male","85 Years And Over","Ikaroa-Rāwhiti","Pacific Peoples",3
"Female","85 Years And Over","Ikaroa-Rāwhiti","Pacific Peoples",0
"Male","18 Years And Over","Ikaroa-Rāwhiti","Pacific Peoples",750
"Female","18 Years And Over","Ikaroa-Rāwhiti","Pacific Peoples",852
"Male","0–4 Years","Tāmaki Makaurau","Pacific Peoples",2025
"Female","0–4 Years","Tāmaki Makaurau","Pacific Peoples",1890
"Male","5–9 Years","Tāmaki Makaurau","Pacific Peoples",1620
"Female","5–9 Years","Tāmaki Makaurau","Pacific Peoples",1554
"Male","10–14 Years","Tāmaki Makaurau","Pacific Peoples",1323
"Female","10–14 Years","Tāmaki Makaurau","Pacific Peoples",1347
"Male","15–19 Years","Tāmaki Makaurau","Pacific Peoples",1149
"Female","15–19 Years","Tāmaki Makaurau","Pacific Peoples",1209
"Male","20–24 Years","Tāmaki Makaurau","Pacific Peoples",720
"Female","20–24 Years","Tāmaki Makaurau","Pacific Peoples",963
"Male","25–29 Years","Tāmaki Makaurau","Pacific Peoples",453
"Female","25–29 Years","Tāmaki Makaurau","Pacific Peoples",591
"Male","30–34 Years","Tāmaki Makaurau","Pacific Peoples",315
"Female","30–34 Years","Tāmaki Makaurau","Pacific Peoples",474
"Male","35–39 Years","Tāmaki Makaurau","Pacific Peoples",246
"Female","35–39 Years","Tāmaki Makaurau","Pacific Peoples",327
"Male","40–44 Years","Tāmaki Makaurau","Pacific Peoples",153
"Female","40–44 Years","Tāmaki Makaurau","Pacific Peoples",219
"Male","45–49 Years","Tāmaki Makaurau","Pacific Peoples",168
"Female","45–49 Years","Tāmaki Makaurau","Pacific Peoples",180
"Male","50–54 Years","Tāmaki Makaurau","Pacific Peoples",111
"Female","50–54 Years","Tāmaki Makaurau","Pacific Peoples",126
"Male","55–59 Years","Tāmaki Makaurau","Pacific Peoples",60
"Female","55–59 Years","Tāmaki Makaurau","Pacific Peoples",96
"Male","60–64 Years","Tāmaki Makaurau","Pacific Peoples",36
"Female","60–64 Years","Tāmaki Makaurau","Pacific Peoples",36
"Male","65–69 Years","Tāmaki Makaurau","Pacific Peoples",30
"Female","65–69 Years","Tāmaki Makaurau","Pacific Peoples",18
"Male","70–74 Years","Tāmaki Makaurau","Pacific Peoples",12
"Female","70–74 Years","Tāmaki Makaurau","Pacific Peoples",24
"Male","75–79 Years","Tāmaki Makaurau","Pacific Peoples",9
"Female","75–79 Years","Tāmaki Makaurau","Pacific Peoples",9
"Male","80–84 Years","Tāmaki Makaurau","Pacific Peoples",0
"Female","80–84 Years","Tāmaki Makaurau","Pacific Peoples",3
"Male","85 Years And Over","Tāmaki Makaurau","Pacific Peoples",0
"Female","85 Years And Over","Tāmaki Makaurau","Pacific Peoples",3
"Male","18 Years And Over","Tāmaki Makaurau","Pacific Peoples",2745
"Female","18 Years And Over","Tāmaki Makaurau","Pacific Peoples",3549
"Male","0–4 Years","Te Tai Hauāuru","Pacific Peoples",858
"Female","0–4 Years","Te Tai Hauāuru","Pacific Peoples",768
"Male","5–9 Years","Te Tai Hauāuru","Pacific Peoples",693
"Female","5–9 Years","Te Tai Hauāuru","Pacific Peoples",606
"Male","10–14 Years","Te Tai Hauāuru","Pacific Peoples",552
"Female","10–14 Years","Te Tai Hauāuru","Pacific Peoples",555
"Male","15–19 Years","Te Tai Hauāuru","Pacific Peoples",480
"Female","15–19 Years","Te Tai Hauāuru","Pacific Peoples",441
"Male","20–24 Years","Te Tai Hauāuru","Pacific Peoples",276
"Female","20–24 Years","Te Tai Hauāuru","Pacific Peoples",306
"Male","25–29 Years","Te Tai Hauāuru","Pacific Peoples",177
"Female","25–29 Years","Te Tai Hauāuru","Pacific Peoples",198
"Male","30–34 Years","Te Tai Hauāuru","Pacific Peoples",141
"Female","30–34 Years","Te Tai Hauāuru","Pacific Peoples",180
"Male","35–39 Years","Te Tai Hauāuru","Pacific Peoples",93
"Female","35–39 Years","Te Tai Hauāuru","Pacific Peoples",120
"Male","40–44 Years","Te Tai Hauāuru","Pacific Peoples",63
"Female","40–44 Years","Te Tai Hauāuru","Pacific Peoples",93
"Male","45–49 Years","Te Tai Hauāuru","Pacific Peoples",54
"Female","45–49 Years","Te Tai Hauāuru","Pacific Peoples",69
"Male","50–54 Years","Te Tai Hauāuru","Pacific Peoples",42
"Female","50–54 Years","Te Tai Hauāuru","Pacific Peoples",48
"Male","55–59 Years","Te Tai Hauāuru","Pacific Peoples",39
"Female","55–59 Years","Te Tai Hauāuru","Pacific Peoples",39
"Male","60–64 Years","Te Tai Hauāuru","Pacific Peoples",9
"Female","60–64 Years","Te Tai Hauāuru","Pacific Peoples",12
"Male","65–69 Years","Te Tai Hauāuru","Pacific Peoples",6
"Female","65–69 Years","Te Tai Hauāuru","Pacific Peoples",12
"Male","70–74 Years","Te Tai Hauāuru","Pacific Peoples",12
"Female","70–74 Years","Te Tai Hauāuru","Pacific Peoples",6
"Male","75–79 Years","Te Tai Hauāuru","Pacific Peoples",0
"Female","75–79 Years","Te Tai Hauāuru","Pacific Peoples",6
"Male","80–84 Years","Te Tai Hauāuru","Pacific Peoples",3
"Female","80–84 Years","Te Tai Hauāuru","Pacific Peoples",3
"Male","85 Years And Over","Te Tai Hauāuru","Pacific Peoples",0
"Female","85 Years And Over","Te Tai Hauāuru","Pacific Peoples",3
"Male","18 Years And Over","Te Tai Hauāuru","Pacific Peoples",1071
"Female","18 Years And Over","Te Tai Hauāuru","Pacific Peoples",1239
"Male","0–4 Years","Te Tai Tokerau","Pacific Peoples",930
"Female","0–4 Years","Te Tai Tokerau","Pacific Peoples",870
"Male","5–9 Years","Te Tai Tokerau","Pacific Peoples",681
"Female","5–9 Years","Te Tai Tokerau","Pacific Peoples",717
"Male","10–14 Years","Te Tai Tokerau","Pacific Peoples",633
"Female","10–14 Years","Te Tai Tokerau","Pacific Peoples",636
"Male","15–19 Years","Te Tai Tokerau","Pacific Peoples",489
"Female","15–19 Years","Te Tai Tokerau","Pacific Peoples",525
"Male","20–24 Years","Te Tai Tokerau","Pacific Peoples",267
"Female","20–24 Years","Te Tai Tokerau","Pacific Peoples",330
"Male","25–29 Years","Te Tai Tokerau","Pacific Peoples",183
"Female","25–29 Years","Te Tai Tokerau","Pacific Peoples",210
"Male","30–34 Years","Te Tai Tokerau","Pacific Peoples",141
"Female","30–34 Years","Te Tai Tokerau","Pacific Peoples",162
"Male","35–39 Years","Te Tai Tokerau","Pacific Peoples",99
"Female","35–39 Years","Te Tai Tokerau","Pacific Peoples",162
"Male","40–44 Years","Te Tai Tokerau","Pacific Peoples",96
"Female","40–44 Years","Te Tai Tokerau","Pacific Peoples",108
"Male","45–49 Years","Te Tai Tokerau","Pacific Peoples",57
"Female","45–49 Years","Te Tai Tokerau","Pacific Peoples",87
"Male","50–54 Years","Te Tai Tokerau","Pacific Peoples",72
"Female","50–54 Years","Te Tai Tokerau","Pacific Peoples",72
"Male","55–59 Years","Te Tai Tokerau","Pacific Peoples",45
"Female","55–59 Years","Te Tai Tokerau","Pacific Peoples",57
"Male","60–64 Years","Te Tai Tokerau","Pacific Peoples",27
"Female","60–64 Years","Te Tai Tokerau","Pacific Peoples",24
"Male","65–69 Years","Te Tai Tokerau","Pacific Peoples",12
"Female","65–69 Years","Te Tai Tokerau","Pacific Peoples",12
"Male","70–74 Years","Te Tai Tokerau","Pacific Peoples",6
"Female","70–74 Years","Te Tai Tokerau","Pacific Peoples",3
"Male","75–79 Years","Te Tai Tokerau","Pacific Peoples",3
"Female","75–79 Years","Te Tai Tokerau","Pacific Peoples",3
"Male","80–84 Years","Te Tai Tokerau","Pacific Peoples",0
"Female","80–84 Years","Te Tai Tokerau","Pacific Peoples",3
"Male","85 Years And Over","Te Tai Tokerau","Pacific Peoples",0
"Female","85 Years And Over","Te Tai Tokerau","Pacific Peoples",0
"Male","18 Years And Over","Te Tai Tokerau","Pacific Peoples",1176
"Female","18 Years And Over","Te Tai Tokerau","Pacific Peoples",1407
"Male","0–4 Years","Te Tai Tonga","Pacific Peoples",606
"Female","0–4 Years","Te Tai Tonga","Pacific Peoples",570
"Male","5–9 Years","Te Tai Tonga","Pacific Peoples",474
"Female","5–9 Years","Te Tai Tonga","Pacific Peoples",489
"Male","10–14 Years","Te Tai Tonga","Pacific Peoples",405
"Female","10–14 Years","Te Tai Tonga","Pacific Peoples",405
"Male","15–19 Years","Te Tai Tonga","Pacific Peoples",363
"Female","15–19 Years","Te Tai Tonga","Pacific Peoples",369
"Male","20–24 Years","Te Tai Tonga","Pacific Peoples",285
"Female","20–24 Years","Te Tai Tonga","Pacific Peoples",261
"Male","25–29 Years","Te Tai Tonga","Pacific Peoples",162
"Female","25–29 Years","Te Tai Tonga","Pacific Peoples",144
"Male","30–34 Years","Te Tai Tonga","Pacific Peoples",120
"Female","30–34 Years","Te Tai Tonga","Pacific Peoples",141
"Male","35–39 Years","Te Tai Tonga","Pacific Peoples",108
"Female","35–39 Years","Te Tai Tonga","Pacific Peoples",93
"Male","40–44 Years","Te Tai Tonga","Pacific Peoples",66
"Female","40–44 Years","Te Tai Tonga","Pacific Peoples",66
"Male","45–49 Years","Te Tai Tonga","Pacific Peoples",69
"Female","45–49 Years","Te Tai Tonga","Pacific Peoples",51
"Male","50–54 Years","Te Tai Tonga","Pacific Peoples",48
"Female","50–54 Years","Te Tai Tonga","Pacific Peoples",42
"Male","55–59 Years","Te Tai Tonga","Pacific Peoples",24
"Female","55–59 Years","Te Tai Tonga","Pacific Peoples",24
"Male","60–64 Years","Te Tai Tonga","Pacific Peoples",18
"Female","60–64 Years","Te Tai Tonga","Pacific Peoples",15
"Male","65–69 Years","Te Tai Tonga","Pacific Peoples",6
"Female","65–69 Years","Te Tai Tonga","Pacific Peoples",9
"Male","70–74 Years","Te Tai Tonga","Pacific Peoples",6
"Female","70–74 Years","Te Tai Tonga","Pacific Peoples",6
"Male","75–79 Years","Te Tai Tonga","Pacific Peoples",3
"Female","75–79 Years","Te Tai Tonga","Pacific Peoples",3
"Male","80–84 Years","Te Tai Tonga","Pacific Peoples",0
"Female","80–84 Years","Te Tai Tonga","Pacific Peoples",0
"Male","85 Years And Over","Te Tai Tonga","Pacific Peoples",0
"Female","85 Years And Over","Te Tai Tonga","Pacific Peoples",0
"Male","18 Years And Over","Te Tai Tonga","Pacific Peoples",1035
"Female","18 Years And Over","Te Tai Tonga","Pacific Peoples",996
"Male","0–4 Years","Waiariki","Pacific Peoples",468
"Female","0–4 Years","Waiariki","Pacific Peoples",399
"Male","5–9 Years","Waiariki","Pacific Peoples",402
"Female","5–9 Years","Waiariki","Pacific Peoples",381
"Male","10–14 Years","Waiariki","Pacific Peoples",315
"Female","10–14 Years","Waiariki","Pacific Peoples",312
"Male","15–19 Years","Waiariki","Pacific Peoples",234
"Female","15–19 Years","Waiariki","Pacific Peoples",237
"Male","20–24 Years","Waiariki","Pacific Peoples",135
"Female","20–24 Years","Waiariki","Pacific Peoples",144
"Male","25–29 Years","Waiariki","Pacific Peoples",102
"Female","25–29 Years","Waiariki","Pacific Peoples",117
"Male","30–34 Years","Waiariki","Pacific Peoples",75
"Female","30–34 Years","Waiariki","Pacific Peoples",99
"Male","35–39 Years","Waiariki","Pacific Peoples",72
"Female","35–39 Years","Waiariki","Pacific Peoples",75
"Male","40–44 Years","Waiariki","Pacific Peoples",51
"Female","40–44 Years","Waiariki","Pacific Peoples",81
"Male","45–49 Years","Waiariki","Pacific Peoples",39
"Female","45–49 Years","Waiariki","Pacific Peoples",48
"Male","50–54 Years","Waiariki","Pacific Peoples",33
"Female","50–54 Years","Waiariki","Pacific Peoples",39
"Male","55–59 Years","Waiariki","Pacific Peoples",24
"Female","55–59 Years","Waiariki","Pacific Peoples",21
"Male","60–64 Years","Waiariki","Pacific Peoples",21
"Female","60–64 Years","Waiariki","Pacific Peoples",24
"Male","65–69 Years","Waiariki","Pacific Peoples",9
"Female","65–69 Years","Waiariki","Pacific Peoples",9
"Male","70–74 Years","Waiariki","Pacific Peoples",6
"Female","70–74 Years","Waiariki","Pacific Peoples",6
"Male","75–79 Years","Waiariki","Pacific Peoples",3
"Female","75–79 Years","Waiariki","Pacific Peoples",3
"Male","80–84 Years","Waiariki","Pacific Peoples",0
"Female","80–84 Years","Waiariki","Pacific Peoples",3
"Male","85 Years And Over","Waiariki","Pacific Peoples",0
"Female","85 Years And Over","Waiariki","Pacific Peoples",3
"Male","18 Years And Over","Waiariki","Pacific Peoples",630
"Female","18 Years And Over","Waiariki","Pacific Peoples",738
"Male","0–4 Years","Area Outside Māori Electorate","Pacific Peoples",NA
"Female","0–4 Years","Area Outside Māori Electorate","Pacific Peoples",NA
"Male","5–9 Years","Area Outside Māori Electorate","Pacific Peoples",NA
"Female","5–9 Years","Area Outside Māori Electorate","Pacific Peoples",NA
"Male","10–14 Years","Area Outside Māori Electorate","Pacific Peoples",NA
"Female","10–14 Years","Area Outside Māori Electorate","Pacific Peoples",NA
"Male","15–19 Years","Area Outside Māori Electorate","Pacific Peoples",NA
"Female","15–19 Years","Area Outside Māori Electorate","Pacific Peoples",NA
"Male","20–24 Years","Area Outside Māori Electorate","Pacific Peoples",NA
"Female","20–24 Years","Area Outside Māori Electorate","Pacific Peoples",NA
"Male","25–29 Years","Area Outside Māori Electorate","Pacific Peoples",NA
"Female","25–29 Years","Area Outside Māori Electorate","Pacific Peoples",NA
"Male","30–34 Years","Area Outside Māori Electorate","Pacific Peoples",NA
"Female","30–34 Years","Area Outside Māori Electorate","Pacific Peoples",NA
"Male","35–39 Years","Area Outside Māori Electorate","Pacific Peoples",NA
"Female","35–39 Years","Area Outside Māori Electorate","Pacific Peoples",NA
"Male","40–44 Years","Area Outside Māori Electorate","Pacific Peoples",NA
"Female","40–44 Years","Area Outside Māori Electorate","Pacific Peoples",NA
"Male","45–49 Years","Area Outside Māori Electorate","Pacific Peoples",NA
"Female","45–49 Years","Area Outside Māori Electorate","Pacific Peoples",NA
"Male","50–54 Years","Area Outside Māori Electorate","Pacific Peoples",NA
"Female","50–54 Years","Area Outside Māori Electorate","Pacific Peoples",NA
"Male","55–59 Years","Area Outside Māori Electorate","Pacific Peoples",NA
"Female","55–59 Years","Area Outside Māori Electorate","Pacific Peoples",NA
"Male","60–64 Years","Area Outside Māori Electorate","Pacific Peoples",NA
"Female","60–64 Years","Area Outside Māori Electorate","Pacific Peoples",NA
"Male","65–69 Years","Area Outside Māori Electorate","Pacific Peoples",NA
"Female","65–69 Years","Area Outside Māori Electorate","Pacific Peoples",NA
"Male","70–74 Years","Area Outside Māori Electorate","Pacific Peoples",NA
"Female","70–74 Years","Area Outside Māori Electorate","Pacific Peoples",NA
"Male","75–79 Years","Area Outside Māori Electorate","Pacific Peoples",NA
"Female","75–79 Years","Area Outside Māori Electorate","Pacific Peoples",NA
"Male","80–84 Years","Area Outside Māori Electorate","Pacific Peoples",NA
"Female","80–84 Years","Area Outside Māori Electorate","Pacific Peoples",NA
"Male","85 Years And Over","Area Outside Māori Electorate","Pacific Peoples",NA
"Female","85 Years And Over","Area Outside Māori Electorate","Pacific Peoples",NA
"Male","18 Years And Over","Area Outside Māori Electorate","Pacific Peoples",NA
"Female","18 Years And Over","Area Outside Māori Electorate","Pacific Peoples",NA
"Male","0–4 Years","Hauraki-Waikato","Asian",153
"Female","0–4 Years","Hauraki-Waikato","Asian",171
"Male","5–9 Years","Hauraki-Waikato","Asian",150
"Female","5–9 Years","Hauraki-Waikato","Asian",138
"Male","10–14 Years","Hauraki-Waikato","Asian",90
"Female","10–14 Years","Hauraki-Waikato","Asian",96
"Male","15–19 Years","Hauraki-Waikato","Asian",81
"Female","15–19 Years","Hauraki-Waikato","Asian",78
"Male","20–24 Years","Hauraki-Waikato","Asian",42
"Female","20–24 Years","Hauraki-Waikato","Asian",60
"Male","25–29 Years","Hauraki-Waikato","Asian",30
"Female","25–29 Years","Hauraki-Waikato","Asian",45
"Male","30–34 Years","Hauraki-Waikato","Asian",33
"Female","30–34 Years","Hauraki-Waikato","Asian",33
"Male","35–39 Years","Hauraki-Waikato","Asian",33
"Female","35–39 Years","Hauraki-Waikato","Asian",42
"Male","40–44 Years","Hauraki-Waikato","Asian",33
"Female","40–44 Years","Hauraki-Waikato","Asian",42
"Male","45–49 Years","Hauraki-Waikato","Asian",21
