"level0","level1","level2","Languages spoken(1) (total responses)(2)","count"
"Female","85 Years And Over","Ikaroa-Rāwhiti","Northern Chinese(3)",0
"Male","0–4 Years","Tāmaki Makaurau","Northern Chinese(3)",0
"Female","0–4 Years","Tāmaki Makaurau","Northern Chinese(3)",6
"Male","5–9 Years","Tāmaki Makaurau","Northern Chinese(3)",3
"Female","5–9 Years","Tāmaki Makaurau","Northern Chinese(3)",0
"Male","10–14 Years","Tāmaki Makaurau","Northern Chinese(3)",6
"Female","10–14 Years","Tāmaki Makaurau","Northern Chinese(3)",3
"Male","15–19 Years","Tāmaki Makaurau","Northern Chinese(3)",3
"Female","15–19 Years","Tāmaki Makaurau","Northern Chinese(3)",3
"Male","20–24 Years","Tāmaki Makaurau","Northern Chinese(3)",3
"Female","20–24 Years","Tāmaki Makaurau","Northern Chinese(3)",3
"Male","25–29 Years","Tāmaki Makaurau","Northern Chinese(3)",3
"Female","25–29 Years","Tāmaki Makaurau","Northern Chinese(3)",3
"Male","30–34 Years","Tāmaki Makaurau","Northern Chinese(3)",3
"Female","30–34 Years","Tāmaki Makaurau","Northern Chinese(3)",3
"Male","35–39 Years","Tāmaki Makaurau","Northern Chinese(3)",3
"Female","35–39 Years","Tāmaki Makaurau","Northern Chinese(3)",9
"Male","40–44 Years","Tāmaki Makaurau","Northern Chinese(3)",3
"Female","40–44 Years","Tāmaki Makaurau","Northern Chinese(3)",0
"Male","45–49 Years","Tāmaki Makaurau","Northern Chinese(3)",3
"Female","45–49 Years","Tāmaki Makaurau","Northern Chinese(3)",3
"Male","50–54 Years","Tāmaki Makaurau","Northern Chinese(3)",3
"Female","50–54 Years","Tāmaki Makaurau","Northern Chinese(3)",0
"Male","55–59 Years","Tāmaki Makaurau","Northern Chinese(3)",3
"Female","55–59 Years","Tāmaki Makaurau","Northern Chinese(3)",3
"Male","60–64 Years","Tāmaki Makaurau","Northern Chinese(3)",0
"Female","60–64 Years","Tāmaki Makaurau","Northern Chinese(3)",0
"Male","65–69 Years","Tāmaki Makaurau","Northern Chinese(3)",0
"Female","65–69 Years","Tāmaki Makaurau","Northern Chinese(3)",0
"Male","70–74 Years","Tāmaki Makaurau","Northern Chinese(3)",0
"Female","70–74 Years","Tāmaki Makaurau","Northern Chinese(3)",0
"Male","75–79 Years","Tāmaki Makaurau","Northern Chinese(3)",0
"Female","75–79 Years","Tāmaki Makaurau","Northern Chinese(3)",0
"Male","80–84 Years","Tāmaki Makaurau","Northern Chinese(3)",0
"Female","80–84 Years","Tāmaki Makaurau","Northern Chinese(3)",0
"Male","85 Years And Over","Tāmaki Makaurau","Northern Chinese(3)",0
"Female","85 Years And Over","Tāmaki Makaurau","Northern Chinese(3)",0
"Male","0–4 Years","Te Tai Hauāuru","Northern Chinese(3)",0
"Female","0–4 Years","Te Tai Hauāuru","Northern Chinese(3)",0
"Male","5–9 Years","Te Tai Hauāuru","Northern Chinese(3)",0
"Female","5–9 Years","Te Tai Hauāuru","Northern Chinese(3)",0
"Male","10–14 Years","Te Tai Hauāuru","Northern Chinese(3)",3
"Female","10–14 Years","Te Tai Hauāuru","Northern Chinese(3)",0
"Male","15–19 Years","Te Tai Hauāuru","Northern Chinese(3)",0
"Female","15–19 Years","Te Tai Hauāuru","Northern Chinese(3)",3
"Male","20–24 Years","Te Tai Hauāuru","Northern Chinese(3)",3
"Female","20–24 Years","Te Tai Hauāuru","Northern Chinese(3)",3
"Male","25–29 Years","Te Tai Hauāuru","Northern Chinese(3)",3
"Female","25–29 Years","Te Tai Hauāuru","Northern Chinese(3)",0
"Male","30–34 Years","Te Tai Hauāuru","Northern Chinese(3)",0
"Female","30–34 Years","Te Tai Hauāuru","Northern Chinese(3)",0
"Male","35–39 Years","Te Tai Hauāuru","Northern Chinese(3)",3
"Female","35–39 Years","Te Tai Hauāuru","Northern Chinese(3)",0
"Male","40–44 Years","Te Tai Hauāuru","Northern Chinese(3)",3
"Female","40–44 Years","Te Tai Hauāuru","Northern Chinese(3)",0
"Male","45–49 Years","Te Tai Hauāuru","Northern Chinese(3)",0
"Female","45–49 Years","Te Tai Hauāuru","Northern Chinese(3)",0
"Male","50–54 Years","Te Tai Hauāuru","Northern Chinese(3)",0
"Female","50–54 Years","Te Tai Hauāuru","Northern Chinese(3)",3
"Male","55–59 Years","Te Tai Hauāuru","Northern Chinese(3)",0
"Female","55–59 Years","Te Tai Hauāuru","Northern Chinese(3)",0
"Male","60–64 Years","Te Tai Hauāuru","Northern Chinese(3)",0
"Female","60–64 Years","Te Tai Hauāuru","Northern Chinese(3)",0
"Male","65–69 Years","Te Tai Hauāuru","Northern Chinese(3)",3
"Female","65–69 Years","Te Tai Hauāuru","Northern Chinese(3)",3
"Male","70–74 Years","Te Tai Hauāuru","Northern Chinese(3)",0
"Female","70–74 Years","Te Tai Hauāuru","Northern Chinese(3)",0
"Male","75–79 Years","Te Tai Hauāuru","Northern Chinese(3)",0
"Female","75–79 Years","Te Tai Hauāuru","Northern Chinese(3)",0
"Male","80–84 Years","Te Tai Hauāuru","Northern Chinese(3)",0
"Female","80–84 Years","Te Tai Hauāuru","Northern Chinese(3)",0
"Male","85 Years And Over","Te Tai Hauāuru","Northern Chinese(3)",0
"Female","85 Years And Over","Te Tai Hauāuru","Northern Chinese(3)",0
"Male","0–4 Years","Te Tai Tokerau","Northern Chinese(3)",0
"Female","0–4 Years","Te Tai Tokerau","Northern Chinese(3)",0
"Male","5–9 Years","Te Tai Tokerau","Northern Chinese(3)",3
"Female","5–9 Years","Te Tai Tokerau","Northern Chinese(3)",3
"Male","10–14 Years","Te Tai Tokerau","Northern Chinese(3)",3
"Female","10–14 Years","Te Tai Tokerau","Northern Chinese(3)",3
"Male","15–19 Years","Te Tai Tokerau","Northern Chinese(3)",3
"Female","15–19 Years","Te Tai Tokerau","Northern Chinese(3)",0
"Male","20–24 Years","Te Tai Tokerau","Northern Chinese(3)",6
"Female","20–24 Years","Te Tai Tokerau","Northern Chinese(3)",0
"Male","25–29 Years","Te Tai Tokerau","Northern Chinese(3)",0
"Female","25–29 Years","Te Tai Tokerau","Northern Chinese(3)",0
"Male","30–34 Years","Te Tai Tokerau","Northern Chinese(3)",0
"Female","30–34 Years","Te Tai Tokerau","Northern Chinese(3)",0
"Male","35–39 Years","Te Tai Tokerau","Northern Chinese(3)",3
"Female","35–39 Years","Te Tai Tokerau","Northern Chinese(3)",3
"Male","40–44 Years","Te Tai Tokerau","Northern Chinese(3)",3
"Female","40–44 Years","Te Tai Tokerau","Northern Chinese(3)",6
"Male","45–49 Years","Te Tai Tokerau","Northern Chinese(3)",3
"Female","45–49 Years","Te Tai Tokerau","Northern Chinese(3)",0
"Male","50–54 Years","Te Tai Tokerau","Northern Chinese(3)",3
"Female","50–54 Years","Te Tai Tokerau","Northern Chinese(3)",3
"Male","55–59 Years","Te Tai Tokerau","Northern Chinese(3)",0
"Female","55–59 Years","Te Tai Tokerau","Northern Chinese(3)",3
"Male","60–64 Years","Te Tai Tokerau","Northern Chinese(3)",0
"Female","60–64 Years","Te Tai Tokerau","Northern Chinese(3)",0
"Male","65–69 Years","Te Tai Tokerau","Northern Chinese(3)",0
"Female","65–69 Years","Te Tai Tokerau","Northern Chinese(3)",0
"Male","70–74 Years","Te Tai Tokerau","Northern Chinese(3)",0
"Female","70–74 Years","Te Tai Tokerau","Northern Chinese(3)",0
"Male","75–79 Years","Te Tai Tokerau","Northern Chinese(3)",0
"Female","75–79 Years","Te Tai Tokerau","Northern Chinese(3)",0
"Male","80–84 Years","Te Tai Tokerau","Northern Chinese(3)",0
"Female","80–84 Years","Te Tai Tokerau","Northern Chinese(3)",0
"Male","85 Years And Over","Te Tai Tokerau","Northern Chinese(3)",0
"Female","85 Years And Over","Te Tai Tokerau","Northern Chinese(3)",0
"Male","0–4 Years","Te Tai Tonga","Northern Chinese(3)",0
"Female","0–4 Years","Te Tai Tonga","Northern Chinese(3)",3
"Male","5–9 Years","Te Tai Tonga","Northern Chinese(3)",3
"Female","5–9 Years","Te Tai Tonga","Northern Chinese(3)",0
"Male","10–14 Years","Te Tai Tonga","Northern Chinese(3)",3
"Female","10–14 Years","Te Tai Tonga","Northern Chinese(3)",3
"Male","15–19 Years","Te Tai Tonga","Northern Chinese(3)",6
"Female","15–19 Years","Te Tai Tonga","Northern Chinese(3)",3
"Male","20–24 Years","Te Tai Tonga","Northern Chinese(3)",6
"Female","20–24 Years","Te Tai Tonga","Northern Chinese(3)",6
"Male","25–29 Years","Te Tai Tonga","Northern Chinese(3)",6
"Female","25–29 Years","Te Tai Tonga","Northern Chinese(3)",3
"Male","30–34 Years","Te Tai Tonga","Northern Chinese(3)",6
"Female","30–34 Years","Te Tai Tonga","Northern Chinese(3)",6
"Male","35–39 Years","Te Tai Tonga","Northern Chinese(3)",9
"Female","35–39 Years","Te Tai Tonga","Northern Chinese(3)",6
"Male","40–44 Years","Te Tai Tonga","Northern Chinese(3)",3
"Female","40–44 Years","Te Tai Tonga","Northern Chinese(3)",3
"Male","45–49 Years","Te Tai Tonga","Northern Chinese(3)",3
"Female","45–49 Years","Te Tai Tonga","Northern Chinese(3)",0
"Male","50–54 Years","Te Tai Tonga","Northern Chinese(3)",0
"Female","50–54 Years","Te Tai Tonga","Northern Chinese(3)",3
"Male","55–59 Years","Te Tai Tonga","Northern Chinese(3)",0
"Female","55–59 Years","Te Tai Tonga","Northern Chinese(3)",3
"Male","60–64 Years","Te Tai Tonga","Northern Chinese(3)",0
"Female","60–64 Years","Te Tai Tonga","Northern Chinese(3)",0
"Male","65–69 Years","Te Tai Tonga","Northern Chinese(3)",0
"Female","65–69 Years","Te Tai Tonga","Northern Chinese(3)",0
"Male","70–74 Years","Te Tai Tonga","Northern Chinese(3)",0
"Female","70–74 Years","Te Tai Tonga","Northern Chinese(3)",0
"Male","75–79 Years","Te Tai Tonga","Northern Chinese(3)",0
"Female","75–79 Years","Te Tai Tonga","Northern Chinese(3)",0
"Male","80–84 Years","Te Tai Tonga","Northern Chinese(3)",0
"Female","80–84 Years","Te Tai Tonga","Northern Chinese(3)",0
"Male","85 Years And Over","Te Tai Tonga","Northern Chinese(3)",0
"Female","85 Years And Over","Te Tai Tonga","Northern Chinese(3)",0
"Male","0–4 Years","Waiariki","Northern Chinese(3)",0
"Female","0–4 Years","Waiariki","Northern Chinese(3)",0
"Male","5–9 Years","Waiariki","Northern Chinese(3)",0
"Female","5–9 Years","Waiariki","Northern Chinese(3)",0
"Male","10–14 Years","Waiariki","Northern Chinese(3)",3
"Female","10–14 Years","Waiariki","Northern Chinese(3)",0
"Male","15–19 Years","Waiariki","Northern Chinese(3)",3
"Female","15–19 Years","Waiariki","Northern Chinese(3)",3
"Male","20–24 Years","Waiariki","Northern Chinese(3)",3
"Female","20–24 Years","Waiariki","Northern Chinese(3)",0
"Male","25–29 Years","Waiariki","Northern Chinese(3)",3
"Female","25–29 Years","Waiariki","Northern Chinese(3)",0
"Male","30–34 Years","Waiariki","Northern Chinese(3)",3
"Female","30–34 Years","Waiariki","Northern Chinese(3)",0
"Male","35–39 Years","Waiariki","Northern Chinese(3)",3
"Female","35–39 Years","Waiariki","Northern Chinese(3)",0
"Male","40–44 Years","Waiariki","Northern Chinese(3)",0
"Female","40–44 Years","Waiariki","Northern Chinese(3)",0
"Male","45–49 Years","Waiariki","Northern Chinese(3)",0
"Female","45–49 Years","Waiariki","Northern Chinese(3)",3
"Male","50–54 Years","Waiariki","Northern Chinese(3)",0
"Female","50–54 Years","Waiariki","Northern Chinese(3)",0
"Male","55–59 Years","Waiariki","Northern Chinese(3)",0
"Female","55–59 Years","Waiariki","Northern Chinese(3)",0
"Male","60–64 Years","Waiariki","Northern Chinese(3)",0
"Female","60–64 Years","Waiariki","Northern Chinese(3)",3
"Male","65–69 Years","Waiariki","Northern Chinese(3)",0
"Female","65–69 Years","Waiariki","Northern Chinese(3)",0
"Male","70–74 Years","Waiariki","Northern Chinese(3)",0
"Female","70–74 Years","Waiariki","Northern Chinese(3)",0
"Male","75–79 Years","Waiariki","Northern Chinese(3)",0
"Female","75–79 Years","Waiariki","Northern Chinese(3)",0
"Male","80–84 Years","Waiariki","Northern Chinese(3)",0
"Female","80–84 Years","Waiariki","Northern Chinese(3)",0
"Male","85 Years And Over","Waiariki","Northern Chinese(3)",0
"Female","85 Years And Over","Waiariki","Northern Chinese(3)",0
"Male","0–4 Years","Area Outside Māori Electorate","Northern Chinese(3)",NA
"Female","0–4 Years","Area Outside Māori Electorate","Northern Chinese(3)",NA
"Male","5–9 Years","Area Outside Māori Electorate","Northern Chinese(3)",NA
"Female","5–9 Years","Area Outside Māori Electorate","Northern Chinese(3)",NA
"Male","10–14 Years","Area Outside Māori Electorate","Northern Chinese(3)",NA
"Female","10–14 Years","Area Outside Māori Electorate","Northern Chinese(3)",NA
"Male","15–19 Years","Area Outside Māori Electorate","Northern Chinese(3)",NA
"Female","15–19 Years","Area Outside Māori Electorate","Northern Chinese(3)",NA
"Male","20–24 Years","Area Outside Māori Electorate","Northern Chinese(3)",NA
"Female","20–24 Years","Area Outside Māori Electorate","Northern Chinese(3)",NA
"Male","25–29 Years","Area Outside Māori Electorate","Northern Chinese(3)",NA
"Female","25–29 Years","Area Outside Māori Electorate","Northern Chinese(3)",NA
"Male","30–34 Years","Area Outside Māori Electorate","Northern Chinese(3)",NA
"Female","30–34 Years","Area Outside Māori Electorate","Northern Chinese(3)",NA
"Male","35–39 Years","Area Outside Māori Electorate","Northern Chinese(3)",NA
"Female","35–39 Years","Area Outside Māori Electorate","Northern Chinese(3)",NA
"Male","40–44 Years","Area Outside Māori Electorate","Northern Chinese(3)",NA
"Female","40–44 Years","Area Outside Māori Electorate","Northern Chinese(3)",NA
"Male","45–49 Years","Area Outside Māori Electorate","Northern Chinese(3)",NA
"Female","45–49 Years","Area Outside Māori Electorate","Northern Chinese(3)",NA
"Male","50–54 Years","Area Outside Māori Electorate","Northern Chinese(3)",NA
"Female","50–54 Years","Area Outside Māori Electorate","Northern Chinese(3)",NA
"Male","55–59 Years","Area Outside Māori Electorate","Northern Chinese(3)",NA
"Female","55–59 Years","Area Outside Māori Electorate","Northern Chinese(3)",NA
"Male","60–64 Years","Area Outside Māori Electorate","Northern Chinese(3)",NA
"Female","60–64 Years","Area Outside Māori Electorate","Northern Chinese(3)",NA
"Male","65–69 Years","Area Outside Māori Electorate","Northern Chinese(3)",NA
"Female","65–69 Years","Area Outside Māori Electorate","Northern Chinese(3)",NA
"Male","70–74 Years","Area Outside Māori Electorate","Northern Chinese(3)",NA
"Female","70–74 Years","Area Outside Māori Electorate","Northern Chinese(3)",NA
"Male","75–79 Years","Area Outside Māori Electorate","Northern Chinese(3)",NA
"Female","75–79 Years","Area Outside Māori Electorate","Northern Chinese(3)",NA
"Male","80–84 Years","Area Outside Māori Electorate","Northern Chinese(3)",NA
"Female","80–84 Years","Area Outside Māori Electorate","Northern Chinese(3)",NA
"Male","85 Years And Over","Area Outside Māori Electorate","Northern Chinese(3)",NA
"Female","85 Years And Over","Area Outside Māori Electorate","Northern Chinese(3)",NA
"Male","0–4 Years","Hauraki-Waikato","French",0
"Female","0–4 Years","Hauraki-Waikato","French",0
"Male","5–9 Years","Hauraki-Waikato","French",0
"Female","5–9 Years","Hauraki-Waikato","French",3
"Male","10–14 Years","Hauraki-Waikato","French",9
"Female","10–14 Years","Hauraki-Waikato","French",30
"Male","15–19 Years","Hauraki-Waikato","French",15
"Female","15–19 Years","Hauraki-Waikato","French",30
"Male","20–24 Years","Hauraki-Waikato","French",12
"Female","20–24 Years","Hauraki-Waikato","French",21
"Male","25–29 Years","Hauraki-Waikato","French",9
"Female","25–29 Years","Hauraki-Waikato","French",9
"Male","30–34 Years","Hauraki-Waikato","French",3
"Female","30–34 Years","Hauraki-Waikato","French",6
"Male","35–39 Years","Hauraki-Waikato","French",9
"Female","35–39 Years","Hauraki-Waikato","French",12
"Male","40–44 Years","Hauraki-Waikato","French",6
"Female","40–44 Years","Hauraki-Waikato","French",9
"Male","45–49 Years","Hauraki-Waikato","French",9
"Female","45–49 Years","Hauraki-Waikato","French",9
"Male","50–54 Years","Hauraki-Waikato","French",9
"Female","50–54 Years","Hauraki-Waikato","French",15
"Male","55–59 Years","Hauraki-Waikato","French",9
"Female","55–59 Years","Hauraki-Waikato","French",18
"Male","60–64 Years","Hauraki-Waikato","French",12
"Female","60–64 Years","Hauraki-Waikato","French",9
"Male","65–69 Years","Hauraki-Waikato","French",3
"Female","65–69 Years","Hauraki-Waikato","French",6
"Male","70–74 Years","Hauraki-Waikato","French",3
"Female","70–74 Years","Hauraki-Waikato","French",0
"Male","75–79 Years","Hauraki-Waikato","French",0
"Female","75–79 Years","Hauraki-Waikato","French",3
"Male","80–84 Years","Hauraki-Waikato","French",0
"Female","80–84 Years","Hauraki-Waikato","French",0
"Male","85 Years And Over","Hauraki-Waikato","French",0
"Female","85 Years And Over","Hauraki-Waikato","French",0
"Male","0–4 Years","Ikaroa-Rāwhiti","French",0
"Female","0–4 Years","Ikaroa-Rāwhiti","French",0
"Male","5–9 Years","Ikaroa-Rāwhiti","French",0
"Female","5–9 Years","Ikaroa-Rāwhiti","French",3
"Male","10–14 Years","Ikaroa-Rāwhiti","French",9
"Female","10–14 Years","Ikaroa-Rāwhiti","French",21
"Male","15–19 Years","Ikaroa-Rāwhiti","French",12
"Female","15–19 Years","Ikaroa-Rāwhiti","French",39
"Male","20–24 Years","Ikaroa-Rāwhiti","French",12
"Female","20–24 Years","Ikaroa-Rāwhiti","French",6
"Male","25–29 Years","Ikaroa-Rāwhiti","French",3
"Female","25–29 Years","Ikaroa-Rāwhiti","French",3
"Male","30–34 Years","Ikaroa-Rāwhiti","French",12
"Female","30–34 Years","Ikaroa-Rāwhiti","French",15
"Male","35–39 Years","Ikaroa-Rāwhiti","French",6
"Female","35–39 Years","Ikaroa-Rāwhiti","French",9
"Male","40–44 Years","Ikaroa-Rāwhiti","French",6
"Female","40–44 Years","Ikaroa-Rāwhiti","French",6
"Male","45–49 Years","Ikaroa-Rāwhiti","French",9
"Female","45–49 Years","Ikaroa-Rāwhiti","French",9
"Male","50–54 Years","Ikaroa-Rāwhiti","French",3
"Female","50–54 Years","Ikaroa-Rāwhiti","French",12
"Male","55–59 Years","Ikaroa-Rāwhiti","French",9
"Female","55–59 Years","Ikaroa-Rāwhiti","French",6
"Male","60–64 Years","Ikaroa-Rāwhiti","French",6
"Female","60–64 Years","Ikaroa-Rāwhiti","French",6
"Male","65–69 Years","Ikaroa-Rāwhiti","French",12
"Female","65–69 Years","Ikaroa-Rāwhiti","French",3
"Male","70–74 Years","Ikaroa-Rāwhiti","French",3
"Female","70–74 Years","Ikaroa-Rāwhiti","French",6
"Male","75–79 Years","Ikaroa-Rāwhiti","French",3
"Female","75–79 Years","Ikaroa-Rāwhiti","French",3
"Male","80–84 Years","Ikaroa-Rāwhiti","French",0
"Female","80–84 Years","Ikaroa-Rāwhiti","French",0
"Male","85 Years And Over","Ikaroa-Rāwhiti","French",0
"Female","85 Years And Over","Ikaroa-Rāwhiti","French",0
"Male","0–4 Years","Tāmaki Makaurau","French",3
"Female","0–4 Years","Tāmaki Makaurau","French",6
"Male","5–9 Years","Tāmaki Makaurau","French",3
"Female","5–9 Years","Tāmaki Makaurau","French",6
"Male","10–14 Years","Tāmaki Makaurau","French",12
"Female","10–14 Years","Tāmaki Makaurau","French",18
"Male","15–19 Years","Tāmaki Makaurau","French",21
"Female","15–19 Years","Tāmaki Makaurau","French",39
"Male","20–24 Years","Tāmaki Makaurau","French",15
"Female","20–24 Years","Tāmaki Makaurau","French",33
"Male","25–29 Years","Tāmaki Makaurau","French",15
"Female","25–29 Years","Tāmaki Makaurau","French",33
"Male","30–34 Years","Tāmaki Makaurau","French",9
"Female","30–34 Years","Tāmaki Makaurau","French",21
"Male","35–39 Years","Tāmaki Makaurau","French",15
"Female","35–39 Years","Tāmaki Makaurau","French",21
"Male","40–44 Years","Tāmaki Makaurau","French",24
"Female","40–44 Years","Tāmaki Makaurau","French",30
"Male","45–49 Years","Tāmaki Makaurau","French",21
"Female","45–49 Years","Tāmaki Makaurau","French",24
"Male","50–54 Years","Tāmaki Makaurau","French",18
"Female","50–54 Years","Tāmaki Makaurau","French",27
"Male","55–59 Years","Tāmaki Makaurau","French",18
"Female","55–59 Years","Tāmaki Makaurau","French",21
"Male","60–64 Years","Tāmaki Makaurau","French",15
"Female","60–64 Years","Tāmaki Makaurau","French",9
"Male","65–69 Years","Tāmaki Makaurau","French",6
"Female","65–69 Years","Tāmaki Makaurau","French",9
"Male","70–74 Years","Tāmaki Makaurau","French",6
"Female","70–74 Years","Tāmaki Makaurau","French",12
"Male","75–79 Years","Tāmaki Makaurau","French",3
"Female","75–79 Years","Tāmaki Makaurau","French",3
"Male","80–84 Years","Tāmaki Makaurau","French",0
"Female","80–84 Years","Tāmaki Makaurau","French",0
"Male","85 Years And Over","Tāmaki Makaurau","French",0
"Female","85 Years And Over","Tāmaki Makaurau","French",3
"Male","0–4 Years","Te Tai Hauāuru","French",3
"Female","0–4 Years","Te Tai Hauāuru","French",0
"Male","5–9 Years","Te Tai Hauāuru","French",0
"Female","5–9 Years","Te Tai Hauāuru","French",3
"Male","10–14 Years","Te Tai Hauāuru","French",15
"Female","10–14 Years","Te Tai Hauāuru","French",15
"Male","15–19 Years","Te Tai Hauāuru","French",12
"Female","15–19 Years","Te Tai Hauāuru","French",39
"Male","20–24 Years","Te Tai Hauāuru","French",6
"Female","20–24 Years","Te Tai Hauāuru","French",12
"Male","25–29 Years","Te Tai Hauāuru","French",6
"Female","25–29 Years","Te Tai Hauāuru","French",3
"Male","30–34 Years","Te Tai Hauāuru","French",3
"Female","30–34 Years","Te Tai Hauāuru","French",9
"Male","35–39 Years","Te Tai Hauāuru","French",6
"Female","35–39 Years","Te Tai Hauāuru","French",6
"Male","40–44 Years","Te Tai Hauāuru","French",9
"Female","40–44 Years","Te Tai Hauāuru","French",12
"Male","45–49 Years","Te Tai Hauāuru","French",6
"Female","45–49 Years","Te Tai Hauāuru","French",6
"Male","50–54 Years","Te Tai Hauāuru","French",9
"Female","50–54 Years","Te Tai Hauāuru","French",9
"Male","55–59 Years","Te Tai Hauāuru","French",6
"Female","55–59 Years","Te Tai Hauāuru","French",6
"Male","60–64 Years","Te Tai Hauāuru","French",9
"Female","60–64 Years","Te Tai Hauāuru","French",9
"Male","65–69 Years","Te Tai Hauāuru","French",6
"Female","65–69 Years","Te Tai Hauāuru","French",3
"Male","70–74 Years","Te Tai Hauāuru","French",3
"Female","70–74 Years","Te Tai Hauāuru","French",3
"Male","75–79 Years","Te Tai Hauāuru","French",3
"Female","75–79 Years","Te Tai Hauāuru","French",0
"Male","80–84 Years","Te Tai Hauāuru","French",0
"Female","80–84 Years","Te Tai Hauāuru","French",0
"Male","85 Years And Over","Te Tai Hauāuru","French",0
"Female","85 Years And Over","Te Tai Hauāuru","French",0
"Male","0–4 Years","Te Tai Tokerau","French",6
"Female","0–4 Years","Te Tai Tokerau","French",0
"Male","5–9 Years","Te Tai Tokerau","French",6
"Female","5–9 Years","Te Tai Tokerau","French",3
"Male","10–14 Years","Te Tai Tokerau","French",9
"Female","10–14 Years","Te Tai Tokerau","French",18
"Male","15–19 Years","Te Tai Tokerau","French",18
"Female","15–19 Years","Te Tai Tokerau","French",39
"Male","20–24 Years","Te Tai Tokerau","French",15
"Female","20–24 Years","Te Tai Tokerau","French",18
"Male","25–29 Years","Te Tai Tokerau","French",6
"Female","25–29 Years","Te Tai Tokerau","French",15
"Male","30–34 Years","Te Tai Tokerau","French",3
"Female","30–34 Years","Te Tai Tokerau","French",12
"Male","35–39 Years","Te Tai Tokerau","French",15
"Female","35–39 Years","Te Tai Tokerau","French",21
"Male","40–44 Years","Te Tai Tokerau","French",9
"Female","40–44 Years","Te Tai Tokerau","French",12
"Male","45–49 Years","Te Tai Tokerau","French",12
"Female","45–49 Years","Te Tai Tokerau","French",12
"Male","50–54 Years","Te Tai Tokerau","French",18
"Female","50–54 Years","Te Tai Tokerau","French",15
"Male","55–59 Years","Te Tai Tokerau","French",9
"Female","55–59 Years","Te Tai Tokerau","French",21
"Male","60–64 Years","Te Tai Tokerau","French",9
"Female","60–64 Years","Te Tai Tokerau","French",18
"Male","65–69 Years","Te Tai Tokerau","French",3
"Female","65–69 Years","Te Tai Tokerau","French",3
"Male","70–74 Years","Te Tai Tokerau","French",3
"Female","70–74 Years","Te Tai Tokerau","French",6
"Male","75–79 Years","Te Tai Tokerau","French",0
"Female","75–79 Years","Te Tai Tokerau","French",0
"Male","80–84 Years","Te Tai Tokerau","French",0
"Female","80–84 Years","Te Tai Tokerau","French",0
"Male","85 Years And Over","Te Tai Tokerau","French",0
"Female","85 Years And Over","Te Tai Tokerau","French",0
"Male","0–4 Years","Te Tai Tonga","French",0
"Female","0–4 Years","Te Tai Tonga","French",3
"Male","5–9 Years","Te Tai Tonga","French",3
"Female","5–9 Years","Te Tai Tonga","French",6
"Male","10–14 Years","Te Tai Tonga","French",21
"Female","10–14 Years","Te Tai Tonga","French",54
"Male","15–19 Years","Te Tai Tonga","French",39
"Female","15–19 Years","Te Tai Tonga","French",90
"Male","20–24 Years","Te Tai Tonga","French",30
"Female","20–24 Years","Te Tai Tonga","French",69
"Male","25–29 Years","Te Tai Tonga","French",21
"Female","25–29 Years","Te Tai Tonga","French",27
"Male","30–34 Years","Te Tai Tonga","French",27
"Female","30–34 Years","Te Tai Tonga","French",30
"Male","35–39 Years","Te Tai Tonga","French",21
"Female","35–39 Years","Te Tai Tonga","French",27
"Male","40–44 Years","Te Tai Tonga","French",21
"Female","40–44 Years","Te Tai Tonga","French",33
"Male","45–49 Years","Te Tai Tonga","French",21
"Female","45–49 Years","Te Tai Tonga","French",39
"Male","50–54 Years","Te Tai Tonga","French",15
"Female","50–54 Years","Te Tai Tonga","French",24
"Male","55–59 Years","Te Tai Tonga","French",24
"Female","55–59 Years","Te Tai Tonga","French",24
"Male","60–64 Years","Te Tai Tonga","French",15
"Female","60–64 Years","Te Tai Tonga","French",24
"Male","65–69 Years","Te Tai Tonga","French",3
"Female","65–69 Years","Te Tai Tonga","French",12
"Male","70–74 Years","Te Tai Tonga","French",9
"Female","70–74 Years","Te Tai Tonga","French",3
"Male","75–79 Years","Te Tai Tonga","French",6
"Female","75–79 Years","Te Tai Tonga","French",0
"Male","80–84 Years","Te Tai Tonga","French",3
"Female","80–84 Years","Te Tai Tonga","French",3
"Male","85 Years And Over","Te Tai Tonga","French",0
"Female","85 Years And Over","Te Tai Tonga","French",0
"Male","0–4 Years","Waiariki","French",0
"Female","0–4 Years","Waiariki","French",0
"Male","5–9 Years","Waiariki","French",3
"Female","5–9 Years","Waiariki","French",3
"Male","10–14 Years","Waiariki","French",9
"Female","10–14 Years","Waiariki","French",18
"Male","15–19 Years","Waiariki","French",9
"Female","15–19 Years","Waiariki","French",27
"Male","20–24 Years","Waiariki","French",3
"Female","20–24 Years","Waiariki","French",6
"Male","25–29 Years","Waiariki","French",3
"Female","25–29 Years","Waiariki","French",9
"Male","30–34 Years","Waiariki","French",6
"Female","30–34 Years","Waiariki","French",6
"Male","35–39 Years","Waiariki","French",6
"Female","35–39 Years","Waiariki","French",9
"Male","40–44 Years","Waiariki","French",6
"Female","40–44 Years","Waiariki","French",9
"Male","45–49 Years","Waiariki","French",6
"Female","45–49 Years","Waiariki","French",18
"Male","50–54 Years","Waiariki","French",6
"Female","50–54 Years","Waiariki","French",15
"Male","55–59 Years","Waiariki","French",3
"Female","55–59 Years","Waiariki","French",9
"Male","60–64 Years","Waiariki","French",6
"Female","60–64 Years","Waiariki","French",9
"Male","65–69 Years","Waiariki","French",3
