"level0","level1","level2","Languages spoken(1) (total responses)(2)","count"
"Male","60–64 Years","Tāmaki Makaurau","English",1170
"Female","60–64 Years","Tāmaki Makaurau","English",1452
"Male","65–69 Years","Tāmaki Makaurau","English",831
"Female","65–69 Years","Tāmaki Makaurau","English",957
"Male","70–74 Years","Tāmaki Makaurau","English",540
"Female","70–74 Years","Tāmaki Makaurau","English",666
"Male","75–79 Years","Tāmaki Makaurau","English",291
"Female","75–79 Years","Tāmaki Makaurau","English",390
"Male","80–84 Years","Tāmaki Makaurau","English",111
"Female","80–84 Years","Tāmaki Makaurau","English",234
"Male","85 Years And Over","Tāmaki Makaurau","English",54
"Female","85 Years And Over","Tāmaki Makaurau","English",138
"Male","0–4 Years","Te Tai Hauāuru","English",4758
"Female","0–4 Years","Te Tai Hauāuru","English",4560
"Male","5–9 Years","Te Tai Hauāuru","English",5562
"Female","5–9 Years","Te Tai Hauāuru","English",5229
"Male","10–14 Years","Te Tai Hauāuru","English",5403
"Female","10–14 Years","Te Tai Hauāuru","English",5070
"Male","15–19 Years","Te Tai Hauāuru","English",4806
"Female","15–19 Years","Te Tai Hauāuru","English",4659
"Male","20–24 Years","Te Tai Hauāuru","English",3516
"Female","20–24 Years","Te Tai Hauāuru","English",3942
"Male","25–29 Years","Te Tai Hauāuru","English",2571
"Female","25–29 Years","Te Tai Hauāuru","English",3255
"Male","30–34 Years","Te Tai Hauāuru","English",2451
"Female","30–34 Years","Te Tai Hauāuru","English",2961
"Male","35–39 Years","Te Tai Hauāuru","English",2430
"Female","35–39 Years","Te Tai Hauāuru","English",3159
"Male","40–44 Years","Te Tai Hauāuru","English",2760
"Female","40–44 Years","Te Tai Hauāuru","English",3348
"Male","45–49 Years","Te Tai Hauāuru","English",2598
"Female","45–49 Years","Te Tai Hauāuru","English",2937
"Male","50–54 Years","Te Tai Hauāuru","English",2418
"Female","50–54 Years","Te Tai Hauāuru","English",2889
"Male","55–59 Years","Te Tai Hauāuru","English",1872
"Female","55–59 Years","Te Tai Hauāuru","English",2151
"Male","60–64 Years","Te Tai Hauāuru","English",1461
"Female","60–64 Years","Te Tai Hauāuru","English",1737
"Male","65–69 Years","Te Tai Hauāuru","English",996
"Female","65–69 Years","Te Tai Hauāuru","English",1170
"Male","70–74 Years","Te Tai Hauāuru","English",741
"Female","70–74 Years","Te Tai Hauāuru","English",846
"Male","75–79 Years","Te Tai Hauāuru","English",432
"Female","75–79 Years","Te Tai Hauāuru","English",552
"Male","80–84 Years","Te Tai Hauāuru","English",204
"Female","80–84 Years","Te Tai Hauāuru","English",297
"Male","85 Years And Over","Te Tai Hauāuru","English",90
"Female","85 Years And Over","Te Tai Hauāuru","English",189
"Male","0–4 Years","Te Tai Tokerau","English",4632
"Female","0–4 Years","Te Tai Tokerau","English",4389
"Male","5–9 Years","Te Tai Tokerau","English",5199
"Female","5–9 Years","Te Tai Tokerau","English",5181
"Male","10–14 Years","Te Tai Tokerau","English",5166
"Female","10–14 Years","Te Tai Tokerau","English",4836
"Male","15–19 Years","Te Tai Tokerau","English",4494
"Female","15–19 Years","Te Tai Tokerau","English",4401
"Male","20–24 Years","Te Tai Tokerau","English",3309
"Female","20–24 Years","Te Tai Tokerau","English",3630
"Male","25–29 Years","Te Tai Tokerau","English",2454
"Female","25–29 Years","Te Tai Tokerau","English",3069
"Male","30–34 Years","Te Tai Tokerau","English",2271
"Female","30–34 Years","Te Tai Tokerau","English",2847
"Male","35–39 Years","Te Tai Tokerau","English",2511
"Female","35–39 Years","Te Tai Tokerau","English",3063
"Male","40–44 Years","Te Tai Tokerau","English",2790
"Female","40–44 Years","Te Tai Tokerau","English",3294
"Male","45–49 Years","Te Tai Tokerau","English",2691
"Female","45–49 Years","Te Tai Tokerau","English",3111
"Male","50–54 Years","Te Tai Tokerau","English",2544
"Female","50–54 Years","Te Tai Tokerau","English",3156
"Male","55–59 Years","Te Tai Tokerau","English",1917
"Female","55–59 Years","Te Tai Tokerau","English",2346
"Male","60–64 Years","Te Tai Tokerau","English",1494
"Female","60–64 Years","Te Tai Tokerau","English",1872
"Male","65–69 Years","Te Tai Tokerau","English",1110
"Female","65–69 Years","Te Tai Tokerau","English",1281
"Male","70–74 Years","Te Tai Tokerau","English",783
"Female","70–74 Years","Te Tai Tokerau","English",915
"Male","75–79 Years","Te Tai Tokerau","English",435
