"level0","level1","Occupied dwelling type","count"
"Pakuranga","North Island general electorates","Two or more flats/units/ townhouses/ apartments/ houses joined together",10860
"Palmerston North","North Island general electorates","Two or more flats/units/ townhouses/ apartments/ houses joined together",7728
"Papakura","North Island general electorates","Two or more flats/units/ townhouses/ apartments/ houses joined together",5748
"Rangitikei","North Island general electorates","Two or more flats/units/ townhouses/ apartments/ houses joined together",2478
"Rimutaka","North Island general electorates","Two or more flats/units/ townhouses/ apartments/ houses joined together",9549
"Rodney","North Island general electorates","Two or more flats/units/ townhouses/ apartments/ houses joined together",7284
"Rongotai","North Island general electorates","Two or more flats/units/ townhouses/ apartments/ houses joined together",16776
"Rotorua","North Island general electorates","Two or more flats/units/ townhouses/ apartments/ houses joined together",7431
"Tamaki","North Island general electorates","Two or more flats/units/ townhouses/ apartments/ houses joined together",12813
"Taranaki-King Country","North Island general electorates","Two or more flats/units/ townhouses/ apartments/ houses joined together",2244
"Taupo","North Island general electorates","Two or more flats/units/ townhouses/ apartments/ houses joined together",4485
"Tauranga","North Island general electorates","Two or more flats/units/ townhouses/ apartments/ houses joined together",10074
"Te Atatu","North Island general electorates","Two or more flats/units/ townhouses/ apartments/ houses joined together",8178
"Tukituki","North Island general electorates","Two or more flats/units/ townhouses/ apartments/ houses joined together",6912
"Upper Harbour","North Island general electorates","Two or more flats/units/ townhouses/ apartments/ houses joined together",5658
"Waikato","North Island general electorates","Two or more flats/units/ townhouses/ apartments/ houses joined together",2946
"Wairarapa","North Island general electorates","Two or more flats/units/ townhouses/ apartments/ houses joined together",2913
"Wellington Central","North Island general electorates","Two or more flats/units/ townhouses/ apartments/ houses joined together",26658
"Whanganui","North Island general electorates","Two or more flats/units/ townhouses/ apartments/ houses joined together",4089
"Whangarei","North Island general electorates","Two or more flats/units/ townhouses/ apartments/ houses joined together",5790
"Christchurch Central","South Island general electorates","Two or more flats/units/ townhouses/ apartments/ houses joined together",19929
"Christchurch East","South Island general electorates","Two or more flats/units/ townhouses/ apartments/ houses joined together",6660
"Clutha-Southland","South Island general electorates","Two or more flats/units/ townhouses/ apartments/ houses joined together",6570
"Dunedin North","South Island general electorates","Two or more flats/units/ townhouses/ apartments/ houses joined together",8679
"Dunedin South","South Island general electorates","Two or more flats/units/ townhouses/ apartments/ houses joined together",5277
"Ilam","South Island general electorates","Two or more flats/units/ townhouses/ apartments/ houses joined together",8283
"Invercargill","South Island general electorates","Two or more flats/units/ townhouses/ apartments/ houses joined together",3330
"Kaikoura","South Island general electorates","Two or more flats/units/ townhouses/ apartments/ houses joined together",3816
"Nelson","South Island general electorates","Two or more flats/units/ townhouses/ apartments/ houses joined together",6666
"Port Hills","South Island general electorates","Two or more flats/units/ townhouses/ apartments/ houses joined together",5883
"Rangitata","South Island general electorates","Two or more flats/units/ townhouses/ apartments/ houses joined together",5031
"Selwyn","South Island general electorates","Two or more flats/units/ townhouses/ apartments/ houses joined together",1416
"Waimakariri","South Island general electorates","Two or more flats/units/ townhouses/ apartments/ houses joined together",3288
"Waitaki","South Island general electorates","Two or more flats/units/ townhouses/ apartments/ houses joined together",2853
"West Coast-Tasman","South Island general electorates","Two or more flats/units/ townhouses/ apartments/ houses joined together",2628
"Wigram","South Island general electorates","Two or more flats/units/ townhouses/ apartments/ houses joined together",10245
"Area Outside General Electorate","South Island general electorates","Two or more flats/units/ townhouses/ apartments/ houses joined together",NA
"Auckland Central","North Island general electorates","Other occupied private dwellings(2)",285
"Bay of Plenty","North Island general electorates","Other occupied private dwellings(2)",465
